"","other","acidimicrobiia","actinobacteria","alphaproteobacteria","bacilli","betaproteobacteria","deltaproteobacteria","gammaproteobacteria","gemmatimonadetes","nitrospira","thermoleophilia"
"NA.100",0.588693477814837,0.0382814313217804,0.0554984384802967,0.0986696602379228,0.000877723258160237,0.0231831504153709,0.0174152857421958,0.00418532394973294,0.0411634452722255,0.00316773434439169,0.128864329163086
"NA.101",0.649422752489674,0.0334468232591691,0.039043543089911,0.108678199224095,0.00138664205347181,0.0209784382665875,0.0206382614563205,0.00630591909091988,0.0379404175611869,0.00486408066504451,0.0772949228436202
"NA.102",0.358401095526445,0.0336114188906159,0.0755106243270579,0.202637804097276,0.14743066244276,0.0073854273985094,0.0614749103470687,0.0752247116348768,0.00291479257526768,5.5665653430236e-05,0.0353528871066915
"NA.103",0.427283062483834,0.0110880804027337,0.143086356191828,0.204406545716036,0.0156295623900747,0.0426849831084018,0.0541201496370939,0.0132875425311325,0.0202525059377558,0.00657714650051137,0.0615840651005978
"NA.104",0.723064693118343,0.00390181520446046,0.0400584365121222,0.116293719473573,0.00993956179323904,0.0294599458058625,0.00688575938635404,0.0540799802430581,0.0017362102296445,3.96533369321817e-05,0.0145402248964107
"NA.105",0.689062559798583,0.00400850409347336,0.0427156051822625,0.130412056838926,0.0118256085871102,0.0285842696730153,0.0159990557994669,0.0585336188394313,0.00205152496022678,0.000116169905786506,0.0166910263217184
"NA.106",0.666679884983069,0.00350320105772953,0.0377434767297192,0.114118408681051,0.0730846984539346,0.0325118493651063,0.0220741980323734,0.0296784068119694,0.00162561864301295,0.000157690573325995,0.0188225666687092
"X30_182",0.615319297553709,0.0328533064848071,0.083319780264095,0.155328869474006,0.00223486471086053,0.0162288701567952,0.0116484020108012,0.00528800850462908,0.0150411206505638,0.00155623198818991,0.061181248201543
"X30_180",0.649162729922196,0.0286971601550148,0.0551600975610683,0.150919130195134,0.0021500207464095,0.0215722960207122,0.0245393289252226,0.00579662931762611,0.0286968641725816,0.00113223315281899,0.0321735098312166
"X30_134",0.550689886354718,0.0364153420754896,0.0723777276826113,0.22521932442635,0.00672991892623145,0.0250496616366172,0.0193657609801187,0.00443965885477745,0.0116484800061721,0.0035072361947181,0.0445570028621958
"X30_66",0.544242782994837,0.0296301557810682,0.0790785949814243,0.207662226452463,0.00282847947940653,0.0275094386471217,0.018433342319822,0.010546466411454,0.0184338372904451,0.00104741318694362,0.0605872624550148
"X30_80",0.617018940678694,0.0205548094092582,0.0637260331667656,0.153378036257329,0.00316783333851632,0.0270851878267062,0.023606463291454,0.0147875307013056,0.0277635735640356,0.00164115194813056,0.0472704398178042
"X30_128",0.637714482383739,0.0171618667827893,0.0496460868214837,0.18281055941638,0.000792928290801187,0.0242017129629674,0.0261505842960831,0.00367660614249258,0.0203841235395846,0.0027437115104451,0.0347173378532344
"NA.110",0.440509494638457,0.0196217367877745,0.145661274252582,0.272378869474184,0.00444003183264095,0.0288663771118694,0.0317493590048665,0.00452453081756676,0.0129207484961424,0.000538493391691395,0.0387890841922255
"X30_136",0.527957348546825,0.0127515065407715,0.0849310136362611,0.256517784840712,0.00528810449893175,0.0247103317760831,0.029035401080178,0.0109704382484273,0.0130055204648665,0.00223486471086053,0.0325976856560831
"X30_78",0.56392510083543,0.0157202283450445,0.0714442720838576,0.195531874397389,0.00181076588142433,0.0264066580979228,0.0276770616985757,0.0183495642921068,0.029629237835549,0.00121707811721068,0.0482881584154896
"X30_72",0.630081619399525,0.0141085739978635,0.0469323558833234,0.147694872557092,0.00274378350617211,0.0245404218603561,0.0348022088160831,0.0243717228727596,0.0400616066671217,0.00215004574492582,0.0325127886947774
"X30_68",0.588267066122671,0.0221660647801187,0.0566015150119288,0.127423998647715,0.000793027284925816,0.0281877693877151,0.0269145339551335,0.0122425407482493,0.057364160748368,0.00257404558023739,0.0774652777329377
"X30_76",0.58538270031181,0.0191972889790504,0.071020439238635,0.117076232794896,0.00104736218997033,0.0264917730462908,0.0216559060583976,0.0152960505202967,0.048628334225816,0.00299819640658754,0.0912057162282493
"X30_70",0.591828976720772,0.0240320010354896,0.0531244013810682,0.140146565554421,0.000538493391691395,0.0377721115502671,0.0348871527745994,0.0175016696152522,0.0478643865666469,0.00172594591554896,0.0505782954942433
"X30_74",0.604295966796142,0.0108857432751335,0.0334465232769733,0.190952371194125,0.000792953289317507,0.0439639390609496,0.0278473295930564,0.026491545059822,0.0319194269112166,0.00181071588439169,0.0275934856588724
"X30_124",0.640769436070089,0.0186040531880119,0.0555826564818991,0.138619366194777,0.00367680213086053,0.0205541614477151,0.0273381578127596,0.0203007904854599,0.0169069349131751,0.00274363551495549,0.0549040057602967
"X30_82",0.598867206996855,0.0110554122051632,0.0502402005604154,0.15142686206089,0.00554281238183976,0.0394685078679525,0.0379406905449852,0.0437948090989318,0.0247101587863502,0.00291344843643917,0.034039891060178
"X30_132",0.640682176249021,0.0206392803958457,0.054226513969911,0.122759674478635,0.00367687512652819,0.0173317277014243,0.0180936644799407,0.0135153052087834,0.0352270785997626,0.00308286538142433,0.070764838408724
"NA.124",0.716720059347181,0.00377945103857567,0.0130289020771513,0.129022017804154,0.00127959940652819,0.0340276557863501,0.052026587537092,0.0350275964391691,0.00477939169139466,0.00127959940652819,0.00902913946587537
"NA.125",0.737468827893175,0.00202955489614243,0.0177786201780415,0.117272715133531,0.000529643916913947,0.0275280415430267,0.0330277151335312,0.0592761572700297,0.00177956973293769,0.000529643916913947,0.00277951038575668
"NA.126",0.709220504451039,0.00277951038575668,0.0147787982195846,0.123772329376855,0.00152958456973294,0.0365275074183976,0.0605260830860534,0.0370274777448071,0.00402943620178042,0.00102961424332344,0.00877915430267062
"NA.127",0.744718397626113,0.00127959940652819,0.0137788575667656,0.114522878338279,0.00227954005934718,0.0287779673590504,0.049026765578635,0.0335276854599407,0.00252952522255193,0.00252952522255193,0.00702925816023739
"NA.128",0.731719169139466,0.00177956973293769,0.0145288130563798,0.106523353115727,0.000279658753709199,0.0270280712166172,0.0487767804154303,0.0667757121661721,0.000779629080118694,0.000279658753709199,0.00152958456973294
"NA.129",0.716970044510386,0.00102961424332344,0.0177786201780415,0.129521988130564,0.000529643916913947,0.0245282195845697,0.0497767210682493,0.0547764243323442,0.00177956973293769,0.000279658753709199,0.00302949554896142
"X30_130",0.691572107895786,0.0231839503678932,0.0299686616905045,0.0850156576125816,0.000792952289376855,0.018773663121543,0.0180088465139466,0.0152118745162018,0.0332765383656973,0.00410082796462908,0.0800949196618398
"X30_126",0.64280326536089,0.0217417379642137,0.0465086000335312,0.0934121192766766,0.00588199225127596,0.0217419329526409,0.024115401085638,0.00961361877661721,0.0378564615440356,0.00554268838919881,0.0907821823652819
"NA.148",0.522102952009377,0.0274250126578635,0.0973996466141246,0.256517016886291,0.000792978287833828,0.0251347035893175,0.0174160736954303,0.00740830566350148,0.0110550602260534,0.000623363354599407,0.0341248870156083
"X30_43",0.673420945180059,0.0236080941946588,0.0514274040990504,0.086457372045816,0.00808715837311573,0.0332767593525816,0.0164827610881899,0.00723834275091988,0.0329381024521068,0.00460969576296736,0.0624533647005341
"NA.149",0.378417869820059,0.0130912593762018,0.193414133086825,0.308342153028012,0.00808715837311573,0.0415047280168546,0.0292061249475964,0.00503349860997033,0.00469416974937685,0.000284108489614243,0.0179247965023739
"NA.150",0.568077421392285,0.0255591024009496,0.0758554152794065,0.187814034456617,0.0120735437783383,0.0331920353810089,0.0287811121724036,0.0129214464547181,0.0116484270093175,0.00291327544670623,0.0411641862282493
"X30_46",0.598695295199941,0.0324291836567953,0.0757706493103264,0.11359950914089,0.00791754243994065,0.0299690876652225,0.0221656138068843,0.0127514835421365,0.0252196955449852,0.00299821740534125,0.0784837222875371
"X30_48",0.595730298174599,0.0208936372995846,0.0633019083388724,0.15498904664273,0.00817205433448071,0.0356516404017211,0.0292049120195846,0.0152962495084866,0.0256434463950742,0.00223461672557863,0.0488821901592878
"X30_148",0.493691034276677,0.0309030492339466,0.145915433168071,0.192309590642196,0.00265893754183976,0.0223354277283086,0.0214019671298516,0.00740850265181009,0.0230989544124629,0.000877798253709199,0.0593993049611276
"NA.151",0.595729492222433,0.02759443160273,0.0855247513975074,0.152020848807359,0.00596691221121662,0.0250496096397033,0.0212316042410089,0.00503337161750742,0.0194516288837982,0.00223481571376855,0.0601625336629674
"X30_112",0.640429481246647,0.0202151585677745,0.0476959315645697,0.1156333214327,0.00571235231952522,0.0369241858752522,0.021910632940178,0.0161437752072404,0.0359908232709792,0.00291319945121662,0.0564311381239169
"X30_122",0.628049757991929,0.0196214188066469,0.0361601622205935,0.127591606700059,0.00172592191697329,0.0398079127240356,0.032766204654362,0.0205544084330564,0.0223350317518101,0.00359175817827893,0.0677958166222552
"X30_104",0.638649623882433,0.019367228892997,0.0368386499518694,0.145150021595786,0.00138656705792285,0.0298840447125816,0.0321727918738279,0.0147020677735905,0.0313257321474184,0.00359183317382789,0.0469314389377448
"X30_106",0.577836685173116,0.028781707137092,0.0553287975486053,0.105624685452285,0.00155625598676558,0.027169954795727,0.0326814566842136,0.0138541620973887,0.0376018796536499,0.00359193416783383,0.115972481303323
"NA.152",0.589871758883027,0.0816242468951929,0.0594011388522849,0.158129091278872,0.00545789442178042,0.00868060115186944,0.0135989592438576,0.00435526186379822,0.00834099930747774,0.0018955858472997,0.0686444622545401
"X30_92",0.555610183331632,0.0317505019370326,0.0411645592061128,0.087644555585638,0.00113228214991098,0.0221661367758457,0.0182632814130564,0.0185196002003561,0.0460838592421958,0.00681488488344214,0.170850155274777
"NA.153",0.535250026721246,0.0300544026017211,0.0875610175436795,0.23743330151822,0.00138664305341246,0.0214026090917507,0.0201301366138872,0.0120733177917507,0.00901950903744807,0.00130187208462908,0.0443871639422552
"X30_116",0.54229472161365,0.0402322335402967,0.0504942604817804,0.103250088386291,0.00113218315578635,0.0302237675497923,0.0216562010408902,0.0138544120825519,0.0293752969071217,0.00181069188581602,0.165676143356024
"NA.154",0.515996906407478,0.0193675048766172,0.105117977525757,0.241248945057092,0.00325260330735905,0.0309023232770326,0.0204691654922849,0.00910460098718101,0.0101222425894362,0.00147156201341246,0.0429461684663501
"X30_108",0.552222971365045,0.0257277503915727,0.0644896318466469,0.10791415057092,0.00265888854474777,0.0321740028019585,0.0247938648183383,0.00986765469940653,0.030477315501543,0.00554256639643917,0.144131203063383
"X30_98",0.586826686610208,0.0235233252257567,0.0538025371332344,0.10367405322368,0.00147146101940653,0.0404864934497923,0.0278468586210089,0.0152111565588131,0.0506638354173887,0.00579692430011869,0.0906966684405935
"X30_102",0.612783795037567,0.0238617651391098,0.0420979448090208,0.104775749837211,0.00384619207744807,0.0359058283154896,0.0302215636805935,0.0165678750366172,0.0292901079631454,0.00664519795448071,0.0940039801493175
"X30_84",0.555527184257685,0.0299692586550742,0.0730561424182196,0.111053550245341,0.00511863955679525,0.0278489614962018,0.0275083187135905,0.0164835050440356,0.0313260771269436,0.00469436773762611,0.117413994748487
"NA.155",0.689221691394659,0.00777921364985163,0.0255281602373887,0.0852746142433234,0.00427942136498516,0.0545264391691395,0.0675256676557864,0.0225283382789317,0.00777921364985163,0.00452940652818991,0.0310278338278932
"NA.156",0.647974139465875,0.00527936201780415,0.0107790356083086,0.0695255489614243,0.00402943620178042,0.0665257270029674,0.0947740504451039,0.0732753264094955,0.00802919881305638,0.0137788575667656,0.0060293175074184
