"","other","acidimicrobiia","actinobacteria","alphaproteobacteria","bacilli","betaproteobacteria","deltaproteobacteria","gammaproteobacteria","gemmatimonadetes","nitrospira","thermoleophilia"
"NA.100",0.553173037287414,0.0373623282216626,0.0840096019224462,0.148307494622212,0.00610015906989062,0.0219699357171444,0.0283339082357853,0.00947778612583084,0.0168192131818137,0.00476511717462298,0.0896814184411766
"NA.101",0.559956827005714,0.0362762043812952,0.0841656482184474,0.149731773169816,0.00660025792075486,0.0209542014497999,0.0275773011303713,0.00937878351419676,0.0170550457130579,0.00471296467740988,0.0835909928191364
"NA.102",0.392144366257665,0.024553524353444,0.105217219716197,0.200032553453139,0.078796365632059,0.025641995747734,0.068803919825155,0.032087608651629,0.0150160589242189,0.00535393033154874,0.0523524571072101
"NA.103",0.416045591749597,0.0250034562024109,0.111333251877228,0.222929034035447,0.0496192971420825,0.0190403216864192,0.0537100870374256,0.0378865812277818,0.0109719745354558,0.00362827679529629,0.0498321277108571
"NA.104",0.705761834439492,0.00684693559849958,0.0344436576163784,0.105785473847165,0.0135951510859348,0.0281872278193799,0.0229379600863237,0.0492858838947979,0.008078577968978,0.00207720435586548,0.0230000932871849
"NA.105",0.704411167711939,0.00693091634844861,0.0343807513923241,0.105467499033753,0.0138268715955158,0.0288644653971655,0.0233961683427237,0.049267221411649,0.00813223463911117,0.00215190911680528,0.0231707950105657
"NA.106",0.699489266606811,0.0072308226132058,0.0341509914143998,0.10433004378784,0.0146649352558588,0.0313558914955644,0.0250654868880061,0.0491868476020776,0.00832029895495678,0.00243442824877615,0.0237709871325028
"X30_182",0.589882956782039,0.0227379388483648,0.0666227967506753,0.14271603088337,0.00746944177968969,0.0296326551291059,0.0287140292402459,0.0124316670311301,0.0282290561984425,0.0052088944784246,0.0663545328785116
"X30_180",0.59967302564506,0.0215591190454428,0.0672426832782742,0.146158221474047,0.00653912110462585,0.0261305816086298,0.0255438558776575,0.0129537179495068,0.0269139955221341,0.00434293790644238,0.0629427405881802
"X30_134",0.590805101062879,0.0239260665331752,0.0719798168279013,0.146514253062261,0.00814284641254831,0.0244033182439963,0.0270633507047813,0.0107624925940395,0.0252290931618728,0.00456497746810122,0.0666086839284434
"X30_66",0.584177830940055,0.0249839179335945,0.0665289941135559,0.141119222299445,0.00636934197039195,0.0321893550242904,0.0289481520934147,0.0139919322959437,0.0287132898231144,0.00584491960222727,0.0671330439039676
"X30_80",0.582131874432719,0.0255655867837776,0.0664566094575625,0.140507540332756,0.00626529502038234,0.0330356469607655,0.0292948742474721,0.014242024319554,0.0289003050401155,0.00607651538036251,0.0675237280245328
