"","other","acidimicrobiia","actinobacteria","alphaproteobacteria","bacilli","betaproteobacteria","deltaproteobacteria","gammaproteobacteria","gemmatimonadetes","nitrospira","thermoleophilia"
"ram_samp_61",0.249485260901636,0.0118054942936169,0.0436525577518067,0.435781445391944,0.00985080926100339,0.160218531038145,0.0307802416833767,0.0450828150927434,0.00646586688745328,0.000220409832029821,0.00665656786624483
"ram_samp_62",0.287465010000266,0.0271508995137822,0.123642371813607,0.384087574588982,0.0133858730981293,0.0740337617611548,0.0394167646366413,0.0354644303192756,0.00888838921974761,0.000711145804508215,0.00575377924390584
"ram_samp_63",0.349951952816233,0.0149503883747716,0.0371401168939748,0.380188218713842,0.00411057846596532,0.0991183241372669,0.0274480515637481,0.0704247096727798,0.0107419915866467,2.9708853238265e-05,0.0058959589215334
"ram_samp_64",0.30558900248342,0.0272331933449643,0.0946043229065045,0.387891890082926,0.00215498107915436,0.0759019273184429,0.0376470272519531,0.0444478983748846,0.011081124428002,0.000667290521013094,0.0127813422087348
"ram_samp_65",0.309390883664354,0.00520142762831158,0.139666115780217,0.275929662636497,0.000479423529331597,0.196330164967978,0.0144205784882249,0.0494983232235048,0.00317771158589159,2.9708853238265e-05,0.00587599964245157
"ram_samp_66",0.264497752705882,0.0206800979950106,0.0790398933956716,0.363912652922855,0.00374934416448919,0.161769713249356,0.0335064266544966,0.0533872360766998,0.011188614786991,0.000286235426427984,0.00798203262211956
"ram_samp_67",0.326312168761583,0.0235007151764754,0.043791778707532,0.355956162806585,0.0110837957022467,0.123138922664798,0.0512873581462432,0.0470474344233358,0.00722243659745609,0.000181134700484956,0.01047809231326
"ram_samp_68",0.298165865047005,0.0208062276529719,0.0905425188508693,0.33399184865379,0.00404692094744658,0.130086950403232,0.036404308987515,0.0610725020035131,0.00533368419637267,0.000249400139640282,0.0192997731176437
"ram_samp_69",0.354417828532133,0.0107371145639863,0.0526926634714069,0.293281514237397,0.00243341217605924,0.154522276965459,0.0269074823720545,0.0835037697002938,0.0105185960800934,0.00221489369216642,0.00877044820895088
"ram_samp_70",0.205997974967921,0.0228701386805677,0.11053708257664,0.457510082747689,0.00137326354896353,0.127331516273207,0.0232060273544989,0.0388248506923051,0.00691542666883022,2.9708853238265e-05,0.0054039276361393
"ram_samp_71",0.251997243241614,0.0357651620355033,0.0610669062594427,0.454808998074252,0.0079854119339615,0.0622406985172543,0.02780945895478,0.0621102771552753,0.0208971267698893,2.9708853238265e-05,0.0152890082047894
"ram_samp_72",0.480491057284791,0.0124436204894087,0.0155470983984512,0.243032029131273,0.00127110001685531,0.145272474996432,0.0357197048072281,0.0537198766796751,0.00778840362584475,0.000650404435046783,0.00406423013499365
"ram_samp_73",0.303955208806663,0.0305823172896723,0.0546170359263339,0.439950236873118,0.00106664586683845,0.0766149140005664,0.0231385908706138,0.0442106323255605,0.0158429983106411,0.000214876177095442,0.00980654355289718
"ram_samp_74",0.345225876011765,0.0178036233810578,0.0546145732660851,0.350816407757616,0.00336795675947848,0.136717427176317,0.0307055004240944,0.044238937881825,0.00616486716740947,0.000300377602392877,0.010044452571959
"ram_samp_75",0.276623409687586,0.0235558895834225,0.0801122048486996,0.424124172082121,0.00485958701638866,0.0866559107471614,0.0291647803535326,0.0498865156986618,0.0118707004790263,0.000341313896022162,0.012805515607378
"ram_samp_76",0.273203547187182,0.0197437619543155,0.0259500379305804,0.424612000641251,0.0117121106909136,0.115028351942855,0.030696013677136,0.0836318970041024,0.00879151023149478,0.000394783910665619,0.00623598482950328
"ram_samp_77",0.255428955328687,0.0138628789640183,0.0205324431245729,0.410331415174766,0.000276729748073622,0.188753672507451,0.0417762400804135,0.0575855773498763,0.00422906406543933,0.000523750642908978,0.0066992730137929
"ram_samp_78",0.381676106873649,0.0155282138600839,0.0312180584349154,0.383665542664664,0.0136148181802264,0.087854570558697,0.0262432296672858,0.0463338843057895,0.00519587718885348,0.000412387989209762,0.00825731027662547
"ram_samp_79",0.595122853508427,0.0247337067657729,0.0353134526521314,0.173638812993512,0.0072262661990628,0.0174475285314574,0.054165206546206,0.0778878557297646,0.00667509773484336,0.000881107293902438,0.00690811204491987
"ram_samp_80",0.562465191009773,0.0194107397419813,0.0119702538492858,0.191361242116271,0.00295765858406984,0.0755075948122315,0.0681128581340802,0.0583682754361564,0.000782491383466267,0.000520473154712873,0.00854322177797152
"ram_samp_81",0.60946921433638,0.0143766884361813,0.0167476901210522,0.132086898905054,0.00923030139715404,0.0173559937603193,0.126632903775716,0.0603658260730495,0.00236269156065492,0.0035067171549585,0.00786507447948058
"ram_samp_82",0.514505285341603,0.0220301188938955,0.0634743164016781,0.215237739093674,0.0125244808291467,0.0302606494595645,0.0607350779300366,0.0542281851395059,0.00587341759274007,0.000100192182333133,0.0210305371358228
"ram_samp_83",0.613332857042353,0.0177242287146881,0.051334186091163,0.13305539598121,0.00944718748474038,0.0319062013793506,0.0595960214890901,0.0477304039022513,0.00566600392225352,0.00951307942349684,0.0206944345694029
"ram_samp_84",0.539791709940585,0.0234240052383048,0.0075569790000377,0.210016112494809,0.00560230266938662,0.0698563994602319,0.0473393523922346,0.0742514774145422,0.00175771338048553,0.00300293640437923,0.0174010116050034
"ram_samp_85",0.414036756095374,0.0358401705077702,0.103089331865523,0.189038438399159,0.00787688827041728,0.0504715780750029,0.0423045136369962,0.04700948915167,0.00730042880580072,0.00222225410016131,0.100810151092125
"ram_samp_86",0.414903495494511,0.0224273858663377,0.0664852010439054,0.197900845671696,0.0901553351914562,0.060669990891237,0.0507051116122048,0.0300053949154594,0.00607995885876701,0.00818721271199873,0.0524800677424269
"ram_samp_87",0.614221491239298,0.0619123862243926,0.0293530393909155,0.161654433550424,0.000410756267195086,0.0367921241315725,0.0546089774568869,0.0322253286097566,0.00063592064816957,0.000153837935057533,0.0080317045463315
"ram_samp_88",0.374922601192727,0.0311355185467175,0.127233765001403,0.14530240930722,0.0222795821606225,0.0684264795941902,0.0634116722430279,0.0375840806591829,0.0132335899108197,0.0102527137326688,0.10621758765142
"ram_samp_89",0.424129154039857,0.0240931279065746,0.0354881766645606,0.156144234840494,0.0188465715720646,0.0888350435737145,0.109435145945562,0.032861950993747,0.00751342038881161,0.0373067863602868,0.0653463877143274
"ram_samp_90",0.366381658868311,0.0445739649259327,0.112440548914546,0.14955637864766,0.0483126013487358,0.0518934259828376,0.0572176951397341,0.0262602825895081,0.0107834550261654,0.00421923610090206,0.128360752455668
"ram_samp_91",0.409415891363521,0.0305574547470642,0.0924510220406037,0.157839702430445,0.0299298376641801,0.0611753971078917,0.0689586005728816,0.030538663816439,0.0112967508561547,0.017001677393989,0.0908350020068299
"ram_samp_92",0.391864166411078,0.0347922849058492,0.0948367344512681,0.160122051188278,0.0366895894083021,0.0650647676344037,0.0635312101607953,0.0315360215036332,0.0117452731582618,0.00402219624183547,0.105795704936295
"ram_samp_93",0.352532044915802,0.0263800958288675,0.18426270699418,0.191528055353345,0.0275009927310246,0.0146609511408651,0.0234903416890867,0.0529204022131678,0.0190067540804579,3.71566731861534e-05,0.107680498380017
"ram_samp_94",0.368923860257097,0.0312694695183586,0.107291722849837,0.165585996631701,0.0615359967765845,0.0436738967221332,0.0553355026683489,0.0280712113260907,0.0125166717522973,0.00639183536473899,0.119403836132813
"ram_samp_95",0.364638038700219,0.0256934212066062,0.0850261764728545,0.248661501827405,0.0431925850476127,0.0547673599454093,0.0539490537226284,0.0262673463854796,0.0152776048958251,0.00941245984204713,0.0731144519539128
"ram_samp_96",0.406138673609035,0.0320729566191079,0.098127469366417,0.134849560664313,0.0446494831203405,0.0573071209601758,0.0674204241785805,0.0178827413814647,0.0128239552633517,0.0189585338724051,0.109769080964808
"ram_samp_97",0.292727245927981,0.0196455928346591,0.123970795565222,0.134136198361034,0.107730337494657,0.0620500477442691,0.0281215042630771,0.108046894824547,0.0152884835187496,0.00360076008031833,0.104682139385486
"ram_samp_98",0.638726784082476,0.00995594053238492,0.0358972757885374,0.117715268268131,0.0081057849235499,0.0213113929463988,0.0927185891826268,0.048799419134805,0.000920524516751426,0.014507910681106,0.0113411099432323
"ram_samp_99",0.588532575142224,0.0122590654320105,0.0123747601158322,0.137723522554103,0.00573731325510394,0.0336840068804553,0.147146211803129,0.0379047203457988,0.00189796374754264,0.0160512800683853,0.0066885806554149
"ram_samp_100",0.410233461816589,0.0163296035664393,0.0788158724652285,0.252962859967374,0.054819679791747,0.0287169511202117,0.040757979576478,0.039919372175079,0.0151961956109647,0.00992413133322702,0.0523238925766617
"ram_samp_101",0.660357706584899,0.0124112512297921,0.0226684583289558,0.0946528782350319,0.00936012262059929,0.0178644060023086,0.121418808502934,0.045345390301489,0.00584733291354225,0.00423672577512873,0.00583691950531973
"ram_samp_102",0.362499783742736,0.0418712524247842,0.106570278182823,0.183448495885647,0.0469055268871992,0.0519358927514289,0.0495438306621448,0.027155380257865,0.00548220332145934,0.0105321121766146,0.114055243707298
"ram_samp_103",0.370776595661597,0.0346313031610455,0.138413148335506,0.138948362477932,0.0385154286517904,0.0594308327461461,0.0557493240378909,0.0374297085342987,0.0100687969818762,0.00978207511986254,0.106254424292055
