"","other","acetobacteraceae","bradyrhizobiaceae","caulobacteraceae","comamonadaceae","hyphomicrobiaceae","mycobacteriaceae","oxalobacteraceae","rhodospirillaceae","sphingomonadaceae","xanthomonadaceae"
"NA.100",0.924047912981224,0.00248913671099228,0.00656061077896613,0.00223470182982769,0.0026587016352347,0.00893516867979798,0.000453782654248366,0.00223467583137255,0.0106314148867499,0.0395545952355912,0.000199298775995247
"NA.101",0.918704233509269,0.00325254234848485,0.00817228701117053,0.00206516090415924,0.00308287643024361,0.012836805839691,0.0018955459828877,0.00198029294711824,0.011988332257041,0.0358226239939394,0.000199298775995247
"NA.102",0.815835071298491,0.0219410163542871,0.0943808906193942,0.00517613694956988,0.000341613586349351,0.0117781204671188,0.00301879587888525,0.00629379557655565,0.0236305003253666,0.01713248505217,0.00047157389181242
"NA.103",0.828124512163727,0.00761581612216419,0.0585496531143233,0.00601713311381336,0.00560982534098512,0.0230629634066811,0.00470356554643829,0.00859335477695296,0.0234295404022235,0.032899446120478,0.00139418989221286
"NA.104",0.894775864926914,0.0087819458530666,0.0164763298062019,0.00200569850656317,0.000448858173640796,0.0287613967922345,0.010328806440261,8.95873275814409e-05,0.0369647477772346,0.000738270799631613,0.000628493596670124
"NA.105",0.8716559377629,0.00952267878591614,0.0201401007379642,0.00816036191630962,0.00200831192577117,0.0263245868444405,0.0163234510953483,0.00144608591608612,0.0353093909606658,0.00532760779060731,0.00378148626399121
"NA.106",0.894720458492831,0.0131898537591071,0.0100747740634981,0.00412625201460001,0.00112212036293428,0.0308988684670594,0.0108172725114829,0.00156591253874821,0.0269303422795171,0.00357151179483598,0.00298263371538625
"X30_182",0.889187170449673,0.00410061295508021,0.0214888447248366,0.00384632806500297,0.00299803047189542,0.00817186403630422,0.00189562097843137,0.00350707422388592,0.0141091282367201,0.0500719022841949,0.000623423573975044
"X30_180",0.885115521392097,0.00384615407534165,0.0165693220489602,0.00206521090118835,0.0055426502674391,0.00842654690273321,0.00223490081800356,0.0048638936,0.0158904173903149,0.0539738604250149,0.00147152217890671
"X30_134",0.843979132767201,0.00698424160629828,0.0505816619936423,0.00257415365918004,0.00308275043773024,0.0137695974120618,0.00231969577938206,0.00460960770998217,0.0267471552695187,0.0450679096276292,0.000284093737373737
"X30_66",0.871290585886869,0.00579706015008913,0.0161451472539513,0.00155631614034462,0.0063905268855615,0.0143637401073678,0.00308309641717172,0.00316769539019608,0.0142786911610814,0.0625404383883541,0.00138670221901367
"X30_80",0.905811996581937,0.00393104903077837,0.0121586191383838,0.0018106780258467,0.0035918921838978,0.016314144211943,0.0025741556590612,0.00639059988122401,0.0117342973521093,0.0345503245955437,0.0011322433392751
"X30_128",0.889271615431848,0.0074084384,0.0203859902578134,0.00265897461901367,0.00333753529809863,0.0109708447174094,0.000877807458169935,0.00325246535306001,0.0214883487543078,0.0401486309372549,0.000199348773024361
"NA.110",0.797328983776768,0.0268316272500891,0.0635589948644682,0.00325261534414736,0.0059665260802139,0.00978341727581699,0.00138672721752822,0.0112253275957219,0.0276801208315508,0.0527863609877005,0.000199298775995247
"X30_136",0.816582283721866,0.013769551414795,0.0497334903930481,0.00147137318775995,0.00494886255103981,0.0115646344336898,0.00393124701901367,0.00486389160011884,0.0406573037112894,0.0520235783131907,0.000453783654188948
"X30_78",0.860858415779323,0.0101225721228164,0.0132614006097445,0.00308299942293523,0.00664506176078431,0.0171625417991087,0.00376155710219846,0.00393112502626263,0.0173322047175282,0.0622009345620915,0.00164118709720737
"X30_72",0.879433603018717,0.0069841666107546,0.00834192593101604,0.00316784338140226,0.00715397952026144,0.0146179470020796,0.00223492581651812,0.00198029194717766,0.0169080819194296,0.0527862889919786,0.00639094586066548
"X30_68",0.900043825333809,0.00384620507231135,0.00359206817344029,0.00274367058627451,0.00520312144266191,0.0114796614828877,0.00155639213582888,0.000623323579916815,0.0106317668658348,0.05804511350612,0.00223485182091503
"X30_76",0.916922573377718,0.00477912363713607,0.011225674575104,0.00299812946601307,0.00435527282287582,0.0143634611239453,0.00215010485668449,0.00265872563380867,0.00995325518383838,0.0294614619820559,0.00113221734081996
