"","other","acetobacteraceae","bradyrhizobiaceae","caulobacteraceae","comamonadaceae","hyphomicrobiaceae","mycobacteriaceae","oxalobacteraceae","rhodospirillaceae","sphingomonadaceae","xanthomonadaceae"
"NA.100",0.879129997282228,0.0065562335877211,0.0130544745680656,0.00319033784935279,0.00514082099784442,0.0157893215014677,0.00313945731791577,0.00273528430479628,0.0156540295795131,0.0534307621426045,0.00217928086849099
"NA.101",0.877867310003602,0.00673908321598467,0.014168615415399,0.00319291487209215,0.00505891306861856,0.0143344419498655,0.00303983285290068,0.00282286527456035,0.0144379167131028,0.0561967113540861,0.00214139527978871
"NA.102",0.832371359940251,0.00705055501016538,0.068782663298388,0.00575598688543796,0.00428054285563434,0.0153842284915888,0.00518756254303358,0.0086039560568684,0.0198737836732729,0.0299721705404632,0.00273719070489681
"NA.103",0.824690809560737,0.0154626019783588,0.0744603849860542,0.00829948279310831,0.00262987305079004,0.0195698499544028,0.00472894989726003,0.00729562729673296,0.0271215636599301,0.0128196611637733,0.00292119565885285
"NA.104",0.909659452848633,0.0102485449868672,0.0139875664692639,0.00556146861064832,0.00220235151080156,0.0224155140871634,0.00218068861741712,0.00197978970639793,0.0265711567376637,0.00391495464536764,0.0012785117797757
"NA.105",0.910298120418353,0.00975322627383756,0.0139042827212225,0.00543633652480517,0.00226616500392098,0.0225755145448809,0.00218768414279696,0.00198806029507358,0.0262909485699165,0.00402104175258355,0.0012786197526096
"NA.106",0.912280750108285,0.00819837239451571,0.0136128517835197,0.00501872402833362,0.0025037253310246,0.0231380646251198,0.00221172445358025,0.00201671393734199,0.025326172997865,0.00441426175318221,0.00127863858723221
"X30_182",0.879852438452566,0.00674766253002731,0.0130104743574337,0.00306700011280005,0.00596259401485281,0.0137445954462062,0.0047039040320394,0.00383673396569002,0.0157122770061319,0.0512427046308399,0.00211961545141285
"X30_180",0.885691317428074,0.00919544569688224,0.0137833140156349,0.00356785567614137,0.00507204383799734,0.0139126428813908,0.00464686019475628,0.00377422289327105,0.0168144398159583,0.0413495865347099,0.00219227102518338
"X30_134",0.874881269956712,0.00741922911922437,0.0142364515038126,0.00317322627619496,0.00538072465676497,0.0115765395011067,0.00405854168514928,0.00362885650685528,0.0146266944690136,0.059026082637926,0.00199238368724008
