"","other","acetobacteraceae","bradyrhizobiaceae","caulobacteraceae","comamonadaceae","hyphomicrobiaceae","mycobacteriaceae","oxalobacteraceae","rhodospirillaceae","sphingomonadaceae","xanthomonadaceae"
"ram_samp_61",0.682566852691531,0.00832523619084324,0.0270139307911719,0.0167160786644602,0.0826986126615389,0.108252542013009,0.00212745481828526,0.00556007219385584,0.035166397058152,0.014618368046056,0.016954454871097
"ram_samp_62",0.733124441510789,0.00752555013391579,0.027150932943025,0.0133859075005248,0.0313758417422082,0.119553777002581,0.00221034228978205,0.00357321609597018,0.0415973952886192,0.00875213655948512,0.011750458933099
"ram_samp_63",0.707665346986708,0.00334545052580963,0.0275756121383649,0.0171183844950515,0.0456844697645903,0.124623785754968,0.00270781469390028,0.00283534186028215,0.0335693889583127,0.0118897706733949,0.0229846341486176
"ram_samp_64",0.729580477184208,0.00555545159660922,0.0270206995608226,0.0168193935976321,0.0357343150710479,0.096517096435058,0.0008798530301469,0.0085308325025398,0.0438103489585736,0.0227701554094932,0.0127813766538691
"ram_samp_65",0.668937437118809,0.0135211835288701,0.0328589132337543,0.0126217542402708,0.145512431630813,0.0398294902203986,0.004976605287177,0.0324091985894546,0.0110477529852221,0.0292611960793572,0.00902403708587372
"ram_samp_66",0.670835514422045,0.0060581182436485,0.0296585613086104,0.0142669680053744,0.0943032531822021,0.110207899595546,0.00272327302794734,0.00285153630547431,0.0390217805680792,0.0149082843930093,0.0151648109480632
"ram_samp_67",0.753105583193741,0.00275540925762377,0.0278920981234737,0.00979671065679256,0.0297092081619688,0.126167466038754,0.000635447546046081,0.00305826093070631,0.0264535526763317,0.00820673937310928,0.0122195240414528
"ram_samp_68",0.752800954010133,0.00185004330137858,0.0273028462550772,0.0111398456124696,0.0521279598634319,0.0970077480555269,0.000594664610690613,0.0121127640977527,0.0279933045349557,0.00847216589475764,0.00859770376382644
"ram_samp_69",0.723932250824725,0.00898900140608946,0.0124852969011952,0.00942603834297767,0.0701741725704397,0.0623075077064518,0.00177789194743389,0.00352603969498674,0.0225371464496242,0.0264704788816181,0.0583741752744579
"ram_samp_70",0.70344876853817,0.00842696045450177,0.0235419497128191,0.0119537912814425,0.0724137483147119,0.123300878817713,0.00238096475117483,0.00187713177589758,0.0289161681157763,0.0116179026312576,0.0121217356065349
