"","other","assim_nitrate_reduction","assim_nitrite_reduction","cellulolytic","chitinolytic","copiotroph","denitrification","dissim_nitrate_reduction","dissim_nitrite_reduction","lignolytic","methanotroph","n_fixation","nitrification","oligotroph"
"ram_samp_61",0.893046,0.000957351,0.00258792,0.00259452,0.00233344,0.0378167,0.00354678,0.00335756,0.00529479,0.0023663,8.34321e-05,0.00627328,0.000285655,0.0394536
"ram_samp_62",0.889777,0.000787758,0.00418605,0.00194221,0.00288135,0.0357358,0.00321409,0.0048513,0.00481862,0.001714,0.000155187,0.0063124,0.000526989,0.0430999
"ram_samp_63",0.848038,0.00242826,0.00636801,0.00661987,0.00324373,0.0539381,0.00851082,0.0132982,0.00565638,0.000937024,0.000637346,0.0133542,0.000243584,0.0367295
"ram_samp_64",0.866138,0.00332564,0.00445398,0.00289953,0.00343597,0.0440059,0.00510549,0.00800686,0.00810633,0.00168735,0.000109577,0.0134471,0.000876246,0.0384036
"ram_samp_65",0.885077,0.00140841,0.000693005,0.00301389,0.00131085,0.0214459,0.00475683,0.00483587,0.00498862,0.000559516,0.000360129,0.00893966,0.000809128,0.0618028
"ram_samp_66",0.880023,0.00185418,0.000878725,0.00375071,0.00242366,0.0249073,0.00522659,0.00567309,0.00579368,0.000526225,0.000298555,0.00916706,0.00127475,0.0582046
"ram_samp_67",0.871177,0.00278658,0.00236642,0.0054696,0.0032013,0.0250266,0.00775955,0.00806276,0.00734146,0.00183812,0.000118017,0.00831285,0.000859698,0.055677
"ram_samp_68",0.879415,0.00077471,0.00474049,0.00279021,0.00405548,0.0399893,0.00378156,0.00515791,0.00603189,0.00246414,0.000116047,0.00903906,0.000272607,0.041372
"ram_samp_69",0.881323,0.000866048,0.00421218,0.00280327,0.00566664,0.0349797,0.00416644,0.00458393,0.00584277,0.00239893,0.000168233,0.00839334,0.000266092,0.0443268
"ram_samp_70",0.8687,0.00114,0.00504708,0.00311636,0.00387286,0.0431855,0.0042578,0.00533403,0.00597973,0.00277075,0.000102997,0.0140226,0.000455261,0.0420176
"ram_samp_71",0.873254,0.00154442,0.0038012,0.00356645,0.0046621,0.042357,0.00532103,0.00462305,0.00729739,0.00313601,0.000168229,0.0114134,0.000324799,0.0385278
"ram_samp_72",0.876423,0.00117261,0.00436217,0.00278368,0.00477297,0.0370733,0.00438168,0.0055819,0.00645585,0.00230106,0.000122576,0.00955436,0.00033132,0.0446851
"ram_samp_73",0.879431,0.000592071,0.00447305,0.00240538,0.00400327,0.0344446,0.00379466,0.00459695,0.00572531,0.00222282,8.99589e-05,0.0112373,0.000285655,0.0467007
"ram_samp_74",0.868277,0.00134874,0.00260752,0.00362513,0.00677552,0.0492388,0.00489702,0.0039577,0.00879113,0.00307731,0.000148668,0.0133638,0.000155203,0.0337336
"ram_samp_75",0.861262,0.00123784,0.00435566,0.00401002,0.00563399,0.043466,0.00560805,0.00539928,0.00800839,0.00337738,7.03861e-05,0.0154446,0.000481345,0.0416457
"ram_samp_76",0.875269,0.00156395,0.00340979,0.00348816,0.00455772,0.0391018,0.00528839,0.00476652,0.00747995,0.00286857,0.000213894,0.0106959,0.000390023,0.0409084
"ram_samp_77",0.883838,0.00121174,0.00412083,0.00237273,0.00539917,0.036721,0.00414686,0.00491656,0.00562094,0.00166834,0.000129099,0.0072909,0.000344368,0.0422198
"ram_samp_78",0.887746,0.00104868,0.00318803,0.00280325,0.00360539,0.0366492,0.00440124,0.00404896,0.00597969,0.00250979,0.000200846,0.00678214,0.000324793,0.0407129
"ram_samp_79",0.884715,0.00106172,0.00407512,0.00217052,0.00397067,0.0385996,0.00365112,0.00504046,0.00580358,0.00177923,0.000168235,0.00721263,0.000403071,0.0413521
"ram_samp_80",0.887885,0.000794285,0.00232048,0.00286197,0.00404901,0.0348099,0.00462306,0.00355979,0.00644936,0.00250328,0.000174752,0.0070822,0.000266094,0.0426176
"ram_samp_81",0.884969,0.00172706,0.00228786,0.0042122,0.0065733,0.0389781,0.00569278,0.00343583,0.00714074,0.00289465,0.000266078,0.00607765,0.000226948,0.0355208
"ram_samp_82",0.882031,0.00124434,0.00558845,0.00174652,0.00335753,0.0353904,0.00312276,0.00594715,0.00549042,0.00144656,8.99532e-05,0.00879113,0.000376964,0.0453765
"ram_samp_83",0.870531,0.00268592,0.00385993,0.00543852,0.00809311,0.0401195,0.00594063,0.00624725,0.0072908,0.00275769,0.000155189,0.00722568,0.000422638,0.0392324
"ram_samp_84",0.883438,0.00107478,0.00586898,0.00175308,0.00231389,0.0358928,0.00299887,0.00663212,0.00480564,0.00144006,3.12576e-05,0.00753231,0.000442196,0.0457746
"ram_samp_85",0.886115,0.000761359,0.00212623,0.00239537,0.00500999,0.0232738,0.00622113,0.00535599,0.00691324,0.000645954,0.000857587,0.00725929,0.000165511,0.0528995
"ram_samp_86",0.894577,0.000203835,0.00189553,0.00220312,0.00451014,0.0224855,0.0043563,0.00404869,0.00512531,0.000126879,0.000838362,0.00691324,0.000127061,0.0525919
"ram_samp_87",0.892285,0.000530659,0.00270298,0.00222235,0.00556752,0.023889,0.004587,0.00412559,0.00562516,0.000126879,0.000492314,0.00618269,0.000261636,0.0514
"ram_samp_88",0.896692,0.000396084,0.00189553,0.0018763,0.00249152,0.0175255,0.00422173,0.00385644,0.00474081,0.000223004,0.000607663,0.00679789,0.000203961,0.0584748
"ram_samp_89",0.888538,0.000299959,0.00314515,0.00291445,0.00301059,0.0202362,0.00462545,0.00443319,0.00535601,4.99792e-05,0.000626888,0.00700936,0.000242411,0.0595129
"ram_samp_90",0.890285,0.000280734,0.0034143,0.0026453,0.00316439,0.0211206,0.0047408,0.00441396,0.00560594,3.07542e-05,0.000684563,0.00695169,0.000203961,0.0564562
"ram_samp_91",0.8926,0.000735573,0.00509269,0.0012508,0.00160294,0.0323053,0.00250312,0.00547098,0.00384673,0.0010552,6.3863e-05,0.00592763,0.000448728,0.0470986
"ram_samp_92",0.884523,0.00104216,0.00516449,0.00183132,0.00280966,0.034797,0.00385985,0.00621461,0.00511215,0.00141395,6.38726e-05,0.00584286,0.000722677,0.0466027
"ram_samp_93",0.860638,0.00192927,0.0044209,0.00419265,0.00374895,0.0417572,0.00539279,0.00601896,0.00901939,0.00355347,0.00023998,0.0156925,0.000442217,0.0429506
"ram_samp_94",0.887708,0.000924747,0.00574506,0.00166172,0.00430989,0.0325401,0.00363806,0.00605157,0.00494912,0.00136176,0.000109534,0.00466875,0.000507435,0.0458273
"ram_samp_95",0.843954,0.00325995,0.0032729,0.00674309,0.0116613,0.0575755,0.00761057,0.0056798,0.0105197,0.00486458,0.000305212,0.0151381,0.000592242,0.0288226
"ram_samp_96",0.869292,0.00224235,0.00436865,0.00324025,0.0042838,0.0372301,0.00538622,0.00612982,0.0079822,0.0022554,0.000135612,0.0114786,0.000716156,0.0452591
"ram_samp_97",0.880646,0.0019423,0.00400994,0.00386645,0.0047926,0.0375759,0.00506658,0.0049296,0.00726475,0.00286203,0.000122568,0.00602551,0.000474816,0.0404199
