"","other","assim_nitrate_reduction","assim_nitrite_reduction","cellulolytic","chitinolytic","copiotroph","denitrification","dissim_nitrate_reduction","dissim_nitrite_reduction","lignolytic","methanotroph","n_fixation","nitrification","oligotroph"
"ram_samp_61",0.880554,0.00130004,0.0033852,0.00245705,0.0037632,0.0410395,0.00402798,0.00493956,0.00593265,0.00242201,0.000129247,0.00846811,0.00035425,0.0412265
"ram_samp_62",0.879915,0.00131425,0.0036381,0.00248597,0.00402845,0.0418401,0.00400152,0.00504575,0.00585637,0.00253991,0.000120287,0.00815584,0.000358181,0.0406977
"ram_samp_63",0.854177,0.00334759,0.00636787,0.0051116,0.00422911,0.0512496,0.00708318,0.0107834,0.00720771,0.00179125,0.000240904,0.0130559,0.000586835,0.0347715
"ram_samp_64",0.859623,0.0024385,0.00451502,0.00442524,0.0027925,0.0468443,0.00654,0.0103685,0.00671388,0.0009639,0.000414508,0.0137928,0.000526369,0.0400431
"ram_samp_65",0.888077,0.00075238,0.00227854,0.00155396,0.00498427,0.0268569,0.00350822,0.00520395,0.00357702,0.00044287,0.000237398,0.0062604,0.000371188,0.0558938
"ram_samp_66",0.887808,0.000768926,0.00231419,0.0015688,0.00508554,0.0270244,0.00355291,0.0052381,0.00361848,0.000452851,0.000231301,0.00626702,0.000378357,0.055688
"ram_samp_67",0.886838,0.000829726,0.00244328,0.00162182,0.00545521,0.0276144,0.00371364,0.00535925,0.00376724,0.00048958,0.000211165,0.00629024,0.000404549,0.0549582
"ram_samp_68",0.879515,0.00133811,0.00442712,0.00264306,0.00430281,0.0389061,0.00406688,0.00511272,0.00606949,0.00262369,0.000112821,0.00801378,0.000470238,0.0423974
"ram_samp_69",0.881469,0.00119159,0.00403566,0.00252072,0.00382457,0.0375939,0.00386097,0.00499034,0.00578697,0.00221472,0.000134926,0.00799833,0.000439452,0.0439387
"ram_samp_70",0.879554,0.00127117,0.00442526,0.00255204,0.00434614,0.0405441,0.0037908,0.0050227,0.00564822,0.00282284,0.000106394,0.00769446,0.000396782,0.0418225
"ram_samp_71",0.879192,0.00146002,0.00432598,0.00277341,0.004444,0.0385798,0.00446242,0.00531871,0.00654153,0.00235967,0.000127062,0.00816311,0.000544219,0.0417088
"ram_samp_72",0.8789,0.00150117,0.00435025,0.00281189,0.00452721,0.0386622,0.00456398,0.00537412,0.00666375,0.00235178,0.000127568,0.00818783,0.000563249,0.0414179
"ram_samp_73",0.880008,0.00124383,0.00435415,0.00254641,0.00423219,0.0397374,0.00383353,0.00508699,0.00569769,0.00256414,0.000114224,0.00771015,0.000417216,0.0424554
"ram_samp_74",0.879309,0.0013594,0.00426391,0.0026198,0.00438491,0.0405329,0.00404594,0.00511471,0.00597305,0.00270561,0.000112298,0.00792566,0.000426083,0.041223
"ram_samp_75",0.880846,0.00123825,0.00397787,0.00251789,0.00400512,0.0396512,0.00384764,0.00498503,0.0057096,0.00242706,0.000127278,0.00789817,0.000395751,0.0423742
"ram_samp_76",0.880569,0.00131757,0.00416056,0.00266921,0.00404458,0.0369852,0.00426704,0.00522886,0.00632097,0.00209697,0.000139065,0.00817837,0.000535345,0.0434888
"ram_samp_77",0.879723,0.00138563,0.0043223,0.00272578,0.00425118,0.0375139,0.00437235,0.00529009,0.0064617,0.00224157,0.000129489,0.00818896,0.000553478,0.0428376
"ram_samp_78",0.880231,0.00140597,0.00413957,0.00275989,0.00411326,0.0365392,0.00451459,0.00528747,0.00666265,0.00205871,0.000144554,0.00838753,0.000588486,0.0431664
"ram_samp_79",0.879823,0.0014975,0.00398579,0.00282114,0.00407171,0.0361092,0.00479407,0.00531611,0.00706698,0.00202593,0.000148329,0.0087816,0.000632862,0.0429276
"ram_samp_80",0.880085,0.00141523,0.0041631,0.00276857,0.0041387,0.0365504,0.00454285,0.00531138,0.00669942,0.0020612,0.00014334,0.00839434,0.000596031,0.0431274
"ram_samp_81",0.879946,0.00143171,0.00406459,0.00277423,0.0040138,0.0357553,0.00468756,0.00534515,0.00693444,0.00197927,0.000144749,0.00867905,0.000633104,0.0436117
"ram_samp_82",0.880215,0.0012488,0.00432764,0.00255842,0.00421082,0.0395125,0.00384194,0.00505821,0.00571492,0.00254473,0.000117476,0.00773441,0.000420316,0.0424926
"ram_samp_83",0.880477,0.001408,0.00393757,0.0027598,0.00391033,0.0354523,0.00467076,0.00531799,0.00689954,0.00187545,0.000155485,0.0086874,0.00062749,0.0438208
"ram_samp_84",0.879923,0.00126254,0.00437962,0.0025746,0.00425161,0.0393757,0.00391514,0.00513907,0.00581051,0.00250052,0.000115932,0.00775851,0.000439399,0.042555
"ram_samp_85",0.8831,0.000881011,0.00269848,0.00305856,0.00581755,0.024824,0.00617213,0.00572082,0.00711428,0.000604733,0.000627072,0.00700845,0.00056992,0.0518025
"ram_samp_86",0.8831,0.000881011,0.00269848,0.00305856,0.00581755,0.024824,0.00617213,0.00572082,0.00711428,0.000604733,0.000627072,0.00700845,0.00056992,0.0518025
"ram_samp_87",0.8831,0.000881011,0.00269848,0.00305856,0.00581755,0.024824,0.00617213,0.00572082,0.00711428,0.000604733,0.000627072,0.00700845,0.00056992,0.0518025
"ram_samp_88",0.8831,0.000881011,0.00269848,0.00305856,0.00581755,0.024824,0.00617213,0.00572082,0.00711428,0.000604733,0.000627072,0.00700845,0.00056992,0.0518025
"ram_samp_89",0.8831,0.000881011,0.00269848,0.00305856,0.00581755,0.024824,0.00617213,0.00572082,0.00711428,0.000604733,0.000627072,0.00700845,0.00056992,0.0518025
"ram_samp_90",0.8831,0.000881011,0.00269848,0.00305856,0.00581755,0.024824,0.00617213,0.00572082,0.00711428,0.000604733,0.000627072,0.00700845,0.00056992,0.0518025
"ram_samp_91",0.878792,0.00137788,0.00475687,0.00272942,0.00457004,0.0385385,0.00423277,0.00534984,0.00625555,0.00249647,0.000112399,0.0078351,0.000539423,0.0424117
"ram_samp_92",0.8786,0.00143306,0.00467851,0.00278992,0.00463967,0.0384194,0.00445399,0.00550448,0.00650287,0.00230538,0.000120611,0.00788535,0.000584038,0.0420861
