"","other","bacillus","bradyrhizobium","chthoniobacter","devosia","mycobacterium","opitutus","phenylobacterium","pseudomonas","rhodoplanes","sphingomonas"
"NA.100",0.960601141264699,0.000368994919499106,2.98151460942159e-05,0.00189570287602862,0.000708273687000596,0.000453888856946929,0.00104755445438283,0.000369069915026834,0.000114610089445438,0.0066452886399523,0.0277656601509243
"NA.101",0.965605708823077,0.00104755345444246,2.98151460942159e-05,0.00130196328300537,0.000877938569230769,0.00189565187906977,0.00104755345444246,2.98151460942159e-05,2.98151460942159e-05,0.00935942178574836,0.0187747633127013
"NA.102",0.983118917087491,0.0116222719288537,2.98151460942159e-05,2.98151460942159e-05,5.58072016609205e-05,0.00301890153626625,5.58072016609205e-05,0.00156334642452879,2.98151460942159e-05,0.000315727757328167,0.000159775423927839
"NA.103",0.960753051042815,0.00780939195318606,0.000141824759808918,0.000437122832329496,0.00362430547712056,0.00470367084564005,0.00175069012043827,0.00305407471639117,0.0001520074519648,0.0134811514840143,0.00409270931629113
"NA.104",0.957507492589034,0.00581806643535715,0.00018949104372918,0.00043898463378371,4.97746332985863e-05,0.0103289105435459,0.000848154121473605,0.000179511300127194,5.97543769007716e-05,0.0245400654330531,3.97948896964011e-05
"NA.105",0.956140154088602,0.00330586215986479,0.000213619764028437,0.000440672527358521,8.38753278395455e-05,0.0163235539241817,0.000202807727678871,0.000332552163867662,7.30632914904796e-05,0.0225080387158235,0.000375800309264925
"NA.106",0.939644831668571,0.0207258881759343,0.000302917965456991,0.000925933772128667,0.000123694240250248,0.0108173765109206,0.000328521354772299,0.00116489873907098,8.10219247247736e-05,0.0257868247972355,9.80908509349395e-05
"X30_182",0.955173050962612,0.000538683800298152,2.98151460942159e-05,0.00231985058246869,0.00393140147948718,0.0018957268745975,0.00282859424412642,0.000114610089445438,0.000114610089445438,0.00274365130960048,0.0303100054218247
"X30_180",0.951779932307334,0.000793168624388789,2.98151460942159e-05,0.00393125248837209,0.00342255782379249,0.00223500664203936,0.00588205915426357,0.000369044916517591,2.98151460942159e-05,0.00333753889379845,0.0281898088573047
"X30_134",0.952628407709481,0.0025742604110316,2.98151460942159e-05,0.00215013670316041,0.00579718721550388,0.00231980158539058,0.00189567687757901,0.000453888856946929,2.98151460942159e-05,0.00316780001598092,0.028953210332737
"X30_66",0.940414207089267,0.0013868072234347,2.98151460942159e-05,0.0024045965287418,0.00384658353750745,0.00308320206088253,0.0055429513765653,0.000538708798807394,0.000114610089445438,0.00656061768920692,0.0360779004600477
"X30_80",0.949914567546214,0.0014717021608229,2.98151460942159e-05,0.00596695209177102,0.00384650854197973,0.00257426141097197,0.00554272938980322,0.000284274971675611,2.98151460942159e-05,0.00876565719421586,0.0215737164003578
