"","other","bacillus","bradyrhizobium","chthoniobacter","devosia","mycobacterium","opitutus","phenylobacterium","pseudomonas","rhodoplanes","sphingomonas"
"NA.100",0.950431051311222,0.0020785458418907,0.000163922526708989,0.00356915159444211,0.00304755853678354,0.00252641643895792,0.00256821038944286,0.000648043259160571,0.000350419067251785,0.00774418589536571,0.026872495138774
"NA.101",0.949105480830683,0.00232330446200105,0.00015583103853,0.00365815428831349,0.00321090459105955,0.002482313824161,0.00246950553514782,0.000634685623605809,0.000354689026058683,0.00704126752302669,0.0285638632574131
"NA.102",0.972048320729832,0.0115619276538937,0.000422734058689629,0.000958423127842378,0.00158224509760282,0.00397587572796754,0.00109160125289738,0.00217638589798573,0.000809955565333344,0.00301299120784796,0.00235953968010745
"NA.103",0.975414941397847,0.00779641920639848,0.000639509740056059,0.000785204066959673,0.000983869100849669,0.00385469529306361,0.00131720972783588,0.00283153987070995,0.000582517925832448,0.00470230510075171,0.00109178856969532
"NA.104",0.965455054069362,0.00397138981285806,0.000537028271696299,0.00270407167867762,0.000925016406069317,0.00163610502961299,0.00292290697845426,0.0013647471561655,0.000765338176675168,0.0191011364056237,0.000617206014805466
"NA.105",0.965429158672131,0.00403779367567743,0.000538431834906071,0.00272982020964086,0.000936699748429483,0.00164191697330521,0.00289261426369987,0.00134751874119868,0.00078484877490484,0.0190318264746897,0.000629370631417218
"NA.106",0.965315145551859,0.00427896982539646,0.000543360094247427,0.00282181788545534,0.000978742104148583,0.00166238157271137,0.00278897329092665,0.00128888286355313,0.000857115975165343,0.018790761064717,0.000673849771819947
"X30_182",0.948290997981758,0.00235337466148057,0.000178733621786176,0.00331324698116903,0.00371709847351609,0.00347161641538459,0.00330400225250877,0.000771636954738344,0.000579265908652369,0.00729149669641478,0.0267285300525908
"X30_180",0.952532310442361,0.00210890001442112,0.000194566223483971,0.00314502361535994,0.00334818169971415,0.00346361686430814,0.00355599677806594,0.000852494047494915,0.000511288362538141,0.00790547679538791,0.0223821451568653
"X30_134",0.945560452243414,0.002623050625509,0.000137548182143566,0.00341981731502863,0.0039023780800146,0.00301940780403835,0.00294689022860139,0.000705041957305672,0.000478104134874679,0.00601126474195238,0.0311960446871176
"X30_66",0.950211964648715,0.0021151649465041,0.000257052025889685,0.00344412259374194,0.00339956199150373,0.003680204888365,0.00337567367292985,0.000826714161393802,0.000604667343618391,0.00879628217215719,0.0232885915551811
"X30_80",0.950116123158696,0.00209955234117735,0.000272966524013852,0.00348865935046536,0.00337745421988092,0.00371858872595859,0.00336120358899437,0.000829017930568915,0.000616773467848663,0.00903083873569481,0.0230888219567017
"X30_128",0.949039471528313,0.00252488302778931,0.000158668396783365,0.00334971888864353,0.00367017477312257,0.00312792340286526,0.00308846376330354,0.000751877894483094,0.00048755297011538,0.00657703925806224,0.0272242260965188
"NA.110",0.946883411819025,0.002428745851115,0.000165907620680639,0.00351898576510577,0.00367229147948594,0.00305794367196465,0.00291088275629202,0.00070926475536076,0.000484348189002068,0.00681178718551448,0.029356430906454
