"","other","bacillus","bradyrhizobium","chthoniobacter","devosia","mycobacterium","opitutus","phenylobacterium","pseudomonas","rhodoplanes","sphingomonas"
"ram_samp_61",0.908689476238527,0.000935680138451445,0.000458927826776293,2.98507462686567e-05,0.0359292998154076,0.00212756091763933,2.98507462686567e-05,0.0055125023305329,0.000744979213781384,0.0438910634203826,0.00165080860596417
"ram_samp_62",0.904709208489378,0.00193787366832187,2.98507462686567e-05,2.98507462686567e-05,0.0346468380463771,0.00221044837147234,2.98507462686567e-05,0.00411847129352556,0.000575000152569577,0.0507287455322542,0.000983862207295267
"ram_samp_63",0.892196114187385,0.000667486442294333,0.000284905024678927,2.98507462686567e-05,0.0371402482549629,0.00270792066957649,2.98507462686567e-05,0.00513093631447405,0.00232533925196109,0.056141791996528,0.00334555636560217
"ram_samp_64",0.924679404253969,0.000667432233095944,0.00194259520675052,2.98507462686567e-05,0.0174570780528811,0.000879959395371706,2.98507462686567e-05,0.00364281250495662,0.00130501371992323,0.0444480276619031,0.0049179754786112
"ram_samp_65",0.927522307509003,2.98507462686567e-05,0.00137899439165763,2.98507462686567e-05,0.0182432899590199,0.00497671077936156,2.98507462686567e-05,0.00430213895666708,0.0198172908786403,0.0123970008290009,0.0112727144578434
"ram_samp_66",0.906454109646738,0.000671166997235476,0.000286377246655384,2.98507462686567e-05,0.0341478752977034,0.0027233790003293,2.98507462686567e-05,0.00477559100342312,0.00246685249994257,0.0454350413147194,0.00297990550071603
"ram_samp_67",0.913918774417456,0.00184696039752777,2.98507462686567e-05,2.98507462686567e-05,0.0226680084848718,0.000635553963355028,2.98507462686567e-05,0.00161982169112038,0.000484128159083434,0.0576473692716096,0.00108983137616981
"ram_samp_68",0.947917132581966,0.000280926430900643,6.12352068476549e-05,2.98507462686567e-05,0.0134310154135009,0.000594771036690626,2.98507462686567e-05,0.00206984068390354,0.0010027690242176,0.0339564526321657,0.000626155497269624
"ram_samp_69",0.954249660786974,2.98507462686567e-05,2.98507462686567e-05,2.98507462686567e-05,0.0216631745120551,0.00177799812128171,2.98507462686567e-05,0.00308910865254149,0.00308910865254149,0.0148891034338796,0.00112244285565181
"ram_samp_70",0.900950250427406,0.00019779503557122,2.98507462686567e-05,2.98507462686567e-05,0.0331148757388736,0.00238107079650454,2.98507462686567e-05,0.00406051368953019,0.000869572192781474,0.05645913195193,0.00187723792859685
"ram_samp_71",0.877366289720045,0.00159490664584993,2.98507462686567e-05,2.98507462686567e-05,0.0297659128383126,0.00250785592060566,2.98507462686567e-05,0.00459459712004734,2.98507462686567e-05,0.0713703155021813,0.0126807192678838
"ram_samp_72",0.945700992245477,2.98507462686567e-05,2.98507462686567e-05,2.98507462686567e-05,0.00871958642541483,0.000650546151921954,2.98507462686567e-05,0.0034436754773618,0.00189193696322855,0.0338577503543733,0.00561610939714834
"ram_samp_73",0.909117663414346,0.000215018017574805,0.000177984563313576,2.98507462686567e-05,0.0298417814265586,0.000400185288880953,2.98507462686567e-05,0.00688103978459615,0.00102975401132186,0.0502842481787573,0.00199262382211383
"ram_samp_74",0.9355530171932,0.00138319410795881,0.00066141098172406,2.98507462686567e-05,0.00977392295043773,0.00255609168809027,2.98507462686567e-05,0.00183430856185552,0.00147341699873815,0.0378332419828135,0.00887169404264431
"ram_samp_75",0.920242229178198,0.00034145570061813,2.98507462686567e-05,2.98507462686567e-05,0.0181029380985381,0.00127627056366655,2.98507462686567e-05,0.00236688790388971,0.00127627056366655,0.052535285554155,0.00376911019846234
"ram_samp_76",0.878131532915924,2.98507462686567e-05,2.98507462686567e-05,2.98507462686567e-05,0.0226644978829838,0.00185522551535859,2.98507462686567e-05,0.00550597505353845,0.0222994229291658,0.0646481175720521,0.00477582514590248
"ram_samp_77",0.94313372367412,2.98507462686567e-05,2.98507462686567e-05,2.98507462686567e-05,0.0188034334257566,0.00151197569464929,2.98507462686567e-05,0.00546430889033095,0.000276871570998761,0.029178308064421,0.00151197569464929
"ram_samp_78",0.917616841167298,0.000986548314683756,0.000412529773634696,2.98507462686567e-05,0.0256693455797933,0.000795208801000736,2.98507462686567e-05,0.00175190636941584,0.000795208801000738,0.051117500899635,0.000795208801000736
"ram_samp_79",0.946995462973906,0.000303194378590357,0.00217627041646693,0.000477955061550133,5.22559620327305e-05,0.00406278958380195,0.00760281367452562,0.00259300742967871,0.000132914738783396,0.0353001414020737,0.000303194378590357
"ram_samp_80",0.946050156161839,0.000142144241008023,0.000408321413723557,0.000300186937307871,3.40097645923369e-05,0.00377712625590452,0.00383535251243605,0.000761837971236374,0.0024587174472979,0.0419943456322019,0.000237801662452668
"ram_samp_81",0.956225076021838,0.000323633670492796,0.000320177400796042,0.000689998258348783,5.75009038426934e-05,0.0019066051916064,0.00628569889739446,0.00135705830982242,0.000202664231106386,0.0323632537594078,0.000268333355344723
"ram_samp_82",0.933591352396269,0.000850020161151488,0.00284277553637462,0.00111593446363303,0.000190040085112959,0.0245676536704391,0.00143310935454476,0.00181115619421731,0.000411101372718098,0.0321510169713283,0.00103583979421088
"ram_samp_83",0.950333238587553,0.000633015245244169,0.00141358106744777,0.000440408094310813,5.51937924440983e-05,0.00745029466643798,0.00522517521223421,0.00288854635485848,0.00208770609571452,0.0289158547770371,0.000556986106717844
"ram_samp_84",0.963086647204864,0.000621552298915575,0.00443670260851959,0.00152235167757207,9.16703114705736e-05,0.00138988118071083,0.00481645136618851,0.00241137590095203,0.00449557838490236,0.0160705560217565,0.00105723304414813
"ram_samp_85",0.92482176182966,0.000436371178198779,0.00920321754220004,0.00138602956426505,0.000676284875731309,0.00593106127863133,0.00209910638748674,0.00292214365541084,0.00118610148298793,0.0499318998330351,0.00140602237239276
"ram_samp_86",0.936293431606718,0.00246940163015812,0.00984884043341843,0.000653921902612472,0.000135213409028002,0.0028057516689668,0.000880856868555678,0.000901118919086322,0.000455353807412169,0.0445293661216676,0.00102674363237631
"ram_samp_87",0.951060226605696,6.1604688419861e-05,0.000133772738763507,0.00101422295295599,5.29445223786234e-05,0.000771738303801338,0.00134042254050926,0.000272335395423307,0.000370483943890665,0.0447365145731505,0.000185733735010932
"ram_samp_88",0.910998778374329,0.00181370790813749,0.0121367392598121,0.00118018854224015,0.000373284928834059,0.0190054229111201,0.00104014741925231,0.00121686597921315,0.0160578907034714,0.0340698465696685,0.00210712740392153
"ram_samp_89",0.933712801592626,0.00130317192226047,0.00540904321428964,0.000545663722654231,0.000247965947711699,0.00630213653911723,0.000289230985822546,0.000884626535707607,0.00359338153741242,0.0467123988605242,0.000999579141873535
"ram_samp_90",0.907099815662186,0.00201376981261344,0.0177723996691476,0.000811394620889331,0.000518315667906578,0.0133724579519322,0.000976721209751396,0.00132616149984622,0.00675939439744956,0.0480309228533798,0.00131864665489794
"ram_samp_91",0.9330613550805,0.0014128628477861,0.00748608990227574,0.00134521551673362,0.000364329216472604,0.0184787811983043,0.000958122455711072,0.00105583526723132,0.00142789558801999,0.0335678942080667,0.000841618718898461
"ram_samp_92",0.912250911669372,0.00165652699760564,0.0167942190538758,0.00102506233474316,0.000847553835044493,0.0155720293838193,0.00122585063768101,0.00186895520216306,0.00181075569406514,0.045303248095644,0.00164488709598606
"ram_samp_93",0.928157754422225,0.00103903006279941,0.00866187161607786,0.00268499780415216,0.00300897787993879,0.014865903871946,0.00132204714049808,0.00309090387611471,0.000960827975540574,0.0221535936226865,0.0140540917280208
