"","other","acidimicrobiales","bacillales","burkholderiales","caulobacterales","myxococcales","rhizobiales","rhodospirillales","solirubrobacterales","sphingomonadales","xanthomonadales"
"NA.100",0.759847380944834,0.0382814475945368,0.000877740849168646,0.00639025948301663,0.00223468426579572,0.00918879628925178,0.0377723528276128,0.014278054058848,0.0885767667592637,0.0412507762581354,0.00130174066953682
"NA.101",0.798608698067221,0.0334468397023159,0.00138665962654394,0.00605120661799287,0.00206514333414489,0.00876476947048693,0.0467630499065321,0.0169073229172209,0.0450652687308789,0.0384518474751781,0.00248919415148456
"NA.102",0.563114422308234,0.0336114353279616,0.0724175839085253,0.00665766702388827,0.00517611948932872,0.0456717521004824,0.123699922253837,0.045541791790508,0.014195365006721,0.0171584600758275,0.0727554807146867
"NA.103",0.669315376298363,0.0110880976338895,0.015609214071811,0.0164849258142988,0.00602729837792741,0.0371761614040855,0.121885998447089,0.0336325836554379,0.0430515762344523,0.0342231799468765,0.0115055881157689
"NA.104",0.792114389759046,0.00390183268888812,0.00992959931879704,0.0277534258105252,0.00201566068052665,0.00244478976179379,0.0598083702067062,0.0457169687473368,0.012973421871968,0.000748232928872933,0.0425933082255391
"NA.105",0.770812221637673,0.00400852157414089,0.0116526331678058,0.0256758477886821,0.00816034456136914,0.00865769835670987,0.0611717719215906,0.0448023448313443,0.015134109735199,0.00538165053085691,0.0445428558946287
"NA.106",0.748593517698896,0.0035032185562059,0.0728542829391313,0.0263414474866846,0.00412623451731285,0.0106294970154489,0.0510572587656419,0.0400904709571244,0.0143505238516531,0.00359709767363634,0.0248564505382649
"X30_182",0.754670403384561,0.0328533229488717,0.002234882254038,0.00749311698877672,0.00384631055783848,0.00655980041466746,0.0702582596211995,0.0210636910873515,0.0465930949994656,0.0527860472251188,0.00164107051811164
"X30_180",0.765612285590499,0.0286971767655582,0.0021500382925772,0.011479425258076,0.00206519333117577,0.0181789514003563,0.0622855710868765,0.0208094541854513,0.0274242853574228,0.0586387846547506,0.00265883407725653
"X30_134",0.684697099815618,0.0364153584140142,0.00672993631098575,0.00986779796609264,0.00257413610712589,0.0120723160486936,0.123184621538955,0.0356523047286817,0.0370934701437055,0.0486302010239905,0.00308275790213777
"X30_66",0.697333842370665,0.0296301723587292,0.00282849700166271,0.0119881970441805,0.0015562985523753,0.0111396734345606,0.0943468170993468,0.0223359375337886,0.0511731170105107,0.0730579063615202,0.00460954123266033
"X30_80",0.761456683374881,0.0205548263067696,0.00308305588444181,0.0116491131809976,0.00181066044685273,0.0150408427599169,0.0875610030813539,0.0169926388506532,0.0365843753767815,0.0383671245065321,0.00689967623081948
"X30_128",0.7584879336769,0.0171618837998812,0.0007929458847981,0.00749324298129454,0.00265895706995249,0.0188573881107482,0.0927352338047506,0.0314114585753563,0.0254729862371734,0.043202004382601,0.00172596547654394
