"","other","acidimicrobiales","bacillales","burkholderiales","caulobacterales","myxococcales","rhizobiales","rhodospirillales","solirubrobacterales","sphingomonadales","xanthomonadales"
"NA.100",0.722309643507174,0.0371972479597473,0.00533873178658199,0.0093564469376355,0.00373666363154359,0.0144823008967764,0.0653026543651118,0.0263557266859349,0.0547590639934015,0.0559132415570705,0.00524827867902301
"NA.101",0.724524477206099,0.0359195037977782,0.00578774403858131,0.00893428186480245,0.00361706451919088,0.0141859794815391,0.0651687177978096,0.025336420997223,0.0521399613001956,0.0593853105027646,0.00500053849401657
"NA.102",0.621885564988633,0.0223736618725085,0.0505603397469441,0.0151632508849697,0.00779457863702051,0.0467959682207619,0.118934955641764,0.0301083141906735,0.0297464110636284,0.0354376239570488,0.021199330796047
"NA.103",0.63307993565009,0.0223216755282769,0.0314362249817377,0.0148687550752337,0.0110737975332664,0.0366161230607427,0.130488243307581,0.0490136175882073,0.0267942718003336,0.0149795114629155,0.0293278440116152
"NA.104",0.809298861009104,0.00675654026400611,0.0122385765346925,0.0140008703976263,0.00667251796987582,0.00872488723898208,0.0512788085221158,0.0374291506662978,0.0175560201851139,0.0045901336311964,0.031453633580989
"NA.105",0.809581431238008,0.00684213357555697,0.0124744351136899,0.0141144366779738,0.00654388125384678,0.00886884660492134,0.0514507513987975,0.036651172177437,0.0175459089505612,0.00472360871824397,0.0312033942909635
"NA.106",0.810354103655902,0.00714842459456824,0.0133327422643691,0.0145153333460975,0.00611123349187465,0.00938915330170526,0.0520431616396642,0.0340442813525473,0.0175058754987661,0.0052206867070379,0.0303350041474682
"X30_182",0.739869011755295,0.0218576104812019,0.00625691102484214,0.0110609359159035,0.00361455486370128,0.0182829501073175,0.0594336876858654,0.0244688857582816,0.0525097188028814,0.0563427646568939,0.0063029689478164
"X30_180",0.749776262111274,0.0208479843680833,0.00550377123049703,0.0107824383861042,0.00413121095344107,0.01675430616992,0.060076418858927,0.0282050658561381,0.051743938620343,0.0452018095833483,0.00697679386192443
"X30_134",0.734772381996098,0.0230325952452587,0.00677645862459901,0.00971959070379487,0.00357380339252034,0.0164433659374097,0.0587358684965513,0.0244771611066685,0.0527009464244169,0.0644481107514841,0.00531971732119817
"X30_66",0.745516878716262,0.0240949700626562,0.00554210358094201,0.0114105505439074,0.0037047290276978,0.0181472585643302,0.0623867044458904,0.0232548658758563,0.0493231696057975,0.0492402142224888,0.00737855535417101
"X30_80",0.745528370845543,0.0246573730737386,0.00548986741279469,0.0114907889247011,0.00367126623455656,0.0182558931090174,0.0629077328107709,0.0227048286120206,0.0487334321224169,0.0490422107238746,0.00751823613056603
"X30_128",0.743140648980209,0.0224717632996714,0.00639849270096251,0.00989015118463108,0.0037420417861761,0.0162338767452456,0.0601402694515051,0.0258039515352652,0.0504992552169934,0.0558570099235301,0.00582253917581097
"NA.110",0.733905397488697,0.0259899712753477,0.00629427622978692,0.0100051738337012,0.00355380291702355,0.016576066841977,0.0608389795973291,0.0236219242929663,0.0520995747824881,0.0614499525496763,0.00566488019100643
"X30_136",0.74091110050515,0.0249332684955798,0.00578659058757977,0.00977165240397051,0.00392737387469083,0.0155405924608009,0.0608400132416094,0.0262454283309464,0.0523627435645189,0.0536764269672105,0.00600480956794302
"X30_78",0.7534326836634,0.0213344949628434,0.0052021239677304,0.0116802792115565,0.00403441266214859,0.0178926191204438,0.0621501007612965,0.026512219867609,0.0487984613048729,0.040940049928353,0.00802255454974548
"X30_72",0.75008407164509,0.0218290677789218,0.00547311164676394,0.0118263571826191,0.00382147621950597,0.0185638685078981,0.0620396224486338,0.0249958497108131,0.0489889800063797,0.0446434516746916,0.00773414317868297
"X30_68",0.752475281454732,0.0218523824376785,0.00492262433510275,0.0124079346892862,0.00400715092438901,0.0188406124583049,0.062517959524955,0.025260618917221,0.0491484595349782,0.0398244412093422,0.00874253451401013
"X30_76",0.747646719605768,0.0237974172890836,0.00462705202722963,0.0133213949877063,0.00392356916385684,0.019970362951708,0.0636444744912839,0.0245814555054311,0.0504619937230408,0.038795775621669,0.00922978463322278
"X30_70",0.752519970246056,0.0219175277180381,0.00494481780838059,0.0124590194393143,0.00397878923008564,0.0189409611814986,0.0627355950061206,0.0251727853155556,0.0488401058841463,0.0397407834328659,0.00874964473793862
"X30_74",0.751266591441978,0.0223014263630157,0.00476203399058104,0.0132782031845158,0.00394656234082691,0.0198779094901181,0.0638700195196191,0.0259588418818714,0.0488958862983353,0.0366787721611017,0.00916375332803649
"X30_124",0.743513692946633,0.0220928396758093,0.00625710216296675,0.0100121678567344,0.00379675131266405,0.0163710281580601,0.0596164523283156,0.0256076679517675,0.0511883690232863,0.0555429551231317,0.00600097346063157
"X30_82",0.75324586515027,0.0223875088169349,0.00450227471675631,0.013156865574824,0.00411363780952031,0.0192890370339623,0.0641042811552148,0.0265068401925723,0.0486563712301463,0.0344468078323695,0.00959051048742955
"X30_132",0.745369083083281,0.0222079290658993,0.00627967340857274,0.0101587795063305,0.00375136794817105,0.0165604691756266,0.060612964528441,0.0257725408152222,0.0497519057990989,0.0534355568136907,0.00609972985566581
"NA.124",0.795615920401598,0.00597419473425794,0.00254737575872927,0.0278888336063669,0.00605941516041892,0.0257789900029171,0.0504697010193205,0.0351556816195851,0.00649758754159759,0.0025862225072173,0.0414260776479914
"NA.125",0.795615920401598,0.00597419473425794,0.00254737575872927,0.0278888336063669,0.00605941516041892,0.0257789900029171,0.0504697010193205,0.0351556816195851,0.00649758754159759,0.0025862225072173,0.0414260776479914
"NA.126",0.795615920401598,0.00597419473425794,0.00254737575872927,0.0278888336063669,0.00605941516041892,0.0257789900029171,0.0504697010193205,0.0351556816195851,0.00649758754159759,0.0025862225072173,0.0414260776479914
"NA.127",0.795615920401598,0.00597419473425794,0.00254737575872927,0.0278888336063669,0.00605941516041892,0.0257789900029171,0.0504697010193205,0.0351556816195851,0.00649758754159759,0.0025862225072173,0.0414260776479914
"NA.128",0.795615920401598,0.00597419473425794,0.00254737575872927,0.0278888336063669,0.00605941516041892,0.0257789900029171,0.0504697010193205,0.0351556816195851,0.00649758754159759,0.0025862225072173,0.0414260776479914
"NA.129",0.795615920401598,0.00597419473425794,0.00254737575872927,0.0278888336063669,0.00605941516041892,0.0257789900029171,0.0504697010193205,0.0351556816195851,0.00649758754159759,0.0025862225072173,0.0414260776479914
"X30_130",0.749523273121661,0.0202849501830782,0.00632190364683291,0.0112628050245691,0.00359935472040562,0.0185513554737202,0.0607276816587521,0.0240605390475808,0.0477298432068352,0.0510394911204641,0.00689880279610064
"X30_126",0.753873432791321,0.0217411317318194,0.00589212189129083,0.0112882426691213,0.00366321484307014,0.0180879004396167,0.0631647063693138,0.0237687744698047,0.0450712015703102,0.0459429697583423,0.00750630346599002
"NA.148",0.740280575906284,0.029409759869181,0.00562916946922454,0.0100206117478921,0.00363502461232291,0.015964649167305,0.0645615508803528,0.0224927991493864,0.0478666665811788,0.0536466202934636,0.00649257232340872
"X30_43",0.755781532256758,0.0294110505684406,0.0044961449799044,0.0104534081596972,0.00411631987217775,0.0151773592767799,0.0688741474044259,0.0242771178676958,0.0424919305165484,0.0362584410825762,0.00866254801499602
"NA.149",0.749366253477876,0.0255061242420983,0.00512457151041088,0.00971824263906304,0.00422588491333813,0.0147719310912501,0.06258499667222,0.0264492805253463,0.049595402467215,0.0457207164902317,0.0069365959709504
"NA.150",0.736191011633492,0.0356831184933844,0.00556214889963275,0.00968500301949787,0.00346905110311458,0.0152413100867127,0.068844263248266,0.022261538723674,0.0449896255030782,0.0518737946849249,0.00619913460422313
"X30_46",0.752771844228362,0.0261813901420072,0.00494761298667195,0.0105272999566565,0.00405985754978137,0.0158545490024264,0.0651113001448262,0.0249004840202089,0.0462274764418694,0.0415783548368932,0.007839830690297
