"","other","acidimicrobiales","bacillales","burkholderiales","caulobacterales","myxococcales","rhizobiales","rhodospirillales","solirubrobacterales","sphingomonadales","xanthomonadales"
"ram_samp_61",0.443427999356431,0.0118055115404192,0.00985082657686029,0.0890394052225013,0.0167160615708231,0.0277290427069719,0.30252914343754,0.0434618729014702,0.0050833022754972,0.0205300810119137,0.0298267533995717
"ram_samp_62",0.525013771354513,0.0271509162184663,0.0133858902891004,0.0364184584283363,0.0133858902891004,0.0328749864069154,0.266471565049818,0.0493657600450667,0.00343691115203397,0.0127044533619041,0.0197913974047459
"ram_samp_63",0.515227012618964,0.0149504055104719,0.00411059598461152,0.0492552144805476,0.0171183674156439,0.022474508593128,0.274595725447551,0.03701260607487,0.00436565032639647,0.0181385847827838,0.0427513287650314
"ram_samp_64",0.503026633189324,0.027233210046741,0.00215499866688738,0.0469982410495071,0.0168193765076493,0.0329714448539957,0.253574694110675,0.0501861492757597,0.00874334233447605,0.0314837543484112,0.026808155616574
"ram_samp_65",0.518508048419128,0.00520144510842056,0.000479441176258253,0.17946587593822,0.0126217370018185,0.0126217370018185,0.19385674506481,0.0245391754972757,0.00542630243852352,0.0330837540411885,0.0141957383125392
"ram_samp_66",0.49549977304743,0.0206801149282934,0.00374936169589699,0.0978946107305859,0.0142669508251129,0.0281193852879827,0.238727694436428,0.0450501385203791,0.0052885210806603,0.0195257453897209,0.0311977040575094
"ram_samp_67",0.546788041725071,0.0235007320101121,0.011083812974545,0.0332676988124789,0.00979669331841913,0.0454574790852002,0.25132091114439,0.0294820527650499,0.00707102816427025,0.0138851910496425,0.0283463589508212
"ram_samp_68",0.533894455184177,0.0208062445817988,0.00389001612645536,0.0649014226518497,0.0111398283216025,0.0320732687292352,0.228414502897377,0.0300960472214678,0.0163182656038505,0.0100727563967757,0.0483931922854107
"ram_samp_69",0.558295412969907,0.010737131848532,0.00243342975395592,0.0747630453672368,0.00942602099149365,0.0203519448001464,0.18227413564438,0.0314963870849721,0.00658528080124393,0.0339000903228757,0.0697371204152566
"ram_samp_70",0.453379825990541,0.0228701555364813,0.00137328116431285,0.0764443971358696,0.0119537740193645,0.0201830462399602,0.331887724636402,0.0373133680052818,0.00338861313670364,0.0163203266262112,0.0248854875088721
"ram_samp_71",0.426761711906131,0.035765178435865,0.00798542931571864,0.0178974524759586,0.0115068059647513,0.0249402057740239,0.334821350888895,0.0476335219566786,0.0103330137484071,0.0312004309278597,0.0511548986057113
"ram_samp_72",0.658009829125122,0.0124436377136674,0.00127111763581383,0.0549612835654991,0.00840911657444251,0.0313748522900304,0.148686313107493,0.0382025034487187,0.00189181319569458,0.0124436377136674,0.0323058956298515
"ram_samp_73",0.468087366826287,0.0305823338731321,0.00106666349301988,0.043951414183321,0.027619656796082,0.0194722948341941,0.294445761047913,0.043062611060206,0.00680685032980459,0.0353596506598756,0.0295453968961647
"ram_samp_74",0.536768967223104,0.0178036404159599,0.00336797430435982,0.0518176786914175,0.0124804885373074,0.0268259317357099,0.255450793778175,0.0234876839474023,0.00751822831144485,0.0302544024372149,0.0342242106179049
"ram_samp_75",0.502225301609734,0.02355590641511,0.00485960450857409,0.0396035655515533,0.00781985231044227,0.027450969312305,0.283122897884183,0.0452124561235141,0.010312692564647,0.0187260284225882,0.0371107252973486
"ram_samp_76",0.448804492643582,0.0197437789206768,0.0117121279410149,0.060997258952576,0.0175533286534962,0.0277754299003386,0.290994537006528,0.0376324561026508,0.0044106270504133,0.0420133566370118,0.0383626061917109
"ram_samp_77",0.425626195522928,0.0138628961381379,0.000276747402160989,0.115882522101018,0.0153450214547899,0.0388120056351135,0.253967197435765,0.0716657834875667,0.0059582277826604,0.020532460063072,0.0380709429767874
"ram_samp_78",0.523458566947573,0.015528230975371,0.0136148353631095,0.0352362057816652,0.0080659880875509,0.0224164551795126,0.307512401406486,0.0268172650877143,0.00538723423038471,0.00921402545490784,0.0327487914857251
"ram_samp_79",0.712409543797829,0.0247337235558509,0.00722628360763884,0.00918001890772086,0.0111337542078028,0.0212922815593762,0.0898970692755589,0.0533541532843459,0.00632559371012396,0.000477830942676635,0.0639697471510761
"ram_samp_80",0.66485592738053,0.0194107567201076,0.0029368810466606,0.0706665112769267,0.00535743031248897,0.00601455537090973,0.138283847984551,0.0380930716721711,0.00796513544938654,0.0018056277815312,0.0446102550047365
"ram_samp_81",0.795105343033014,0.0143767055921492,0.00921649365270986,0.00530745165438041,0.00829021314382189,0.00792384846493336,0.0557931956593302,0.0498933418210028,0.00740886415215609,0.000382266112718635,0.0463022767137842
