samples,latitude,longitude,depth_max,forest,map,map_sd,mat,mat_sd,map_CV,mat_CV,mdr,aridity,NPP,relEM,pH
ram_samp_61,53.444053,-2.214306,10,0,0.831,0.048290391,9.633333334,1.257394737,18.28125029,450.4862656,7.250000063,1.381000042,0.675000012,0.898120642,7.65
ram_samp_62,53.444053,-2.214306,10,0,0.831,0.046998334,9.633333334,1.21785145,18.28125029,450.4862656,7.250000063,1.381000042,0.675000012,0.898120642,7.67
ram_samp_63,53.444053,-2.214306,10,0,0.831,0.048769673,9.633333334,1.222167273,18.28125029,450.4862656,7.250000063,1.381000042,0.675000012,0.898120642,7.45
ram_samp_64,53.444053,-2.214306,10,0,0.831,0.048297153,9.633333334,1.26302989,18.28125029,450.4862656,7.250000063,1.381000042,0.675000012,0.898120642,7.56
ram_samp_65,53.444053,-2.214306,10,0,0.831,0.047610121,9.633333334,1.26575728,18.28125029,450.4862656,7.250000063,1.381000042,0.675000012,0.898120642,7.64
ram_samp_66,53.444053,-2.214306,10,0,0.831,0.051076709,9.633333334,1.228310911,18.28125029,450.4862656,7.250000063,1.381000042,0.675000012,0.898120642,7.54
ram_samp_67,53.444053,-2.214306,10,0,0.831,0.048609011,9.633333334,1.251864961,18.28125029,450.4862656,7.250000063,1.381000042,0.675000012,0.898120642,7.76
ram_samp_68,53.444053,-2.214306,10,0,0.831,0.047366049,9.633333334,1.275445193,18.28125029,450.4862656,7.250000063,1.381000042,0.675000012,0.898120642,7.62
ram_samp_69,53.444053,-2.214306,10,0,0.831,0.051318872,9.633333334,1.25614249,18.28125029,450.4862656,7.250000063,1.381000042,0.675000012,0.898120642,7.72
ram_samp_70,53.444053,-2.214306,10,0,0.831,0.048478666,9.633333334,1.237367445,18.28125029,450.4862656,7.250000063,1.381000042,0.675000012,0.898120642,7.56
ram_samp_71,53.444053,-2.214306,10,0,0.831,0.048150694,9.633333334,1.219117831,18.28125029,450.4862656,7.250000063,1.381000042,0.675000012,0.898120642,7.62
