"","other","acidobacteria","actinobacteria","bacteroidetes","chloroflexi","firmicutes","gemmatimonadetes","nitrospirae","planctomycetes","proteobacteria","verrucomicrobia"
"NA.100",0.0394363850976204,0.146334363254432,0.297817499228971,0.0285260548991077,0.081196654423022,0.00113217861392029,0.0550725225982748,0.00316780451058894,0.159564559164426,0.143534039851101,0.0442179383585366
"NA.101",0.048428775122903,0.156851048596431,0.251251475532005,0.0376009750145152,0.0839950839390244,0.00138671247120761,0.0534607464859607,0.00486415059167162,0.161855818852945,0.156935820553183,0.0433693928401547
"NA.102",0.0353971596396869,0.0990075058429321,0.163545788973225,0.0526376721321411,0.00210910894028316,0.172019200290393,0.0286989855581529,5.57362591360236e-05,0.0744190177878594,0.346633854365683,0.0254759702105085
"NA.103",0.062243054335704,0.175986689621964,0.25661325755322,0.0325939983352856,0.0329198445305156,0.0158536500555416,0.0331540464833494,0.0065772161852071,0.0341621331498131,0.314593514916282,0.0353025948331184
"NA.104",0.0175659115136514,0.483588309317321,0.0584711310271334,0.00961029941746314,0.00678603157728857,0.010019468963217,0.00269433611977079,3.97239448993429e-05,0.00392184475702241,0.206630425569084,0.200672517793148
"NA.105",0.0200238053942984,0.425396938605096,0.0655615058106525,0.0273193278173653,0.00889561526419398,0.0118689256821138,0.00457080011087069,0.000116240502947451,0.00315442314815633,0.2334616421006,0.199630775563705
"NA.106",0.0170699400343799,0.408395327262674,0.0601379763784324,0.0193432369472949,0.0167060874736326,0.0733663960683923,0.00250473885156038,0.000157761164623096,0.00387025314214193,0.198481642943038,0.199966639733831
"X30_182",0.0526539397596668,0.0696617716555622,0.260416100310708,0.0528685187187388,0.120637644002082,0.00231972996418798,0.0363294736585961,0.00155630238197501,0.172120637179001,0.18865955824652,0.0427763241229625
"X30_180",0.0577435619681738,0.112664321350506,0.167286412776383,0.0767869127671029,0.0856080729791791,0.00223488601171921,0.0404004284696014,0.00113230360648424,0.19620932109649,0.20273840566859,0.0571953733057704
"X30_134",0.0469743326505057,0.0981606562016657,0.233697857830756,0.0482883812,0.120637486011481,0.00672998858935158,0.0333609112641285,0.00350730631296847,0.0990910988478287,0.274409441819691,0.035142539271624
"X30_66",0.0574925908989292,0.108507212664961,0.217836400459607,0.060501841597561,0.105285327341166,0.00282854969351576,0.0394674549740036,0.00104748365258775,0.112832334355086,0.264232076290898,0.0299687280716835
