"","other","acidobacteria","actinobacteria","bacteroidetes","chloroflexi","firmicutes","gemmatimonadetes","nitrospirae","planctomycetes","proteobacteria","verrucomicrobia"
"NA.100",0.041678523632042,0.111986864727646,0.290404523509621,0.0510915423852386,0.084821159474225,0.00521799779048971,0.0279466623901495,0.00479232742775807,0.145218172219698,0.19197634605729,0.0448658803858424
"NA.101",0.0457291745383785,0.10723017935898,0.285501246740916,0.0551452556228908,0.0911989927692727,0.00579555154373088,0.0289899878730694,0.00493797411687719,0.141235769459147,0.191401778466367,0.0428340895103712
"NA.102",0.0502165017309078,0.104667873889142,0.215657022545405,0.0590946423635892,0.0185542279365007,0.0785998089386607,0.0390111896234205,0.00519380039088494,0.0566550290942348,0.340002676160536,0.0323472273267194
"NA.103",0.0551721114412982,0.180357468074507,0.197902036167682,0.0390229927950479,0.0152883135304832,0.0535713920000775,0.0253163001636927,0.00375459997024382,0.0510045136441117,0.340791855919477,0.0378184162933796
"NA.104",0.0353573139281364,0.457675083310151,0.0813053641854201,0.0461971553937093,0.0208552921303091,0.0153711332306404,0.0129549350653417,0.00314640381046853,0.0121817202269374,0.201049575251378,0.113906023467509
"NA.105",0.0353840957515706,0.449790702661561,0.0825165506683336,0.0476009814675704,0.0212933920170538,0.0157562482582158,0.0132531631657361,0.00326147361839589,0.0123141538491919,0.203961261302333,0.114867977240038
"NA.106",0.0354002702609203,0.422322517280929,0.0867091926790133,0.0527431190114857,0.0228503258791479,0.0171440967864125,0.0143206310588601,0.00369028028662119,0.0127610955748713,0.21401838723647,0.118040083945269
"X30_182",0.0425714606173167,0.129616563113395,0.21733503679148,0.0550926335073884,0.0780456625245988,0.00681749143637117,0.0457651335096144,0.00528826293410468,0.179806642173025,0.198093689248439,0.0415674241442665
"X30_180",0.0457875509619516,0.155750746696566,0.209458512894849,0.0492706673546978,0.072819905659713,0.00622844331797619,0.0420327877356949,0.00468315595147189,0.17484745878551,0.196280502439359,0.0428402682022106
"X30_134",0.0469732568108324,0.119787638233428,0.232909092000802,0.0571762263238469,0.0876225347790953,0.00716397898929873,0.0420190688546903,0.00488248714430288,0.17229538119078,0.190196453058698,0.038973882614225
"X30_66",0.0443937470263466,0.13350951792622,0.217549428989943,0.05789821764761,0.072487333861225,0.006546738190094,0.0459134572113122,0.00607558659175512,0.161525019340744,0.208874060278631,0.0452268929361185
"X30_80",0.0444993551737219,0.131700510737249,0.218229733257524,0.0591264239360027,0.0720517444542129,0.00656145382938085,0.0462733755884986,0.00631119077906741,0.158438698192238,0.211046844372193,0.0457606696799112
"X30_128",0.0489459379683409,0.130910944951545,0.223804600809116,0.0556962547727225,0.0851688717736947,0.00704749086087139,0.0413775368057505,0.00489982563373344,0.168490625250396,0.193603807646343,0.0400541035274865
"NA.110",0.0455004008943898,0.117039447977211,0.241913976103465,0.0581986113836216,0.0843696523455494,0.00675503032824217,0.0405455166282674,0.00531710710780666,0.162862129173522,0.196060395954421,0.0414377321035039
"X30_136",0.0478615672462634,0.133653253737415,0.237240729154533,0.053525980990108,0.080476875654303,0.00633644214215794,0.0383474252327768,0.00479369887151806,0.161745367110696,0.193865785519423,0.0421528743408048
"X30_78",0.0448605264292732,0.156908881339741,0.201150984871674,0.0516846185284664,0.0686252666354049,0.00624256791284428,0.0448426088760157,0.00545421511520735,0.168124543355609,0.206704849828459,0.0454009371073045
"X30_72",0.0436392348082578,0.145715977639029,0.204325113859434,0.0542601156897898,0.0706031341407636,0.00648326629052697,0.0464713336380268,0.005766301181219,0.169696429001451,0.208055447074683,0.0449836466768189
