"samples","other","acidobacteria","actinobacteria","bacteroidetes","chloroflexi","firmicutes","gemmatimonadetes","nitrospirae","planctomycetes","proteobacteria","verrucomicrobia"
"ram_samp_61",0.0845760112650892,0.0331163947672131,0.0621982899159929,0.0948081526729852,0.0311617100113116,0.0100892548379335,0.0095171519825476,0.000220480582527856,0.00165073772099243,0.672632036612674,2.97796307325789e-05
"ram_samp_62",0.0872582551108978,0.0500472447733034,0.156896543606479,0.0805756158684966,0.0608139470791974,0.0135222293558402,0.0128407925010368,0.000711216485535997,0.00139265334033942,0.535911722248141,2.97796307325789e-05
"ram_samp_63",0.214262441607655,0.027065536987775,0.0585647448518763,0.0655787385058259,0.0342070577990692,0.00423817582310239,0.0159706742988001,2.97796307325789e-05,0.00181515983355614,0.578237911030875,2.97796307325789e-05
"ram_samp_64",0.128128187227482,0.0448730172494002,0.135409601256757,0.0771771505102412,0.0467857619819499,0.00215505155578791,0.0166069006461642,0.000667361208249179,0.000454834015743646,0.547712354717492,2.97796307325789e-05
"ram_samp_65",0.0885803989091037,0.00587606959232509,0.150684174794847,0.198803638324878,0.015095219147144,0.000704351549377869,0.00317778191774393,2.97796307325789e-05,2.97796307325789e-05,0.536989026872383,2.97796307325789e-05
"ram_samp_66",0.111222543226302,0.0353021784510375,0.107770925118209,0.0731398426400919,0.0390218132357242,0.00400594095229423,0.0140104758904171,0.000286306167607524,0.00118414904666983,0.614026045640914,2.97796307325789e-05
"ram_samp_67",0.0869830386208909,0.0817997255683124,0.0785440703133904,0.0907338492911221,0.0573444546999437,0.011613855305223,0.0131281135633264,0.000181205456542912,0.00116547332431008,0.578476434226206,2.97796307325789e-05
"ram_samp_68",0.109073854699292,0.0457883296635873,0.13127961244102,0.0659057717562209,0.0699857522118253,0.00410976008633691,0.00818974054194123,0.00024947088603435,0.00216392325366408,0.563224004829345,2.97796307325789e-05
"ram_samp_69",0.14289134964202,0.0286556969683087,0.0723593875600278,0.137259368088731,0.032807547574522,0.00243348261327714,0.0196964403970062,0.00221496416031854,0.00287051951919432,0.558781463845862,2.97796307325789e-05
"ram_samp_70",0.0706342631206934,0.0275726469940379,0.139087670952786,0.0692228366653775,0.03177125482381,0.00238100001540498,0.0106102713617584,2.97796307325789e-05,0.00103744550987789,0.647623051294788,2.97796307325789e-05
"ram_samp_71",0.0798404678730714,0.0515462103196228,0.112974663115743,0.0558501146556567,0.0559805359991729,0.00837674561576796,0.0259836269904519,2.97796307325789e-05,0.0017252570964429,0.607662819072605,2.97796307325789e-05
"ram_samp_72",0.303592207238132,0.0602372425429845,0.0323059453156512,0.0673752407233031,0.0375818570141475,0.00127117061861407,0.0155471669792511,0.00065047512467332,0.00313325710043629,0.478275657712074,2.97796307325789e-05
"ram_samp_73",0.116935628903428,0.0468400724752016,0.0955390717556421,0.0871695099021215,0.0455439013916917,0.001177816876127,0.0199167473977261,0.00021494692837684,0.0013259507142424,0.58530657402471,2.97796307325789e-05
"ram_samp_74",0.161711874938771,0.0455923459550997,0.0826739593398815,0.0921473642192053,0.0379233991480279,0.00345824996801168,0.0113978654859212,0.000300448341570403,0.00183423770298474,0.562930475269794,2.97796307325789e-05
"ram_samp_75",0.104772647506613,0.0394478119627439,0.116414246634735,0.0550280618963453,0.0704525093306107,0.00501545960948501,0.0137403995723018,0.000341384629404606,0.0026784221194448,0.592079277107583,2.97796307325789e-05
"ram_samp_76",0.092855889419392,0.0500450554179467,0.0526005804581693,0.0799812058891258,0.043108630308771,0.0117121798146074,0.0135375548433378,0.000394854636478667,0.000759929642224754,0.654974339939214,2.97796307325789e-05
"ram_samp_77",0.0797965215508006,0.0412822632283945,0.0410352423685282,0.0941447272397697,0.033624616572541,0.000276800490598818,0.00793444714645223,0.000523821350465056,0.00126488393006377,0.700086896491653,2.97796307325789e-05
"ram_samp_78",0.206791146206933,0.0513087765916831,0.0553269069505635,0.0451859112829129,0.0668072794045076,0.0155282824435571,0.0109361334619795,0.000412458712530716,0.00117781687612699,0.546495508438473,2.97796307325789e-05
"ram_samp_79",0.0705443306640818,0.422793856016811,0.0681730125482491,0.0215119035609341,0.000343452696046326,0.00814046889098805,0.0071994496950468,0.000881177950869894,0.0236269562299068,0.326558959578553,0.0502264321685125
"ram_samp_80",0.109010871820114,0.375414508884014,0.0438117717516447,0.0133095270271487,0.000121278046868237,0.00371051137073518,0.000795039111139898,0.000520543862732924,0.0128811480788772,0.394907830539824,0.0455169695069003
"ram_samp_81",0.0812571577257839,0.435920750707566,0.0404646845645069,0.0143560195615381,0.000261349733353562,0.00986632458684179,0.002601244650882,0.00350678744023569,0.0193157672818533,0.338554163230914,0.053895750516524
"ram_samp_82",0.0851523040643956,0.320418114251559,0.107834016220197,0.0170771314953509,0.0103523820941418,0.0126494975399097,0.00675773281917431,0.000100262949849587,0.0384656150601303,0.3635667207001,0.0376262228051915
"ram_samp_83",0.0826081926856963,0.42939679761727,0.0910316027815664,0.0172377104315057,0.0069991183202946,0.0114696323015264,0.00620334655719552,0.00951314885849297,0.0287029061520798,0.276547795782773,0.0402897485115989
"ram_samp_84",0.133109527850819,0.247078460050598,0.0493235304187341,0.0363502512474756,0.0201476352822824,0.0117283980619967,0.00214047651427974,0.00300300676097334,0.0349490075702532,0.409443155464885,0.0527265507777027
"ram_samp_85",0.067873937798807,0.205245987847482,0.244005384050856,0.0266935251963621,0.0181832519928357,0.00874664521429753,0.010725933500474,0.00222232456727147,0.0478592477448348,0.331537242619153,0.0369065194676261
"ram_samp_86",0.0593848813263759,0.202674628221914,0.143258182794487,0.022998843379379,0.0292355034198107,0.0962947953945112,0.00970288392995966,0.00818728233468906,0.0452708924906284,0.343629628992763,0.0393624777154825
"ram_samp_87",0.183770110449604,0.358329766941293,0.102517085862498,0.00825982526255991,7.59671895222097e-05,0.000543616222267221,0.000635991339846481,0.000153908694979712,0.019243804087219,0.288199732364088,0.0382701915861225
"ram_samp_88",0.0382730772536262,0.10760805188689,0.274250343320632,0.0256039597759324,0.0554827379090663,0.0262308106060886,0.0214227313662739,0.0102527830629598,0.0351300918065499,0.319136863935322,0.0866085490766596
"ram_samp_89",0.0525338591987462,0.14300431451328,0.135520604037126,0.0370533665905461,0.0509714764244956,0.0238662375356774,0.0132080661761769,0.0373068518607112,0.0411916610011486,0.393291543769912,0.0720520188921802
"ram_samp_90",0.0308882551573151,0.107616072635747,0.292981021918616,0.0411585318827805,0.0498945403777569,0.0569885550179785,0.0143681058315197,0.00421930628531265,0.0437361240666746,0.290587543462142,0.0675619433641565
"ram_samp_91",0.0618206816519079,0.120261653123074,0.232071432701426,0.0355483916704961,0.0620436001013852,0.0362098323348702,0.0211695735915484,0.0170017457688737,0.0423732567074457,0.327356470227208,0.0441433621217647
"ram_samp_92",0.0359240324544891,0.110472091882022,0.242032098650417,0.0469414998057662,0.0447328281592896,0.0401525262204828,0.015862958060877,0.00402226645413969,0.042934463103265,0.325312696608936,0.0916125386003162
"ram_samp_93",0.0682891445936905,0.140220074664018,0.319444388518398,0.0468318735577988,0.016329331279266,0.0283240436073279,0.0211145549183718,3.72274496261286e-05,0.0339732142380853,0.285527021277172,0.0399091258962444
"ram_samp_94",0.0358161007402034,0.118984333619665,0.263050369343989,0.0351831028708271,0.0380924857177376,0.0655115276071205,0.0177508786970803,0.00639190524158904,0.038494847175289,0.296855609751945,0.083868839234554
"ram_samp_95",0.0486972086975845,0.133287781814515,0.187225632763726,0.0250010754913408,0.0422595585883596,0.0474100734967382,0.0209095449566474,0.00941252929128731,0.0375718865006475,0.38836971714033,0.0598549912588237
"ram_samp_96",0.0479504292980057,0.13880272229906,0.25287513135066,0.0234069179102342,0.0538663557524993,0.0500370473089798,0.0238893168557388,0.0189586019702706,0.0444531727893325,0.2824167304913,0.0633435739739189
"ram_samp_97",0.0388761501900803,0.0689361198982488,0.252436197363867,0.0392757693335031,0.0527703574187226,0.114278504956335,0.0211679812623771,0.00360083035228249,0.0212213336137947,0.33586149086382,0.0515752647469688
"ram_samp_98",0.114691651052143,0.450439820197763,0.057668481655437,0.00729335247419907,0.00137089752770685,0.00876172973365996,0.00103806534889572,0.0145079794090169,0.0161525619396131,0.281698800131383,0.0463766605301828
"ram_samp_99",0.0662433468573034,0.437119948244475,0.0322828819213619,0.0138574348840687,0.000638247881731563,0.00751993810077641,0.00202658389105319,0.0160513485778115,0.0272608763567787,0.358100490380585,0.0388989029040551
"ram_samp_100",0.044219397499924,0.179795125059924,0.150466767293192,0.0243837365192977,0.026739278477141,0.0648229252463555,0.0234420921643396,0.00992420071003324,0.0381878420632569,0.366753030562094,0.0712656044044422
"ram_samp_101",0.0929652244873973,0.486026943711515,0.0416903488952728,0.00944002819565246,0.000262345714778921,0.00997458307540078,0.00622228551041429,0.00423679595706343,0.0211551107875391,0.281889460088151,0.0461368735768155
"ram_samp_102",0.028337520240158,0.10021495412878,0.281409723143314,0.0421410105156409,0.0591121414328741,0.0495556202231471,0.0122715074134996,0.010532181467353,0.0354924859439657,0.317083493728664,0.063849361762604
"ram_samp_103",0.0270538573961157,0.112849081924778,0.295207983308269,0.0484207771719212,0.0513988611571151,0.0450183448910191,0.019890044461391,0.00978214451677873,0.0333506782378585,0.296557487347773,0.0604707395869809
"ram_samp_104",0.0231023149490041,0.103214243212695,0.272314456818387,0.0410707036123801,0.043058368335486,0.056232087814173,0.0207914454611304,0.00789338751338498,0.0333231637427559,0.303631057583525,0.0953687709570787
"ram_samp_105",0.0263941544776809,0.14264360961372,0.220809599140603,0.0261448055090181,0.0285167280057353,0.0349559404213198,0.0120923586366886,0.00151820079477994,0.0356324954958869,0.353123873047241,0.118168234857326
"ram_samp_106",0.133918102776978,0.22950672111351,0.169347084957352,0.00819026522300231,0.0526323463827812,0.0285052768910823,0.0174937296267089,0.00070662741851082,0.0125993538782936,0.324524018340247,0.0225764733915341
"ram_samp_107",0.0673667815305543,0.424714485162902,0.193928723416065,0.00429482978386846,0.0142970725121188,0.0252643443344682,0.00441971590192834,0.000347671567612273,0.026524558798527,0.224680983881356,0.0141608331105989
"ram_samp_108",0.0516954798503196,0.155587110052155,0.19066065547711,0.0320921447567781,0.0267860061936178,0.0855192607890572,0.0103037561364264,0.00216930247469493,0.0419912476017776,0.319160031755088,0.0840350049129751
"ram_samp_109",0.0311592725055175,0.12721158582483,0.199114801698955,0.037151268625309,0.0520837855153745,0.0959463435275186,0.00818473998486732,0.00596812324431391,0.0345834595205116,0.344964534475532,0.0636320850772699
"ram_samp_110",0.0737406388671895,0.11557785931546,0.156110614870725,0.0541921471606966,0.0623088719965734,0.0707912150683006,0.009224283440116,0.021207023708984,0.0302807145360864,0.354456918175014,0.0521097128608536
"ram_samp_111",0.0429476411942187,0.125030369006098,0.263181472874573,0.0240790668880079,0.0500223024691524,0.0380222973085289,0.0264357899154469,0.0133859717698733,0.0536666532597649,0.283524277552329,0.079704157762007
"ram_samp_112",0.0273927668316163,0.103311079347991,0.282676835319754,0.0328908351266415,0.034371580911959,0.0762608728465023,0.0130459663688531,0.00909539411831686,0.0351938979888537,0.307881141250032,0.0778796298894804
"ram_samp_113",0.0283087444692799,0.121520001127667,0.251032615579232,0.0424069757929596,0.039892062349808,0.0249979850375608,0.0128178430956212,0.0052296798002416,0.0388571483285975,0.367033450467158,0.0679034939518744
"ram_samp_114",0.0491926528394409,0.129034458539351,0.14081097740948,0.0288803452769717,0.021313438183014,0.138742550882423,0.0155204580268339,0.00594402432367484,0.0358028179755649,0.378028664223585,0.0567296123196606
"ram_samp_115",0.0260354053801983,0.117212117878332,0.279677248430947,0.0452810214795178,0.0538035884688175,0.051531955620212,0.0184118641921051,0.0088244693050215,0.0393810861643894,0.310423168027699,0.0494180750527595
