"","other","Mortierellomycetes","Tremellomycetes","Umbelopsidomycetes","Agaricomycetes","Sordariomycetes","Eurotiomycetes","Leotiomycetes","Pezizomycetes","Dothideomycetes"
"SRR1502337",0.0099009900990099,0.156435643564356,0.0623762376237624,0.00792079207920792,0.702970297029703,0.00594059405940594,0.00099009900990099,0.0485148514851485,0.00099009900990099,0.00396039603960396
"SRR1502338",0.105940594059406,0.179207920792079,0.0514851485148515,0.0485148514851485,0.489108910891089,0.00891089108910891,0.00594059405940594,0.0930693069306931,0.00297029702970297,0.0148514851485149
"SRR1502339",0.0336633663366337,0.152475247524752,0.0217821782178218,0.0643564356435644,0.586138613861386,0.00396039603960396,0.0495049504950495,0.0455445544554455,0.0178217821782178,0.0247524752475248
"SRR1502340",0.0455445544554455,0.30990099009901,0.0752475247524752,0.0217821782178218,0.345544554455446,0.0514851485148515,0.0366336633663366,0.0811881188118812,0.0168316831683168,0.0158415841584158
"SRR1502341",0.0306930693069307,0.0524752475247525,0.0128712871287129,0.00099009900990099,0.818811881188119,0.0148514851485149,0.0108910891089109,0.0237623762376238,0.0277227722772277,0.00693069306930693
"SRR1502342",0.0871287128712871,0.0643564356435644,0.0871287128712871,0.0455445544554455,0.593069306930693,0.0227722772277228,0.0287128712871287,0.0297029702970297,0.0108910891089109,0.0306930693069307
"SRR1502343",0.0306930693069307,0.0722772277227723,0.106930693069307,0.0772277227722772,0.656435643564356,0.00198019801980198,0.00594059405940594,0.0198019801980198,0.0178217821782178,0.0108910891089109
"SRR1502391",0.0633663366336634,0.0435643564356436,0.0237623762376238,0.0099009900990099,0.705940594059406,0.00396039603960396,0.0297029702970297,0.0386138613861386,0.0267326732673267,0.0544554455445545
"SRR1502399",0.0267326732673267,0.1,0.0207920792079208,0.0099009900990099,0.641584158415842,0.0138613861386139,0.0465346534653465,0.098019801980198,0.00693069306930693,0.0356435643564356
"SRR1502402",0.0594059405940594,0.0584158415841584,0.0504950495049505,0.0227722772277228,0.675247524752475,0.0099009900990099,0.0445544554455446,0.0316831683168317,0.00891089108910891,0.0386138613861386
"SRR1502406",0.0752475247524752,0.1,0.0415841584158416,0.0485148514851485,0.617821782178218,0.0297029702970297,0.00792079207920792,0.0148514851485149,0.0455445544554455,0.0188118811881188
"SRR1502407",0.0415841584158416,0.0544554455445545,0.0287128712871287,0.0237623762376238,0.761386138613861,0.0128712871287129,0.0138613861386139,0.0168316831683168,0.0188118811881188,0.0277227722772277
"SRR1502408",0.13960396039604,0.0603960396039604,0.0198019801980198,0.00099009900990099,0.383168316831683,0.0435643564356436,0.313861386138614,0.0168316831683168,0.0198019801980198,0.00198019801980198
"SRR1502409",0.0217821782178218,0.0415841584158416,0.00495049504950495,0.00099009900990099,0.783168316831683,0.0118811881188119,0.0267326732673267,0.0198019801980198,0.0198019801980198,0.0693069306930693
"SRR1502410",0.0603960396039604,0.0554455445544554,0.00891089108910891,0.00891089108910891,0.787128712871287,0.00297029702970297,0.0158415841584158,0.0108910891089109,0.0316831683168317,0.0178217821782178
"SRR1502412",0.0534653465346535,0.0188118811881188,0.0267326732673267,0.00792079207920792,0.791089108910891,0.0108910891089109,0.0118811881188119,0.00891089108910891,0.0168316831683168,0.0534653465346535
"SRR1502413",0.0693069306930693,0.0366336633663366,0.0148514851485149,0.00099009900990099,0.816831683168317,0.00297029702970297,0.00099009900990099,0.00495049504950495,0.0405940594059406,0.0118811881188119
"SRR1502414",0.0247524752475248,0.0673267326732673,0.0148514851485149,0.00099009900990099,0.656435643564356,0.0257425742574257,0.0306930693069307,0.0128712871287129,0.0524752475247525,0.113861386138614
"SRR1502421",0.0207920792079208,0.108910891089109,0.00792079207920792,0.00099009900990099,0.834653465346535,0.00099009900990099,0.00792079207920792,0.00099009900990099,0.0148514851485149,0.00198019801980198
"SRR1502422",0.0297029702970297,0.0316831683168317,0.00792079207920792,0.00198019801980198,0.849504950495049,0.0128712871287129,0.0099009900990099,0.00198019801980198,0.0435643564356436,0.0108910891089109
"SRR1502423",0.0693069306930693,0.0643564356435644,0.0227722772277228,0.00099009900990099,0.725742574257426,0.0207920792079208,0.0178217821782178,0.0178217821782178,0.0297029702970297,0.0306930693069307
"SRR1502424",0.126732673267327,0.200990099009901,0.11980198019802,0.0099009900990099,0.412871287128713,0.0277227722772277,0.00099009900990099,0.0613861386138614,0.0188118811881188,0.0207920792079208
"SRR1502428",0.0277227722772277,0.0574257425742574,0.0237623762376238,0.00099009900990099,0.773267326732673,0.0138613861386139,0.0207920792079208,0.00693069306930693,0.0356435643564356,0.0396039603960396
"SRR1502429",0.0534653465346535,0.00099009900990099,0.0099009900990099,0.00099009900990099,0.613861386138614,0.0544554455445545,0.0871287128712871,0.00396039603960396,0.0851485148514852,0.0900990099009901
"SRR1502430",0.00099009900990099,0.00099009900990099,0.00396039603960396,0.00099009900990099,0.868316831683168,0.0405940594059406,0.0158415841584158,0.00495049504950495,0.0227722772277228,0.0405940594059406
"SRR1502436",0.0782178217821782,0.0118811881188119,0.0148514851485149,0.00099009900990099,0.827722772277228,0.0138613861386139,0.0227722772277228,0.00495049504950495,0.00792079207920792,0.0168316831683168
"SRR1502437",0.00792079207920792,0.0346534653465347,0.00099009900990099,0.00594059405940594,0.794059405940594,0.00495049504950495,0.0297029702970297,0.0950495049504951,0.0158415841584158,0.0108910891089109
"SRR1502438",0.00792079207920792,0.113861386138614,0.00594059405940594,0.0376237623762376,0.737623762376238,0.00792079207920792,0.00396039603960396,0.0207920792079208,0.0415841584158416,0.0227722772277228
"SRR1502439",0.0396039603960396,0.0495049504950495,0.0207920792079208,0.00792079207920792,0.821782178217822,0.00396039603960396,0.00594059405940594,0.00792079207920792,0.0257425742574257,0.0168316831683168
"SRR1502440",0.116831683168317,0.0198019801980198,0.0198019801980198,0.00099009900990099,0.731683168316832,0.0485148514851485,0.0356435643564356,0.0138613861386139,0.00099009900990099,0.0118811881188119
"SRR1502441",0.282178217821782,0.0495049504950495,0.0227722772277228,0.00099009900990099,0.302970297029703,0.0584158415841584,0.0099009900990099,0.0445544554455446,0.00891089108910891,0.21980198019802
"SRR1502442",0.00396039603960396,0.0574257425742574,0.0207920792079208,0.00099009900990099,0.781188118811881,0.0247524752475248,0.0445544554455446,0.00495049504950495,0.0376237623762376,0.0237623762376238
"SRR1502443",0.0584158415841584,0.0871287128712871,0.0326732673267327,0.0207920792079208,0.734653465346535,0.00792079207920792,0.00693069306930693,0.00891089108910891,0.0287128712871287,0.0138613861386139
"SRR1502444",0.0178217821782178,0.264356435643564,0.0277227722772277,0.00099009900990099,0.614851485148515,0.0207920792079208,0.00099009900990099,0.00891089108910891,0.0257425742574257,0.0178217821782178
"SRR1502462",0.0326732673267327,0.102970297029703,0.0108910891089109,0.0178217821782178,0.7,0.0405940594059406,0.0297029702970297,0.0118811881188119,0.0277227722772277,0.0257425742574257
"SRR1502463",0.0277227722772277,0.0772277227722772,0.0475247524752475,0.0277227722772277,0.626732673267327,0.0435643564356436,0.0118811881188119,0.0504950495049505,0.0108910891089109,0.0762376237623762
"SRR1502464",0.0534653465346535,0.0534653465346535,0.0257425742574257,0.0841584158415842,0.655445544554455,0.0148514851485149,0.0465346534653465,0.0376237623762376,0.0099009900990099,0.0188118811881188
"SRR1502465",0.0168316831683168,0.0198019801980198,0.00099009900990099,0.00099009900990099,0.877227722772277,0.00099009900990099,0.00099009900990099,0.0178217821782178,0.0415841584158416,0.0227722772277228
"SRR1502466",0.0465346534653465,0.0396039603960396,0.00099009900990099,0.00099009900990099,0.76039603960396,0.0465346534653465,0.00891089108910891,0.00099009900990099,0.0930693069306931,0.00198019801980198
"SRR1502467",0.0158415841584158,0.0594059405940594,0.0178217821782178,0.0099009900990099,0.767326732673267,0.0099009900990099,0.00495049504950495,0.0108910891089109,0.0425742574257426,0.0613861386138614
"SRR1502468",0.0297029702970297,0.0188118811881188,0.00099009900990099,0.00099009900990099,0.813861386138614,0.00693069306930693,0.00792079207920792,0.0366336633663366,0.0792079207920792,0.00495049504950495
