"","other","Mortierellaceae","Piskurozymaceae","Trimorphomycetaceae","Umbelopsidaceae","Russulaceae","Hypocreaceae","Aspergillaceae","Herpotrichiellaceae","Clavulinaceae","Chaetomiaceae","Atheliaceae","Cortinariaceae","Inocybaceae","Sebacinaceae","Helotiaceae","Thelephoraceae","Tricholomataceae","Pyronemataceae","Gloniaceae","Helotiales_fam_Incertae_sedis"
"SRR1502337",0.571008814887365,0.143976493633692,0.0607247796278159,0.0019588638589618,0.00783545543584721,0.029382957884427,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.0215475024485798,0.00489715964740451,0.0352595494613124,0.000979431929480901,0.0528893241919687,0.000979431929480901,0.000979431929480901,0.0284035259549461,0.0303623898139079,0.000979431929480901,0.0039177277179236,0.000979431929480901
"SRR1502338",0.429970617042116,0.1743388834476,0.0421155729676787,0.00489715964740451,0.0479921645445642,0.0401567091087169,0.0029382957884427,0.000979431929480901,0.00587659157688541,0.000979431929480901,0.00489715964740451,0.0156709108716944,0.0127326150832517,0.00881488736532811,0.000979431929480901,0.0411361410381978,0.0577864838393732,0.0812928501469148,0.0029382957884427,0.00881488736532811,0.0146914789422135
"SRR1502339",0.196865817825661,0.147894221351616,0.00783545543584721,0.0127326150832517,0.0636630754162586,0.0852105778648384,0.000979431929480901,0.000979431929480901,0.029382957884427,0.000979431929480901,0.000979431929480901,0.131243878550441,0.120470127326151,0.0166503428011753,0.000979431929480901,0.0117531831537708,0.0244857982370225,0.110675808031342,0.0176297747306562,0.0176297747306562,0.000979431929480901
"SRR1502340",0.208619000979432,0.300685602350637,0.0607247796278159,0.0146914789422135,0.0215475024485798,0.00685602350636631,0.000979431929480901,0.000979431929480901,0.0362389813907933,0.0019588638589618,0.00979431929480901,0.0107737512242899,0.0470127326150832,0.144955925563173,0.0039177277179236,0.00881488736532811,0.0607247796278159,0.0146914789422135,0.0166503428011753,0.00979431929480901,0.019588638589618
"SRR1502341",0.294809010773751,0.0479921645445642,0.000979431929480901,0.00489715964740451,0.000979431929480901,0.049951028403526,0.000979431929480901,0.00489715964740451,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.0646425073457395,0.0489715964740451,0.213516160626836,0.059745347698335,0.0019588638589618,0.11949069539667,0.0568070519098923,0.0146914789422135,0.0039177277179236,0.00783545543584721
"SRR1502342",0.243878550440744,0.0636630754162586,0.0607247796278159,0.0186092066601371,0.0450538687561214,0.0666013712047013,0.0117531831537708,0.000979431929480901,0.0284035259549461,0.019588638589618,0.000979431929480901,0.123408423114594,0.0489715964740451,0.110675808031342,0.0235063663075416,0.0156709108716944,0.0538687561214496,0.0284035259549461,0.0107737512242899,0.0235063663075416,0.000979431929480901
"SRR1502343",0.303623898139079,0.0714985308521058,0.0685602350636631,0.0127326150832517,0.0763956904995103,0.118511263467189,0.0019588638589618,0.00587659157688541,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.0626836434867777,0.10871694417238,0.0411361410381978,0.0019588638589618,0.000979431929480901,0.0607247796278159,0.0342801175318315,0.0166503428011753,0.00783545543584721,0.0029382957884427
"SRR1502391",0.183153770812928,0.0430950048971596,0.00489715964740451,0.019588638589618,0.00979431929480901,0.0401567091087169,0.0019588638589618,0.00881488736532811,0.0215475024485798,0.000979431929480901,0.000979431929480901,0.0107737512242899,0.152791380999021,0.26052889324192,0.106758080313418,0.00881488736532811,0.0303623898139079,0.0137120470127326,0.0117531831537708,0.0479921645445642,0.0215475024485798
"SRR1502399",0.239960822722821,0.098922624877571,0.0146914789422135,0.0039177277179236,0.00979431929480901,0.0724779627815867,0.00979431929480901,0.00979431929480901,0.0205680705190989,0.0019588638589618,0.000979431929480901,0.0568070519098923,0.299706170421156,0.000979431929480901,0.000979431929480901,0.0421155729676787,0.0303623898139079,0.0685602350636631,0.00587659157688541,0.0107737512242899,0.000979431929480901
"SRR1502402",0.21743388834476,0.0528893241919687,0.0362389813907933,0.0146914789422135,0.0225269343780607,0.129285014691479,0.00685602350636631,0.0205680705190989,0.0244857982370225,0.0225269343780607,0.0019588638589618,0.0842311459353575,0.0235063663075416,0.0901077375122429,0.0440744368266405,0.000979431929480901,0.131243878550441,0.0254652301665034,0.00881488736532811,0.0303623898139079,0.0117531831537708
