"","pC","cn","pH","NPP","map","mat","forest","conifer","relEM","P","K","Ca","Mg"
"SRR1502337",6.2464216,14.6014128,4.06,0.54,6.41345895716736,5.23333335046967,1,1,95,1.197307918,1.984144036,2.794617341,1.931394338
"SRR1502338",19.22645938,19.14142656,3.53,0.54,6.46458830368996,5.10416668343047,1,1,100,1.576472568,2.032483702,2.751197532,1.830953926
"SRR1502339",28.26973109,30.79448917,2.97,0.57,6.43615036836943,5.35416664959242,1,1,100,1.826677056,2.556350009,2.89427569,2.140812108
"SRR1502340",33.86778577,20.876943,4.12,0.54,6.42971947803914,5.32916671192894,1,1,95,1.747223649,2.470874605,3.511525993,2.723425178
"SRR1502341",6.438094168,18.00914059,5.94,0.54,6.46146817635372,5.31666666517655,1,0,99,1.091709352,2.209031438,3.284991922,2.500488385
"SRR1502342",27.46645964,19.34425043,3.94,0.54,6.52941883826223,5.15000003824631,1,0,92,1.899618748,2.580274282,3.344820012,2.645051693
"SRR1502343",8.29674235,18.83554695,4.61,0.54,6.43454651878745,5.32916670292616,1,0,99,1.378171397,2.118691983,2.899443628,2.185909917
"SRR1502391",8.330678294,16.14266327,6.38,0.57,6.361302477573,6.95833338176211,1,0,95,0.716194952,1.77533463,3.370586298,2.237043395
"SRR1502399",37.74096578,31.65501919,3.15,0.54,6.42324696353352,6.56666664530834,1,1,100,1.179735302,2.091365688,2.442227318,1.811797222
"SRR1502402",40.15601322,22.44451826,5.05,0.57,6.34212141872115,7.01666670540969,1,1,96,1.983109015,2.609342011,3.77818986,2.787784447
"SRR1502406",8.66622253,20.46909137,4.81,0.57,6.39692965521615,6.82083335022132,1,0,96,1.078503421,2.184260472,2.902276801,2.045540996
"SRR1502407",7.256006836,17.59386435,4.98,0.57,6.40687998606931,6.75833333532016,1,0,94,0.844108119,2.006239905,2.962911831,2.033746935
"SRR1502408",9.797878265,14.00739707,6.69,0.54,6.4118182677099,6.42499987781048,1,0,86,1.440072138,2.531961684,3.437474744,2.916480762
"SRR1502409",29.23259429,26.00721001,6.33,0.57,6.39359075395063,6.66250002260009,1,1,100,1.54781893,2.475380183,3.758125192,3.424350949
"SRR1502410",8.448196732,16.09201765,6.87,0.57,6.40357419793482,6.84999996672074,1,0,96,1.162307251,2.048387012,3.499999601,2.487111167
"SRR1502412",12.61763118,16.010002,6.8,0.54,6.38350663488401,6.42916658179214,1,0,95,1.255433928,2.223882693,3.543298199,2.908407275
"SRR1502413",7.558033347,14.24903568,6.37,0.54,6.4723462945009,5.83750001713634,1,0,98,0.500445939,2.350150205,3.358534407,2.810700591
"SRR1502414",2.607423935,13.16029068,6.73,0.54,6.44094654063292,5.3416666785876,1,0,100,2.215555613,2.207988771,3.180265237,2.357331341
"SRR1502421",7.850792277,17.77167166,5.67,0.54,6.49828214947643,5.08333330197881,1,1,97,0.495249373,1.941201385,3.166465003,2.420423224
"SRR1502422",5.624944869,13.14156452,6.73,0.54,6.44730586254121,6.05416653615733,1,0,94,0.879864972,2.099432734,3.536331085,2.129503517
"SRR1502423",13.43381029,17.5518586,6.23,0.54,6.48616078894409,5.88333323442688,1,0,100,0.418051223,1.930280432,3.440665342,2.437956101
"SRR1502424",4.637627594,14.35095237,4.09,0.54,6.42486902390539,5.36250003334135,1,0,97,1.066373405,2.135615297,2.637578688,1.967805145
"SRR1502428",6.396395089,15.77474412,4.76,0.54,6.49828214947643,5.87083331247171,1,0,98.5,1.275900386,2.106312435,2.898806976,2.045563526
"SRR1502429",3.44573349,12.83768015,4.74,0.53,7.55799495853081,21.9249999721845,0,0,96,1.120044853,2.158380759,2.775969925,2.116002389
"SRR1502430",3.541219839,13.76341469,5,0.53,7.47079377419506,22.8000002503395,0,0,99,1.631846493,2.132835492,2.958673594,2.261591913
"SRR1502436",17.41164214,14.29673254,6.67,0.57,6.3818160174061,6.5500000367562,1,0,97,1.391945194,2.142557533,3.52480892,2.632826394
"SRR1502437",5.285751522,38.44257033,5.22,0.57,6.38687931936265,6.93750005960464,1,1,100,1.14022079,1.567256511,2.416427239,1.547568267
"SRR1502438",30.89482017,19.0111978,4.2,0.57,6.48463523563525,5.56250002235174,1,0,98,1.644406833,2.13557609,3.153689904,2.234058327
"SRR1502439",5.635154475,14.17134404,5.28,0.57,6.43133108193348,6.62916666083038,1,0,97,0.380261181,2.435049649,2.451781282,3.140069797
"SRR1502440",15.48372558,10.38530695,6.89,0.57,6.36990098282823,6.9666665494442,0,0,0,0.050588177,1.937047567,2.036613059,3.608971483
"SRR1502441",13.51391499,14.56157647,6.64,0.57,6.42162226780652,6.83749993890524,0,0,0.5,1.244908592,2.272111688,2.634300499,3.795719316
"SRR1502442",4.571053694,14.07319735,6.63,0.54,6.42324696353352,5.37083334879329,1,0,100,1.979172417,2.309893385,2.154554976,3.030809312
"SRR1502443",6.113025898,13.600796,4.81,0.57,6.47543271670409,5.32916659861803,1,0,100,1.464968399,2.402238123,2.153938523,2.920368638
"SRR1502444",5.317544032,14.22100092,5.63,0.57,6.41673228251233,6.42500001316269,1,0,100,0.99994283,2.459629441,2.28861452,3.037069708
"SRR1502462",15.29773086,17.58963612,5.04,0.59,6.5510803350434,4.52499999012798,1,0,99,1.425593456,2.497909826,3.379323225,2.539039619
"SRR1502463",26.32438574,16.19334572,3.68,0.55,6.71052310945243,0.733333304524422,1,0,99,1.935090469,2.674847537,2.851173547,2.415136048
"SRR1502464",26.56277252,21.214741,4.35,0.59,6.62671774924902,3.45833343577882,1,1,100,1.793118003,2.710653218,3.437615081,2.52251032
"SRR1502465",28.4222995,17.66481979,5.96,0.59,6.60665018619822,3.99583330005407,1,0,95,2.113549027,2.833769089,3.765597405,2.869477578
"SRR1502466",10.92049204,13.98651214,6.09,0.59,6.55250788703459,4.65000004383425,1,0,98,1.888930365,2.554990913,3.473332129,2.52816763
"SRR1502467",12.08297891,15.20890046,4.76,0.59,6.58202513889283,4.88750001291434,1,0,99,1.312555978,2.645215417,3.26416421,2.486429901
"SRR1502468",11.8862999,17.36415377,5.24,0.55,6.67329796776765,1.69583336512248,1,0,73,1.177938612,2.492348614,3.33322499,2.48190524
"SRR1502469",30.41165934,19.1143619,3.93,0.55,6.70686233660275,0.758333392441273,1,0,100,1.849188756,2.905359156,3.602114789,2.698076866
"SRR1502470",17.34667516,13.60888091,4.09,0.6,6.55393340402581,5.27916658421357,1,0,98,1.281765146,2.544629891,3.023529913,2.315452798
"SRR1502471",7.563135098,14.08748336,5.64,0.55,6.58892647753352,4.07083332041899,1,0,100,1.613874711,2.495332563,3.329294519,2.397049636
"SRR1502472",9.142921739,14.22547121,5.56,0.59,6.54391184556479,4.74583331743876,1,0,95,0.952578761,2.389821389,3.384846118,2.443157899
"SRR1502473",5.503133066,12.22320687,5.67,0.6,6.48463523563525,5.87500000993411,1,0,96,1.743887167,2.588881374,3.33541604,2.515319561
"SRR1502474",11.29228346,13.48176021,5.95,0.6,6.5424719605068,4.95833324392637,1,0,87,1.581739749,2.55018399,3.56011776,2.380898461
"SRR1502475",26.05271528,16.49014209,4.87,0.59,6.65672652417839,2.82083335705101,1,0,100,1.861777626,2.81817608,3.602190774,2.693175197
"SRR1502476",14.06720769,15.48289254,3.65,0.6,6.56526497003536,4.98333336909612,1,0,100,1.051525338,2.370419573,3.020909694,2.318550528
"SRR1502477",5.607477382,13.58858949,3.98,0.6,6.4831073514572,5.83750000596046,1,0,100,0.54953094,2.411635047,2.708788844,2.242554008
"SRR1502478",9.60791279,13.91689775,3.97,0.6,6.52356230614951,6.49583335717519,1,0,99,0.608535588,2.394729947,2.697358029,2.270229986
"SRR1502479",15.08093064,13.51113031,5.97,0.6,6.57507584059962,4.56250002483527,1,0,100,1.061615139,2.418070912,3.020371316,2.30218686
"SRR1502481",13.12765997,17.50385558,5.18,0.58,7.0475172213573,3.97500005861123,1,0,100,1.846788513,2.083145956,3.160603373,1.947902331
"SRR1502482",14.95082674,17.39474796,3.16,0.78,7.60339933974067,11.9791667461395,1,1,60,1.042261342,1.918272801,2.131568464,1.617623578
"SRR1502483",13.069829,16.47084442,3.92,0.76,7.59839932932396,3.85416664679845,1,0,90,0.996770372,2.086154569,2.49965779,1.75724836
"SRR1502485",17.39440697,17.55651351,4.13,1.17,8.34687925374656,5.8875000278155,1,1,100,1.521286949,2.362188904,2.820382638,1.989999356
"SRR1502486",24.30600785,16.87039509,3.31,1.17,8.35113860708615,6.32499997814496,1,1,100,1.767081553,2.483776751,2.804519542,2.188032226
"SRR1502487",8.639175359,14.21249314,6.49,0.52,5.80814248998044,7.41250005178154,0,0,50,1.730663312,2.670561782,3.572462899,2.726083251
"SRR1502488",7.600722073,13.1560105,6.76,0.54,6.5875500148248,14.0333334580064,1,0,60,2.10722093,2.57980967,3.590674242,2.494551797
"SRR1502494",8.654387671,23.43107931,7.08,0.12,5.44673737166631,21.2916666890184,0,0,80,1.415585986,2.674095526,3.607509164,2.231455326
"SRR1502495",12.52381626,22.20326653,7.06,0.12,5.46806014113513,13.5041666030884,0,0,90,1.32839855,2.586986707,3.765613326,2.144630314
"SRR1502512",3.952684683,25.22541572,2.94,0.54,7.1777824161952,20.2333330909411,1,1,84,0.543021666,1.441775707,2.146185672,1.558121486
"SRR1502513",1.034035705,12.46819412,6.19,0.54,7.20340552108309,20.3249998490016,1,0,99,1.796979442,1.583108055,2.810253784,1.898697605
"SRR1502544",5.439859127,13.4331319,5.85,0.77,7.26262860097424,14.1458333395422,1,1,2,2.092550551,2.289444191,3.391919632,2.110108302
"SRR1502545",13.53094766,14.14588975,3.72,0.77,7.37023064180708,11.4208333094915,1,1,5,1.525709188,2.304196653,2.924906037,1.852476504
"SRR1502548",4.691737578,27.89419975,3.93,0.55,6.66568371778241,0.116666670888662,1,0,90,-0.7894485,2.112886924,2.559261013,1.666537739
"SRR1502549",5.688779457,20.50073935,4.37,0.55,6.62007320653036,0.916666634380817,1,0,100,0.576974457,2.033452323,2.782142282,1.891792737
"SRR1502550",3.606827292,16.34892336,4.62,0.55,6.53958595561767,3.46249983211358,1,1,100,-0.790768813,1.916952489,2.878314235,1.79129455
"SRR1502551",8.883421756,16.33188837,5.76,0.3,6.20050917404269,7.2625000923872,1,1,100,0.600290969,2.18610608,3.302375722,2.377980351
"SRR1502552",3.856637283,12.0972272,5.36,0.3,6.22257626807137,6.67500002185504,1,0,100,0.316590936,2.434692843,3.321397258,2.375191852
"SRR1502553",11.60051117,14.88619691,3.53,0.47,7.21744343169653,9.1208333397905,1,0,96,1.00464678,2.148897042,2.520070793,2.119193459
"SRR1502554",24.97461507,19.23535788,3.04,0.68,6.87832646829133,8.60833323250214,1,0,85,1.638175702,2.271244764,2.86803747,2.374003696
"SRR1502555",20,22.5,2.93,0.69,7.18765716411496,4.84583331458271,1,0,100,1.699278203,2.395199644,2.767624093,2.571720882
"SRR1502556",26.75918672,23.35726207,2.64,0.69,7.04577657687951,5.94166662109395,1,0,100,1.320386901,2.226412661,3.155626849,2.40261922
"SRR1502557",39.95433953,31.45124145,2.64,0.5,6.8501261661455,6.80000004917383,1,1,99,1.642692679,2.469196135,2.748741654,2.471856304
"SRR1502558",45.32302603,41.00813668,2.65,0.49,7.72001794043224,6.81250000496705,1,1,100,2.164793966,2.590270656,2.897904921,2.941385102
"SRR1502559",42.4932917,32.84280651,2.8,0.47,7.34277918933185,6.82083335022132,1,1,100,1.419266524,2.325993568,2.726298004,2.488686014
"SRR1502560",28.08969595,25.84745402,3.24,0.5,7.02286808608264,5.97916668249915,1,1,100,1.440240419,2.390161161,2.933697034,2.55670839
"SRR1502561",10.61347157,19.44628094,3.32,0.71,6.6052979209482,8.67500000074506,1,0,100,0.798664958,2.003803385,2.26962356,1.423054217
"SRR1502562",14.69292103,19.21874969,4.25,0.01,6.51025834052315,9.40416672080755,1,0,97,1.311118641,2.47986383,3.242345433,2.3855068
"SRR1502563",14.12003022,19.58769446,4.29,0.01,6.51767127291227,9.35416666915019,1,0,95,1.318731995,2.423006252,3.165637664,2.323587353
"SRR1502564",14.57219441,18.70983193,5.03,0.01,6.52209279817015,9.35416655832281,1,0,100,2.02127454,2.533338887,3.603480884,2.626209799
"SRR1502565",17.1368877,16.17847094,6.36,0.01,6.55677835615804,8.62499999006589,1,0,80,1.514173321,2.571109593,3.766490748,2.97455585
"SRR1502566",6.782413959,15.71316775,4.88,0.01,6.45833828334479,10.1666667064031,1,0,95,0.576974457,2.362346012,3.109243162,2.319348998
"SRR1502567",5.272845519,19.00688086,4.82,0.01,6.22851100359118,16.595833381017,0,0,95,0.593018822,2.295402029,3.103022815,2.446505826
"SRR1502568",5.906693462,14.70620372,5.34,0.01,6.20253551718792,16.6291666428248,0,0,65,0.686352442,2.554518393,3.138234716,2.425512578
"SRR1502569",11.5877234,15.7591255,5.57,0.01,6.40687998606931,11.4416667362675,0,0,95,1.184252738,2.734527941,3.658213016,2.477150677
"SRR1502570",11.54118318,16.03708998,4.59,0.01,6.24222326545517,16.0166665712992,0,0,90,0.6697186,2.54882321,3.284747835,2.505326467
"SRR1502571",9.868801427,15.64446462,4.77,0.24,6.30444880242198,6.34583325187365,1,1,90,1.494091305,2.070674675,2.979748181,2.005169712
"SRR1502572",11.16904783,21.61026555,3.56,0.24,6.29710931993394,6.28750007351239,1,1,100,1.100316262,1.618998892,2.556017193,1.537110699
"SRR1502573",10.7548768,19.0052856,3.3,0.24,6.30078579466324,6.28749998410543,1,1,90,1.072564258,1.756124314,2.448339903,1.511964901
