"","other","Saprotroph","Ectomycorrhizal","Wood_Saprotroph","Animal_Pathogen","Plant_Pathogen"
"SRR1502337",0.0864811133200795,0.671968190854871,0.201789264413519,0.0377733598409543,0.00099403578528827,0.00099403578528827
"SRR1502338",0.209741550695825,0.470178926441352,0.215705765407555,0.102385685884692,0.00099403578528827,0.00099403578528827
"SRR1502339",0.0725646123260437,0.301192842942346,0.518886679920477,0.102385685884692,0.00099403578528827,0.00397614314115308
"SRR1502340",0.137176938369781,0.42544731610338,0.312127236580517,0.0984095427435388,0.0168986083499006,0.0099403578528827
"SRR1502341",0.102385685884692,0.119284294234592,0.708747514910537,0.0646123260437376,0.00099403578528827,0.00397614314115308
"SRR1502342",0.141153081510934,0.218687872763419,0.579522862823062,0.0546719681908549,0.00198807157057654,0.00397614314115308
"SRR1502343",0.107355864811133,0.305168986083499,0.531809145129225,0.0536779324055666,0.00099403578528827,0.00099403578528827
"SRR1502391",0.0715705765407555,0.166003976143141,0.743538767395626,0.0119284294234592,0.00298210735586481,0.00397614314115308
"SRR1502399",0.102385685884692,0.173956262425447,0.637176938369781,0.0785288270377734,0.00099403578528827,0.00695825049701789
"SRR1502402",0.122266401590457,0.141153081510934,0.665009940357853,0.0666003976143141,0.00198807157057654,0.00298210735586481
"SRR1502406",0.122266401590457,0.210735586481113,0.590457256461233,0.0675944333996024,0.00795228628230616,0.00099403578528827
"SRR1502407",0.0815109343936382,0.234592445328032,0.644135188866799,0.0357852882703777,0.00099403578528827,0.00298210735586481
"SRR1502408",0.0487077534791252,0.281312127236581,0.358846918489066,0.291252485089463,0.00397614314115308,0.0159045725646123
"SRR1502409",0.141153081510934,0.0934393638170974,0.733598409542744,0.0238568588469185,0.00596421471172962,0.00198807157057654
"SRR1502410",0.0447316103379722,0.302186878727634,0.637176938369781,0.0139165009940358,0.00099403578528827,0.00099403578528827
"SRR1502412",0.0546719681908549,0.0755467196819085,0.853876739562624,0.0139165009940358,0.00099403578528827,0.00099403578528827
"SRR1502413",0.0248508946322068,0.123260437375746,0.840954274353877,0.00894632206759443,0.00099403578528827,0.00099403578528827
"SRR1502414",0.0666003976143141,0.192842942345924,0.703777335984095,0.0318091451292246,0.00397614314115308,0.00099403578528827
"SRR1502421",0.0497017892644135,0.10337972166998,0.825049701789264,0.0188866799204771,0.00099403578528827,0.00198807157057654
"SRR1502422",0.0427435387673956,0.0705765407554672,0.876739562624254,0.00099403578528827,0.00298210735586481,0.00596421471172962
