"","other","Mortierellales","Filobasidiales","Tremellales","Umbelopsidales","Russulales","Hypocreales","Eurotiales","Chaetothyriales","Cantharellales","Sordariales","Atheliales","Agaricales","Sebacinales","Helotiales","Thelephorales","Pezizales","Boletales","Pleosporales","Mytilinidales"
"SRR1502337",0.501960784313725,0.154901960784314,0.0607843137254902,0.00196078431372549,0.00784313725490196,0.0294117647058824,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.0215686274509804,0.00490196078431373,0.0352941176470588,0.130392156862745,0.000980392156862745,0.00294117647058824,0.0284313725490196,0.000980392156862745,0.00980392156862745,0.000980392156862745,0.00392156862745098
"SRR1502338",0.268627450980392,0.177450980392157,0.042156862745098,0.00686274509803922,0.0480392156862745,0.0401960784313726,0.00294117647058824,0.000980392156862745,0.00588235294117647,0.000980392156862745,0.00686274509803922,0.0156862745098039,0.233333333333333,0.000980392156862745,0.0725490196078431,0.057843137254902,0.00294117647058824,0.00392156862745098,0.00294117647058824,0.00882352941176471
"SRR1502339",0.109803921568627,0.150980392156863,0.00784313725490196,0.0147058823529412,0.0637254901960784,0.0852941176470588,0.00392156862745098,0.0205882352941176,0.0294117647058824,0.000980392156862745,0.000980392156862745,0.131372549019608,0.272549019607843,0.000980392156862745,0.0450980392156863,0.0245098039215686,0.0176470588235294,0.000980392156862745,0.000980392156862745,0.0176470588235294
"SRR1502340",0.126470588235294,0.306862745098039,0.0607843137254902,0.0147058823529412,0.0215686274509804,0.00686274509803922,0.0333333333333333,0.000980392156862745,0.0362745098039216,0.00196078431372549,0.0147058823529412,0.0107843137254902,0.220588235294118,0.00392156862745098,0.0509803921568627,0.0607843137254902,0.0166666666666667,0.000980392156862745,0.000980392156862745,0.00980392156862745
"SRR1502341",0.0450980392156863,0.0519607843137255,0.000980392156862745,0.00490196078431373,0.000980392156862745,0.05,0.000980392156862745,0.0107843137254902,0.000980392156862745,0.00196078431372549,0.0117647058823529,0.0647058823529412,0.513725490196078,0.0598039215686275,0.0235294117647059,0.119607843137255,0.0274509803921569,0.00490196078431373,0.00196078431372549,0.00392156862745098
"SRR1502342",0.123529411764706,0.0637254901960784,0.0607843137254902,0.0245098039215686,0.0450980392156863,0.0666666666666667,0.0147058823529412,0.000980392156862745,0.0284313725490196,0.0303921568627451,0.00294117647058824,0.123529411764706,0.269607843137255,0.0235294117647059,0.0274509803921569,0.053921568627451,0.0107843137254902,0.000980392156862745,0.00490196078431373,0.0235294117647059
"SRR1502343",0.0784313725490196,0.0715686274509804,0.0705882352941176,0.0127450980392157,0.0764705882352941,0.118627450980392,0.00196078431372549,0.00588235294117647,0.000980392156862745,0.0205882352941176,0.000980392156862745,0.0627450980392157,0.350980392156863,0.00196078431372549,0.0137254901960784,0.0607843137254902,0.0176470588235294,0.0245098039215686,0.000980392156862745,0.00784313725490196
"SRR1502391",0.0656862745098039,0.0431372549019608,0.00490196078431373,0.0196078431372549,0.00980392156862745,0.0401960784313726,0.00392156862745098,0.00882352941176471,0.0215686274509804,0.00882352941176471,0.000980392156862745,0.0107843137254902,0.501960784313725,0.106862745098039,0.0382352941176471,0.0303921568627451,0.0264705882352941,0.00294117647058824,0.00686274509803922,0.0480392156862745
"SRR1502399",0.117647058823529,0.0990196078431373,0.0147058823529412,0.00588235294117647,0.00980392156862745,0.0725490196078431,0.00980392156862745,0.0235294117647059,0.0235294117647059,0.0127450980392157,0.000980392156862745,0.0568627450980392,0.373529411764706,0.00588235294117647,0.0970588235294118,0.0303921568627451,0.00686274509803922,0.0274509803921569,0.000980392156862745,0.0107843137254902
"SRR1502402",0.0833333333333333,0.057843137254902,0.0362745098039216,0.0147058823529412,0.0225490196078431,0.129411764705882,0.00784313725490196,0.0205882352941176,0.0245098039215686,0.0225490196078431,0.00196078431372549,0.0843137254901961,0.151960784313725,0.05,0.0313725490196078,0.131372549019608,0.00882352941176471,0.0892156862745098,0.000980392156862745,0.0303921568627451
"SRR1502406",0.0745098039215686,0.0990196078431373,0.0411764705882353,0.000980392156862745,0.0480392156862745,0.168627450980392,0.00784313725490196,0.000980392156862745,0.00784313725490196,0.0127450980392157,0.0225490196078431,0.0352941176470588,0.309803921568627,0.0362745098039216,0.0147058823529412,0.053921568627451,0.0450980392156863,0.000980392156862745,0.000980392156862745,0.0186274509803922
"SRR1502407",0.053921568627451,0.053921568627451,0.0205882352941176,0.00784313725490196,0.0235294117647059,0.157843137254902,0.00294117647058824,0.00588235294117647,0.00882352941176471,0.0186274509803922,0.00392156862745098,0.104901960784314,0.391176470588235,0.053921568627451,0.0117647058823529,0.0274509803921569,0.0186274509803922,0.00588235294117647,0.000980392156862745,0.0274509803921569
"SRR1502408",0.188235294117647,0.0598039215686275,0.00980392156862745,0.00882352941176471,0.000980392156862745,0.042156862745098,0.0382352941176471,0.275490196078431,0.00294117647058824,0.00588235294117647,0.00196078431372549,0.000980392156862745,0.230392156862745,0.0205882352941176,0.00686274509803922,0.0745098039215686,0.0196078431372549,0.0107843137254902,0.000980392156862745,0.000980392156862745
