"","other","Mortierellomycota","Basidiomycota","Mucoromycota","Ascomycota"
"SRR1502337",0.00497512437810945,0.157213930348259,0.772139303482587,0.00796019900497512,0.0577114427860696
"SRR1502338",0.0796019900497512,0.180099502487562,0.54228855721393,0.0487562189054726,0.149253731343284
"SRR1502339",0.00497512437810945,0.153233830845771,0.613930348258707,0.0646766169154229,0.16318407960199
"SRR1502340",0.017910447761194,0.311442786069652,0.422885572139304,0.0238805970149254,0.223880597014925
"SRR1502341",0.0238805970149254,0.0527363184079602,0.835820895522388,0.00099502487562189,0.0865671641791045
"SRR1502342",0.0398009950248756,0.0646766169154229,0.68955223880597,0.045771144278607,0.160199004975124
"SRR1502343",0.00696517412935323,0.072636815920398,0.781094527363184,0.0786069651741294,0.0606965174129353
"SRR1502391",0.00199004975124378,0.0437810945273632,0.752238805970149,0.0109452736318408,0.191044776119403
"SRR1502399",0.00298507462686567,0.100497512437811,0.680597014925373,0.00995024875621891,0.205970149253731
"SRR1502402",0.0328358208955224,0.0587064676616915,0.733333333333333,0.0228855721393035,0.152238805970149
"SRR1502406",0.0238805970149254,0.100497512437811,0.672636815920398,0.0487562189054726,0.154228855721393
"SRR1502407",0.00298507462686567,0.054726368159204,0.805970149253731,0.0238805970149254,0.112437810945274
"SRR1502408",0.0189054726368159,0.0606965174129353,0.441791044776119,0.0656716417910448,0.412935323383085
"SRR1502409",0.00597014925373134,0.0417910447761194,0.8,0.00099502487562189,0.151243781094527
"SRR1502410",0.0228855721393035,0.0557213930348259,0.806965174129353,0.00895522388059702,0.10547263681592
"SRR1502412",0.00199004975124378,0.0189054726368159,0.841791044776119,0.00796019900497512,0.129353233830846
"SRR1502413",0.00895522388059702,0.03681592039801,0.879601990049751,0.00099502487562189,0.0736318407960199
"SRR1502414",0.00995024875621891,0.0676616915422886,0.679601990049751,0.00597014925373134,0.23681592039801
"SRR1502421",0.0208955223880597,0.109452736318408,0.845771144278607,0.00099502487562189,0.0228855721393035
"SRR1502422",0.00398009950248756,0.0318407960199005,0.870646766169154,0.00199004975124378,0.0915422885572139
"SRR1502423",0.0169154228855721,0.0646766169154229,0.783084577114428,0.00696517412935323,0.128358208955224
"SRR1502424",0.120398009950249,0.201990049751244,0.536318407960199,0.00995024875621891,0.13134328358209
"SRR1502428",0.0139303482587065,0.0577114427860696,0.801990049751244,0.00099502487562189,0.125373134328358
"SRR1502429",0.0228855721393035,0.00099502487562189,0.629850746268657,0.00099502487562189,0.345273631840796
"SRR1502430",0.00099502487562189,0.00099502487562189,0.875621890547264,0.00099502487562189,0.121393034825871
"SRR1502436",0.0199004975124378,0.0119402985074627,0.853731343283582,0.00099502487562189,0.113432835820896
"SRR1502437",0.00298507462686567,0.0348258706467662,0.798009950248756,0.00597014925373134,0.158208955223881
"SRR1502438",0.00298507462686567,0.114427860696517,0.748258706467662,0.0378109452736318,0.0965174129353234
"SRR1502439",0.0109452736318408,0.0497512437810945,0.863681592039801,0.00796019900497512,0.0676616915422886
"SRR1502440",0.0666666666666667,0.0199004975124378,0.755223880597015,0.00099502487562189,0.157213930348259
"SRR1502441",0.100497512437811,0.0497512437810945,0.367164179104478,0.00099502487562189,0.481592039800995
"SRR1502442",0.00398009950248756,0.0577114427860696,0.804975124378109,0.00099502487562189,0.132338308457711
"SRR1502443",0.00099502487562189,0.0875621890547264,0.778109452736318,0.026865671641791,0.106467661691542
"SRR1502444",0.0169154228855721,0.265671641791045,0.645771144278607,0.00099502487562189,0.0706467661691542
"SRR1502462",0.00497512437810945,0.103482587064677,0.716417910447761,0.0248756218905473,0.150248756218905
"SRR1502463",0.00099502487562189,0.0776119402985075,0.69452736318408,0.0278606965174129,0.199004975124378
"SRR1502464",0.00099502487562189,0.0537313432835821,0.704477611940298,0.0845771144278607,0.156218905472637
"SRR1502465",0.00099502487562189,0.0199004975124378,0.881592039800995,0.00099502487562189,0.0965174129353234
"SRR1502466",0.0427860696517413,0.0398009950248756,0.766169154228856,0.00199004975124378,0.149253731343284
"SRR1502467",0.00099502487562189,0.0597014925373134,0.790049751243781,0.00995024875621891,0.139303482587065
"SRR1502468",0.0208955223880597,0.0189054726368159,0.819900497512438,0.00099502487562189,0.139303482587065
"SRR1502469",0.00099502487562189,0.0666666666666667,0.867661691542289,0.00099502487562189,0.063681592039801
"SRR1502470",0.0199004975124378,0.141293532338308,0.755223880597015,0.0149253731343284,0.0686567164179104
"SRR1502471",0.00099502487562189,0.00597014925373134,0.898507462686567,0.00099502487562189,0.0935323383084577
"SRR1502472",0.0159203980099502,0.304477611940298,0.559203980099502,0.00099502487562189,0.119402985074627
"SRR1502473",0.00398009950248756,0.026865671641791,0.753233830845771,0.00099502487562189,0.214925373134328
"SRR1502474",0.00597014925373134,0.0159203980099502,0.835820895522388,0.00099502487562189,0.141293532338308
"SRR1502475",0.0328358208955224,0.00995024875621891,0.856716417910448,0.00099502487562189,0.0995024875621891
"SRR1502476",0.00298507462686567,0.0308457711442786,0.828855721393035,0.0477611940298507,0.0895522388059701
"SRR1502477",0.00099502487562189,0.00995024875621891,0.872636815920398,0.0298507462686567,0.0865671641791045
"SRR1502478",0.00298507462686567,0.0467661691542289,0.812935323383085,0.0119402985074627,0.125373134328358
"SRR1502479",0.00099502487562189,0.0308457711442786,0.908457711442786,0.00497512437810945,0.054726368159204
"SRR1502481",0.0169154228855721,0.631840796019901,0.134328358208955,0.00398009950248756,0.212935323383085
"SRR1502482",0.0149253731343284,0.295522388059701,0.182089552238806,0.278606965174129,0.228855721393035
"SRR1502483",0.00099502487562189,0.583084577114428,0.167164179104478,0.0308457711442786,0.217910447761194
"SRR1502485",0.0199004975124378,0.188059701492537,0.348258706467662,0.0527363184079602,0.391044776119403
"SRR1502486",0.0218905472636816,0.219900497512438,0.14726368159204,0.343283582089552,0.267661691542289
"SRR1502487",0.0388059701492537,0.0597014925373134,0.423880597014925,0.00199004975124378,0.475621890547264
"SRR1502488",0.0159203980099502,0.0796019900497512,0.536318407960199,0.00099502487562189,0.367164179104478
"SRR1502494",0.0149253731343284,0.00597014925373134,0.593034825870647,0.00099502487562189,0.385074626865672
"SRR1502495",0.0208955223880597,0.0119402985074627,0.755223880597015,0.00099502487562189,0.210945273631841
"SRR1502512",0.00895522388059702,0.120398009950249,0.517412935323383,0.0756218905472637,0.277611940298507
"SRR1502513",0.0348258706467662,0.112437810945274,0.766169154228856,0.0169154228855721,0.0696517412935323
"SRR1502544",0.00398009950248756,0.0567164179104478,0.0805970149253731,0.00099502487562189,0.85771144278607
"SRR1502545",0.00696517412935323,0.410945273631841,0.118407960199005,0.00199004975124378,0.461691542288557
"SRR1502548",0.0109452736318408,0.206965174129353,0.263681592039801,0.0378109452736318,0.480597014925373
"SRR1502549",0.00895522388059702,0.141293532338308,0.138308457711443,0.0487562189054726,0.662686567164179
"SRR1502550",0.00398009950248756,0.026865671641791,0.137313432835821,0.00398009950248756,0.827860696517413
"SRR1502551",0.0238805970149254,0.0407960199004975,0.502487562189055,0.00099502487562189,0.4318407960199
"SRR1502552",0.00099502487562189,0.0298507462686567,0.575124378109453,0.00099502487562189,0.393034825870647
"SRR1502553",0.0119402985074627,0.396019900497512,0.467661691542289,0.00199004975124378,0.122388059701493
"SRR1502554",0.00298507462686567,0.0348258706467662,0.346268656716418,0.00099502487562189,0.614925373134328
"SRR1502555",0.0666666666666667,0.0855721393034826,0.574129353233831,0.00497512437810945,0.26865671641791
"SRR1502556",0.00995024875621891,0.0467661691542289,0.7681592039801,0.00099502487562189,0.174129353233831
"SRR1502557",0.00497512437810945,0.243781094527363,0.504477611940298,0.026865671641791,0.219900497512438
"SRR1502558",0.00099502487562189,0.00099502487562189,0.0218905472636816,0.00099502487562189,0.975124378109453
"SRR1502559",0.00796019900497512,0.230845771144279,0.429850746268657,0.0109452736318408,0.320398009950249
"SRR1502560",0.00895522388059702,0.395024875621891,0.277611940298507,0.0288557213930348,0.28955223880597
"SRR1502561",0.0587064676616915,0.170149253731343,0.586069651741294,0.00199004975124378,0.183084577114428
"SRR1502562",0.0208955223880597,0.0189054726368159,0.48955223880597,0.026865671641791,0.443781094527363
"SRR1502563",0.00298507462686567,0.0238805970149254,0.559203980099502,0.0159203980099502,0.398009950248756
"SRR1502564",0.0139303482587065,0.0557213930348259,0.574129353233831,0.14726368159204,0.208955223880597
