"";"other";"assim_nitrate_reduction"
"BART_001-M-1-6-20140619";0.984806077568972;0.0151939224310276
"BART_001-M-7-5-20140619";0.977608956417433;0.022391043582567
"BART_001-O-1-6-20140619";0.983606557377049;0.0163934426229508
"BART_006-M-3-26-20140619";0.970011995201919;0.0299880047980808
"BART_006-M-33-3-20140619";0.984806077568972;0.0151939224310276
"BART_006-O-33-3-20140619";0.975209916033587;0.0247900839664134
"BART_028-M-33-4-20140619";0.978608556577369;0.0213914434226309
"CPER_001-M-22-32-20140812";0.964814074370252;0.0351859256297481
"CPER_001-M-30-37-20140812";0.975009996001599;0.0249900039984006
"CPER_001-M-7-0-20140812";0.969612155137945;0.0303878448620552
"CPER_002-M-10-34-20140812";0.973410635745702;0.0265893642542983
"CPER_002-M-25-6-20140812";0.988404638144742;0.0115953618552579
"CPER_002-M-9-4-20140812";0.987205117952819;0.0127948820471811
"CPER_003-M-15-7-20140812";0.977209116353459;0.0227908836465414
"CPER_003-M-33-11-20140812";0.947820871651339;0.0521791283486605
"CPER_004-M-0-30-20140812";0.96781287485006;0.03218712514994
"CPER_004-M-16-7-20140812";0.970411835265894;0.0295881647341064
"CPER_004-M-23-38-20140812";0.949020391843263;0.0509796081567373
"DSNY_001-M-1-6-20140813";0.958216713314674;0.0417832866853259
"DSNY_001-M-29-37-20140701";0.974810075969612;0.0251899240303878
"DSNY_001-M-30-37-20140909";0.976809276289484;0.0231907237105158
"DSNY_001-M-7-0-20140909";0.972610955617753;0.0273890443822471
"DSNY_001-M-7-5-20140813";0.963214714114354;0.0367852858856457
"DSNY_001-M-9-11-20140701";0.967213114754098;0.0327868852459016
"DSNY_001-M-9-17-20140813";0.971611355457817;0.0283886445421831
"DSNY_002-M-10-34-20140910";0.976809276289484;0.0231907237105158
"DSNY_002-M-11-0-20140813";0.95281887245102;0.0471811275489804
"DSNY_002-M-27-36-20140813";0.968012794882047;0.0319872051179528
"DSNY_002-M-30-5-20140813";0.968612554978009;0.0313874450219912
"DSNY_002-M-9-4-20140910";0.964414234306277;0.0355857656937225
"DSNY_003-M-1-7-20140813";0.967213114754098;0.0327868852459016
"DSNY_003-M-3-26-20140813";0.955017992802879;0.0449820071971212
"DSNY_004-M-21-38-20140813";0.978608556577369;0.0213914434226309
"DSNY_004-M-33-4-20140814";0.979808076769292;0.0201919232307077
"DSNY_005-M-24-40-20140818";0.970611755297881;0.0293882447021192
"DSNY_005-M-33-2-20140814";0.965613754498201;0.0343862455017993
"DSNY_009-M-17-34-20140701";0.966813274690124;0.033186725309876
"DSNY_009-M-2-0-20140813";0.967013194722111;0.0329868052778888
"DSNY_009-M-29-2-20140701";0.923230707716913;0.0767692922830868
"DSNY_009-M-33-11-20140910";0.971011595361855;0.0289884046381447
"DSNY_009-M-8-11-20140813";0.954818072770892;0.0451819272291084
"DSNY_016-M-0-30-20140910";0.938424630147941;0.0615753698520592
"DSNY_016-M-12-7-20140701";0.973010795681727;0.0269892043182727
"DSNY_016-M-16-7-20140910";0.939824070371851;0.0601759296281487
"DSNY_016-M-3-37-20140813";0.95921631347461;0.0407836865253898
"DSNY_016-M-35-24-20140701";0.969812075169932;0.030187924830068
"DSNY_016-M-36-16-20140813";0.977209116353459;0.0227908836465414
"DSNY_016-M-5-26-20140701";0.951619352259096;0.0483806477409036
"DSNY_016-M-6-12-20140813";0.948620551779288;0.0513794482207117
"DSNY_043-M-18-37-20140814";0.956017592962815;0.0439824070371851
"DSNY_043-M-2-27-20140814";0.958016793282687;0.0419832067173131
"DSNY_043-M-33-17-20140814";0.960015993602559;0.039984006397441
"HARV_001-M-14-7-20140812";0.9828068772491;0.0171931227508996
"HARV_001-M-15-1-20140812";0.980007996801279;0.0199920031987205
"HARV_001-M-30-37-20140715";0.984206317473011;0.0157936825269892
"HARV_001-M-39-16-20140812";0.980207916833267;0.0197920831667333
"HARV_001-M-7-0-20140715";0.971211515393842;0.0287884846061575
"HARV_001-O-14-7-20140812";0.976009596161535;0.0239904038384646
"HARV_001-O-15-1-20140812";0.980007996801279;0.0199920031987205
"HARV_002-M-24-40-20140716";0.979208316673331;0.0207916833266693
"HARV_002-O-24-40-20140716";0.977409036385446;0.0225909636145542
"HARV_002-O-33-2-20140716";0.974210315873651;0.0257896841263495
"HARV_002-O-4-9-20140716";0.973810475809676;0.0261895241903239
"HARV_004-M-10-34-20140715";0.978808476609356;0.0211915233906437
"HARV_004-M-19-1-20140812";0.98140743702519;0.0185925629748101
"HARV_004-M-25-6-20140715";0.974610155937625;0.0253898440623751
"HARV_004-M-3-28-20140812";0.979408236705318;0.0205917632946821
"HARV_004-M-9-34-20140812";0.978008796481407;0.0219912035185926
"HARV_004-M-9-4-20140715";0.973210715713715;0.0267892842862855
"HARV_004-O-10-34-20140715";0.974810075969612;0.0251899240303878
