"";"other";"assim_nitrite_reduction"
"BART_001-M-1-6-20140619";0.985605757696921;0.0143942423030788
"BART_001-M-7-5-20140619";0.981207516993203;0.0187924830067973
"BART_001-O-1-6-20140619";0.988204718112755;0.0117952818872451
"BART_006-M-3-26-20140619";0.979008396641343;0.0209916033586565
"BART_006-M-33-3-20140619";0.977009196321471;0.0229908036785286
"BART_006-O-33-3-20140619";0.981207516993203;0.0187924830067973
"BART_028-M-33-4-20140619";0.982606957217113;0.0173930427828868
"CPER_001-M-22-32-20140812";0.941023590563774;0.0589764094362255
"CPER_001-M-30-37-20140812";0.964414234306277;0.0355857656937225
"CPER_001-M-7-0-20140812";0.962015193922431;0.037984806077569
"CPER_002-M-10-34-20140812";0.976809276289484;0.0231907237105158
"CPER_002-M-25-6-20140812";0.983806477409036;0.0161935225909636
"CPER_002-M-9-4-20140812";0.984406237504998;0.015593762495002
"CPER_003-M-15-7-20140812";0.96641343462615;0.0335865653738505
"CPER_003-M-33-11-20140812";0.949620151939224;0.0503798480607757
"CPER_004-M-0-30-20140812";0.944022391043583;0.0559776089564174
"CPER_004-M-16-7-20140812";0.960215913634546;0.0397840863654538
"CPER_004-M-23-38-20140812";0.941223510595762;0.0587764894042383
"DSNY_001-M-1-6-20140813";0.990803678528589;0.00919632147141144
"DSNY_001-M-29-37-20140701";0.988004798080768;0.0119952019192323
"DSNY_001-M-30-37-20140909";0.97780887644942;0.0221911235505798
"DSNY_001-M-7-0-20140909";0.989604158336665;0.0103958416633347
"DSNY_001-M-7-5-20140813";0.979008396641343;0.0209916033586565
"DSNY_001-M-9-11-20140701";0.983806477409036;0.0161935225909636
"DSNY_001-M-9-17-20140813";0.992203118752499;0.007796881247501
"DSNY_002-M-10-34-20140910";0.995201919232307;0.00479808076769292
"DSNY_002-M-11-0-20140813";0.990803678528589;0.00919632147141144
"DSNY_002-M-27-36-20140813";0.99000399840064;0.00999600159936026
"DSNY_002-M-30-5-20140813";0.998400639744102;0.00159936025589764
"DSNY_002-M-9-4-20140910";0.985605757696921;0.0143942423030788
"DSNY_003-M-1-7-20140813";0.993202718912435;0.00679728108756497
"DSNY_003-M-3-26-20140813";0.986805277888844;0.0131947221111555
"DSNY_004-M-21-38-20140813";0.993002798880448;0.00699720111955218
"DSNY_004-M-33-4-20140814";0.988604558176729;0.0113954418232707
"DSNY_005-M-24-40-20140818";0.990203918432627;0.00979608156737305
"DSNY_005-M-33-2-20140814";0.993602558976409;0.00639744102359056
"DSNY_009-M-17-34-20140701";0.986005597760896;0.0139944022391044
"DSNY_009-M-2-0-20140813";0.989204318272691;0.0107956817273091
"DSNY_009-M-29-2-20140701";0.933626549380248;0.0663734506197521
"DSNY_009-M-33-11-20140910";0.988604558176729;0.0113954418232707
"DSNY_009-M-8-11-20140813";0.989604158336665;0.0103958416633347
"DSNY_016-M-0-30-20140910";0.93562574970012;0.06437425029988
"DSNY_016-M-12-7-20140701";0.973210715713715;0.0267892842862855
"DSNY_016-M-16-7-20140910";0.953818472610956;0.0461815273890444
"DSNY_016-M-3-37-20140813";0.963014794082367;0.0369852059176329
"DSNY_016-M-35-24-20140701";0.979808076769292;0.0201919232307077
"DSNY_016-M-36-16-20140813";0.985205917632947;0.0147940823670532
"DSNY_016-M-5-26-20140701";0.962415033986405;0.0375849660135946
"DSNY_016-M-6-12-20140813";0.967413034786086;0.0325869652139144
"DSNY_043-M-18-37-20140814";0.963014794082367;0.0369852059176329
"DSNY_043-M-2-27-20140814";0.963814474210316;0.0361855257896841
"DSNY_043-M-33-17-20140814";0.978008796481407;0.0219912035185926
"HARV_001-M-14-7-20140812";0.964814074370252;0.0351859256297481
"HARV_001-M-15-1-20140812";0.973810475809676;0.0261895241903239
"HARV_001-M-30-37-20140715";0.973610555777689;0.0263894442223111
"HARV_001-M-39-16-20140812";0.970611755297881;0.0293882447021192
"HARV_001-M-7-0-20140715";0.956017592962815;0.0439824070371851
"HARV_001-O-14-7-20140812";0.969012395041983;0.0309876049580168
"HARV_001-O-15-1-20140812";0.978008796481407;0.0219912035185926
"HARV_002-M-24-40-20140716";0.975209916033587;0.0247900839664134
"HARV_002-O-24-40-20140716";0.979808076769292;0.0201919232307077
"HARV_002-O-33-2-20140716";0.976009596161535;0.0239904038384646
"HARV_002-O-4-9-20140716";0.982207117153139;0.0177928828468613
"HARV_004-M-10-34-20140715";0.971811275489804;0.0281887245101959
"HARV_004-M-19-1-20140812";0.972610955617753;0.0273890443822471
"HARV_004-M-25-6-20140715";0.977608956417433;0.022391043582567
"HARV_004-M-3-28-20140812";0.973610555777689;0.0263894442223111
"HARV_004-M-9-34-20140812";0.9578168732507;0.0421831267493003
"HARV_004-M-9-4-20140715";0.956617353058776;0.0433826469412235
"HARV_004-O-10-34-20140715";0.94922031187525;0.0507796881247501
"HARV_004-O-19-1-20140812";0.978808476609356;0.0211915233906437
"HARV_004-O-25-6-20140715";0.963814474210316;0.0361855257896841
"HARV_004-O-3-28-20140812";0.944822071171531;0.0551779288284686
"HARV_004-O-9-34-20140812";0.956817273090764;0.0431827269092363
"HARV_010-M-2-0-20140715";0.974610155937625;0.0253898440623751
"HARV_010-M-39-30-20140715";0.95561775289884;0.0443822471011595
"HARV_010-M-8-11-20140715";0.981807277089164;0.0181927229108357
"HARV_010-O-2-0-20140715";0.947421031587365;0.0525789684126349
"HARV_010-O-39-30-20140715";0.97640943622551;0.0235905637744902
"HARV_010-O-8-11-20140715";0.955417832866853;0.0445821671331467
"HARV_013-M-0-13-20140812";0.953418632546981;0.0465813674530188
"HARV_013-M-14-6-20140812";0.976009596161535;0.0239904038384646
"HARV_013-M-15-7-20140717";0.978008796481407;0.0219912035185926
"HARV_013-M-28-3-20140812";0.976609356257497;0.023390643742503
"HARV_013-M-4-7-20140717";0.931827269092363;0.0681727309076369
"HARV_013-O-0-13-20140812";0.978008796481407;0.0219912035185926
"HARV_013-O-14-6-20140812";0.98140743702519;0.0185925629748101
"HARV_013-O-15-7-20140717";0.976809276289484;0.0231907237105158
"HARV_013-O-28-3-20140812";0.967213114754098;0.0327868852459016
"HARV_013-O-33-11-20140716";0.967612954818073;0.0323870451819272
"HARV_016-M-0-30-20140715";0.968012794882047;0.0319872051179528
"HARV_016-M-16-7-20140715";0.981007596961216;0.0189924030387845
"HARV_016-O-0-30-20140715";0.92203118752499;0.07796881247501
"HARV_016-O-16-7-20140715";0.943822471011595;0.0561775289884046
"HARV_020-M-12-33-20140812";0.975009996001599;0.0249900039984006
"HARV_020-M-30-27-20140812";0.971011595361855;0.0289884046381447
"HARV_020-M-37-22-20140812";0.980407836865254;0.0195921631347461
"HARV_020-O-12-33-20140812";0.938624550179928;0.061375449820072
"HARV_020-O-30-27-20140812";0.965013994402239;0.0349860055977609
"HARV_020-O-37-22-20140812";0.943022790883646;0.0569772091163535
"HARV_021-M-3-37-20140717";0.979808076769292;0.0201919232307077
"HARV_021-M-36-16-20140717";0.954818072770892;0.0451819272291084
"HARV_021-M-6-12-20140717";0.961615353858457;0.0383846461415434
"HARV_021-O-3-37-20140717";0.977409036385446;0.0225909636145542
"HARV_021-O-36-16-20140717";0.978008796481407;0.0219912035185926
"HARV_033-M-23-30-20140717";0.988604558176729;0.0113954418232707
"HARV_033-M-30-38-20140717";0.985605757696921;0.0143942423030788
"HARV_033-M-33-4-20140717";0.984206317473011;0.0157936825269892
"HARV_033-O-23-30-20140717";0.978008796481407;0.0219912035185926
"HARV_033-O-30-38-20140717";0.978808476609356;0.0211915233906437
"HARV_034-M-23-8-20140717";0.987405037984806;0.0125949620151939
"HARV_034-M-31-3-20140717";0.983806477409036;0.0161935225909636
"HARV_034-O-19-30-20140717";0.977608956417433;0.022391043582567
"HARV_035-M-33-17-20140716";0.98500599760096;0.0149940023990404
"HARV_035-O-18-37-20140717";0.968212714914034;0.0317872850859656
"JERC_001-M-1-6-20140805";0.980207916833267;0.0197920831667333
"JERC_001-M-17-34-20140710";0.978408636545382;0.0215913634546182
"JERC_001-M-29-2-20140710";0.963214714114354;0.0367852858856457
"JERC_001-M-7-5-20140805";0.980607756897241;0.0193922431027589
"JERC_001-M-9-17-20140805";0.979408236705318;0.0205917632946821
"JERC_002-M-11-0-20140805";0.978008796481407;0.0219912035185926
"JERC_002-M-12-7-20140710";0.986205517792883;0.0137944822071172
"JERC_002-M-27-36-20140805";0.975009996001599;0.0249900039984006
"JERC_002-M-35-24-20140710";0.979208316673331;0.0207916833266693
"JERC_003-M-1-7-20140805";0.980607756897241;0.0193922431027589
"JERC_003-M-3-26-20140805";0.983006797281088;0.0169932027189124
"JERC_003-M-33-0-20140805";0.942223110755698;0.0577768892443023
"JERC_005-M-24-40-20140805";0.980407836865254;0.0195921631347461
"JERC_005-M-33-2-20140805";0.980807676929228;0.0191923230707717
"JERC_005-M-4-9-20140805";0.98140743702519;0.0185925629748101
"JERC_006-M-15-33-20140710";0.981607357057177;0.0183926429428229
"JERC_006-M-2-0-20140805";0.970211915233906;0.0297880847660936
"JERC_006-M-21-39-20140710";0.986205517792883;0.0137944822071172
"JERC_006-M-2-33-20140710";0.980207916833267;0.0197920831667333
"JERC_006-M-39-30-20140805";0.988004798080768;0.0119952019192323
"JERC_006-M-8-11-20140805";0.9828068772491;0.0171931227508996
"JERC_008-M-23-30-20140805";0.973210715713715;0.0267892842862855
"JERC_008-M-33-4-20140805";0.984806077568972;0.0151939224310276
"JERC_047-M-3-32-20140805";0.982606957217113;0.0173930427828868
"JERC_047-M-36-16-20140805";0.972211115553778;0.0277888844462215
"JERC_047-M-6-12-20140805";0.975609756097561;0.024390243902439
