"";"other";"cellulolytic"
"BART_001-M-1-6-20140619";0.98500599760096;0.0149940023990404
"BART_001-M-7-5-20140619";0.96921231507397;0.0307876849260296
"BART_001-O-1-6-20140619";0.98640543782487;0.0135945621751299
"BART_006-M-3-26-20140619";0.926029588164734;0.0739704118352659
"BART_006-M-33-3-20140619";0.946221511395442;0.0537784886045582
"BART_006-O-33-3-20140619";0.934026389444222;0.0659736105557777
"BART_028-M-33-4-20140619";0.973610555777689;0.0263894442223111
"CPER_001-M-22-32-20140812";0.956817273090764;0.0431827269092363
"CPER_001-M-30-37-20140812";0.963414634146341;0.0365853658536585
"CPER_001-M-7-0-20140812";0.963614554178329;0.0363854458216713
"CPER_002-M-10-34-20140812";0.961215513794482;0.0387844862055178
"CPER_002-M-25-6-20140812";0.980807676929228;0.0191923230707717
"CPER_002-M-9-4-20140812";0.981007596961216;0.0189924030387845
"CPER_003-M-15-7-20140812";0.961215513794482;0.0387844862055178
"CPER_003-M-33-11-20140812";0.944622151139544;0.0553778488604558
"CPER_004-M-0-30-20140812";0.959016393442623;0.040983606557377
"CPER_004-M-16-7-20140812";0.951019592163135;0.0489804078368653
"CPER_004-M-23-38-20140812";0.933826469412235;0.0661735305877649
"DSNY_001-M-1-6-20140813";0.964614154338265;0.0353858456617353
"DSNY_001-M-29-37-20140701";0.97281087564974;0.0271891243502599
"DSNY_001-M-30-37-20140909";0.940823670531787;0.0591763294682127
"DSNY_001-M-7-0-20140909";0.967013194722111;0.0329868052778888
"DSNY_001-M-7-5-20140813";0.948820471811275;0.0511795281887245
"DSNY_001-M-9-11-20140701";0.951219512195122;0.0487804878048781
"DSNY_001-M-9-17-20140813";0.971011595361855;0.0289884046381447
"DSNY_002-M-10-34-20140910";0.980007996801279;0.0199920031987205
"DSNY_002-M-11-0-20140813";0.972610955617753;0.0273890443822471
"DSNY_002-M-27-36-20140813";0.984006397441024;0.0159936025589764
"DSNY_002-M-30-5-20140813";0.977209116353459;0.0227908836465414
"DSNY_002-M-9-4-20140910";0.969812075169932;0.030187924830068
