"";"other";"chitinolytic"
"BART_001-M-1-6-20140619";0.96921231507397;0.0307876849260296
"BART_001-M-7-5-20140619";0.969412235105958;0.0305877648940424
"BART_001-O-1-6-20140619";0.967612954818073;0.0323870451819272
"BART_006-M-3-26-20140619";0.936825269892043;0.0631747301079568
"BART_006-M-33-3-20140619";0.967612954818073;0.0323870451819272
"BART_006-O-33-3-20140619";0.976809276289484;0.0231907237105158
"BART_028-M-33-4-20140619";0.988204718112755;0.0117952818872451
"CPER_001-M-22-32-20140812";0.910435825669732;0.0895641743302679
"CPER_001-M-30-37-20140812";0.93702518992403;0.0629748100759696
"CPER_001-M-7-0-20140812";0.923030787684926;0.076969212315074
"CPER_002-M-10-34-20140812";0.957417033186725;0.0425829668132747
"CPER_002-M-25-6-20140812";0.945421831267493;0.054578168732507
"CPER_002-M-9-4-20140812";0.970611755297881;0.0293882447021192
"CPER_003-M-15-7-20140812";0.916033586565374;0.0839664134346261
"CPER_003-M-33-11-20140812";0.908036785285886;0.0919632147141144
"CPER_004-M-0-30-20140812";0.926029588164734;0.0739704118352659
"CPER_004-M-16-7-20140812";0.897640943622551;0.102359056377449
"CPER_004-M-23-38-20140812";0.896441423430628;0.103558576569372
"DSNY_001-M-1-6-20140813";0.959816073570572;0.0401839264294282
"DSNY_001-M-29-37-20140701";0.969412235105958;0.0305877648940424
"DSNY_001-M-30-37-20140909";0.956017592962815;0.0439824070371851
"DSNY_001-M-7-0-20140909";0.9828068772491;0.0171931227508996
"DSNY_001-M-7-5-20140813";0.959616153538585;0.0403838464614154
"DSNY_001-M-9-11-20140701";0.951219512195122;0.0487804878048781
"DSNY_001-M-9-17-20140813";0.971811275489804;0.0281887245101959
"DSNY_002-M-10-34-20140910";0.980807676929228;0.0191923230707717
"DSNY_002-M-11-0-20140813";0.980607756897241;0.0193922431027589
"DSNY_002-M-27-36-20140813";0.987405037984806;0.0125949620151939
"DSNY_002-M-30-5-20140813";0.985805677728908;0.0141943222710916
"DSNY_002-M-9-4-20140910";0.964014394242303;0.0359856057576969
"DSNY_003-M-1-7-20140813";0.96421431427429;0.0357856857257097
"DSNY_003-M-3-26-20140813";0.97141143542583;0.0285885645741703
"DSNY_004-M-21-38-20140813";0.959616153538585;0.0403838464614154
"DSNY_004-M-33-4-20140814";0.973010795681727;0.0269892043182727
"DSNY_005-M-24-40-20140818";0.977409036385446;0.0225909636145542
"DSNY_005-M-33-2-20140814";0.97780887644942;0.0221911235505798
"DSNY_009-M-17-34-20140701";0.942622950819672;0.0573770491803279
"DSNY_009-M-2-0-20140813";0.947221111555378;0.0527788884446222
"DSNY_009-M-29-2-20140701";0.919032387045182;0.0809676129548181
"DSNY_009-M-33-11-20140910";0.923830467812875;0.0761695321871251
"DSNY_009-M-8-11-20140813";0.951419432227109;0.0485805677728908
"DSNY_016-M-0-30-20140910";0.897441023590564;0.102558976409436
"DSNY_016-M-12-7-20140701";0.935425829668133;0.0645741703318673
"DSNY_016-M-16-7-20140910";0.9234306277489;0.0765693722510996
"DSNY_016-M-3-37-20140813";0.926429428228709;0.0735705717712915
"DSNY_016-M-35-24-20140701";0.95421831267493;0.04578168732507
"DSNY_016-M-36-16-20140813";0.962614954018393;0.0373850459816074
"DSNY_016-M-5-26-20140701";0.939424230307877;0.0605757696921232
"DSNY_016-M-6-12-20140813";0.945821671331467;0.0541783286685326
"DSNY_043-M-18-37-20140814";0.948420631747301;0.0515793682526989
"DSNY_043-M-2-27-20140814";0.969612155137945;0.0303878448620552
"DSNY_043-M-33-17-20140814";0.952618952419032;0.0473810475809676
"HARV_001-M-14-7-20140812";0.98140743702519;0.0185925629748101
"HARV_001-M-15-1-20140812";0.978408636545382;0.0215913634546182
"HARV_001-M-30-37-20140715";0.96641343462615;0.0335865653738505
"HARV_001-M-39-16-20140812";0.978608556577369;0.0213914434226309
"HARV_001-M-7-0-20140715";0.974010395841663;0.0259896041583367
"HARV_001-O-14-7-20140812";0.966213514594162;0.0337864854058377
"HARV_001-O-15-1-20140812";0.948020791683327;0.0519792083166733
"HARV_002-M-24-40-20140716";0.985605757696921;0.0143942423030788
"HARV_002-O-24-40-20140716";0.974410235905638;0.0255897640943623
"HARV_002-O-33-2-20140716";0.990803678528589;0.00919632147141144
"HARV_002-O-4-9-20140716";0.972211115553778;0.0277888844462215
"HARV_004-M-10-34-20140715";0.967612954818073;0.0323870451819272
"HARV_004-M-19-1-20140812";0.980207916833267;0.0197920831667333
"HARV_004-M-25-6-20140715";0.978008796481407;0.0219912035185926
"HARV_004-M-3-28-20140812";0.973210715713715;0.0267892842862855
"HARV_004-M-9-34-20140812";0.939824070371851;0.0601759296281487
"HARV_004-M-9-4-20140715";0.967413034786086;0.0325869652139144
"HARV_004-O-10-34-20140715";0.959016393442623;0.040983606557377
"HARV_004-O-19-1-20140812";0.926229508196721;0.0737704918032787
"HARV_004-O-25-6-20140715";0.968012794882047;0.0319872051179528
"HARV_004-O-3-28-20140812";0.977608956417433;0.022391043582567
"HARV_004-O-9-34-20140812";0.945421831267493;0.054578168732507
"HARV_010-M-2-0-20140715";0.943222710915634;0.0567772890843663
"HARV_010-M-39-30-20140715";0.989604158336665;0.0103958416633347
"HARV_010-M-8-11-20140715";0.973810475809676;0.0261895241903239
"HARV_010-O-2-0-20140715";0.915233906437425;0.084766093562575
"HARV_010-O-39-30-20140715";0.959416233506597;0.0405837664934026
"HARV_010-O-8-11-20140715";0.931427429028389;0.0685725709716114
"HARV_013-M-0-13-20140812";0.968212714914034;0.0317872850859656
"HARV_013-M-14-6-20140812";0.980407836865254;0.0195921631347461
"HARV_013-M-15-7-20140717";0.94422231107557;0.0557776889244302
"HARV_013-M-28-3-20140812";0.965413834466214;0.0345861655337865
"HARV_013-M-4-7-20140717";0.977409036385446;0.0225909636145542
"HARV_013-O-0-13-20140812";0.954818072770892;0.0451819272291084
"HARV_013-O-14-6-20140812";0.955217912834866;0.0447820871651339
"HARV_013-O-15-7-20140717";0.939024390243902;0.0609756097560976
"HARV_013-O-28-3-20140812";0.933626549380248;0.0663734506197521
"HARV_013-O-33-11-20140716";0.972411035585766;0.0275889644142343
"HARV_016-M-0-30-20140715";0.977409036385446;0.0225909636145542
"HARV_016-M-16-7-20140715";0.981207516993203;0.0187924830067973
"HARV_016-O-0-30-20140715";0.97640943622551;0.0235905637744902
"HARV_016-O-16-7-20140715";0.959616153538585;0.0403838464614154
"HARV_020-M-12-33-20140812";0.969012395041983;0.0309876049580168
"HARV_020-M-30-27-20140812";0.963414634146341;0.0365853658536585
"HARV_020-M-37-22-20140812";0.975609756097561;0.024390243902439
"HARV_020-O-12-33-20140812";0.939024390243902;0.0609756097560976
"HARV_020-O-30-27-20140812";0.917632946821272;0.0823670531787285
"HARV_020-O-37-22-20140812";0.950219912035186;0.0497800879648141
"HARV_021-M-3-37-20140717";0.977209116353459;0.0227908836465414
"HARV_021-M-36-16-20140717";0.959416233506597;0.0405837664934026
"HARV_021-M-6-12-20140717";0.986005597760896;0.0139944022391044
"HARV_021-O-3-37-20140717";0.974410235905638;0.0255897640943623
"HARV_021-O-36-16-20140717";0.962614954018393;0.0373850459816074
"HARV_033-M-23-30-20140717";0.982606957217113;0.0173930427828868
"HARV_033-M-30-38-20140717";0.978608556577369;0.0213914434226309
"HARV_033-M-33-4-20140717";0.984206317473011;0.0157936825269892
"HARV_033-O-23-30-20140717";0.96421431427429;0.0357856857257097
"HARV_033-O-30-38-20140717";0.96781287485006;0.03218712514994
"HARV_034-M-23-8-20140717";0.981007596961216;0.0189924030387845
"HARV_034-M-31-3-20140717";0.979808076769292;0.0201919232307077
"HARV_034-O-19-30-20140717";0.981007596961216;0.0189924030387845
"HARV_035-M-33-17-20140716";0.978608556577369;0.0213914434226309
"HARV_035-O-18-37-20140717";0.964414234306277;0.0355857656937225
"JERC_001-M-1-6-20140805";0.965613754498201;0.0343862455017993
"JERC_001-M-17-34-20140710";0.956017592962815;0.0439824070371851
"JERC_001-M-29-2-20140710";0.911435425829668;0.0885645741703319
"JERC_001-M-7-5-20140805";0.968412634946022;0.0315873650539784
"JERC_001-M-9-17-20140805";0.956617353058776;0.0433826469412235
"JERC_002-M-11-0-20140805";0.95921631347461;0.0407836865253898
"JERC_002-M-12-7-20140710";0.952618952419032;0.0473810475809676
"JERC_002-M-27-36-20140805";0.923630547780888;0.0763694522191124
"JERC_002-M-35-24-20140710";0.936625349860056;0.063374650139944
"JERC_003-M-1-7-20140805";0.927229108356657;0.0727708916433427
"JERC_003-M-3-26-20140805";0.936625349860056;0.063374650139944
"JERC_003-M-33-0-20140805";0.950419832067173;0.0495801679328269
"JERC_005-M-24-40-20140805";0.955417832866853;0.0445821671331467
"JERC_005-M-33-2-20140805";0.964414234306277;0.0355857656937225
"JERC_005-M-4-9-20140805";0.961815273890444;0.0381847261095562
"JERC_006-M-15-33-20140710";0.948620551779288;0.0513794482207117
"JERC_006-M-2-0-20140805";0.968212714914034;0.0317872850859656
"JERC_006-M-21-39-20140710";0.970811675329868;0.0291883246701319
"JERC_006-M-2-33-20140710";0.951419432227109;0.0485805677728908
"JERC_006-M-39-30-20140805";0.967213114754098;0.0327868852459016
"JERC_006-M-8-11-20140805";0.951419432227109;0.0485805677728908
"JERC_008-M-23-30-20140805";0.947421031587365;0.0525789684126349
"JERC_008-M-33-4-20140805";0.961815273890444;0.0381847261095562
"JERC_047-M-3-32-20140805";0.938624550179928;0.061375449820072
"JERC_047-M-36-16-20140805";0.950819672131147;0.0491803278688525
"JERC_047-M-6-12-20140805";0.967213114754098;0.0327868852459016
"JERC_048-M-19-30-20140805";0.942822870851659;0.0571771291483407
"JERC_048-M-27-8-20140805";0.950219912035186;0.0497800879648141
"JERC_048-M-31-3-20140805";0.950419832067173;0.0495801679328269
"JERC_049-M-18-17-20140805";0.959616153538585;0.0403838464614154
"JERC_049-M-2-27-20140805";0.940423830467813;0.0595761695321871
"ORNL_001-O-17-34-20140715";0.886845261895242;0.113154738104758
"ORNL_002-O-5-26-20140714";0.921831267493003;0.0781687325069972
"ORNL_003-O-9-11-20140714";0.942023190723711;0.0579768092762895
"ORNL_021-O-15-33-20140714";0.844462215113954;0.155537784886046
"ORNL_027-O-2-33-20140715";0.881047580967613;0.118952419032387
"ORNL_029-O-9-2-20140714";0.909436225509796;0.0905637744902039
"ORNL_031-O-11-3-20140714";0.896441423430628;0.103558576569372
"ORNL_037-O-4-23-20140715";0.928628548580568;0.0713714514194322
"ORNL_043-O-2-27-20140715";0.943222710915634;0.0567772890843663
"OSBS_001-M-17-34-20140701";0.984406237504998;0.015593762495002
"OSBS_001-M-17-34-20140818";0.988004798080768;0.0119952019192323
"OSBS_001-M-26-3-20140701";0.979008396641343;0.0209916033586565
"OSBS_001-M-26-3-20140818";0.984006397441024;0.0159936025589764
"OSBS_001-M-29-2-20140701";0.980207916833267;0.0197920831667333
"OSBS_001-M-29-2-20140818";0.971611355457817;0.0283886445421831
"OSBS_002-M-12-7-20140701";0.941023590563774;0.0589764094362255
"OSBS_002-M-12-7-20140818";0.931027588964414;0.0689724110355858
"OSBS_002-M-35-24-20140701";0.948020791683327;0.0519792083166733
"OSBS_002-M-35-24-20140818";0.961815273890444;0.0381847261095562
"OSBS_002-M-5-26-20140701";0.95421831267493;0.04578168732507
"OSBS_003-M-17-9-20140701";0.977608956417433;0.022391043582567
"OSBS_003-M-17-9-20140818";0.96281487405038;0.0371851259496202
"OSBS_003-M-29-37-20140701";0.970011995201919;0.0299880047980808
"OSBS_003-M-29-37-20140818";0.959616153538585;0.0403838464614154
"OSBS_003-M-9-11-20140701";0.979008396641343;0.0209916033586565
"OSBS_003-M-9-11-20140818";0.958816473410636;0.0411835265893643
"OSBS_022-M-15-33-20140701";0.98780487804878;0.0121951219512195
"OSBS_022-M-21-39-20140701";0.990403838464614;0.00959616153538585
"OSBS_022-M-2-33-20140701";0.988404638144742;0.0115953618552579
"SCBI_002-M-1-6-20140715";0.948220711715314;0.0517792882846861
"SCBI_002-M-26-3-20140618";0.939024390243902;0.0609756097560976
"SCBI_002-M-7-5-20140715";0.950019992003199;0.0499800079968013
"SCBI_002-M-9-17-20140715";0.952618952419032;0.0473810475809676
"SCBI_003-M-11-0-20140715";0.931027588964414;0.0689724110355858
"SCBI_003-M-13-6-20140618";0.946621351459416;0.0533786485405838
"SCBI_003-M-27-36-20140715";0.949620151939224;0.0503798480607757
"SCBI_003-M-30-5-20140715";0.953818472610956;0.0461815273890444
"SCBI_003-M-35-24-20140618";0.935825669732107;0.0641743302678928
"SCBI_003-M-5-26-20140618";0.928228708516593;0.0717712914834066
"SCBI_006-M-15-7-20140827";0.947021191523391;0.0529788084766094
"SCBI_006-M-1-7-20140715";0.930827668932427;0.069172331067573
"SCBI_006-M-17-9-20140618";0.913834466213515;0.0861655337864854
"SCBI_006-M-27-2-20140715";0.946621351459416;0.0533786485405838
"SCBI_006-M-29-37-20140618";0.944622151139544;0.0553778488604558
"SCBI_006-M-3-26-20140715";0.895441823270692;0.104558176729308
