"";"other";"acidimicrobiia";"actinobacteria";"alphaproteobacteria";"bacilli";"betaproteobacteria";"deltaproteobacteria";"gammaproteobacteria";"gemmatimonadetes";"nitrospira";"thermoleophilia"
"BART_001-M-1-6-20140619";0.682298942326881;0.0023947315905009;0.00838156056675314;0.12033526242267;0.0015964877270006;0.0510876072640192;0.0742366793055278;0.0409099980043903;0.00458990221512672;0.010576731191379;0.00359209738575135
"BART_001-M-7-5-20140619";0.715426062662143;0.00299341448812612;0.0109758531231291;0.113749750548793;0.00119736579525045;0.0462981440830174;0.0608660945918978;0.0323288764717621;0.00439034124925165;0.00878068249850329;0.00299341448812612
"BART_001-O-1-6-20140619";0.683097186190381;0.00179604869287567;0.0127719018160048;0.153861504689683;0.000199560965875075;0.0163639992017561;0.0602674116942726;0.0660546797046498;0.0015964877270006;0.000598682897625224;0.00339253641987627
"BART_006-M-3-26-20140619";0.616842945519856;0.00279385352225105;0.0109758531231291;0.0698463380562762;0.0039912193175015;0.20055877070445;0.0317301935741369;0.0472959489123927;0.00279385352225105;0.00898024346437837;0.00419078028337657
"BART_006-M-33-3-20140619";0.710437038515266;0.00259429255637597;0.00977848732787867;0.136100578726801;0.00139692676112552;0.0249451207343844;0.0536818998203951;0.0474955098782678;0.00598682897625225;0.00139692676112552;0.00618638994212732
"BART_006-O-33-3-20140619";0.648972261025743;0.00179604869287567;0.0283376571542606;0.132308920375175;0.000598682897625224;0.0421073637996408;0.0664538016363999;0.0724406306126522;0.00359209738575135;0.000598682897625224;0.00279385352225105
"BART_028-M-33-4-20140619";0.708241867890641;0.00458990221512672;0.0109758531231291;0.158451406904809;0.000798243863500299;0.0151666334065057;0.0355218519257633;0.0564757533426462;0.00458990221512672;0.0015964877270006;0.00359209738575135
"CPER_001-M-22-32-20140812";0.544003192975454;0.00917980443025344;0.0331271203352624;0.0730393135102774;0.155457992416683;0.0287367790860108;0.0540810217521453;0.0333266813011375;0.0171622430652564;0.0171622430652564;0.034723608062263
"CPER_001-M-30-37-20140812";0.633206944721612;0.010776292157254;0.0403113151067651;0.0929954100977849;0.0343244861305129;0.0245459988026342;0.0644581919776492;0.0287367790860108;0.018559169826382;0.0203552185192576;0.0317301935741369
"CPER_001-M-7-0-20140812";0.578926362003592;0.0109758531231291;0.0686489722610257;0.0878068249850329;0.0115745360207543;0.0295350229495111;0.064059070045899;0.0349231690281381;0.0295350229495111;0.0141688285771303;0.0698463380562762
"CPER_002-M-10-34-20140812";0.664538016363999;0.010576731191379;0.0674516064657753;0.0678507283975254;0.0129714627818799;0.0109758531231291;0.0492915585711435;0.021353023348633;0.0137697066453802;0.02674116942726;0.0544801436838954
"CPER_002-M-25-6-20140812";0.638195968868489;0.00917980443025344;0.0632608261823987;0.0540810217521453;0.0291359010177609;0.0171622430652564;0.058670923967272;0.0149670724406306;0.0253442426661345;0.0243464378367591;0.0656555577728996
"CPER_002-M-9-4-20140812";0.685092795849132;0.0117740969866294;0.074635801237278;0.04011175414089;0.0115745360207543;0.00798243863500299;0.0437038515266414;0.0201556575533826;0.018758730792257;0.0303332668130114;0.055877070445021
"CPER_003-M-15-7-20140812";0.561564557972461;0.00838156056675314;0.0419078028337657;0.0816204350429056;0.0417082418678906;0.0305328277788865;0.0882059469167831;0.0522849730592696;0.0139692676112552;0.02674116942726;0.0530832169227699
"CPER_003-M-33-11-20140812";0.518858511275195;0.0103771702255039;0.0752344841349032;0.0796248253841549;0.090600678507284;0.0273398523248853;0.0808221911794053;0.0353222909598882;0.0103771702255039;0.0283376571542606;0.0431051686290162
