"";"other";"copiotroph"
"BART_001-M-1-6-20140619";0.933226709316273;0.0667732906837265
"BART_001-M-7-5-20140619";0.942023190723711;0.0579768092762895
"BART_001-O-1-6-20140619";0.939824070371851;0.0601759296281487
"BART_006-M-3-26-20140619";0.745501799280288;0.254498200719712
"BART_006-M-33-3-20140619";0.937425029988005;0.0625749700119952
"BART_006-O-33-3-20140619";0.90203918432627;0.0979608156737305
"BART_028-M-33-4-20140619";0.948220711715314;0.0517792882846861
"CPER_001-M-22-32-20140812";0.622950819672131;0.377049180327869
"CPER_001-M-30-37-20140812";0.751499400239904;0.248500599760096
"CPER_001-M-7-0-20140812";0.666133546581367;0.333866453418633
"CPER_002-M-10-34-20140812";0.738104758096761;0.261895241903239
"CPER_002-M-25-6-20140812";0.674930027988805;0.325069972011196
"CPER_002-M-9-4-20140812";0.718112754898041;0.281887245101959
"CPER_003-M-15-7-20140812";0.67952818872451;0.32047181127549
"CPER_003-M-33-11-20140812";0.61515393842463;0.38484606157537
"CPER_004-M-0-30-20140812";0.678328668532587;0.321671331467413
"CPER_004-M-16-7-20140812";0.676529388244702;0.323470611755298
"CPER_004-M-23-38-20140812";0.682726909236306;0.317273090763695
"DSNY_001-M-1-6-20140813";0.90203918432627;0.0979608156737305
"DSNY_001-M-29-37-20140701";0.888244702119152;0.111755297880848
"DSNY_001-M-30-37-20140909";0.860455817672931;0.139544182327069
"DSNY_001-M-7-0-20140909";0.888244702119152;0.111755297880848
"DSNY_001-M-7-5-20140813";0.906837265093962;0.0931627349060376
"DSNY_001-M-9-11-20140701";0.832267093162735;0.167732906837265
"DSNY_001-M-9-17-20140813";0.934426229508197;0.0655737704918033
"DSNY_002-M-10-34-20140910";0.93062774890044;0.0693722510995602
"DSNY_002-M-11-0-20140813";0.938824470211915;0.0611755297880848
"DSNY_002-M-27-36-20140813";0.945221911235506;0.0547780887644942
"DSNY_002-M-30-5-20140813";0.93422630947621;0.0657736905237905
"DSNY_002-M-9-4-20140910";0.901039584166333;0.0989604158336665
"DSNY_003-M-1-7-20140813";0.952618952419032;0.0473810475809676
"DSNY_003-M-3-26-20140813";0.928428628548581;0.0715713714514194
"DSNY_004-M-21-38-20140813";0.937225109956018;0.0627748900439824
"DSNY_004-M-33-4-20140814";0.888044782087165;0.111955217912835
"DSNY_005-M-24-40-20140818";0.907237105157937;0.0927628948420632
"DSNY_005-M-33-2-20140814";0.935425829668133;0.0645741703318673
"DSNY_009-M-17-34-20140701";0.914234306277489;0.085765693722511
"DSNY_009-M-2-0-20140813";0.944822071171531;0.0551779288284686
"DSNY_009-M-29-2-20140701";0.761295481807277;0.238704518192723
"DSNY_009-M-33-11-20140910";0.961615353858457;0.0383846461415434
"DSNY_009-M-8-11-20140813";0.939024390243902;0.0609756097560976
"DSNY_016-M-0-30-20140910";0.704718112754898;0.295281887245102
"DSNY_016-M-12-7-20140701";0.8390643742503;0.1609356257497
"DSNY_016-M-16-7-20140910";0.704718112754898;0.295281887245102
"DSNY_016-M-3-37-20140813";0.794282287085166;0.205717712914834
"DSNY_016-M-35-24-20140701";0.861655337864854;0.138344662135146
"DSNY_016-M-36-16-20140813";0.934426229508197;0.0655737704918033
"DSNY_016-M-5-26-20140701";0.761695321871252;0.238304678128749
"DSNY_016-M-6-12-20140813";0.873050779688125;0.126949220311875
"DSNY_043-M-18-37-20140814";0.889044382247101;0.110955617752899
"DSNY_043-M-2-27-20140814";0.917632946821272;0.0823670531787285
"DSNY_043-M-33-17-20140814";0.905837664934026;0.0941623350659736
"HARV_001-M-14-7-20140812";0.911035585765694;0.0889644142343063
"HARV_001-M-15-1-20140812";0.945421831267493;0.054578168732507
"HARV_001-M-30-37-20140715";0.904038384646142;0.0959616153538585
"HARV_001-M-39-16-20140812";0.939824070371851;0.0601759296281487
"HARV_001-M-7-0-20140715";0.922630947620952;0.0773690523790484
"HARV_001-O-14-7-20140812";0.82906837265094;0.17093162734906
"HARV_001-O-15-1-20140812";0.822471011595362;0.177528988404638
"HARV_002-M-24-40-20140716";0.950019992003199;0.0499800079968013
"HARV_002-O-24-40-20140716";0.909836065573771;0.0901639344262295
"HARV_002-O-33-2-20140716";0.961215513794482;0.0387844862055178
"HARV_002-O-4-9-20140716";0.941423430627749;0.0585765693722511
"HARV_004-M-10-34-20140715";0.926629348260696;0.0733706517393043
"HARV_004-M-19-1-20140812";0.937624950019992;0.062375049980008
"HARV_004-M-25-6-20140715";0.947021191523391;0.0529788084766094
"HARV_004-M-3-28-20140812";0.93562574970012;0.06437425029988
"HARV_004-M-9-34-20140812";0.889444222311076;0.110555777688924
"HARV_004-M-9-4-20140715";0.886445421831268;0.113554578168733
"HARV_004-O-10-34-20140715";0.838264694122351;0.161735305877649
"HARV_004-O-19-1-20140812";0.886645341863255;0.113354658136745
"HARV_004-O-25-6-20140715";0.860455817672931;0.139544182327069
"HARV_004-O-3-28-20140812";0.763094762095162;0.236905237904838
"HARV_004-O-9-34-20140812";0.848460615753698;0.151539384246301
"HARV_010-M-2-0-20140715";0.890043982407037;0.109956017592963
"HARV_010-M-39-30-20140715";0.913634546181527;0.0863654538184726
"HARV_010-M-8-11-20140715";0.94562175129948;0.0543782487005198
"HARV_010-O-2-0-20140715";0.759296281487405;0.240703718512595
