"";"other";"denitrification"
"BART_001-M-1-6-20140619";0.953218712514994;0.046781287485006
"BART_001-M-7-5-20140619";0.953818472610956;0.0461815273890444
"BART_001-O-1-6-20140619";0.935025989604158;0.0649740103958417
"BART_006-M-3-26-20140619";0.933826469412235;0.0661735305877649
"BART_006-M-33-3-20140619";0.929628148740504;0.0703718512594962
"BART_006-O-33-3-20140619";0.905837664934026;0.0941623350659736
"BART_028-M-33-4-20140619";0.924030387844862;0.0759696121551379
"CPER_001-M-22-32-20140812";0.920831667333067;0.0791683326669332
"CPER_001-M-30-37-20140812";0.93202718912435;0.0679728108756497
"CPER_001-M-7-0-20140812";0.937824870051979;0.0621751299480208
"CPER_002-M-10-34-20140812";0.947221111555378;0.0527788884446222
"CPER_002-M-25-6-20140812";0.950819672131147;0.0491803278688525
"CPER_002-M-9-4-20140812";0.968812475009996;0.031187524990004
"CPER_003-M-15-7-20140812";0.913234706117553;0.086765293882447
"CPER_003-M-33-11-20140812";0.910635745701719;0.0893642542982807
"CPER_004-M-0-30-20140812";0.913834466213515;0.0861655337864854
"CPER_004-M-16-7-20140812";0.903838464614154;0.0961615353858457
"CPER_004-M-23-38-20140812";0.917233106757297;0.0827668932427029
"DSNY_001-M-1-6-20140813";0.948620551779288;0.0513794482207117
"DSNY_001-M-29-37-20140701";0.947021191523391;0.0529788084766094
"DSNY_001-M-30-37-20140909";0.924430227908836;0.0755697720911635
"DSNY_001-M-7-0-20140909";0.94922031187525;0.0507796881247501
"DSNY_001-M-7-5-20140813";0.931827269092363;0.0681727309076369
"DSNY_001-M-9-11-20140701";0.932826869252299;0.0671731307477009
"DSNY_001-M-9-17-20140813";0.956817273090764;0.0431827269092363
"DSNY_002-M-10-34-20140910";0.947620951619352;0.0523790483806477
"DSNY_002-M-11-0-20140813";0.947421031587365;0.0525789684126349
"DSNY_002-M-27-36-20140813";0.963214714114354;0.0367852858856457
"DSNY_002-M-30-5-20140813";0.929628148740504;0.0703718512594962
"DSNY_002-M-9-4-20140910";0.943222710915634;0.0567772890843663
"DSNY_003-M-1-7-20140813";0.958816473410636;0.0411835265893643
"DSNY_003-M-3-26-20140813";0.941423430627749;0.0585765693722511
"DSNY_004-M-21-38-20140813";0.962215113954418;0.0377848860455818
"DSNY_004-M-33-4-20140814";0.95281887245102;0.0471811275489804
"DSNY_005-M-24-40-20140818";0.953418632546981;0.0465813674530188
"DSNY_005-M-33-2-20140814";0.957017193122751;0.0429828068772491
"DSNY_009-M-17-34-20140701";0.947421031587365;0.0525789684126349
"DSNY_009-M-2-0-20140813";0.956617353058776;0.0433826469412235
"DSNY_009-M-29-2-20140701";0.886045581767293;0.113954418232707
"DSNY_009-M-33-11-20140910";0.965013994402239;0.0349860055977609
"DSNY_009-M-8-11-20140813";0.956017592962815;0.0439824070371851
"DSNY_016-M-0-30-20140910";0.90343862455018;0.0965613754498201
"DSNY_016-M-12-7-20140701";0.924430227908836;0.0755697720911635
"DSNY_016-M-16-7-20140910";0.905237904838065;0.0947620951619352
"DSNY_016-M-3-37-20140813";0.928028788484606;0.0719712115153938
"DSNY_016-M-35-24-20140701";0.926429428228709;0.0735705717712915
"DSNY_016-M-36-16-20140813";0.948820471811275;0.0511795281887245
"DSNY_016-M-5-26-20140701";0.900839664134346;0.0991603358656537
"DSNY_016-M-6-12-20140813";0.93702518992403;0.0629748100759696
"DSNY_043-M-18-37-20140814";0.926829268292683;0.0731707317073171
"DSNY_043-M-2-27-20140814";0.928028788484606;0.0719712115153938
"DSNY_043-M-33-17-20140814";0.938024790083966;0.0619752099160336
"HARV_001-M-14-7-20140812";0.901239504198321;0.0987604958016793
"HARV_001-M-15-1-20140812";0.934026389444222;0.0659736105557777
"HARV_001-M-30-37-20140715";0.913234706117553;0.086765293882447
"HARV_001-M-39-16-20140812";0.940823670531787;0.0591763294682127
"HARV_001-M-7-0-20140715";0.930027988804478;0.0699720111955218
"HARV_001-O-14-7-20140812";0.900239904038385;0.0997600959616153
"HARV_001-O-15-1-20140812";0.934426229508197;0.0655737704918033
"HARV_002-M-24-40-20140716";0.924230307876849;0.0757696921231507
"HARV_002-O-24-40-20140716";0.92063174730108;0.0793682526989204
"HARV_002-O-33-2-20140716";0.944822071171531;0.0551779288284686
"HARV_002-O-4-9-20140716";0.944622151139544;0.0553778488604558
"HARV_004-M-10-34-20140715";0.932626949220312;0.0673730507796881
"HARV_004-M-19-1-20140812";0.932626949220312;0.0673730507796881
"HARV_004-M-25-6-20140715";0.939624150339864;0.0603758496601359
"HARV_004-M-3-28-20140812";0.936625349860056;0.063374650139944
"HARV_004-M-9-34-20140812";0.904238304678129;0.0957616953218712
"HARV_004-M-9-4-20140715";0.910635745701719;0.0893642542982807
"HARV_004-O-10-34-20140715";0.824270291883247;0.175729708116753
"HARV_004-O-19-1-20140812";0.937624950019992;0.062375049980008
"HARV_004-O-25-6-20140715";0.85265893642543;0.14734106357457
"HARV_004-O-3-28-20140812";0.769492203118753;0.230507796881248
"HARV_004-O-9-34-20140812";0.867453018792483;0.132546981207517
"HARV_010-M-2-0-20140715";0.929028388644542;0.0709716113554578
"HARV_010-M-39-30-20140715";0.884246301479408;0.115753698520592
"HARV_010-M-8-11-20140715";0.948220711715314;0.0517792882846861
"HARV_010-O-2-0-20140715";0.836665333866453;0.163334666133547
"HARV_010-O-39-30-20140715";0.913234706117553;0.086765293882447
"HARV_010-O-8-11-20140715";0.844462215113954;0.155537784886046
"HARV_013-M-0-13-20140812";0.87984806077569;0.12015193922431
"HARV_013-M-14-6-20140812";0.950219912035186;0.0497800879648141
"HARV_013-M-15-7-20140717";0.939424230307877;0.0605757696921232
"HARV_013-M-28-3-20140812";0.935825669732107;0.0641743302678928
"HARV_013-M-4-7-20140717";0.873650539784086;0.126349460215914
"HARV_013-O-0-13-20140812";0.911835265893642;0.0881647341063575
"HARV_013-O-14-6-20140812";0.902239104358257;0.0977608956417433
"HARV_013-O-15-7-20140717";0.946621351459416;0.0533786485405838
"HARV_013-O-28-3-20140812";0.898640543782487;0.101359456217513
"HARV_013-O-33-11-20140716";0.91703318672531;0.0829668132746901
"HARV_016-M-0-30-20140715";0.914034386245502;0.0859656137544982
"HARV_016-M-16-7-20140715";0.955017992802879;0.0449820071971212
"HARV_016-O-0-30-20140715";0.814074370251899;0.185925629748101
"HARV_016-O-16-7-20140715";0.862255097960816;0.137744902039184
"HARV_020-M-12-33-20140812";0.928028788484606;0.0719712115153938
"HARV_020-M-30-27-20140812";0.925829668132747;0.0741703318672531
"HARV_020-M-37-22-20140812";0.954618152738904;0.0453818472610956
"HARV_020-O-12-33-20140812";0.867453018792483;0.132546981207517
"HARV_020-O-30-27-20140812";0.904238304678129;0.0957616953218712
"HARV_020-O-37-22-20140812";0.860655737704918;0.139344262295082
"HARV_021-M-3-37-20140717";0.943422630947621;0.056577369052379
"HARV_021-M-36-16-20140717";0.867852858856457;0.132147141143543
"HARV_021-M-6-12-20140717";0.914834066373451;0.0851659336265494
"HARV_021-O-3-37-20140717";0.924630147940824;0.0753698520591763
"HARV_021-O-36-16-20140717";0.920431827269092;0.0795681727309076
"HARV_033-M-23-30-20140717";0.95421831267493;0.04578168732507
"HARV_033-M-30-38-20140717";0.96421431427429;0.0357856857257097
"HARV_033-M-33-4-20140717";0.968612554978009;0.0313874450219912
"HARV_033-O-23-30-20140717";0.903238704518193;0.0967612954818073
"HARV_033-O-30-38-20140717";0.913634546181527;0.0863654538184726
"HARV_034-M-23-8-20140717";0.953818472610956;0.0461815273890444
"HARV_034-M-31-3-20140717";0.940223910435826;0.0597760895641743
"HARV_034-O-19-30-20140717";0.93562574970012;0.06437425029988
"HARV_035-M-33-17-20140716";0.95281887245102;0.0471811275489804
"HARV_035-O-18-37-20140717";0.928428628548581;0.0715713714514194
"JERC_001-M-1-6-20140805";0.951419432227109;0.0485805677728908
"JERC_001-M-17-34-20140710";0.93702518992403;0.0629748100759696
"JERC_001-M-29-2-20140710";0.921431427429028;0.0785685725709716
"JERC_001-M-7-5-20140805";0.9406237504998;0.0593762495001999
"JERC_001-M-9-17-20140805";0.955417832866853;0.0445821671331467
"JERC_002-M-11-0-20140805";0.942822870851659;0.0571771291483407
"JERC_002-M-12-7-20140710";0.949420231907237;0.0505797680927629
"JERC_002-M-27-36-20140805";0.946421431427429;0.053578568572571
"JERC_002-M-35-24-20140710";0.937225109956018;0.0627748900439824
"JERC_003-M-1-7-20140805";0.941423430627749;0.0585765693722511
"JERC_003-M-3-26-20140805";0.963014794082367;0.0369852059176329
"JERC_003-M-33-0-20140805";0.900639744102359;0.0993602558976409
"JERC_005-M-24-40-20140805";0.951419432227109;0.0485805677728908
"JERC_005-M-33-2-20140805";0.952419032387045;0.0475809676129548
"JERC_005-M-4-9-20140805";0.935425829668133;0.0645741703318673
"JERC_006-M-15-33-20140710";0.938224710115954;0.0617752898840464
"JERC_006-M-2-0-20140805";0.908236705317873;0.0917632946821272
"JERC_006-M-21-39-20140710";0.962415033986405;0.0375849660135946
"JERC_006-M-2-33-20140710";0.950419832067173;0.0495801679328269
"JERC_006-M-39-30-20140805";0.95421831267493;0.04578168732507
"JERC_006-M-8-11-20140805";0.938224710115954;0.0617752898840464
"JERC_008-M-23-30-20140805";0.936025589764094;0.0639744102359056
"JERC_008-M-33-4-20140805";0.948020791683327;0.0519792083166733
"JERC_047-M-3-32-20140805";0.954618152738904;0.0453818472610956
"JERC_047-M-36-16-20140805";0.952219112355058;0.047780887644942
"JERC_047-M-6-12-20140805";0.931827269092363;0.0681727309076369
"JERC_048-M-19-30-20140805";0.947421031587365;0.0525789684126349
"JERC_048-M-27-8-20140805";0.956217512994802;0.0437824870051979
"JERC_048-M-31-3-20140805";0.964814074370252;0.0351859256297481
"JERC_049-M-18-17-20140805";0.95061975209916;0.0493802479008397
"JERC_049-M-2-27-20140805";0.930827668932427;0.069172331067573
"ORNL_001-O-17-34-20140715";0.926629348260696;0.0733706517393043
"ORNL_002-O-5-26-20140714";0.931427429028389;0.0685725709716114
"ORNL_003-O-9-11-20140714";0.885445821671331;0.114554178328669
"ORNL_021-O-15-33-20140714";0.92702918832467;0.0729708116753299
"ORNL_027-O-2-33-20140715";0.927229108356657;0.0727708916433427
"ORNL_029-O-9-2-20140714";0.953018792483007;0.0469812075169932
"ORNL_031-O-11-3-20140714";0.912435025989604;0.0875649740103958
"ORNL_037-O-4-23-20140715";0.924630147940824;0.0753698520591763
