"";"other";"dissim_nitrate_reduction"
"BART_001-M-1-6-20140619";0.95561775289884;0.0443822471011595
"BART_001-M-7-5-20140619";0.958216713314674;0.0417832866853259
"BART_001-O-1-6-20140619";0.936425429828069;0.0635745701719312
"BART_006-M-3-26-20140619";0.941023590563774;0.0589764094362255
"BART_006-M-33-3-20140619";0.932227109156337;0.0677728908436625
"BART_006-O-33-3-20140619";0.910035985605758;0.0899640143942423
"BART_028-M-33-4-20140619";0.925229908036785;0.0747700919632147
"CPER_001-M-22-32-20140812";0.856057576969212;0.143942423030788
"CPER_001-M-30-37-20140812";0.924830067972811;0.0751699320271891
"CPER_001-M-7-0-20140812";0.916233506597361;0.0837664934026389
"CPER_002-M-10-34-20140812";0.934826069572171;0.0651739304278289
"CPER_002-M-25-6-20140812";0.927828868452619;0.072171131547381
"CPER_002-M-9-4-20140812";0.956017592962815;0.0439824070371851
"CPER_003-M-15-7-20140812";0.900639744102359;0.0993602558976409
"CPER_003-M-33-11-20140812";0.870851659336266;0.129148340663735
"CPER_004-M-0-30-20140812";0.891843262694922;0.108156737305078
"CPER_004-M-16-7-20140812";0.901839264294282;0.0981607357057177
"CPER_004-M-23-38-20140812";0.905637744902039;0.0943622550979608
"DSNY_001-M-1-6-20140813";0.949420231907237;0.0505797680927629
"DSNY_001-M-29-37-20140701";0.944822071171531;0.0551779288284686
"DSNY_001-M-30-37-20140909";0.929228308676529;0.0707716913234706
"DSNY_001-M-7-0-20140909";0.949820071971212;0.0501799280287885
"DSNY_001-M-7-5-20140813";0.932626949220312;0.0673730507796881
"DSNY_001-M-9-11-20140701";0.932227109156337;0.0677728908436625
"DSNY_001-M-9-17-20140813";0.958216713314674;0.0417832866853259
"DSNY_002-M-10-34-20140910";0.944022391043583;0.0559776089564174
"DSNY_002-M-11-0-20140813";0.945421831267493;0.054578168732507
"DSNY_002-M-27-36-20140813";0.960615753698521;0.0393842463014794
"DSNY_002-M-30-5-20140813";0.925229908036785;0.0747700919632147
"DSNY_002-M-9-4-20140910";0.934026389444222;0.0659736105557777
"DSNY_003-M-1-7-20140813";0.959616153538585;0.0403838464614154
"DSNY_003-M-3-26-20140813";0.939424230307877;0.0605757696921232
"DSNY_004-M-21-38-20140813";0.96281487405038;0.0371851259496202
"DSNY_004-M-33-4-20140814";0.953218712514994;0.046781287485006
"DSNY_005-M-24-40-20140818";0.953218712514994;0.046781287485006
"DSNY_005-M-33-2-20140814";0.956617353058776;0.0433826469412235
"DSNY_009-M-17-34-20140701";0.947421031587365;0.0525789684126349
"DSNY_009-M-2-0-20140813";0.954418232706917;0.0455817672930828
"DSNY_009-M-29-2-20140701";0.867852858856457;0.132147141143543
"DSNY_009-M-33-11-20140910";0.961215513794482;0.0387844862055178
"DSNY_009-M-8-11-20140813";0.951619352259096;0.0483806477409036
"DSNY_016-M-0-30-20140910";0.866653338664534;0.133346661335466
"DSNY_016-M-12-7-20140701";0.922830867652939;0.0771691323470612
"DSNY_016-M-16-7-20140910";0.897640943622551;0.102359056377449
"DSNY_016-M-3-37-20140813";0.924030387844862;0.0759696121551379
"DSNY_016-M-35-24-20140701";0.926429428228709;0.0735705717712915
"DSNY_016-M-36-16-20140813";0.94922031187525;0.0507796881247501
"DSNY_016-M-5-26-20140701";0.896641343462615;0.103358656537385
"DSNY_016-M-6-12-20140813";0.929428228708517;0.0705717712914834
"DSNY_043-M-18-37-20140814";0.920231907237105;0.0797680927628948
"DSNY_043-M-2-27-20140814";0.925029988004798;0.0749700119952019
"DSNY_043-M-33-17-20140814";0.937824870051979;0.0621751299480208
"HARV_001-M-14-7-20140812";0.90483806477409;0.0951619352259096
"HARV_001-M-15-1-20140812";0.93422630947621;0.0657736905237905
"HARV_001-M-30-37-20140715";0.913234706117553;0.086765293882447
"HARV_001-M-39-16-20140812";0.944022391043583;0.0559776089564174
"HARV_001-M-7-0-20140715";0.934026389444222;0.0659736105557777
"HARV_001-O-14-7-20140812";0.902638944422231;0.0973610555777689
"HARV_001-O-15-1-20140812";0.928828468612555;0.071171531387445
"HARV_002-M-24-40-20140716";0.925429828068772;0.0745701719312275
"HARV_002-O-24-40-20140716";0.9234306277489;0.0765693722510996
"HARV_002-O-33-2-20140716";0.946421431427429;0.053578568572571
"HARV_002-O-4-9-20140716";0.947021191523391;0.0529788084766094
"HARV_004-M-10-34-20140715";0.933026789284286;0.0669732107157137
"HARV_004-M-19-1-20140812";0.934626149540184;0.0653738504598161
"HARV_004-M-25-6-20140715";0.940823670531787;0.0591763294682127
"HARV_004-M-3-28-20140812";0.937624950019992;0.062375049980008
"HARV_004-M-9-34-20140812";0.90343862455018;0.0965613754498201
"HARV_004-M-9-4-20140715";0.91203518592563;0.0879648140743702
"HARV_004-O-10-34-20140715";0.821071571371451;0.178928428628549
"HARV_004-O-19-1-20140812";0.936825269892043;0.0631747301079568
"HARV_004-O-25-6-20140715";0.852459016393443;0.147540983606557
"HARV_004-O-3-28-20140812";0.771691323470612;0.228308676529388
"HARV_004-O-9-34-20140812";0.855657736905238;0.144342263094762
"HARV_010-M-2-0-20140715";0.932427029188325;0.0675729708116753
"HARV_010-M-39-30-20140715";0.88484606157537;0.11515393842463
"HARV_010-M-8-11-20140715";0.951819272291084;0.0481807277089164
"HARV_010-O-2-0-20140715";0.837465013994402;0.162534986005598
"HARV_010-O-39-30-20140715";0.920231907237105;0.0797680927628948
"HARV_010-O-8-11-20140715";0.840663734506197;0.159336265493802
"HARV_013-M-0-13-20140812";0.87984806077569;0.12015193922431
"HARV_013-M-14-6-20140812";0.951819272291084;0.0481807277089164
"HARV_013-M-15-7-20140717";0.941823270691723;0.0581767293082767
"HARV_013-M-28-3-20140812";0.941223510595762;0.0587764894042383
"HARV_013-M-4-7-20140717";0.876049580167933;0.123950419832067
"HARV_013-O-0-13-20140812";0.912634946021591;0.0873650539784086
"HARV_013-O-14-6-20140812";0.877049180327869;0.122950819672131
"HARV_013-O-15-7-20140717";0.949420231907237;0.0505797680927629
"HARV_013-O-28-3-20140812";0.901439424230308;0.0985605757696921
"HARV_013-O-33-11-20140716";0.91703318672531;0.0829668132746901
"HARV_016-M-0-30-20140715";0.925029988004798;0.0749700119952019
"HARV_016-M-16-7-20140715";0.957417033186725;0.0425829668132747
"HARV_016-O-0-30-20140715";0.809476209516193;0.190523790483806
"HARV_016-O-16-7-20140715";0.865053978408637;0.134946021591363
"HARV_020-M-12-33-20140812";0.927828868452619;0.072171131547381
"HARV_020-M-30-27-20140812";0.927828868452619;0.072171131547381
"HARV_020-M-37-22-20140812";0.958416633346661;0.0415833666533387
"HARV_020-O-12-33-20140812";0.857257097161136;0.142742902838864
"HARV_020-O-30-27-20140812";0.903838464614154;0.0961615353858457
"HARV_020-O-37-22-20140812";0.859256297481008;0.140743702518992
"HARV_021-M-3-37-20140717";0.94562175129948;0.0543782487005198
"HARV_021-M-36-16-20140717";0.868852459016393;0.131147540983607
"HARV_021-M-6-12-20140717";0.915833666533387;0.0841663334666134
"HARV_021-O-3-37-20140717";0.926429428228709;0.0735705717712915
"HARV_021-O-36-16-20140717";0.922630947620952;0.0773690523790484
"HARV_033-M-23-30-20140717";0.95561775289884;0.0443822471011595
"HARV_033-M-30-38-20140717";0.967013194722111;0.0329868052778888
"HARV_033-M-33-4-20140717";0.970811675329868;0.0291883246701319
"HARV_033-O-23-30-20140717";0.90483806477409;0.0951619352259096
"HARV_033-O-30-38-20140717";0.917832866853259;0.0821671331467413
"HARV_034-M-23-8-20140717";0.95561775289884;0.0443822471011595
"HARV_034-M-31-3-20140717";0.941423430627749;0.0585765693722511
"HARV_034-O-19-30-20140717";0.938024790083966;0.0619752099160336
"HARV_035-M-33-17-20140716";0.953618552578968;0.0463814474210316
"HARV_035-O-18-37-20140717";0.929628148740504;0.0703718512594962
"JERC_001-M-1-6-20140805";0.944022391043583;0.0559776089564174
"JERC_001-M-17-34-20140710";0.939624150339864;0.0603758496601359
"JERC_001-M-29-2-20140710";0.920231907237105;0.0797680927628948
"JERC_001-M-7-5-20140805";0.936625349860056;0.063374650139944
"JERC_001-M-9-17-20140805";0.953418632546981;0.0465813674530188
"JERC_002-M-11-0-20140805";0.941423430627749;0.0585765693722511
"JERC_002-M-12-7-20140710";0.947221111555378;0.0527788884446222
"JERC_002-M-27-36-20140805";0.94562175129948;0.0543782487005198
"JERC_002-M-35-24-20140710";0.936225509796082;0.0637744902039184
"JERC_003-M-1-7-20140805";0.934426229508197;0.0655737704918033
"JERC_003-M-3-26-20140805";0.962015193922431;0.037984806077569
