"";"other";"dissim_nitrite_reduction"
"BART_001-M-1-6-20140619";0.935025989604158;0.0649740103958417
"BART_001-M-7-5-20140619";0.928828468612555;0.071171531387445
"BART_001-O-1-6-20140619";0.916033586565374;0.0839664134346261
"BART_006-M-3-26-20140619";0.917632946821272;0.0823670531787285
"BART_006-M-33-3-20140619";0.913834466213515;0.0861655337864854
"BART_006-O-33-3-20140619";0.882846861255498;0.117153138744502
"BART_028-M-33-4-20140619";0.896841263494602;0.103158736505398
"CPER_001-M-22-32-20140812";0.911435425829668;0.0885645741703319
"CPER_001-M-30-37-20140812";0.918032786885246;0.0819672131147541
"CPER_001-M-7-0-20140812";0.916033586565374;0.0839664134346261
"CPER_002-M-10-34-20140812";0.921631347461016;0.0783686525389844
"CPER_002-M-25-6-20140812";0.938224710115954;0.0617752898840464
"CPER_002-M-9-4-20140812";0.9578168732507;0.0421831267493003
"CPER_003-M-15-7-20140812";0.904238304678129;0.0957616953218712
"CPER_003-M-33-11-20140812";0.894642143142743;0.105357856857257
"CPER_004-M-0-30-20140812";0.899040383846461;0.100959616153539
"CPER_004-M-16-7-20140812";0.882247101159536;0.117752898840464
"CPER_004-M-23-38-20140812";0.895041983206717;0.104958016793283
"DSNY_001-M-1-6-20140813";0.904238304678129;0.0957616953218712
"DSNY_001-M-29-37-20140701";0.92562974810076;0.0743702518992403
"DSNY_001-M-30-37-20140909";0.903838464614154;0.0961615353858457
"DSNY_001-M-7-0-20140909";0.92063174730108;0.0793682526989204
"DSNY_001-M-7-5-20140813";0.898640543782487;0.101359456217513
"DSNY_001-M-9-11-20140701";0.906037584966014;0.0939624150339864
"DSNY_001-M-9-17-20140813";0.920231907237105;0.0797680927628948
"DSNY_002-M-10-34-20140910";0.919232307077169;0.0807676929228309
"DSNY_002-M-11-0-20140813";0.908836465413834;0.0911635345861655
"DSNY_002-M-27-36-20140813";0.928828468612555;0.071171531387445
"DSNY_002-M-30-5-20140813";0.896241503398641;0.103758496601359
"DSNY_002-M-9-4-20140910";0.902638944422231;0.0973610555777689
"DSNY_003-M-1-7-20140813";0.922830867652939;0.0771691323470612
"DSNY_003-M-3-26-20140813";0.895441823270692;0.104558176729308
"DSNY_004-M-21-38-20140813";0.925029988004798;0.0749700119952019
"DSNY_004-M-33-4-20140814";0.923230707716913;0.0767692922830868
"DSNY_005-M-24-40-20140818";0.921831267493003;0.0781687325069972
"DSNY_005-M-33-2-20140814";0.921031587365054;0.078968412634946
"DSNY_009-M-17-34-20140701";0.909636145541783;0.0903638544582167
"DSNY_009-M-2-0-20140813";0.920031987205118;0.0799680127948821
"DSNY_009-M-29-2-20140701";0.847461015593763;0.152538984406238
"DSNY_009-M-33-11-20140910";0.931627349060376;0.0683726509396241
"DSNY_009-M-8-11-20140813";0.907437025189924;0.092562974810076
"DSNY_016-M-0-30-20140910";0.876849260295882;0.123150739704118
"DSNY_016-M-12-7-20140701";0.903038784486206;0.0969612155137945
"DSNY_016-M-16-7-20140910";0.894042383046781;0.105957616953219
"DSNY_016-M-3-37-20140813";0.904038384646142;0.0959616153538585
"DSNY_016-M-35-24-20140701";0.902439024390244;0.0975609756097561
"DSNY_016-M-36-16-20140813";0.921831267493003;0.0781687325069972
"DSNY_016-M-5-26-20140701";0.871051579368253;0.128948420631747
"DSNY_016-M-6-12-20140813";0.898040783686525;0.101959216313475
"DSNY_043-M-18-37-20140814";0.889444222311076;0.110555777688924
"DSNY_043-M-2-27-20140814";0.876449420231907;0.123550579768093
"DSNY_043-M-33-17-20140814";0.896041583366653;0.103958416633347
"HARV_001-M-14-7-20140812";0.880847660935626;0.119152339064374
"HARV_001-M-15-1-20140812";0.913834466213515;0.0861655337864854
"HARV_001-M-30-37-20140715";0.911835265893642;0.0881647341063575
"HARV_001-M-39-16-20140812";0.915033986405438;0.0849660135945622
"HARV_001-M-7-0-20140715";0.896841263494602;0.103158736505398
