"";"other";"acetobacteraceae";"bradyrhizobiaceae";"caulobacteraceae";"comamonadaceae";"hyphomicrobiaceae";"mycobacteriaceae";"oxalobacteraceae";"rhodospirillaceae";"sphingomonadaceae";"xanthomonadaceae"
"BART_001-M-1-6-20140619";0.90760327279984;0.00439034124925165;0.00439034124925165;0.00119736579525045;0.000199560965875075;0.0301337058471363;0.00039912193175015;0.00179604869287567;0.0484933147076432;0.000598682897625224;0.000798243863500299
"BART_001-M-7-5-20140619";0.908601077629216;0.00419078028337657;0.010576731191379;0.00339253641987627;0.00039912193175015;0.023947315905009;0.000598682897625224;0.000997804829375374;0.0462981440830174;0.000199560965875075;0.000798243863500299
"BART_001-O-1-6-20140619";0.887048493314708;0.00858112153262822;0.0039912193175015;0.00379165835162642;0.000199560965875075;0.0502893634005189;0.000798243863500299;0.000199560965875075;0.0441029734583915;0.000199560965875075;0.000798243863500299
"BART_006-M-3-26-20140619";0.763320694472161;0.0015964877270006;0.00937936539612852;0.000199560965875075;0.000598682897625224;0.0179604869287567;0.000598682897625224;0.177409698662942;0.0285372181201357;0.000199560965875075;0.000199560965875075
"BART_006-M-33-3-20140619";0.885651566553582;0.0047894631810018;0.018559169826382;0.00458990221512672;0.00039912193175015;0.0261424865296348;0.00179604869287567;0.00259429255637597;0.0536818998203951;0.000199560965875075;0.0015964877270006
"BART_006-O-33-3-20140619";0.892835761325085;0.0181600478946318;0.0125723408501297;0.00518858511275195;0.000199560965875075;0.0243464378367591;0.00738375573737777;0.00279385352225105;0.029335461983636;0.000199560965875075;0.00698463380562762
"BART_028-M-33-4-20140619";0.886449810417082;0.0127719018160048;0.00997804829375374;0.00339253641987627;0.000199560965875075;0.0468968269806426;0.000798243863500299;0.00039912193175015;0.0379165835162642;0.000199560965875075;0.000997804829375374
"CPER_001-M-22-32-20140812";0.940131710237478;0.000199560965875075;0.00758331670325284;0.00119736579525045;0.00379165835162642;0.0263420474955099;0.000199560965875075;0.000997804829375374;0.00758331670325284;0.0111754140890042;0.000798243863500299
"CPER_001-M-30-37-20140812";0.924565954899222;0.00359209738575135;0.00878068249850329;0.00199560965875075;0.00419078028337657;0.0163639992017561;0.000997804829375374;0.0023947315905009;0.0157653163041309;0.018758730792257;0.00259429255637597
"CPER_001-M-7-0-20140812";0.929754540011974;0.000798243863500299;0.00937936539612852;0.000997804829375374;0.0023947315905009;0.0157653163041309;0.000798243863500299;0.00119736579525045;0.0145679505088805;0.0221512672121333;0.00219517062462582
"CPER_002-M-10-34-20140812";0.943524246657354;0.00119736579525045;0.0101776092596288;0.00259429255637597;0.0023947315905009;0.0181600478946318;0.00179604869287567;0.000598682897625224;0.00917980443025344;0.00917980443025344;0.00119736579525045
"CPER_002-M-25-6-20140812";0.947116344043105;0.00119736579525045;0.00618638994212732;0.00199560965875075;0.00179604869287567;0.0271402913590102;0.000997804829375374;0.0015964877270006;0.00538814607862702;0.00578726801037717;0.000798243863500299
"CPER_002-M-9-4-20140812";0.961684294551986;0.000798243863500299;0.00878068249850329;0.000997804829375374;0.00119736579525045;0.0125723408501297;0.00139692676112552;0.000199560965875075;0.0055877070445021;0.00658551187387747;0.000199560965875075
"CPER_003-M-15-7-20140812";0.926362003592097;0.000199560965875075;0.00758331670325284;0.00139692676112552;0.00538814607862702;0.0235481939732588;0.00119736579525045;0.0039912193175015;0.0127719018160048;0.0141688285771303;0.00339253641987627
