"";"other";"bacillus";"bradyrhizobium";"chthoniobacter";"devosia";"mycobacterium";"opitutus";"phenylobacterium";"pseudomonas";"rhodoplanes";"sphingomonas"
"BART_001-M-1-6-20140619";0.961883855517861;0.000598682897625224;0.00439034124925165;0.000199560965875075;0.00039912193175015;0.00039912193175015;0.00379165835162642;0.00039912193175015;0.000199560965875075;0.0275394132907603;0.000199560965875075
"BART_001-M-7-5-20140619";0.960486928756735;0.000598682897625224;0.0103771702255039;0.000798243863500299;0.000199560965875075;0.000598682897625224;0.000798243863500299;0.0015964877270006;0.000798243863500299;0.0235481939732588;0.000199560965875075
"BART_001-O-1-6-20140619";0.938934344442227;0.000199560965875075;0.0039912193175015;0.000798243863500299;0.000199560965875075;0.000798243863500299;0.00518858511275195;0.000199560965875075;0.000199560965875075;0.0492915585711435;0.000199560965875075
"BART_006-M-3-26-20140619";0.954500099780483;0.000798243863500299;0.00937936539612852;0.000199560965875075;0.000199560965875075;0.000598682897625224;0.000199560965875075;0.000199560965875075;0.0167631211335063;0.0169626820993814;0.000199560965875075
"BART_006-M-33-3-20140619";0.947515465974855;0.000997804829375374;0.018559169826382;0.000798243863500299;0.000199560965875075;0.00179604869287567;0.000598682897625224;0.0031929754540012;0.000199560965875075;0.0259429255637597;0.000199560965875075
"BART_006-O-33-3-20140619";0.94731590500898;0.00039912193175015;0.0123727798842546;0.00279385352225105;0.000199560965875075;0.00738375573737777;0.000997804829375374;0.00379165835162642;0.000199560965875075;0.0243464378367591;0.000199560965875075
"BART_028-M-33-4-20140619";0.9335461983636;0.000199560965875075;0.00997804829375374;0.00299341448812612;0.000199560965875075;0.000798243863500299;0.0023947315905009;0.00279385352225105;0.000199560965875075;0.0466972660147675;0.000199560965875075
"CPER_001-M-22-32-20140812";0.94771502694073;0.0163639992017561;0.0047894631810018;0.00219517062462582;0.0015964877270006;0.000199560965875075;0.0023947315905009;0.00119736579525045;0.000199560965875075;0.0191578527240072;0.00419078028337657
"CPER_001-M-30-37-20140812";0.952704051087607;0.00578726801037717;0.00858112153262822;0.000199560965875075;0.000598682897625224;0.000997804829375374;0.00439034124925165;0.00179604869287567;0.000798243863500299;0.0147675114747555;0.00937936539612852
"CPER_001-M-7-0-20140812";0.966274196767112;0.00139692676112552;0.00937936539612852;0.00219517062462582;0.000598682897625224;0.000798243863500299;0.00179604869287567;0.000997804829375374;0.000199560965875075;0.0113749750548793;0.00498902414687687
"CPER_002-M-10-34-20140812";0.96108561165436;0.0031929754540012;0.0101776092596288;0.0023947315905009;0.00199560965875075;0.00179604869287567;0.000598682897625224;0.000199560965875075;0.000199560965875075;0.0151666334065057;0.0031929754540012
"CPER_002-M-25-6-20140812";0.959289562961485;0.000199560965875075;0.0055877070445021;0.00419078028337657;0.00039912193175015;0.000997804829375374;0.00139692676112552;0.000798243863500299;0.000199560965875075;0.0255438036320096;0.00139692676112552
"CPER_002-M-9-4-20140812";0.975653562163241;0.000199560965875075;0.00878068249850329;0.000199560965875075;0.000199560965875075;0.00139692676112552;0.00139692676112552;0.000598682897625224;0.000199560965875075;0.0111754140890042;0.000199560965875075
"CPER_003-M-15-7-20140812";0.954899221712233;0.00359209738575135;0.00538814607862702;0.00139692676112552;0.00179604869287567;0.00119736579525045;0.00518858511275195;0.00139692676112552;0.00039912193175015;0.0201556575533826;0.00458990221512672
"CPER_003-M-33-11-20140812";0.948912392735981;0.0209539014168829;0.00658551187387747;0.000199560965875075;0.000997804829375374;0.0015964877270006;0.00179604869287567;0.000199560965875075;0.000199560965875075;0.0155657553382558;0.00299341448812612
"CPER_004-M-0-30-20140812";0.955697465575733;0.00937936539612852;0.0111754140890042;0.000598682897625224;0.0015964877270006;0.00179604869287567;0.0015964877270006;0.000997804829375374;0.00119736579525045;0.0143683895430054;0.0015964877270006
"CPER_004-M-16-7-20140812";0.942925563759729;0.000199560965875075;0.0109758531231291;0.00219517062462582;0.0023947315905009;0.0015964877270006;0.00538814607862702;0.00199560965875075;0.000199560965875075;0.0219517062462582;0.0101776092596288
"CPER_004-M-23-38-20140812";0.936340051885851;0.0303332668130114;0.00838156056675314;0.00339253641987627;0.000199560965875075;0.000997804829375374;0.00359209738575135;0.000199560965875075;0.00139692676112552;0.0139692676112552;0.00119736579525045
"DSNY_001-M-1-6-20140813";0.957892636200359;0.00279385352225105;0.000798243863500299;0.00039912193175015;0.000199560965875075;0.00359209738575135;0.000199560965875075;0.000997804829375374;0.00039912193175015;0.0325284374376372;0.000199560965875075
