"";"other";"lignolytic"
"BART_001-M-1-6-20140619";0.999200319872051;0.00079968012794882
"BART_001-M-7-5-20140619";0.99860055977609;0.00139944022391044
"BART_001-O-1-6-20140619";0.999600159936026;0.00039984006397441
"BART_006-M-3-26-20140619";0.982207117153139;0.0177928828468613
"BART_006-M-33-3-20140619";0.999000399840064;0.000999600159936026
"BART_006-O-33-3-20140619";0.999400239904038;0.000599760095961615
"BART_028-M-33-4-20140619";0.999800079968013;0.000199920031987205
"CPER_001-M-22-32-20140812";0.972011195521791;0.0279888044782087
"CPER_001-M-30-37-20140812";0.981207516993203;0.0187924830067973
"CPER_001-M-7-0-20140812";0.983806477409036;0.0161935225909636
"CPER_002-M-10-34-20140812";0.984206317473011;0.0157936825269892
"CPER_002-M-25-6-20140812";0.995201919232307;0.00479808076769292
"CPER_002-M-9-4-20140812";0.997401039584166;0.00259896041583367
"CPER_003-M-15-7-20140812";0.983806477409036;0.0161935225909636
"CPER_003-M-33-11-20140812";0.961215513794482;0.0387844862055178
"CPER_004-M-0-30-20140812";0.979808076769292;0.0201919232307077
"CPER_004-M-16-7-20140812";0.978808476609356;0.0211915233906437
"CPER_004-M-23-38-20140812";0.962015193922431;0.037984806077569
"DSNY_001-M-1-6-20140813";0.997001199520192;0.00299880047980808
"DSNY_001-M-29-37-20140701";0.994202319072371;0.00579768092762895
"DSNY_001-M-30-37-20140909";0.986605357856857;0.0133946421431427
"DSNY_001-M-7-0-20140909";0.999400239904038;0.000599760095961615
"DSNY_001-M-7-5-20140813";0.994202319072371;0.00579768092762895
"DSNY_001-M-9-11-20140701";0.994002399040384;0.00599760095961615
"DSNY_001-M-9-17-20140813";0.995201919232307;0.00479808076769292
"DSNY_002-M-10-34-20140910";0.998400639744102;0.00159936025589764
"DSNY_002-M-11-0-20140813";0.994002399040384;0.00599760095961615
"DSNY_002-M-27-36-20140813";0.997600959616154;0.00239904038384646
"DSNY_002-M-30-5-20140813";0.999400239904038;0.000599760095961615
"DSNY_002-M-9-4-20140910";0.998800479808077;0.00119952019192323
"DSNY_003-M-1-7-20140813";0.996601359456218;0.00339864054378249
"DSNY_003-M-3-26-20140813";0.998000799680128;0.00199920031987205
"DSNY_004-M-21-38-20140813";0.999800079968013;0.000199920031987205
"DSNY_004-M-33-4-20140814";0.999800079968013;0.000199920031987205
"DSNY_005-M-24-40-20140818";0.997201119552179;0.00279888044782087
"DSNY_005-M-33-2-20140814";0.999600159936026;0.00039984006397441
"DSNY_009-M-17-34-20140701";0.996801279488205;0.00319872051179528
"DSNY_009-M-2-0-20140813";0.996201519392243;0.0037984806077569
"DSNY_009-M-29-2-20140701";0.952419032387045;0.0475809676129548
"DSNY_009-M-33-11-20140910";0.997800879648141;0.00219912035185926
"DSNY_009-M-8-11-20140813";0.991203518592563;0.00879648140743703
"DSNY_016-M-0-30-20140910";0.959016393442623;0.040983606557377
"DSNY_016-M-12-7-20140701";0.992203118752499;0.007796881247501
"DSNY_016-M-16-7-20140910";0.964414234306277;0.0355857656937225
"DSNY_016-M-3-37-20140813";0.985405837664934;0.014594162335066
"DSNY_016-M-35-24-20140701";0.994802079168333;0.00519792083166733
"DSNY_016-M-36-16-20140813";0.996201519392243;0.0037984806077569
"DSNY_016-M-5-26-20140701";0.976809276289484;0.0231907237105158
"DSNY_016-M-6-12-20140813";0.984806077568972;0.0151939224310276
"DSNY_043-M-18-37-20140814";0.985405837664934;0.014594162335066
"DSNY_043-M-2-27-20140814";0.994802079168333;0.00519792083166733
"DSNY_043-M-33-17-20140814";0.991603358656537;0.00839664134346262
"HARV_001-M-14-7-20140812";0.999800079968013;0.000199920031987205
"HARV_001-M-15-1-20140812";0.999800079968013;0.000199920031987205
"HARV_001-M-30-37-20140715";0.984606157536985;0.0153938424630148
"HARV_001-M-39-16-20140812";0.997001199520192;0.00299880047980808
