"";"other";"methanotroph"
"BART_001-M-1-6-20140619";0.988004798080768;0.0119952019192323
"BART_001-M-7-5-20140619";0.994802079168333;0.00519792083166733
"BART_001-O-1-6-20140619";0.990403838464614;0.00959616153538585
"BART_006-M-3-26-20140619";0.997401039584166;0.00259896041583367
"BART_006-M-33-3-20140619";0.988404638144742;0.0115953618552579
"BART_006-O-33-3-20140619";0.979008396641343;0.0209916033586565
"BART_028-M-33-4-20140619";0.978608556577369;0.0213914434226309
"CPER_001-M-22-32-20140812";0.999800079968013;0.000199920031987205
"CPER_001-M-30-37-20140812";0.999800079968013;0.000199920031987205
"CPER_001-M-7-0-20140812";0.999800079968013;0.000199920031987205
"CPER_002-M-10-34-20140812";0.999800079968013;0.000199920031987205
"CPER_002-M-25-6-20140812";0.999800079968013;0.000199920031987205
"CPER_002-M-9-4-20140812";0.999800079968013;0.000199920031987205
"CPER_003-M-15-7-20140812";0.999800079968013;0.000199920031987205
"CPER_003-M-33-11-20140812";0.999200319872051;0.00079968012794882
"CPER_004-M-0-30-20140812";0.99640143942423;0.00359856057576969
"CPER_004-M-16-7-20140812";0.998000799680128;0.00199920031987205
"CPER_004-M-23-38-20140812";0.999200319872051;0.00079968012794882
"DSNY_001-M-1-6-20140813";0.962614954018393;0.0373850459816074
"DSNY_001-M-29-37-20140701";0.970411835265894;0.0295881647341064
"DSNY_001-M-30-37-20140909";0.980407836865254;0.0195921631347461
"DSNY_001-M-7-0-20140909";0.975209916033587;0.0247900839664134
"DSNY_001-M-7-5-20140813";0.971611355457817;0.0283886445421831
"DSNY_001-M-9-11-20140701";0.971011595361855;0.0289884046381447
"DSNY_001-M-9-17-20140813";0.970211915233906;0.0297880847660936
"DSNY_002-M-10-34-20140910";0.984606157536985;0.0153938424630148
"DSNY_002-M-11-0-20140813";0.972610955617753;0.0273890443822471
"DSNY_002-M-27-36-20140813";0.979608156737305;0.0203918432626949
"DSNY_002-M-30-5-20140813";0.976209516193523;0.0237904838064774
"DSNY_002-M-9-4-20140910";0.989804078368653;0.0101959216313475
"DSNY_003-M-1-7-20140813";0.982407037185126;0.0175929628148741
"DSNY_003-M-3-26-20140813";0.981207516993203;0.0187924830067973
"DSNY_004-M-21-38-20140813";0.955017992802879;0.0449820071971212
"DSNY_004-M-33-4-20140814";0.96641343462615;0.0335865653738505
"DSNY_005-M-24-40-20140818";0.963614554178329;0.0363854458216713
"DSNY_005-M-33-2-20140814";0.971211515393842;0.0287884846061575
"DSNY_009-M-17-34-20140701";0.964814074370252;0.0351859256297481
"DSNY_009-M-2-0-20140813";0.970811675329868;0.0291883246701319
"DSNY_009-M-29-2-20140701";0.96641343462615;0.0335865653738505
"DSNY_009-M-33-11-20140910";0.974210315873651;0.0257896841263495
"DSNY_009-M-8-11-20140813";0.981007596961216;0.0189924030387845
"DSNY_016-M-0-30-20140910";0.981807277089164;0.0181927229108357
"DSNY_016-M-12-7-20140701";0.969812075169932;0.030187924830068
"DSNY_016-M-16-7-20140910";0.990403838464614;0.00959616153538585
"DSNY_016-M-3-37-20140813";0.988804478208717;0.0111955217912835
"DSNY_016-M-35-24-20140701";0.962614954018393;0.0373850459816074
"DSNY_016-M-36-16-20140813";0.962215113954418;0.0377848860455818
"DSNY_016-M-5-26-20140701";0.980807676929228;0.0191923230707717
"DSNY_016-M-6-12-20140813";0.965813674530188;0.0341863254698121
"DSNY_043-M-18-37-20140814";0.981807277089164;0.0181927229108357
"DSNY_043-M-2-27-20140814";0.993402638944422;0.00659736105557777
"DSNY_043-M-33-17-20140814";0.988404638144742;0.0115953618552579
"HARV_001-M-14-7-20140812";0.982407037185126;0.0175929628148741
"HARV_001-M-15-1-20140812";0.979008396641343;0.0209916033586565
"HARV_001-M-30-37-20140715";0.977009196321471;0.0229908036785286
"HARV_001-M-39-16-20140812";0.988804478208717;0.0111955217912835
"HARV_001-M-7-0-20140715";0.982407037185126;0.0175929628148741
"HARV_001-O-14-7-20140812";0.974810075969612;0.0251899240303878
"HARV_001-O-15-1-20140812";0.96281487405038;0.0371851259496202
"HARV_002-M-24-40-20140716";0.988404638144742;0.0115953618552579
"HARV_002-O-24-40-20140716";0.980007996801279;0.0199920031987205
"HARV_002-O-33-2-20140716";0.983006797281088;0.0169932027189124
"HARV_002-O-4-9-20140716";0.986805277888844;0.0131947221111555
"HARV_004-M-10-34-20140715";0.989804078368653;0.0101959216313475
"HARV_004-M-19-1-20140812";0.99000399840064;0.00999600159936026
"HARV_004-M-25-6-20140715";0.992802878848461;0.00719712115153938
"HARV_004-M-3-28-20140812";0.99500199920032;0.00499800079968013
"HARV_004-M-9-34-20140812";0.98780487804878;0.0121951219512195
"HARV_004-M-9-4-20140715";0.972411035585766;0.0275889644142343
"HARV_004-O-10-34-20140715";0.943622550979608;0.0563774490203918
"HARV_004-O-19-1-20140812";0.989204318272691;0.0107956817273091
"HARV_004-O-25-6-20140715";0.957017193122751;0.0429828068772491
"HARV_004-O-3-28-20140812";0.985405837664934;0.014594162335066
"HARV_004-O-9-34-20140812";0.992403038784486;0.00759696121551379
"HARV_010-M-2-0-20140715";0.99000399840064;0.00999600159936026
"HARV_010-M-39-30-20140715";0.965813674530188;0.0341863254698121
"HARV_010-M-8-11-20140715";0.993802479008397;0.00619752099160336
"HARV_010-O-2-0-20140715";0.964014394242303;0.0359856057576969
"HARV_010-O-39-30-20140715";0.981807277089164;0.0181927229108357
"HARV_010-O-8-11-20140715";0.975409836065574;0.0245901639344262
"HARV_013-M-0-13-20140812";0.970811675329868;0.0291883246701319
"HARV_013-M-14-6-20140812";0.993402638944422;0.00659736105557777
"HARV_013-M-15-7-20140717";0.999800079968013;0.000199920031987205
"HARV_013-M-28-3-20140812";0.989604158336665;0.0103958416633347
"HARV_013-M-4-7-20140717";0.978408636545382;0.0215913634546182
"HARV_013-O-0-13-20140812";0.980807676929228;0.0191923230707717
"HARV_013-O-14-6-20140812";0.989204318272691;0.0107956817273091
"HARV_013-O-15-7-20140717";0.986805277888844;0.0131947221111555
"HARV_013-O-28-3-20140812";0.986005597760896;0.0139944022391044
