"";"other";"n_fixation"
"BART_001-M-1-6-20140619";0.896841263494602;0.103158736505398
"BART_001-M-7-5-20140619";0.907237105157937;0.0927628948420632
"BART_001-O-1-6-20140619";0.887445021991204;0.112554978008796
"BART_006-M-3-26-20140619";0.911635345861655;0.0883646541383447
"BART_006-M-33-3-20140619";0.872451019592163;0.127548980407837
"BART_006-O-33-3-20140619";0.876849260295882;0.123150739704118
"BART_028-M-33-4-20140619";0.869852059176329;0.130147940823671
"CPER_001-M-22-32-20140812";0.931827269092363;0.0681727309076369
"CPER_001-M-30-37-20140812";0.932626949220312;0.0673730507796881
"CPER_001-M-7-0-20140812";0.918832467013195;0.0811675329868053
"CPER_002-M-10-34-20140812";0.934626149540184;0.0653738504598161
"CPER_002-M-25-6-20140812";0.944622151139544;0.0553778488604558
"CPER_002-M-9-4-20140812";0.960815673730508;0.0391843262694922
"CPER_003-M-15-7-20140812";0.921831267493003;0.0781687325069972
"CPER_003-M-33-11-20140812";0.918032786885246;0.0819672131147541
"CPER_004-M-0-30-20140812";0.916233506597361;0.0837664934026389
"CPER_004-M-16-7-20140812";0.89984006397441;0.10015993602559
"CPER_004-M-23-38-20140812";0.938224710115954;0.0617752898840464
"DSNY_001-M-1-6-20140813";0.879048380647741;0.120951619352259
"DSNY_001-M-29-37-20140701";0.893242702918832;0.106757297081168
"DSNY_001-M-30-37-20140909";0.878648540583767;0.121351459416234
"DSNY_001-M-7-0-20140909";0.869052379048381;0.130947620951619
"DSNY_001-M-7-5-20140813";0.862255097960816;0.137744902039184
"DSNY_001-M-9-11-20140701";0.881447421031587;0.118552578968413
"DSNY_001-M-9-17-20140813";0.882047181127549;0.117952818872451
"DSNY_002-M-10-34-20140910";0.88984406237505;0.11015593762495
"DSNY_002-M-11-0-20140813";0.882247101159536;0.117752898840464
"DSNY_002-M-27-36-20140813";0.847261095561775;0.152738904438225
"DSNY_002-M-30-5-20140813";0.784886045581767;0.215113954418233
"DSNY_002-M-9-4-20140910";0.913834466213515;0.0861655337864854
"DSNY_003-M-1-7-20140813";0.886645341863255;0.113354658136745
"DSNY_003-M-3-26-20140813";0.870851659336266;0.129148340663735
"DSNY_004-M-21-38-20140813";0.882247101159536;0.117752898840464
"DSNY_004-M-33-4-20140814";0.880047980807677;0.119952019192323
"DSNY_005-M-24-40-20140818";0.884046381447421;0.115953618552579
"DSNY_005-M-33-2-20140814";0.872251099560176;0.127748900439824
"DSNY_009-M-17-34-20140701";0.857257097161136;0.142742902838864
"DSNY_009-M-2-0-20140813";0.858856457417033;0.141143542582967
"DSNY_009-M-29-2-20140701";0.8562574970012;0.1437425029988
"DSNY_009-M-33-11-20140910";0.90343862455018;0.0965613754498201
"DSNY_009-M-8-11-20140813";0.874450219912035;0.125549780087965
"DSNY_016-M-0-30-20140910";0.915033986405438;0.0849660135945622
"DSNY_016-M-12-7-20140701";0.874250299880048;0.125749700119952
"DSNY_016-M-16-7-20140910";0.935025989604158;0.0649740103958417
"DSNY_016-M-3-37-20140813";0.913634546181527;0.0863654538184726
"DSNY_016-M-35-24-20140701";0.865453818472611;0.134546181527389
"DSNY_016-M-36-16-20140813";0.87125149940024;0.12874850059976
"DSNY_016-M-5-26-20140701";0.867053178728509;0.132946821271491
"DSNY_016-M-6-12-20140813";0.880047980807677;0.119952019192323
"DSNY_043-M-18-37-20140814";0.873650539784086;0.126349460215914
"DSNY_043-M-2-27-20140814";0.882646941223511;0.117353058776489
"DSNY_043-M-33-17-20140814";0.907437025189924;0.092562974810076
"HARV_001-M-14-7-20140812";0.837864854058377;0.162135145941623
"HARV_001-M-15-1-20140812";0.890843662534986;0.109156337465014
"HARV_001-M-30-37-20140715";0.856857257097161;0.143142742902839
"HARV_001-M-39-16-20140812";0.915833666533387;0.0841663334666134
"HARV_001-M-7-0-20140715";0.882447021191523;0.117552978808477
"HARV_001-O-14-7-20140812";0.862854858056777;0.137145141943223
"HARV_001-O-15-1-20140812";0.88844462215114;0.11155537784886
"HARV_002-M-24-40-20140716";0.878648540583767;0.121351459416234
"HARV_002-O-24-40-20140716";0.896641343462615;0.103358656537385
"HARV_002-O-33-2-20140716";0.894642143142743;0.105357856857257
"HARV_002-O-4-9-20140716";0.912235105957617;0.0877648940423831
"HARV_004-M-10-34-20140715";0.901039584166333;0.0989604158336665
"HARV_004-M-19-1-20140812";0.895841663334666;0.104158336665334
"HARV_004-M-25-6-20140715";0.915033986405438;0.0849660135945622
"HARV_004-M-3-28-20140812";0.910035985605758;0.0899640143942423
"HARV_004-M-9-34-20140812";0.868452618952419;0.131547381047581
"HARV_004-M-9-4-20140715";0.85265893642543;0.14734106357457
"HARV_004-O-10-34-20140715";0.744102359056377;0.255897640943623
"HARV_004-O-19-1-20140812";0.91203518592563;0.0879648140743702
"HARV_004-O-25-6-20140715";0.808076769292283;0.191923230707717
"HARV_004-O-3-28-20140812";0.754898040783686;0.245101959216313
"HARV_004-O-9-34-20140812";0.820071971211515;0.179928028788485
"HARV_010-M-2-0-20140715";0.905037984806078;0.0949620151939224
"HARV_010-M-39-30-20140715";0.799880047980808;0.200119952019192
"HARV_010-M-8-11-20140715";0.931227508996401;0.0687724910035986
"HARV_010-O-2-0-20140715";0.823270691723311;0.176729308276689
"HARV_010-O-39-30-20140715";0.880847660935626;0.119152339064374
"HARV_010-O-8-11-20140715";0.817872850859656;0.182127149140344
"HARV_013-M-0-13-20140812";0.823070771691323;0.176929228308677
"HARV_013-M-14-6-20140812";0.929828068772491;0.070171931227509
"HARV_013-M-15-7-20140717";0.910635745701719;0.0893642542982807
"HARV_013-M-28-3-20140812";0.907437025189924;0.092562974810076
"HARV_013-M-4-7-20140717";0.823070771691323;0.176929228308677
"HARV_013-O-0-13-20140812";0.883046781287485;0.116953218712515
"HARV_013-O-14-6-20140812";0.864054378248701;0.135945621751299
"HARV_013-O-15-7-20140717";0.918032786885246;0.0819672131147541
"HARV_013-O-28-3-20140812";0.870051979208317;0.129948020791683
"HARV_013-O-33-11-20140716";0.882247101159536;0.117752898840464
"HARV_016-M-0-30-20140715";0.881447421031587;0.118552578968413
"HARV_016-M-16-7-20140715";0.924430227908836;0.0755697720911635
"HARV_016-O-0-30-20140715";0.704318272690924;0.295681727309076
"HARV_016-O-16-7-20140715";0.793482606957217;0.206517393042783
"HARV_020-M-12-33-20140812";0.891643342662935;0.108356657337065
"HARV_020-M-30-27-20140812";0.886845261895242;0.113154738104758
"HARV_020-M-37-22-20140812";0.933626549380248;0.0663734506197521
"HARV_020-O-12-33-20140812";0.818872451019592;0.181127548980408
"HARV_020-O-30-27-20140812";0.879248300679728;0.120751699320272
"HARV_020-O-37-22-20140812";0.810075969612155;0.189924030387845
"HARV_021-M-3-37-20140717";0.915833666533387;0.0841663334666134
"HARV_021-M-36-16-20140717";0.823670531787285;0.176329468212715
"HARV_021-M-6-12-20140717";0.8562574970012;0.1437425029988
"HARV_021-O-3-37-20140717";0.901439424230308;0.0985605757696921
"HARV_021-O-36-16-20140717";0.892642942822871;0.107357057177129
"HARV_033-M-23-30-20140717";0.9234306277489;0.0765693722510996
"HARV_033-M-30-38-20140717";0.920231907237105;0.0797680927628948
"HARV_033-M-33-4-20140717";0.937624950019992;0.062375049980008
"HARV_033-O-23-30-20140717";0.880847660935626;0.119152339064374
"HARV_033-O-30-38-20140717";0.884046381447421;0.115953618552579
"HARV_034-M-23-8-20140717";0.926429428228709;0.0735705717712915
"HARV_034-M-31-3-20140717";0.911235505797681;0.0887644942023191
"HARV_034-O-19-30-20140717";0.911035585765694;0.0889644142343063
"HARV_035-M-33-17-20140716";0.925429828068772;0.0745701719312275
"HARV_035-O-18-37-20140717";0.912435025989604;0.0875649740103958
"JERC_001-M-1-6-20140805";0.937225109956018;0.0627748900439824
"JERC_001-M-17-34-20140710";0.931227508996401;0.0687724910035986
"JERC_001-M-29-2-20140710";0.915433826469412;0.0845661735305878
"JERC_001-M-7-5-20140805";0.912235105957617;0.0877648940423831
"JERC_001-M-9-17-20140805";0.937425029988005;0.0625749700119952
"JERC_002-M-11-0-20140805";0.906037584966014;0.0939624150339864
"JERC_002-M-12-7-20140710";0.925229908036785;0.0747700919632147
"JERC_002-M-27-36-20140805";0.918032786885246;0.0819672131147541
"JERC_002-M-35-24-20140710";0.908836465413834;0.0911635345861655
"JERC_003-M-1-7-20140805";0.914834066373451;0.0851659336265494
"JERC_003-M-3-26-20140805";0.944022391043583;0.0559776089564174
"JERC_003-M-33-0-20140805";0.905237904838065;0.0947620951619352
"JERC_005-M-24-40-20140805";0.924830067972811;0.0751699320271891
"JERC_005-M-33-2-20140805";0.912634946021591;0.0873650539784086
"JERC_005-M-4-9-20140805";0.916233506597361;0.0837664934026389
"JERC_006-M-15-33-20140710";0.924230307876849;0.0757696921231507
"JERC_006-M-2-0-20140805";0.851659336265494;0.148340663734506
"JERC_006-M-21-39-20140710";0.942622950819672;0.0573770491803279
"JERC_006-M-2-33-20140710";0.919032387045182;0.0809676129548181
"JERC_006-M-39-30-20140805";0.933026789284286;0.0669732107157137
"JERC_006-M-8-11-20140805";0.902638944422231;0.0973610555777689
"JERC_008-M-23-30-20140805";0.922231107556977;0.0777688924430228
"JERC_008-M-33-4-20140805";0.915433826469412;0.0845661735305878
"JERC_047-M-3-32-20140805";0.931427429028389;0.0685725709716114
"JERC_047-M-36-16-20140805";0.931027588964414;0.0689724110355858
"JERC_047-M-6-12-20140805";0.912634946021591;0.0873650539784086
"JERC_048-M-19-30-20140805";0.918032786885246;0.0819672131147541
"JERC_048-M-27-8-20140805";0.930427828868453;0.0695721711315474
