"";"other";"nitrification"
"BART_001-M-1-6-20140619";0.999200319872051;0.00079968012794882
"BART_001-M-7-5-20140619";0.996801279488205;0.00319872051179528
"BART_001-O-1-6-20140619";0.999200319872051;0.00079968012794882
"BART_006-M-3-26-20140619";0.994802079168333;0.00519792083166733
"BART_006-M-33-3-20140619";0.997800879648141;0.00219912035185926
"BART_006-O-33-3-20140619";0.992602958816473;0.00739704118352659
"BART_028-M-33-4-20140619";0.999200319872051;0.00079968012794882
"CPER_001-M-22-32-20140812";0.99640143942423;0.00359856057576969
"CPER_001-M-30-37-20140812";0.995401839264294;0.00459816073570572
"CPER_001-M-7-0-20140812";0.994802079168333;0.00519792083166733
"CPER_002-M-10-34-20140812";0.995601759296281;0.00439824070371851
"CPER_002-M-25-6-20140812";0.997800879648141;0.00219912035185926
"CPER_002-M-9-4-20140812";0.99860055977609;0.00139944022391044
"CPER_003-M-15-7-20140812";0.995601759296281;0.00439824070371851
"CPER_003-M-33-11-20140812";0.991003598560576;0.00899640143942423
"CPER_004-M-0-30-20140812";0.985805677728908;0.0141943222710916
"CPER_004-M-16-7-20140812";0.990803678528589;0.00919632147141144
"CPER_004-M-23-38-20140812";0.993002798880448;0.00699720111955218
"DSNY_001-M-1-6-20140813";0.99640143942423;0.00359856057576969
"DSNY_001-M-29-37-20140701";0.996001599360256;0.0039984006397441
"DSNY_001-M-30-37-20140909";0.99640143942423;0.00359856057576969
"DSNY_001-M-7-0-20140909";0.996201519392243;0.0037984806077569
"DSNY_001-M-7-5-20140813";0.995201919232307;0.00479808076769292
"DSNY_001-M-9-11-20140701";0.992003198720512;0.0079968012794882
"DSNY_001-M-9-17-20140813";0.998200719712115;0.00179928028788485
"DSNY_002-M-10-34-20140910";0.999600159936026;0.00039984006397441
"DSNY_002-M-11-0-20140813";0.993802479008397;0.00619752099160336
"DSNY_002-M-27-36-20140813";0.999200319872051;0.00079968012794882
"DSNY_002-M-30-5-20140813";0.997201119552179;0.00279888044782087
"DSNY_002-M-9-4-20140910";0.997401039584166;0.00259896041583367
"DSNY_003-M-1-7-20140813";0.999800079968013;0.000199920031987205
"DSNY_003-M-3-26-20140813";0.999200319872051;0.00079968012794882
"DSNY_004-M-21-38-20140813";0.999000399840064;0.000999600159936026
"DSNY_004-M-33-4-20140814";0.99860055977609;0.00139944022391044
"DSNY_005-M-24-40-20140818";0.997800879648141;0.00219912035185926
"DSNY_005-M-33-2-20140814";0.994202319072371;0.00579768092762895
"DSNY_009-M-17-34-20140701";0.998800479808077;0.00119952019192323
"DSNY_009-M-2-0-20140813";0.999000399840064;0.000999600159936026
