"";"other";"oligotroph"
"BART_001-M-1-6-20140619";0.342463014794082;0.657536985205918
"BART_001-M-7-5-20140619";0.302079168332667;0.697920831667333
"BART_001-O-1-6-20140619";0.279288284686126;0.720711715313874
"BART_006-M-3-26-20140619";0.410835665733707;0.589164334266293
"BART_006-M-33-3-20140619";0.257696921231507;0.742303078768493
"BART_006-O-33-3-20140619";0.315273890443822;0.684726109556178
"BART_028-M-33-4-20140619";0.251899240303878;0.748100759696122
"CPER_001-M-22-32-20140812";0.519192323070772;0.480807676929228
"CPER_001-M-30-37-20140812";0.429828068772491;0.570171931227509
"CPER_001-M-7-0-20140812";0.503398640543782;0.496601359456218
"CPER_002-M-10-34-20140812";0.380647740903639;0.619352259096361
"CPER_002-M-25-6-20140812";0.428228708516593;0.571771291483407
"CPER_002-M-9-4-20140812";0.368052778888445;0.631947221111555
"CPER_003-M-15-7-20140812";0.518392642942823;0.481607357057177
"CPER_003-M-33-11-20140812";0.555977608956417;0.444022391043583
"CPER_004-M-0-30-20140812";0.508396641343463;0.491603358656537
"CPER_004-M-16-7-20140812";0.53218712514994;0.46781287485006
"CPER_004-M-23-38-20140812";0.531587365053978;0.468412634946022
"DSNY_001-M-1-6-20140813";0.313474610155938;0.686525389844062
"DSNY_001-M-29-37-20140701";0.281887245101959;0.718112754898041
"DSNY_001-M-30-37-20140909";0.344462215113954;0.655537784886046
"DSNY_001-M-7-0-20140909";0.332666933226709;0.667333066773291
"DSNY_001-M-7-5-20140813";0.301679328268693;0.698320671731308
"DSNY_001-M-9-11-20140701";0.358656537385046;0.641343462614954
"DSNY_001-M-9-17-20140813";0.266693322670932;0.733306677329068
"DSNY_002-M-10-34-20140910";0.272091163534586;0.727908836465414
"DSNY_002-M-11-0-20140813";0.273290683726509;0.726709316273491
"DSNY_002-M-27-36-20140813";0.355257896841264;0.644742103158736
"DSNY_002-M-30-5-20140813";0.364654138344662;0.635345861655338
"DSNY_002-M-9-4-20140910";0.313074770091963;0.686925229908037
"DSNY_003-M-1-7-20140813";0.217113154738105;0.782886845261895
"DSNY_003-M-3-26-20140813";0.243302678928429;0.756697321071571
"DSNY_004-M-21-38-20140813";0.232107157137145;0.767892842862855
"DSNY_004-M-33-4-20140814";0.282287085165934;0.717712914834066
"DSNY_005-M-24-40-20140818";0.27469012395042;0.72530987604958
"DSNY_005-M-33-2-20140814";0.258096761295482;0.741903238704518
"DSNY_009-M-17-34-20140701";0.244302279088365;0.755697720911635
"DSNY_009-M-2-0-20140813";0.245901639344262;0.754098360655738
"DSNY_009-M-29-2-20140701";0.398040783686525;0.601959216313475
"DSNY_009-M-33-11-20140910";0.174730107956817;0.825269892043183
"DSNY_009-M-8-11-20140813";0.244502199120352;0.755497800879648
"DSNY_016-M-0-30-20140910";0.511595361855258;0.488404638144742
"DSNY_016-M-12-7-20140701";0.354458216713315;0.645541783286685
"DSNY_016-M-16-7-20140910";0.557976809276289;0.44202319072371
"DSNY_016-M-3-37-20140813";0.448020791683327;0.551979208316673
"DSNY_016-M-35-24-20140701";0.297680927628948;0.702319072371052
"DSNY_016-M-36-16-20140813";0.239904038384646;0.760095961615354
"DSNY_016-M-5-26-20140701";0.45421831267493;0.54578168732507
"DSNY_016-M-6-12-20140813";0.323070771691323;0.676929228308677
"DSNY_043-M-18-37-20140814";0.367453018792483;0.632546981207517
"DSNY_043-M-2-27-20140814";0.413634546181527;0.586365453818473
"DSNY_043-M-33-17-20140814";0.303678528588565;0.696321471411435
"HARV_001-M-14-7-20140812";0.304478208716513;0.695521791283487
"HARV_001-M-15-1-20140812";0.257297081167533;0.742702918832467
"HARV_001-M-30-37-20140715";0.413634546181527;0.586365453818473
"HARV_001-M-39-16-20140812";0.235105957616953;0.764894042383047
"HARV_001-M-7-0-20140715";0.292083166733307;0.707916833266693
"HARV_001-O-14-7-20140812";0.35905637744902;0.64094362255098
"HARV_001-O-15-1-20140812";0.50999600159936;0.49000399840064
"HARV_002-M-24-40-20140716";0.204918032786885;0.795081967213115
"HARV_002-O-24-40-20140716";0.270491803278689;0.729508196721312
"HARV_002-O-33-2-20140716";0.209116353458617;0.790883646541383
"HARV_002-O-4-9-20140716";0.234506197520992;0.765493802479008
"HARV_004-M-10-34-20140715";0.256297481007597;0.743702518992403
"HARV_004-M-19-1-20140812";0.275089964014394;0.724910035985606
"HARV_004-M-25-6-20140715";0.24750099960016;0.75249900039984
"HARV_004-M-3-28-20140812";0.239504198320672;0.760495801679328
"HARV_004-M-9-34-20140812";0.300079968012795;0.699920031987205
"HARV_004-M-9-4-20140715";0.371651339464214;0.628348660535786
"HARV_004-O-10-34-20140715";0.433426629348261;0.566573370651739
"HARV_004-O-19-1-20140812";0.319872051179528;0.680127948820472
"HARV_004-O-25-6-20140715";0.392842862854858;0.607157137145142
"HARV_004-O-3-28-20140812";0.475409836065574;0.524590163934426
"HARV_004-O-9-34-20140812";0.520591763294682;0.479408236705318
"HARV_010-M-2-0-20140715";0.296881247501;0.703118752499
"HARV_010-M-39-30-20140715";0.332067173130748;0.667932826869252
"HARV_010-M-8-11-20140715";0.241303478608557;0.758696521391443
"HARV_010-O-2-0-20140715";0.45921631347461;0.54078368652539
"HARV_010-O-39-30-20140715";0.284486205517793;0.715513794482207
"HARV_010-O-8-11-20140715";0.494802079168333;0.505197920831667
"HARV_013-M-0-13-20140812";0.304678128748501;0.695321871251499
"HARV_013-M-14-6-20140812";0.208916433426629;0.791083566573371
"HARV_013-M-15-7-20140717";0.418232706917233;0.581767293082767
"HARV_013-M-28-3-20140812";0.272890843662535;0.727109156337465
"HARV_013-M-4-7-20140717";0.376049580167933;0.623950419832067
"HARV_013-O-0-13-20140812";0.327668932427029;0.672331067572971
"HARV_013-O-14-6-20140812";0.302878848460616;0.697121151539384
"HARV_013-O-15-7-20140717";0.274890043982407;0.725109956017593
"HARV_013-O-28-3-20140812";0.452019192323071;0.547980807676929
"HARV_013-O-33-11-20140716";0.269092363054778;0.730907636945222
"HARV_016-M-0-30-20140715";0.415033986405438;0.584966013594562
"HARV_016-M-16-7-20140715";0.217912834866054;0.782087165133946
"HARV_016-O-0-30-20140715";0.423630547780888;0.576369452219112
"HARV_016-O-16-7-20140715";0.429828068772491;0.570171931227509
"HARV_020-M-12-33-20140812";0.353058776489404;0.646941223510596
"HARV_020-M-30-27-20140812";0.340063974410236;0.659936025589764
"HARV_020-M-37-22-20140812";0.256497401039584;0.743502598960416
"HARV_020-O-12-33-20140812";0.482606957217113;0.517393042782887
"HARV_020-O-30-27-20140812";0.581167532986805;0.418832467013195
"HARV_020-O-37-22-20140812";0.499000399840064;0.500999600159936
"HARV_021-M-3-37-20140717";0.254898040783687;0.745101959216314
"HARV_021-M-36-16-20140717";0.402439024390244;0.597560975609756
"HARV_021-M-6-12-20140717";0.383046781287485;0.616953218712515
"HARV_021-O-3-37-20140717";0.267293082766893;0.732706917233107
"HARV_021-O-36-16-20140717";0.266893242702919;0.733106757297081
"HARV_033-M-23-30-20140717";0.185525789684126;0.814474210315874
"HARV_033-M-30-38-20140717";0.250299880047981;0.749700119952019
"HARV_033-M-33-4-20140717";0.249900039984006;0.750099960015994
"HARV_033-O-23-30-20140717";0.386045581767293;0.613954418232707
"HARV_033-O-30-38-20140717";0.338864454218313;0.661135545781687
"HARV_034-M-23-8-20140717";0.22391043582567;0.77608956417433
"HARV_034-M-31-3-20140717";0.234106357457017;0.765893642542983
"HARV_034-O-19-30-20140717";0.227309076369452;0.772690923630548
"HARV_035-M-33-17-20140716";0.217113154738105;0.782886845261895
"HARV_035-O-18-37-20140717";0.319472211115554;0.680527788884446
"JERC_001-M-1-6-20140805";0.336465413834466;0.663534586165534
"JERC_001-M-17-34-20140710";0.368052778888445;0.631947221111555
"JERC_001-M-29-2-20140710";0.341463414634146;0.658536585365854
"JERC_001-M-7-5-20140805";0.352459016393443;0.647540983606557
"JERC_001-M-9-17-20140805";0.243702518992403;0.756297481007597
"JERC_002-M-11-0-20140805";0.265693722510996;0.734306277489004
"JERC_002-M-12-7-20140710";0.331267493002799;0.668732506997201
"JERC_002-M-27-36-20140805";0.318672530987605;0.681327469012395
"JERC_002-M-35-24-20140710";0.24610155937625;0.753898440623751
"JERC_003-M-1-7-20140805";0.282487005197921;0.717512994802079
"JERC_003-M-3-26-20140805";0.18812475009996;0.81187524990004
"JERC_003-M-33-0-20140805";0.328068772491004;0.671931227508996
"JERC_005-M-24-40-20140805";0.250899640143942;0.749100359856058
"JERC_005-M-33-2-20140805";0.328268692522991;0.671731307477009
"JERC_005-M-4-9-20140805";0.273690523790484;0.726309476209516
"JERC_006-M-15-33-20140710";0.251899240303878;0.748100759696122
"JERC_006-M-2-0-20140805";0.347461015593762;0.652538984406237
"JERC_006-M-21-39-20140710";0.248700519792083;0.751299480207917
"JERC_006-M-2-33-20140710";0.225909636145542;0.774090363854458
"JERC_006-M-39-30-20140805";0.219712115153938;0.780287884846062
"JERC_006-M-8-11-20140805";0.264294282287085;0.735705717712915
"JERC_008-M-23-30-20140805";0.300279888044782;0.699720111955218
"JERC_008-M-33-4-20140805";0.256897241103559;0.743102758896441
"JERC_047-M-3-32-20140805";0.251699320271891;0.748300679728109
"JERC_047-M-36-16-20140805";0.276889244302279;0.723110755697721
"JERC_047-M-6-12-20140805";0.266293482606957;0.733706517393043
"JERC_048-M-19-30-20140805";0.274090363854458;0.725909636145542
"JERC_048-M-27-8-20140805";0.288484606157537;0.711515393842463
"JERC_048-M-31-3-20140805";0.200719712115154;0.799280287884846
"JERC_049-M-18-17-20140805";0.19812075169932;0.80187924830068
"JERC_049-M-2-27-20140805";0.263294682127149;0.736705317872851
"ORNL_001-O-17-34-20140715";0.302279088364654;0.697720911635346
"ORNL_002-O-5-26-20140714";0.31187524990004;0.68812475009996
"ORNL_003-O-9-11-20140714";0.345661735305878;0.654338264694122
"ORNL_021-O-15-33-20140714";0.478208716513395;0.521791283486605
"ORNL_027-O-2-33-20140715";0.463614554178329;0.536385445821671
"ORNL_029-O-9-2-20140714";0.415833666533387;0.584166333466613
"ORNL_031-O-11-3-20140714";0.461415433826469;0.538584566173531
"ORNL_037-O-4-23-20140715";0.309876049580168;0.690123950419832
"ORNL_043-O-2-27-20140715";0.333466613354658;0.666533386645342
"OSBS_001-M-17-34-20140701";0.325069972011196;0.674930027988805
"OSBS_001-M-17-34-20140818";0.299280287884846;0.700719712115154
"OSBS_001-M-26-3-20140701";0.328068772491004;0.671931227508996
"OSBS_001-M-26-3-20140818";0.281287485005998;0.718712514994002
"OSBS_001-M-29-2-20140701";0.303478608556577;0.696521391443423
"OSBS_001-M-29-2-20140818";0.339264294282287;0.660735705717713
"OSBS_002-M-12-7-20140701";0.256697321071571;0.743302678928429
"OSBS_002-M-12-7-20140818";0.342862854858057;0.657137145141943
"OSBS_002-M-35-24-20140701";0.282087165133946;0.717912834866054
"OSBS_002-M-35-24-20140818";0.218512594962015;0.781487405037985
"OSBS_002-M-5-26-20140701";0.230507796881248;0.769492203118753
"OSBS_003-M-17-9-20140701";0.235105957616953;0.764894042383047
"OSBS_003-M-17-9-20140818";0.222111155537785;0.777888844462215
"OSBS_003-M-29-37-20140701";0.233706517393043;0.766293482606957
"OSBS_003-M-29-37-20140818";0.265893642542983;0.734106357457017
"OSBS_003-M-9-11-20140701";0.231507397041184;0.768492602958816
"OSBS_003-M-9-11-20140818";0.256497401039584;0.743502598960416
"OSBS_022-M-15-33-20140701";0.37624950019992;0.62375049980008
"OSBS_022-M-21-39-20140701";0.39344262295082;0.60655737704918
"OSBS_022-M-2-33-20140701";0.444422231107557;0.555577768892443
"SCBI_002-M-1-6-20140715";0.453218712514994;0.546781287485006
"SCBI_002-M-26-3-20140618";0.436225509796082;0.563774490203918
"SCBI_002-M-7-5-20140715";0.443222710915634;0.556777289084366
"SCBI_002-M-9-17-20140715";0.47780887644942;0.52219112355058
"SCBI_003-M-11-0-20140715";0.368452618952419;0.631547381047581
"SCBI_003-M-13-6-20140618";0.405037984806078;0.594962015193922
"SCBI_003-M-27-36-20140715";0.388244702119152;0.611755297880848
"SCBI_003-M-30-5-20140715";0.324670131947221;0.675329868052779
"SCBI_003-M-35-24-20140618";0.468412634946022;0.531587365053978
"SCBI_003-M-5-26-20140618";0.47281087564974;0.52718912435026
"SCBI_006-M-15-7-20140827";0.327269092363055;0.672730907636945
"SCBI_006-M-1-7-20140715";0.380447820871651;0.619552179128349
"SCBI_006-M-17-9-20140618";0.434826069572171;0.565173930427829
"SCBI_006-M-27-2-20140715";0.390243902439024;0.609756097560976
"SCBI_006-M-29-37-20140618";0.43562574970012;0.56437425029988
"SCBI_006-M-3-26-20140715";0.425029988004798;0.574970011995202
"SCBI_006-M-33-11-20140826";0.281887245101959;0.718112754898041
"SCBI_006-M-4-7-20140826";0.353258696521391;0.646741303478609
"SCBI_006-M-9-11-20140618";0.382247101159536;0.617752898840464
"SCBI_012-M-0-30-20140825";0.358256697321072;0.641743302678928
"SCBI_012-M-15-33-20140618";0.417832866853259;0.582167133146741
"SCBI_012-M-16-7-20140825";0.3562574970012;0.6437425029988
"SCBI_012-M-21-38-20140715";0.403238704518193;0.596761295481807
"SCBI_012-M-21-39-20140618";0.43562574970012;0.56437425029988
"SCBI_012-M-23-28-20140825";0.369052379048381;0.630947620951619
"SCBI_012-M-2-33-20140618";0.443022790883647;0.556977209116354
"SCBI_012-M-33-4-20140715";0.448020791683327;0.551979208316673
"SCBI_033-M-36-16-20140826";0.353058776489404;0.646941223510596
"SCBI_033-M-4-38-20140826";0.4406237504998;0.5593762495002
"SCBI_033-M-6-12-20140826";0.349860055977609;0.650139944022391
"SCBI_045-M-23-30-20140825";0.452618952419032;0.547381047580968
"SCBI_045-M-30-38-20140825";0.45421831267493;0.54578168732507
"STER_005-M-0-30-20140820";0.455417832866853;0.544582167133147
"STER_005-M-16-7-20140820";0.505197920831667;0.494802079168333
"STER_005-M-23-38-20140820";0.508196721311475;0.491803278688525
"STER_006-M-1-6-20140722";0.473410635745702;0.526589364254298
"STER_006-M-22-32-20140820";0.446821271491403;0.553178728508597
"STER_006-M-30-37-20140820";0.441423430627749;0.558576569372251
"STER_006-M-7-0-20140820";0.380847660935626;0.619152339064374
"STER_006-M-7-5-20140722";0.493802479008397;0.506197520991603
"STER_018-M-15-7-20140820";0.522790883646541;0.477209116353459
"STER_018-M-4-7-20140820";0.424430227908836;0.575569772091164
"STER_026-M-10-34-20140820";0.421431427429028;0.578568572570972
"STER_026-M-11-0-20140722";0.496601359456218;0.503398640543782
"STER_026-M-25-6-20140820";0.364454218312675;0.635545781687325
"STER_026-M-27-36-20140722";0.583366653338665;0.416633346661335
"STER_026-M-30-5-20140723";0.525989604158337;0.474010395841663
"STER_026-M-9-4-20140820";0.449020391843263;0.550979608156737
"STER_027-M-33-0-20140723";0.469412235105958;0.530587764894042
"STER_028-M-20-40-20140722";0.564174330267893;0.435825669732107
"STER_028-M-21-38-20140722";0.556577369052379;0.443422630947621
"STER_028-M-33-4-20140722";0.505197920831667;0.494802079168333
"STER_033-M-23-30-20140723";0.493202718912435;0.506797281087565
"STER_033-M-30-38-20140723";0.474810075969612;0.525189924030388
"STER_033-M-33-4-20140723";0.556177528988405;0.443822471011595
"STER_034-M-19-30-20140723";0.529988004798081;0.470011995201919
"STER_035-M-33-17-20140723";0.623350659736106;0.376649340263894
"TALL_001-M-2-23-20140903";0.290283886445422;0.709716113554578
"TALL_001-M-28-23-20140903";0.230107956817273;0.769892043182727
"TALL_001-O-2-23-20140903";0.443822471011595;0.556177528988405
"TALL_001-O-27-7-20140903";0.282087165133946;0.717912834866054
"TALL_001-O-28-23-20140903";0.234306277489004;0.765693722510996
"TALL_002-M-36-24-20140903";0.244902039184326;0.755097960815674
"TALL_002-M-8-40-20140903";0.262894842063175;0.737105157936825
"TALL_002-M-8-8-20140903";0.31687325069972;0.68312674930028
"TALL_002-O-36-24-20140903";0.385845661735306;0.614154338264694
"TALL_004-M-16-36-20140903";0.325869652139144;0.674130347860856
"TALL_004-M-34-40-20140903";0.261495401839264;0.738504598160736
"TALL_004-M-38-6-20140903";0.270291883246701;0.729708116753299
"TALL_006-M-14-30-20140903";0.357856857257097;0.642143142742903
"TALL_006-M-14-6-20140903";0.292283086765294;0.707716913234706
"TALL_006-M-26-35-20140903";0.307477009196321;0.692522990803679
"UNDE_001-M-22-32-20140708";0.166933226709316;0.833066773290684
"UNDE_001-M-7-0-20140708";0.303078768492603;0.696921231507397
"UNDE_001-O-30-37-20140708";0.193722510995602;0.806277489004398
"UNDE_006-M-10-34-20140707";0.320071971211515;0.679928028788485
"UNDE_006-M-25-6-20140707";0.373250699720112;0.626749300279888
"UNDE_006-M-9-4-20140707";0.405037984806078;0.594962015193922
"UNDE_007-M-33-2-20140710";0.34906037584966;0.65093962415034
"UNDE_007-M-4-9-20140710";0.416433426629348;0.583566573370652
"UNDE_008-M-15-7-20140707";0.382846861255498;0.617153138744502
"UNDE_008-M-33-11-20140707";0.451419432227109;0.548580567772891
"UNDE_008-M-4-7-20140707";0.396441423430628;0.603558576569372
"UNDE_013-M-2-0-20140708";0.354858056777289;0.645141943222711
"UNDE_013-M-39-30-20140708";0.406437425029988;0.593562574970012
"UNDE_013-M-8-11-20140708";0.370051979208317;0.629948020791683
"UNDE_014-M-36-16-20140711";0.346461415433826;0.653538584566174
