"";"other";"acidimicrobiales";"bacillales";"burkholderiales";"caulobacterales";"myxococcales";"rhizobiales";"rhodospirillales";"solirubrobacterales";"sphingomonadales";"xanthomonadales"
"BART_001-M-1-6-20140619";0.835362203153063;0.0023947315905009;0.0015964877270006;0.00957892636200359;0.00119736579525045;0.0209539014168829;0.0482937537417681;0.053282777888645;0.00199560965875075;0.000598682897625224;0.0247455597685093
"BART_001-M-7-5-20140619";0.844142885651567;0.00299341448812612;0.00119736579525045;0.0109758531231291;0.00339253641987627;0.0237477549391339;0.0419078028337657;0.0502893634005189;0.00119736579525045;0.000199560965875075;0.0199560965875075
"BART_001-O-1-6-20140619";0.795050888046298;0.00179604869287567;0.000199560965875075;0.00498902414687687;0.00379165835162642;0.0231490720415087;0.0636599481141489;0.0530832169227699;0.0023947315905009;0.000199560965875075;0.0516862901616444
"BART_006-M-3-26-20140619";0.70784274595889;0.00279385352225105;0.0039912193175015;0.184993015366194;0.000199560965875075;0.010776292157254;0.0333266813011375;0.0299341448812612;0.00339253641987627;0.000199560965875075;0.0225503891438835
"BART_006-M-33-3-20140619";0.802235082817801;0.00259429255637597;0.00139692676112552;0.0179604869287567;0.00458990221512672;0.015964877270006;0.0574735581720216;0.0582718020355219;0.00538814607862702;0.000199560965875075;0.0339253641987627
"BART_006-O-33-3-20140619";0.779285571742167;0.00179604869287567;0.000598682897625224;0.0377170225503891;0.00518858511275195;0.00997804829375374;0.058670923967272;0.0472959489123927;0.00279385352225105;0.000199560965875075;0.0564757533426462
"BART_028-M-33-4-20140619";0.806824985032928;0.00458990221512672;0.000798243863500299;0.0117740969866294;0.00339253641987627;0.00738375573737777;0.080023947315905;0.0504889243663939;0.00339253641987627;0.000199560965875075;0.0311315106765117
"CPER_001-M-22-32-20140812";0.699860307323887;0.00917980443025344;0.155457992416683;0.00518858511275195;0.00119736579525045;0.0203552185192576;0.0468968269806426;0.00798243863500299;0.0229495110756336;0.0115745360207543;0.0193574136898823
"CPER_001-M-30-37-20140812";0.8006385950908;0.010776292157254;0.0343244861305129;0.00818199960087807;0.00199560965875075;0.0215525843145081;0.0379165835162642;0.0231490720415087;0.0209539014168829;0.0199560965875075;0.0205547794851327
"CPER_001-M-7-0-20140812";0.802035521851926;0.0109758531231291;0.0115745360207543;0.00439034124925165;0.000997804829375374;0.018758730792257;0.0437038515266414;0.0155657553382558;0.0447016563560168;0.0223508281780084;0.0249451207343844
"CPER_002-M-10-34-20140812";0.841548593095191;0.010576731191379;0.0129714627818799;0.00279385352225105;0.00259429255637597;0.0231490720415087;0.0395130712432648;0.0101776092596288;0.032129315505887;0.0101776092596288;0.0143683895430054
"CPER_002-M-25-6-20140812";0.840151666334065;0.00917980443025344;0.0291359010177609;0.00379165835162642;0.00199560965875075;0.0201556575533826;0.0387148273797645;0.0063859509080024;0.0363200957892636;0.00598682897625225;0.00818199960087807
"CPER_002-M-9-4-20140812";0.887447615246458;0.0117740969866294;0.0115745360207543;0.0015964877270006;0.000997804829375374;0.0103771702255039;0.0263420474955099;0.00618638994212732;0.0297345839153862;0.00658551187387747;0.00738375573737777
"CPER_003-M-15-7-20140812";0.775094791458791;0.00838156056675314;0.0417082418678906;0.00977848732787867;0.00139692676112552;0.0277389742566354;0.0488924366393933;0.01337058471363;0.0297345839153862;0.0147675114747555;0.0291359010177609
"CPER_003-M-33-11-20140812";0.758730792257035;0.0103771702255039;0.090600678507284;0.0101776092596288;0.000997804829375374;0.0165635601676312;0.0431051686290162;0.0143683895430054;0.0241468768708841;0.015964877270006;0.0149670724406306
"CPER_004-M-0-30-20140812";0.780083815605668;0.00997804829375374;0.0277389742566354;0.00898024346437837;0.000997804829375374;0.0279385352225105;0.0518858511275195;0.0191578527240072;0.0271402913590102;0.0171622430652564;0.0289363400518859
"CPER_004-M-16-7-20140812";0.785471961684295;0.00957892636200359;0.00878068249850329;0.00758331670325284;0.00199560965875075;0.0259429255637597;0.0550788265815207;0.015964877270006;0.0333266813011375;0.0287367790860108;0.0275394132907603
"CPER_004-M-23-38-20140812";0.764318499301537;0.00778287766912792;0.0712432648174017;0.0115745360207543;0.00119736579525045;0.021353023348633;0.0363200957892636;0.0137697066453802;0.0255438036320096;0.032129315505887;0.0147675114747555
"DSNY_001-M-1-6-20140813";0.81440830173618;0.00219517062462582;0.0129714627818799;0.0015964877270006;0.00279385352225105;0.0129714627818799;0.0706445819197765;0.055877070445021;0.00259429255637597;0.00039912193175015;0.0235481939732588
"DSNY_001-M-29-37-20140701";0.805627619237677;0.00139692676112552;0.0209539014168829;0.00538814607862702;0.0023947315905009;0.00838156056675314;0.0634603871482738;0.050688485332269;0.00618638994212732;0.00119736579525045;0.0343244861305129
"DSNY_001-M-30-37-20140909";0.769107962482538;0.00339253641987627;0.0245459988026342;0.00957892636200359;0.0039912193175015;0.0203552185192576;0.064059070045899;0.0536818998203951;0.0149670724406306;0.0111754140890042;0.0251446817002594
"DSNY_001-M-7-0-20140909";0.789862302933546;0.00658551187387747;0.00917980443025344;0.00598682897625225;0.0023947315905009;0.0153661943723808;0.0570744362402714;0.0676511674316504;0.0121732189183796;0.000199560965875075;0.0335262422670126
"DSNY_001-M-7-5-20140813";0.771103572141289;0.00538814607862702;0.00917980443025344;0.00578726801037717;0.00339253641987627;0.018559169826382;0.0708441428856516;0.0702454599880263;0.0149670724406306;0.000997804829375374;0.0295350229495111
"DSNY_001-M-9-11-20140701";0.762322889642786;0.00299341448812612;0.0470963879465177;0.0167631211335063;0.0039912193175015;0.0189582917581321;0.0716423867491519;0.0472959489123927;0.00878068249850329;0.00299341448812612;0.0171622430652564
"DSNY_001-M-9-17-20140813";0.845140690480942;0.00299341448812612;0.00718419477150269;0.00039912193175015;0.00039912193175015;0.0115745360207543;0.0634603871482738;0.0462981440830174;0.00379165835162642;0.000199560965875075;0.018559169826382
"DSNY_002-M-10-34-20140910";0.825583715825185;0.00279385352225105;0.00858112153262822;0.00219517062462582;0.00179604869287567;0.0121732189183796;0.0620634603871483;0.0443025344242666;0.00379165835162642;0.000199560965875075;0.0365196567551387
"DSNY_002-M-11-0-20140813";0.813011374975055;0.00299341448812612;0.0063859509080024;0.00219517062462582;0.00179604869287567;0.0131710237477549;0.0664538016363999;0.0608660945918978;0.00458990221512672;0.000199560965875075;0.0283376571542606
"DSNY_002-M-27-36-20140813";0.805028936340052;0.0103771702255039;0.0115745360207543;0.00379165835162642;0.00139692676112552;0.00419078028337657;0.0460985831171423;0.0935940929954101;0.00139692676112552;0.00119736579525045;0.021353023348633
"DSNY_002-M-30-5-20140813";0.719816403911395;0.0117740969866294;0.00738375573737777;0.00778287766912792;0.00379165835162642;0.00957892636200359;0.0884055078826581;0.124126920774297;0.00937936539612852;0.000199560965875075;0.0177609259628817
"DSNY_002-M-9-4-20140910";0.830971861903812;0.00299341448812612;0.0233486330073838;0.00498902414687687;0.00359209738575135;0.0207543404510078;0.0524845340251447;0.0337258032328876;0.00678507283975254;0.00139692676112552;0.0189582917581321
"DSNY_003-M-1-7-20140813";0.842945519856316;0.00199560965875075;0.00419078028337657;0.00219517062462582;0.000199560965875075;0.0169626820993814;0.0508880462981441;0.0570744362402714;0.00339253641987627;0.000199560965875075;0.0199560965875075
"DSNY_003-M-3-26-20140813";0.82737976451806;0.00199560965875075;0.00598682897625225;0.0039912193175015;0.000199560965875075;0.0119736579525045;0.0638595090800239;0.0578726801037717;0.00339253641987627;0.000199560965875075;0.0231490720415087
"DSNY_004-M-21-38-20140813";0.85412093394532;0.00458990221512672;0.00838156056675314;0.000798243863500299;0.000798243863500299;0.00997804829375374;0.0754340451007783;0.0291359010177609;0.0039912193175015;0.000199560965875075;0.0125723408501297
"DSNY_004-M-33-4-20140814";0.81361005787268;0.00718419477150269;0.00199560965875075;0.000997804829375374;0.00199560965875075;0.0113749750548793;0.0724406306126522;0.0514867291957693;0.0137697066453802;0.000199560965875075;0.0249451207343844
"DSNY_005-M-24-40-20140818";0.818998203951307;0.00439034124925165;0.00758331670325284;0.0031929754540012;0.00339253641987627;0.0111754140890042;0.0700458990221513;0.0512871682298942;0.00758331670325284;0.000199560965875075;0.0221512672121333
"DSNY_005-M-33-2-20140814";0.822989423268809;0.0031929754540012;0.00259429255637597;0.0039912193175015;0.00259429255637597;0.0117740969866294;0.0600678507283975;0.0674516064657753;0.00419078028337657;0.000598682897625224;0.0205547794851327
"DSNY_009-M-17-34-20140701";0.807623228896428;0.00199560965875075;0.00858112153262822;0.00518858511275195;0.00279385352225105;0.0129714627818799;0.0758331670325284;0.0592696068648972;0.010776292157254;0.000199560965875075;0.0147675114747555
"DSNY_009-M-2-0-20140813";0.82777888644981;0.000199560965875075;0.00898024346437837;0.00219517062462582;0.00039912193175015;0.0055877070445021;0.056076631410896;0.0752344841349032;0.00798243863500299;0.000199560965875075;0.0153661943723808
"DSNY_009-M-29-2-20140701";0.675114747555378;0.00458990221512672;0.122330872081421;0.00858112153262822;0.00219517062462582;0.018559169826382;0.0832169227699062;0.0409099980043903;0.0181600478946318;0.000199560965875075;0.0261424865296348
"DSNY_009-M-33-11-20140910";0.860107762921573;0.00139692676112552;0.00898024346437837;0.000598682897625224;0.000997804829375374;0.00838156056675314;0.0554779485132708;0.0415086809020156;0.00718419477150269;0.000598682897625224;0.0147675114747555
"DSNY_009-M-8-11-20140813";0.830772300937937;0.00299341448812612;0.0189582917581321;0.00219517062462582;0.000997804829375374;0.00858112153262822;0.0542805827180204;0.0594691678307723;0.00419078028337657;0.000199560965875075;0.0173618040311315
"DSNY_016-M-0-30-20140910";0.660546797046498;0.00279385352225105;0.166234284573937;0.0227499501097585;0.00458990221512672;0.0361205348233885;0.0540810217521453;0.018758730792257;0.0109758531231291;0.00139692676112552;0.0217521452803832
"DSNY_016-M-12-7-20140701";0.767711035721413;0.0031929754540012;0.0117740969866294;0.0219517062462582;0.00458990221512672;0.0175613649970066;0.074635801237278;0.0447016563560168;0.0135701456795051;0.0023947315905009;0.0379165835162642
"DSNY_016-M-16-7-20140910";0.686290161644382;0.00179604869287567;0.192177210137697;0.00917980443025344;0.00299341448812612;0.0153661943723808;0.0393135102773897;0.0199560965875075;0.0163639992017561;0.0015964877270006;0.0149670724406306
"DSNY_016-M-3-37-20140813";0.739972061464777;0.000798243863500299;0.098583117142287;0.00838156056675314;0.00458990221512672;0.0405108760726402;0.0456994611853921;0.0279385352225105;0.00678507283975254;0.0023947315905009;0.0243464378367591
"DSNY_016-M-35-24-20140701";0.773298742765915;0.0023947315905009;0.00997804829375374;0.00858112153262822;0.0039912193175015;0.00858112153262822;0.0822191179405308;0.0606665336260227;0.0217521452803832;0.000997804829375374;0.0275394132907603
"DSNY_016-M-36-16-20140813";0.815406106565556;0.0023947315905009;0.00898024346437837;0.00439034124925165;0.00279385352225105;0.0147675114747555;0.0738375573737777;0.039912193175015;0.0103771702255039;0.00139692676112552;0.0257433645978847
"DSNY_016-M-5-26-20140701";0.69407303931351;0.00419078028337657;0.0764318499301537;0.0231490720415087;0.00439034124925165;0.0251446817002594;0.0780283376571543;0.0403113151067651;0.0123727798842546;0.00498902414687687;0.0369187786868888
"DSNY_016-M-6-12-20140813";0.761524645779286;0.0039912193175015;0.061265216523648;0.00598682897625225;0.00179604869287567;0.0151666334065057;0.0648573139093993;0.0470963879465177;0.00538814607862702;0.000199560965875075;0.0327279984035123
"DSNY_043-M-18-37-20140814";0.805428058271802;0.00119736579525045;0.0488924366393933;0.00419078028337657;0.00299341448812612;0.0207543404510078;0.050688485332269;0.0445020953901417;0.0063859509080024;0.000199560965875075;0.0147675114747555
"DSNY_043-M-2-27-20140814";0.84114947116344;0.00039912193175015;0.0209539014168829;0.00838156056675314;0.0023947315905009;0.0353222909598882;0.0451007782877669;0.0331271203352624;0.0023947315905009;0.000199560965875075;0.010576731191379
"DSNY_043-M-33-17-20140814";0.833366593494313;0.00219517062462582;0.0253442426661345;0.000798243863500299;0.00139692676112552;0.0125723408501297;0.0518858511275195;0.0245459988026342;0.00498902414687687;0.000199560965875075;0.042706046697266
"HARV_001-M-14-7-20140812";0.736379964079026;0.00498902414687687;0.00279385352225105;0.0181600478946318;0.00339253641987627;0.0229495110756336;0.0991818000399122;0.056076631410896;0.00838156056675314;0.000199560965875075;0.0474955098782678
"HARV_001-M-15-1-20140812";0.822390740371183;0.00498902414687687;0.00179604869287567;0.00798243863500299;0.00299341448812612;0.01337058471363;0.0742366793055278;0.0341249251646378;0.00458990221512672;0.000199560965875075;0.0333266813011375
"HARV_001-M-30-37-20140715";0.767511474755538;0.00359209738575135;0.000199560965875075;0.000199560965875075;0.00359209738575135;0.0486928756735183;0.0792257034524047;0.0502893634005189;0.018758730792257;0.000199560965875075;0.0277389742566354
"HARV_001-M-39-16-20140812";0.859908201955698;0.00259429255637597;0.00339253641987627;0.0131710237477549;0.000598682897625224;0.0101776092596288;0.048094192775893;0.029335461983636;0.00299341448812612;0.000199560965875075;0.0295350229495111
"HARV_001-M-7-0-20140715";0.814807423667931;0.00419078028337657;0.00758331670325284;0.018559169826382;0.00199560965875075;0.0153661943723808;0.0602674116942726;0.0458990221512672;0.00858112153262822;0.000798243863500299;0.0219517062462582
"HARV_001-O-14-7-20140812";0.702654160846139;0.00937936539612852;0.00179604869287567;0.0281380961883856;0.00738375573737777;0.0205547794851327;0.0900019956096588;0.0470963879465177;0.018559169826382;0.000798243863500299;0.0736379964079026
