"";"other";"acidobacteria";"actinobacteria";"bacteroidetes";"chloroflexi";"firmicutes";"gemmatimonadetes";"nitrospirae";"planctomycetes";"proteobacteria";"verrucomicrobia"
"BART_001-M-1-6-20140619";0.0598682897625225;0.459788465376172;0.0139692676112552;0.0331271203352624;0.0167631211335063;0.00179604869287567;0.00898024346437837;0.010576731191379;0.042706046697266;0.286569546996607;0.0658551187387747
"BART_001-M-7-5-20140619";0.0538814607862702;0.465376172420675;0.0165635601676312;0.0211534623827579;0.0496906805028936;0.00119736579525045;0.00878068249850329;0.00878068249850329;0.0542805827180204;0.25324286569547;0.0670524845340251
"BART_001-O-1-6-20140619";0.04011175414089;0.513869487128318;0.0181600478946318;0.0339253641987627;0.0015964877270006;0.000199560965875075;0.00359209738575135;0.000598682897625224;0.0339253641987627;0.296946717222111;0.0570744362402714
"BART_006-M-3-26-20140619";0.0385152664138894;0.34763520255438;0.0175613649970066;0.042706046697266;0.0257433645978847;0.00439034124925165;0.00518858511275195;0.00898024346437837;0.0295350229495111;0.349431251247256;0.130313310716424
"BART_006-M-33-3-20140619";0.0395130712432648;0.528437437637198;0.0181600478946318;0.0189582917581321;0.00818199960087807;0.00139692676112552;0.0063859509080024;0.00139692676112552;0.0219517062462582;0.262223109159848;0.093394532029535
"BART_006-O-33-3-20140619";0.0496906805028936;0.476751147475554;0.0331271203352624;0.0227499501097585;0.000598682897625224;0.000598682897625224;0.00359209738575135;0.000598682897625224;0.039912193175015;0.313510277389743;0.0588704849331471
"BART_028-M-33-4-20140619";0.0546797046497705;0.521652364797446;0.018758730792257;0.0147675114747555;0.00359209738575135;0.000798243863500299;0.0063859509080024;0.0015964877270006;0.0419078028337657;0.265615645579725;0.0702454599880263
"CPER_001-M-22-32-20140812";0.0327279984035123;0.251646377968469;0.110556775094791;0.0748353622031531;0.0221512672121333;0.155457992416683;0.0311315106765117;0.0171622430652564;0.0313310716423867;0.191578527240072;0.0814208740770305
"CPER_001-M-30-37-20140812";0.0353222909598882;0.216723208940331;0.113151067651167;0.0616643384553981;0.0223508281780084;0.0351227299940132;0.0307323887447615;0.0203552185192576;0.0383157054480144;0.211933745759329;0.21432847734983
"CPER_001-M-7-0-20140812";0.0387148273797645;0.246058670923967;0.196367990421074;0.0714428257832768;0.0337258032328876;0.0115745360207543;0.0502893634005189;0.0141688285771303;0.0464977050488924;0.215725404110956;0.0754340451007783
"CPER_002-M-10-34-20140812";0.0241468768708841;0.171422869686689;0.181800039912193;0.0389143883456396;0.0263420474955099;0.0129714627818799;0.0257433645978847;0.02674116942726;0.0241468768708841;0.148872480542806;0.31889842346837
"CPER_002-M-25-6-20140812";0.0201556575533826;0.149271602474556;0.190381161444821;0.0638595090800239;0.0165635601676312;0.0303332668130114;0.0369187786868888;0.0243464378367591;0.0279385352225105;0.144681700259429;0.295549790460986
"CPER_002-M-9-4-20140812";0.0175613649970066;0.161444821392936;0.209738575134704;0.0275394132907603;0.0167631211335063;0.0115745360207543;0.0317301935741369;0.0303332668130114;0.0209539014168829;0.111355018958292;0.36100578726801
"CPER_003-M-15-7-20140812";0.0303332668130114;0.220913989223708;0.149072041508681;0.0836160447016564;0.0253442426661345;0.0419078028337657;0.0363200957892636;0.02674116942726;0.0329275593693873;0.254639792456596;0.0981839952105368
"CPER_003-M-33-11-20140812";0.0209539014168829;0.221911794053083;0.180203552185193;0.0620634603871483;0.0241468768708841;0.0915984833366593;0.0409099980043903;0.0283376571542606;0.0241468768708841;0.224506086609459;0.0812213131111555
"CPER_004-M-0-30-20140812";0.0211534623827579;0.262422670125723;0.171023747754939;0.0680502893634005;0.0273398523248853;0.0277389742566354;0.0460985831171423;0.0317301935741369;0.0369187786868888;0.250848134104969;0.0566753143085213
"CPER_004-M-16-7-20140812";0.0341249251646378;0.192775893035322;0.17301935741369;0.103372580323289;0.0251446817002594;0.00917980443025344;0.0305328277788865;0.0247455597685093;0.0345240470963879;0.264817401716224;0.10776292157254
"CPER_004-M-23-38-20140812";0.0329275593693873;0.240470963879465;0.123129115944921;0.0688485332269008;0.0209539014168829;0.0712432648174017;0.042706046697266;0.0179604869287567;0.0285372181201357;0.238275793254839;0.114947116344043
"DSNY_001-M-1-6-20140813";0.0556775094791459;0.455797246058671;0.0604669726601477;0.0223508281780084;0.000997804829375374;0.0137697066453802;0.00039912193175015;0.00179604869287567;0.0335262422670126;0.250848134104969;0.104370385152664
"DSNY_001-M-29-37-20140701";0.0550788265815207;0.497305926960686;0.0662542406705248;0.0165635601676312;0.0031929754540012;0.0227499501097585;0.00139692676112552;0.000199560965875075;0.0486928756735183;0.215525843145081;0.0730393135102774
"DSNY_001-M-30-37-20140909";0.0630612652165237;0.425663540211535;0.0822191179405308;0.0217521452803832;0.0199560965875075;0.0253442426661345;0.00119736579525045;0.000199560965875075;0.0592696068648972;0.239273598084215;0.0620634603871483
