"";"other";"assim_nitrate_reduction"
"BART_001-M-1-6-20140619";0.970922278054938;0.0290777219450619
"BART_001-M-7-5-20140619";0.970959812566972;0.0290401874330282
"BART_001-O-1-6-20140619";0.970943866235136;0.0290561337648645
"BART_006-M-3-26-20140619";0.971653232847968;0.0283467671520315
"BART_006-M-33-3-20140619";0.971693815453575;0.0283061845464251
"BART_006-O-33-3-20140619";0.971699343080984;0.0283006569190157
"BART_028-M-33-4-20140619";0.972638794076368;0.0273612059236315
"CPER_001-M-22-32-20140812";0.951668915551765;0.048331084448235
"CPER_001-M-30-37-20140812";0.962307802935653;0.0376921970643474
"CPER_001-M-7-0-20140812";0.957344063385786;0.0426559366142143
"CPER_002-M-10-34-20140812";0.963616164563977;0.0363838354360231
"CPER_002-M-25-6-20140812";0.963519858071365;0.0364801419286346
"CPER_002-M-9-4-20140812";0.964955257697036;0.0350447423029635
"CPER_003-M-15-7-20140812";0.959845014071161;0.0401549859288391
"CPER_003-M-33-11-20140812";0.962977266168957;0.0370227338310431
"CPER_004-M-0-30-20140812";0.955260271234729;0.0447397287652708
"CPER_004-M-16-7-20140812";0.957993358304898;0.0420066416951025
"CPER_004-M-23-38-20140812";0.959830580014066;0.040169419985934
"DSNY_001-M-1-6-20140813";0.981182729065624;0.0188172709343764
"DSNY_001-M-29-37-20140701";0.981725215564004;0.0182747844359955
"DSNY_001-M-30-37-20140909";0.981684986337829;0.0183150136621706
"DSNY_001-M-7-0-20140909";0.981667547890478;0.0183324521095224
"DSNY_001-M-7-5-20140813";0.981253205134023;0.0187467948659771
"DSNY_001-M-9-11-20140701";0.981703436809899;0.0182965631901014
"DSNY_001-M-9-17-20140813";0.98216314278286;0.0178368572171401
"DSNY_002-M-10-34-20140910";0.982872425069282;0.0171275749307181
"DSNY_002-M-11-0-20140813";0.982889685081426;0.0171103149185744
"DSNY_002-M-27-36-20140813";0.98311527657717;0.0168847234228301
"DSNY_002-M-30-5-20140813";0.983086072489466;0.0169139275105345
"DSNY_002-M-9-4-20140910";0.982889950643484;0.0171100493565163
"DSNY_003-M-1-7-20140813";0.982335582241032;0.0176644177589682
"DSNY_003-M-3-26-20140813";0.982747362059558;0.0172526379404421
"DSNY_004-M-21-38-20140813";0.984445325505994;0.0155546744940057
"DSNY_004-M-33-4-20140814";0.984189920867196;0.0158100791328037
"DSNY_005-M-24-40-20140818";0.982044844358873;0.0179551556411269
"DSNY_005-M-33-2-20140814";0.980981121781093;0.019018878218907
"DSNY_009-M-17-34-20140701";0.983107337412167;0.0168926625878325
"DSNY_009-M-2-0-20140813";0.983231032057978;0.0167689679420224
"DSNY_009-M-29-2-20140701";0.98309358480252;0.0169064151974798
"DSNY_009-M-33-11-20140910";0.98313698504423;0.0168630149557701
"DSNY_009-M-8-11-20140813";0.983109702277885;0.0168902977221153
"DSNY_016-M-0-30-20140910";0.980933474775611;0.0190665252243889
"DSNY_016-M-12-7-20140701";0.980907387511838;0.0190926124881624
