"";"other";"assim_nitrite_reduction"
"BART_001-M-1-6-20140619";0.957728639816024;0.0422713601839758
"BART_001-M-7-5-20140619";0.957695548670978;0.042304451329022
"BART_001-O-1-6-20140619";0.957644500891674;0.042355499108326
"BART_006-M-3-26-20140619";0.960102358378513;0.0398976416214869
"BART_006-M-33-3-20140619";0.960121849144772;0.0398781508552277
"BART_006-O-33-3-20140619";0.960120101512054;0.0398798984879459
"BART_028-M-33-4-20140619";0.957192041010193;0.0428079589898067
"CPER_001-M-22-32-20140812";0.952489025480844;0.0475109745191555
"CPER_001-M-30-37-20140812";0.960390814712879;0.039609185287121
"CPER_001-M-7-0-20140812";0.95665474533939;0.0433452546606103
"CPER_002-M-10-34-20140812";0.961425142882606;0.0385748571173938
"CPER_002-M-25-6-20140812";0.961354915910467;0.0386450840895327
"CPER_002-M-9-4-20140812";0.962527115670267;0.0374728843297326
"CPER_003-M-15-7-20140812";0.958569714025638;0.0414302859743616
"CPER_003-M-33-11-20140812";0.960848704338962;0.0391512956610385
"CPER_004-M-0-30-20140812";0.955194520854896;0.0448054791451041
"CPER_004-M-16-7-20140812";0.957134236743001;0.0428657632569987
"CPER_004-M-23-38-20140812";0.958450344372926;0.0415496556270744
"DSNY_001-M-1-6-20140813";0.961441400095226;0.0385585999047744
"DSNY_001-M-29-37-20140701";0.962159780527036;0.0378402194729639
"DSNY_001-M-30-37-20140909";0.9620734560089;0.0379265439911004
"DSNY_001-M-7-0-20140909";0.962136712114907;0.0378632878850927
"DSNY_001-M-7-5-20140813";0.961532390434131;0.0384676095658693
"DSNY_001-M-9-11-20140701";0.962054349241915;0.0379456507580854
"DSNY_001-M-9-17-20140813";0.962879547786028;0.0371204522139716
"DSNY_002-M-10-34-20140910";0.96395001017604;0.0360499898239602
"DSNY_002-M-11-0-20140813";0.963896544238155;0.0361034557618448
"DSNY_002-M-27-36-20140813";0.964294872988224;0.0357051270117762
"DSNY_002-M-30-5-20140813";0.964218647013022;0.0357813529869776
"DSNY_002-M-9-4-20140910";0.963958443963754;0.0360415560362456
"DSNY_003-M-1-7-20140813";0.963645150914204;0.0363548490857955
"DSNY_003-M-3-26-20140813";0.964094906049696;0.035905093950304
"DSNY_004-M-21-38-20140813";0.966349258589867;0.0336507414101327
"DSNY_004-M-33-4-20140814";0.965819593263827;0.0341804067361734
"DSNY_005-M-24-40-20140818";0.962590488548156;0.0374095114518437
"DSNY_005-M-33-2-20140814";0.961137060176106;0.0388629398238938
"DSNY_009-M-17-34-20140701";0.964286207043423;0.0357137929565774
"DSNY_009-M-2-0-20140813";0.96441229459363;0.0355877054063699
"DSNY_009-M-29-2-20140701";0.964286389624002;0.0357136103759979
"DSNY_009-M-33-11-20140910";0.964291951366356;0.0357080486336439
"DSNY_009-M-8-11-20140813";0.964276758940613;0.0357232410593873
"DSNY_016-M-0-30-20140910";0.961107012299227;0.0388929877007727
"DSNY_016-M-12-7-20140701";0.961112711510128;0.0388872884898715
"DSNY_016-M-16-7-20140910";0.961082844466463;0.0389171555335369
"DSNY_016-M-3-37-20140813";0.961177944058392;0.0388220559416077
"DSNY_016-M-35-24-20140701";0.961128191495781;0.0388718085042194
"DSNY_016-M-36-16-20140813";0.960959130788382;0.0390408692116184
"DSNY_016-M-5-26-20140701";0.961112766884798;0.0388872331152017
"DSNY_016-M-6-12-20140813";0.960106993804687;0.0398930061953134
"DSNY_043-M-18-37-20140814";0.959537662811741;0.0404623371882586
"DSNY_043-M-2-27-20140814";0.95572211154133;0.0442778884586701
"DSNY_043-M-33-17-20140814";0.961430790198992;0.0385692098010076
"HARV_001-M-14-7-20140812";0.959501249042031;0.040498750957969
"HARV_001-M-15-1-20140812";0.959534746111313;0.0404652538886872
"HARV_001-M-30-37-20140715";0.959611565181978;0.0403884348180217
"HARV_001-M-39-16-20140812";0.959532389830241;0.040467610169759
"HARV_001-M-7-0-20140715";0.959513310269654;0.040486689730346
"HARV_001-O-14-7-20140812";0.959512865829597;0.0404871341704032
"HARV_001-O-15-1-20140812";0.95947169335046;0.04052830664954
"HARV_002-M-24-40-20140716";0.96171588566185;0.0382841143381505
