"";"other";"cellulolytic"
"BART_001-M-1-6-20140619";0.942082823525407;0.0579171764745932
"BART_001-M-7-5-20140619";0.942024434942293;0.0579755650577066
"BART_001-O-1-6-20140619";0.942093028959228;0.0579069710407717
"BART_006-M-3-26-20140619";0.943705804849309;0.0562941951506914
"BART_006-M-33-3-20140619";0.943665441154024;0.0563345588459763
"BART_006-O-33-3-20140619";0.943700057935502;0.0562999420644984
"BART_028-M-33-4-20140619";0.942332727462062;0.0576672725379379
"CPER_001-M-22-32-20140812";0.936419682499803;0.0635803175001968
"CPER_001-M-30-37-20140812";0.942907910898813;0.0570920891011875
"CPER_001-M-7-0-20140812";0.939769820453939;0.0602301795460608
"CPER_002-M-10-34-20140812";0.943778239498089;0.0562217605019112
"CPER_002-M-25-6-20140812";0.94374014862105;0.0562598513789497
"CPER_002-M-9-4-20140812";0.944774851012685;0.0552251489873148
"CPER_003-M-15-7-20140812";0.941273996527838;0.0587260034721621
"CPER_003-M-33-11-20140812";0.943394872181754;0.0566051278182456
"CPER_004-M-0-30-20140812";0.938545618406798;0.0614543815932022
"CPER_004-M-16-7-20140812";0.940169039331341;0.0598309606686588
"CPER_004-M-23-38-20140812";0.941345572264405;0.0586544277355955
"DSNY_001-M-1-6-20140813";0.952922340233562;0.0470776597664376
"DSNY_001-M-29-37-20140701";0.953467824840008;0.0465321751599918
"DSNY_001-M-30-37-20140909";0.953451743564748;0.0465482564352523
"DSNY_001-M-7-0-20140909";0.953421972762147;0.0465780272378525
"DSNY_001-M-7-5-20140813";0.953040644692723;0.0469593553072773
"DSNY_001-M-9-11-20140701";0.95347244940216;0.0465275505978405
"DSNY_001-M-9-17-20140813";0.954065198976342;0.0459348010236578
"DSNY_002-M-10-34-20140910";0.95475725008885;0.0452427499111503
"DSNY_002-M-11-0-20140813";0.954824375854388;0.0451756241456122
"DSNY_002-M-27-36-20140813";0.955084669569332;0.0449153304306681
"DSNY_002-M-30-5-20140813";0.955050788796598;0.0449492112034017
"DSNY_002-M-9-4-20140910";0.95478689246649;0.0452131075335102
"DSNY_003-M-1-7-20140813";0.954556762465825;0.045443237534175
"DSNY_003-M-3-26-20140813";0.954877047433535;0.0451229525664652
"DSNY_004-M-21-38-20140813";0.95661069468932;0.0433893053106797
"DSNY_004-M-33-4-20140814";0.956188781623068;0.0438112183769321
"DSNY_005-M-24-40-20140818";0.953855927234466;0.0461440727655336
"DSNY_005-M-33-2-20140814";0.95275971031119;0.0472402896888101
"DSNY_009-M-17-34-20140701";0.955010038693829;0.0449899613061715
"DSNY_009-M-2-0-20140813";0.95507722725023;0.0449227727497697
"DSNY_009-M-29-2-20140701";0.955062413702342;0.0449375862976584
"DSNY_009-M-33-11-20140910";0.955047025480839;0.0449529745191608
"DSNY_009-M-8-11-20140813";0.955049920864082;0.0449500791359182
"DSNY_016-M-0-30-20140910";0.952716165261929;0.0472838347380709
"DSNY_016-M-12-7-20140701";0.95269715692644;0.0473028430735595
"DSNY_016-M-16-7-20140910";0.952710560746947;0.0472894392530532
"DSNY_016-M-3-37-20140813";0.952734160051111;0.047265839948889
"DSNY_016-M-35-24-20140701";0.952754925347938;0.0472450746520618
"DSNY_016-M-36-16-20140813";0.952628069817278;0.0473719301827223
"DSNY_016-M-5-26-20140701";0.952681436468163;0.0473185635318368
"DSNY_016-M-6-12-20140813";0.952026458228069;0.0479735417719315
"DSNY_043-M-18-37-20140814";0.951623962622993;0.0483760373770074
"DSNY_043-M-2-27-20140814";0.948903375586687;0.0510966244133126
"DSNY_043-M-33-17-20140814";0.952986005147856;0.0470139948521439
"HARV_001-M-14-7-20140812";0.944021909496443;0.0559780905035572
"HARV_001-M-15-1-20140812";0.944056783855961;0.0559432161440391
