"";"other";"chitinolytic"
"BART_001-M-1-6-20140619";0.941527580778;0.0584724192219995
"BART_001-M-7-5-20140619";0.941356705728442;0.0586432942715584
"BART_001-O-1-6-20140619";0.941556927577618;0.0584430724223818
"BART_006-M-3-26-20140619";0.943575207438844;0.0564247925611555
"BART_006-M-33-3-20140619";0.943722532782527;0.0562774672174734
"BART_006-O-33-3-20140619";0.943619755223024;0.0563802447769757
"BART_028-M-33-4-20140619";0.944060198367968;0.0559398016320321
"CPER_001-M-22-32-20140812";0.906251404215964;0.0937485957840358
"CPER_001-M-30-37-20140812";0.925567681063697;0.0744323189363032
"CPER_001-M-7-0-20140812";0.916595473271293;0.0834045267287073
"CPER_002-M-10-34-20140812";0.928115434842477;0.0718845651575226
"CPER_002-M-25-6-20140812";0.928014674767061;0.071985325232939
"CPER_002-M-9-4-20140812";0.930800855631255;0.0691991443687445
"CPER_003-M-15-7-20140812";0.921281418838;0.0787185811619999
"CPER_003-M-33-11-20140812";0.926944824043899;0.0730551759561009
"CPER_004-M-0-30-20140812";0.912927592166427;0.0870724078335727
"CPER_004-M-16-7-20140812";0.91775343671642;0.0822465632835804
"CPER_004-M-23-38-20140812";0.920987199013839;0.0790128009861614
"DSNY_001-M-1-6-20140813";0.958523319927996;0.0414766800720039
"DSNY_001-M-29-37-20140701";0.959569377505232;0.0404306224947677
"DSNY_001-M-30-37-20140909";0.959537401387061;0.0404625986129385
"DSNY_001-M-7-0-20140909";0.959697288548319;0.0403027114516807
"DSNY_001-M-7-5-20140813";0.958697730970761;0.0413022690292393
"DSNY_001-M-9-11-20140701";0.959556541177845;0.0404434588221546
"DSNY_001-M-9-17-20140813";0.960593939388421;0.0394060606115792
"DSNY_002-M-10-34-20140910";0.962134240730747;0.0378657592692525
"DSNY_002-M-11-0-20140813";0.962119312420681;0.037880687579319
"DSNY_002-M-27-36-20140813";0.96254622422145;0.0374537757785505
"DSNY_002-M-30-5-20140813";0.962514677573509;0.0374853224264909
"DSNY_002-M-9-4-20140910";0.962197688149641;0.0378023118503593
