"";"other";"acidimicrobiia";"actinobacteria";"alphaproteobacteria";"bacilli";"betaproteobacteria";"deltaproteobacteria";"gammaproteobacteria";"gemmatimonadetes";"nitrospira";"thermoleophilia"
"BART_001-M-1-6-20140619";0.447196451858571;0.022278121441879;0.0631660189467666;0.210066288199869;0.013575912699601;0.0539782150300803;0.0423526408416779;0.0855087176713049;0.0168776484443149;0.0075077541460974;0.0374922307198384
"BART_001-M-7-5-20140619";0.447304964827995;0.0223260303527707;0.0632884522094206;0.210100574134033;0.0135947250674837;0.0539059262644753;0.0423600341546065;0.0852653378074746;0.0168666788802962;0.0074906459794357;0.0374966303220094
"BART_001-O-1-6-20140619";0.447005678617523;0.0223058834295524;0.0631811096738757;0.209930198595137;0.0135913566515675;0.0541590938369493;0.0424425783154215;0.0854504765037702;0.0168495560024934;0.00755916940675343;0.0375248989669572
"BART_006-M-3-26-20140619";0.446126752048872;0.0247783989721746;0.0676439580614547;0.214427798402063;0.0134647276709599;0.0495954981356349;0.0422999553546593;0.0789916389149315;0.0151330896554621;0.00718103844214505;0.0403571443416423
"BART_006-M-33-3-20140619";0.446048941117718;0.0247747387171678;0.067740305729192;0.214482269098034;0.0134282225480461;0.0495452897235128;0.0422799370389035;0.0789780561137196;0.0151552507578149;0.00716018559709851;0.0404068035587935
"BART_006-O-33-3-20140619";0.446017374659454;0.024831721506521;0.0676991376537318;0.214394454999026;0.0134757181063132;0.0496020419400554;0.0423340875276458;0.0788983027277954;0.0151366779370164;0.00717799524117615;0.0404324877012647
"BART_028-M-33-4-20140619";0.45460738887391;0.0181614108737667;0.0580255550370577;0.207490488178376;0.0127740239515563;0.0549196340937083;0.0389567944189599;0.0963872675787618;0.0191895915596334;0.00682526020430039;0.032662585229969
"CPER_001-M-22-32-20140812";0.358358018270067;0.0593363931178846;0.0987620413413303;0.187241507384034;0.0268680289306202;0.0527919804965455;0.0722772844459034;0.0305492378737765;0.0122341783170452;0.0124559720080247;0.0891253578147687
"CPER_001-M-30-37-20140812";0.379991801485563;0.0532741657605109;0.10476345700732;0.201306402725562;0.0228214277782307;0.0414915420942747;0.0595017852705181;0.0319031466429304;0.0117128047463798;0.00850644123741062;0.0847270252513
"CPER_001-M-7-0-20140812";0.369693080086796;0.0562505614448999;0.101834590460044;0.194518245465874;0.0248302727776796;0.0467885428328506;0.0655806535751206;0.031233234517744;0.011983784903499;0.0102751570200683;0.0870118769154237
"CPER_002-M-10-34-20140812";0.3830315096194;0.0523530227619282;0.105453374204886;0.203316217186735;0.0223293769135757;0.0399842198432759;0.0577513173247532;0.032044487632897;0.0116347018215925;0.00803081140773043;0.084070961283226
