"";"other";"copiotroph"
"BART_001-M-1-6-20140619";0.51524970843095;0.48475029156905
"BART_001-M-7-5-20140619";0.51436958707177;0.48563041292823
"BART_001-O-1-6-20140619";0.514741167072964;0.485258832927036
"BART_006-M-3-26-20140619";0.506950356216385;0.493049643783615
"BART_006-M-33-3-20140619";0.50716936669523;0.49283063330477
"BART_006-O-33-3-20140619";0.50671892694821;0.49328107305179
"BART_028-M-33-4-20140619";0.537626158595507;0.462373841404493
"CPER_001-M-22-32-20140812";0.335196289366703;0.664803710633297
"CPER_001-M-30-37-20140812";0.360595957898058;0.639404042101942
"CPER_001-M-7-0-20140812";0.347739055909522;0.652260944090478
"CPER_002-M-10-34-20140812";0.364231184814915;0.635768815185085
"CPER_002-M-25-6-20140812";0.363903405423796;0.636096594576204
"CPER_002-M-9-4-20140812";0.368340114480061;0.631659885519939
"CPER_003-M-15-7-20140812";0.353987572888634;0.646012427111366
"CPER_003-M-33-11-20140812";0.362251703845151;0.637748296154849
"CPER_004-M-0-30-20140812";0.343135626623906;0.656864373376094
"CPER_004-M-16-7-20140812";0.349217163069527;0.650782836930473
"CPER_004-M-23-38-20140812";0.353690458253202;0.646309541746798
"DSNY_001-M-1-6-20140813";0.556185585006027;0.443814414993973
"DSNY_001-M-29-37-20140701";0.559363798477021;0.440636201522979
"DSNY_001-M-30-37-20140909";0.559203139796625;0.440796860203375
"DSNY_001-M-7-0-20140909";0.55915631753483;0.44084368246517
"DSNY_001-M-7-5-20140813";0.556734971085733;0.443265028914267
"DSNY_001-M-9-11-20140701";0.558902463340076;0.441097536659924
"DSNY_001-M-9-17-20140813";0.561974735501919;0.438025264498081
"DSNY_002-M-10-34-20140910";0.566680070303159;0.433319929696841
"DSNY_002-M-11-0-20140813";0.566298266098794;0.433701733901206
"DSNY_002-M-27-36-20140813";0.56789553463802;0.43210446536198
"DSNY_002-M-30-5-20140813";0.567671561870751;0.432328438129249
"DSNY_002-M-9-4-20140910";0.566923219905269;0.433076780094731
"DSNY_003-M-1-7-20140813";0.558274060091831;0.441725939908169
"DSNY_003-M-3-26-20140813";0.561355891742409;0.438644108257591
"DSNY_004-M-21-38-20140813";0.576824338310679;0.423175661689321
"DSNY_004-M-33-4-20140814";0.574554030412157;0.425445969587843
"DSNY_005-M-24-40-20140818";0.560980883505985;0.439019116494015
"DSNY_005-M-33-2-20140814";0.555142359845412;0.444857640154588
"DSNY_009-M-17-34-20140701";0.567910566995489;0.432089433004511
"DSNY_009-M-2-0-20140813";0.568373898053951;0.431626101946049
"DSNY_009-M-29-2-20140701";0.567944138357603;0.432055861642397
