"";"other";"denitrification"
"BART_001-M-1-6-20140619";0.882630566418068;0.117369433581932
"BART_001-M-7-5-20140619";0.882634205572008;0.117365794427992
"BART_001-O-1-6-20140619";0.882505582665697;0.117494417334303
"BART_006-M-3-26-20140619";0.884948418795569;0.115051581204432
"BART_006-M-33-3-20140619";0.885273049595133;0.114726950404867
"BART_006-O-33-3-20140619";0.885390507514015;0.114609492485985
"BART_028-M-33-4-20140619";0.884787274326172;0.115212725673828
"CPER_001-M-22-32-20140812";0.879739454978602;0.120260545021398
"CPER_001-M-30-37-20140812";0.895185528601787;0.104814471398213
"CPER_001-M-7-0-20140812";0.887747390950604;0.112252609049396
"CPER_002-M-10-34-20140812";0.896971169590228;0.103028830409772
"CPER_002-M-25-6-20140812";0.897051186053039;0.10294881394696
"CPER_002-M-9-4-20140812";0.899437215469421;0.100562784530579
"CPER_003-M-15-7-20140812";0.891099724718315;0.108900275281685
"CPER_003-M-33-11-20140812";0.896103237767997;0.103896762232003
"CPER_004-M-0-30-20140812";0.884781574218157;0.115218425781844
"CPER_004-M-16-7-20140812";0.88875130086064;0.11124869913936
"CPER_004-M-23-38-20140812";0.891302169543369;0.108697830456631
"DSNY_001-M-1-6-20140813";0.915834313047665;0.0841656869523345
"DSNY_001-M-29-37-20140701";0.916902744777214;0.083097255222786
"DSNY_001-M-30-37-20140909";0.917203817028091;0.0827961829719094
"DSNY_001-M-7-0-20140909";0.916995002547719;0.0830049974522814
"DSNY_001-M-7-5-20140813";0.915964488715307;0.0840355112846929
"DSNY_001-M-9-11-20140701";0.916915983367486;0.0830840166325136
"DSNY_001-M-9-17-20140813";0.918337768654741;0.0816622313452594
"DSNY_002-M-10-34-20140910";0.920236087146083;0.0797639128539167
"DSNY_002-M-11-0-20140813";0.920288745159771;0.0797112548402291
"DSNY_002-M-27-36-20140813";0.920679480487809;0.0793205195121913
"DSNY_002-M-30-5-20140813";0.920476817172212;0.0795231828277884
"DSNY_002-M-9-4-20140910";0.920133253653569;0.0798667463464313
"DSNY_003-M-1-7-20140813";0.919098863400312;0.0809011365996877
"DSNY_003-M-3-26-20140813";0.920172445992059;0.0798275540079412
"DSNY_004-M-21-38-20140813";0.92436325938902;0.0756367406109796
"DSNY_004-M-33-4-20140814";0.923268591647433;0.0767314083525669
"DSNY_005-M-24-40-20140818";0.917607311015032;0.0823926889849676
"DSNY_005-M-33-2-20140814";0.915285239793251;0.0847147602067485
"DSNY_009-M-17-34-20140701";0.920771676213092;0.0792283237869081
"DSNY_009-M-2-0-20140813";0.920914518509563;0.0790854814904375
"DSNY_009-M-29-2-20140701";0.920687279399871;0.0793127206001293
"DSNY_009-M-33-11-20140910";0.920743891222726;0.0792561087772744
"DSNY_009-M-8-11-20140813";0.92072118925542;0.0792788107445796
"DSNY_016-M-0-30-20140910";0.915368541348892;0.0846314586511078
"DSNY_016-M-12-7-20140701";0.915226601544332;0.0847733984556677
"DSNY_016-M-16-7-20140910";0.915349026467494;0.0846509735325057
"DSNY_016-M-3-37-20140813";0.915443021207569;0.0845569787924307
"DSNY_016-M-35-24-20140701";0.915353896987905;0.0846461030120947
"DSNY_016-M-36-16-20140813";0.914924767252727;0.0850752327472735
"DSNY_016-M-5-26-20140701";0.915284870406722;0.0847151295932777
"DSNY_016-M-6-12-20140813";0.913553839984757;0.0864461600152432
"DSNY_043-M-18-37-20140814";0.91274011045239;0.0872598895476097
"DSNY_043-M-2-27-20140814";0.906254253037923;0.0937457469620775
"DSNY_043-M-33-17-20140814";0.915908475774791;0.0840915242252094
"HARV_001-M-14-7-20140812";0.891032128751061;0.108967871248939
"HARV_001-M-15-1-20140812";0.890903753567405;0.109096246432595
"HARV_001-M-30-37-20140715";0.891284764894265;0.108715235105735
"HARV_001-M-39-16-20140812";0.891059190112842;0.108940809887158
