"";"other";"dissim_nitrate_reduction"
"BART_001-M-1-6-20140619";0.865099020513642;0.134900979486358
"BART_001-M-7-5-20140619";0.865060543045977;0.134939456954023
"BART_001-O-1-6-20140619";0.864988635814771;0.135011364185229
"BART_006-M-3-26-20140619";0.867239451663383;0.132760548336617
"BART_006-M-33-3-20140619";0.867043856090599;0.132956143909401
"BART_006-O-33-3-20140619";0.867177073582273;0.132822926417727
"BART_028-M-33-4-20140619";0.865870786235727;0.134129213764273
"CPER_001-M-22-32-20140812";0.874196740221025;0.125803259778975
"CPER_001-M-30-37-20140812";0.883021894167714;0.116978105832286
"CPER_001-M-7-0-20140812";0.878745146655275;0.121254853344725
"CPER_002-M-10-34-20140812";0.884201517925712;0.115798482074288
"CPER_002-M-25-6-20140812";0.884159115316176;0.115840884683824
"CPER_002-M-9-4-20140812";0.885532242198742;0.114467757801258
"CPER_003-M-15-7-20140812";0.880746194662543;0.119253805337457
"CPER_003-M-33-11-20140812";0.883697167375668;0.116302832624332
"CPER_004-M-0-30-20140812";0.877252505540145;0.122747494459855
"CPER_004-M-16-7-20140812";0.879241835186559;0.120758164813441
"CPER_004-M-23-38-20140812";0.880740663401561;0.119259336598439
"DSNY_001-M-1-6-20140813";0.887654284304053;0.112345715695947
"DSNY_001-M-29-37-20140701";0.888466863027109;0.111533136972891
"DSNY_001-M-30-37-20140909";0.888481147154058;0.111518852845941
"DSNY_001-M-7-0-20140909";0.888453442256811;0.111546557743189
"DSNY_001-M-7-5-20140813";0.887729369762781;0.112270630237219
"DSNY_001-M-9-11-20140701";0.888377037040774;0.111622962959226
"DSNY_001-M-9-17-20140813";0.889466492007799;0.110533507992201
"DSNY_002-M-10-34-20140910";0.890756554258709;0.109243445741291
"DSNY_002-M-11-0-20140813";0.890657519475538;0.109342480524462
"DSNY_002-M-27-36-20140813";0.891000938052423;0.108999061947577
"DSNY_002-M-30-5-20140813";0.890964376021612;0.109035623978388
"DSNY_002-M-9-4-20140910";0.890570984029244;0.109429015970756
"DSNY_003-M-1-7-20140813";0.889966091258602;0.110033908741397
"DSNY_003-M-3-26-20140813";0.890646619577165;0.109353380422835
"DSNY_004-M-21-38-20140813";0.893650387032005;0.106349612967995
"DSNY_004-M-33-4-20140814";0.892888981161259;0.107111018838741
"DSNY_005-M-24-40-20140818";0.888903659175246;0.111096340824754
"DSNY_005-M-33-2-20140814";0.887265380735338;0.112734619264662
"DSNY_009-M-17-34-20140701";0.891085543410141;0.108914456589859
"DSNY_009-M-2-0-20140813";0.891237253466874;0.108762746533126
"DSNY_009-M-29-2-20140701";0.890999676867816;0.109000323132184
"DSNY_009-M-33-11-20140910";0.891005385780814;0.108994614219186
"DSNY_009-M-8-11-20140813";0.8909105461783;0.1090894538217
"DSNY_016-M-0-30-20140910";0.887308358243208;0.112691641756792
"DSNY_016-M-12-7-20140701";0.887206836667872;0.112793163332128
"DSNY_016-M-16-7-20140910";0.887324294759883;0.112675705240117
"DSNY_016-M-3-37-20140813";0.88733703525216;0.11266296474784
"DSNY_016-M-35-24-20140701";0.887310802819608;0.112689197180392
"DSNY_016-M-36-16-20140813";0.887043205323737;0.112956794676263
"DSNY_016-M-5-26-20140701";0.887191859778318;0.112808140221682
"DSNY_016-M-6-12-20140813";0.886120497014855;0.113879502985145
"DSNY_043-M-18-37-20140814";0.885523453477571;0.114476546522429
"DSNY_043-M-2-27-20140814";0.881345780343415;0.118654219656585
"DSNY_043-M-33-17-20140814";0.887554202314585;0.112445797685415
"HARV_001-M-14-7-20140812";0.872154315895525;0.127845684104475
"HARV_001-M-15-1-20140812";0.872307112433807;0.127692887566193
"HARV_001-M-30-37-20140715";0.872227846097611;0.127772153902389
"HARV_001-M-39-16-20140812";0.872271778219839;0.127728221780161
"HARV_001-M-7-0-20140715";0.872274569218932;0.127725430781068
"HARV_001-O-14-7-20140812";0.872237904927882;0.127762095072118
"HARV_001-O-15-1-20140812";0.872337726388401;0.127662273611599
"HARV_002-M-24-40-20140716";0.87392937305312;0.12607062694688
"HARV_002-O-24-40-20140716";0.873925692217434;0.126074307782566
"HARV_002-O-33-2-20140716";0.87388583220359;0.12611416779641
"HARV_002-O-4-9-20140716";0.874122149752918;0.125877850247082
"HARV_004-M-10-34-20140715";0.877849329916783;0.122150670083217
"HARV_004-M-19-1-20140812";0.877826817401019;0.122173182598981
"HARV_004-M-25-6-20140715";0.877660461194994;0.122339538805006
"HARV_004-M-3-28-20140812";0.877808300216419;0.122191699783581
"HARV_004-M-9-34-20140812";0.877658332621328;0.122341667378672
"HARV_004-M-9-4-20140715";0.877722525804495;0.122277474195505
"HARV_004-O-10-34-20140715";0.877855350024553;0.122144649975447
"HARV_004-O-19-1-20140812";0.877779063461107;0.122220936538893
"HARV_004-O-25-6-20140715";0.877719119071801;0.122280880928199
"HARV_004-O-3-28-20140812";0.877681049020745;0.122318950979255
"HARV_004-O-9-34-20140812";0.877811619495992;0.122188380504008
"HARV_010-M-2-0-20140715";0.871408371164366;0.128591628835634
"HARV_010-M-39-30-20140715";0.871511220669617;0.128488779330383
"HARV_010-M-8-11-20140715";0.871659910681721;0.128340089318279
"HARV_010-O-2-0-20140715";0.871578601729696;0.128421398270304
"HARV_010-O-39-30-20140715";0.871242711181585;0.128757288818415
"HARV_010-O-8-11-20140715";0.871517026659749;0.128482973340251
"HARV_013-M-0-13-20140812";0.871848262058836;0.128151737941164
"HARV_013-M-14-6-20140812";0.872010282958332;0.127989717041668
"HARV_013-M-15-7-20140717";0.872138180573939;0.127861819426061
"HARV_013-M-28-3-20140812";0.871949542058905;0.128050457941095
"HARV_013-M-4-7-20140717";0.872058029042374;0.127941970957626
"HARV_013-O-0-13-20140812";0.872082657725229;0.127917342274771
"HARV_013-O-14-6-20140812";0.871983735301931;0.128016264698069
"HARV_013-O-15-7-20140717";0.872026933504014;0.127973066495986
"HARV_013-O-28-3-20140812";0.872136815545211;0.127863184454789
"HARV_013-O-33-11-20140716";0.872152408589554;0.127847591410446
"HARV_016-M-0-30-20140715";0.872665854831816;0.127334145168184
"HARV_016-M-16-7-20140715";0.872708635250207;0.127291364749793
"HARV_016-O-0-30-20140715";0.87264995653763;0.12735004346237
"HARV_016-O-16-7-20140715";0.872619072459945;0.127380927540055
"HARV_020-M-12-33-20140812";0.883447526746747;0.116552473253253
"HARV_020-M-30-27-20140812";0.883366136162725;0.116633863837275
"HARV_020-M-37-22-20140812";0.88336624458033;0.11663375541967
"HARV_020-O-12-33-20140812";0.883395920180091;0.116604079819909
"HARV_020-O-30-27-20140812";0.88338282563662;0.116617174363381
"HARV_020-O-37-22-20140812";0.883339744957469;0.116660255042531
"HARV_021-M-3-37-20140717";0.871555198792499;0.128444801207501
"HARV_021-M-36-16-20140717";0.871548143226869;0.128451856773131
"HARV_021-M-6-12-20140717";0.871628863311724;0.128371136688276
"HARV_021-O-3-37-20140717";0.871516729365977;0.128483270634023
"HARV_021-O-36-16-20140717";0.871566300617283;0.128433699382717
"HARV_033-M-23-30-20140717";0.874096335992772;0.125903664007228
"HARV_033-M-30-38-20140717";0.874049305106704;0.125950694893296
"HARV_033-M-33-4-20140717";0.874067494128029;0.125932505871971
"HARV_033-O-23-30-20140717";0.874060564270792;0.125939435729208
"HARV_033-O-30-38-20140717";0.874145377883454;0.125854622116546
"HARV_034-M-23-8-20140717";0.872166304793549;0.127833695206451
"HARV_034-M-31-3-20140717";0.872085051440792;0.127914948559208
