"";"other";"dissim_nitrite_reduction"
"BART_001-M-1-6-20140619";0.844400013122183;0.155599986877817
"BART_001-M-7-5-20140619";0.84436067272367;0.15563932727633
"BART_001-O-1-6-20140619";0.84451145704535;0.15548854295465
"BART_006-M-3-26-20140619";0.847966566273084;0.152033433726916
"BART_006-M-33-3-20140619";0.847821190242379;0.152178809757621
"BART_006-O-33-3-20140619";0.847851953290268;0.152148046709732
"BART_028-M-33-4-20140619";0.846415607283033;0.153584392716967
"CPER_001-M-22-32-20140812";0.844652249373569;0.155347750626431
"CPER_001-M-30-37-20140812";0.861976559860133;0.138023440139867
"CPER_001-M-7-0-20140812";0.853670311381691;0.146329688618309
"CPER_002-M-10-34-20140812";0.864482751958132;0.135517248041868
"CPER_002-M-25-6-20140812";0.864444662975069;0.135555337024931
"CPER_002-M-9-4-20140812";0.867064430597238;0.132935569402762
"CPER_003-M-15-7-20140812";0.857646195946575;0.142353804053425
"CPER_003-M-33-11-20140812";0.863189538984914;0.136810461015086
"CPER_004-M-0-30-20140812";0.850104147461777;0.149895852538223
"CPER_004-M-16-7-20140812";0.854607089994563;0.145392910005437
"CPER_004-M-23-38-20140812";0.857737302161396;0.142262697838604
"DSNY_001-M-1-6-20140813";0.878189046246342;0.121810953753658
"DSNY_001-M-29-37-20140701";0.879531738533392;0.120468261466608
"DSNY_001-M-30-37-20140909";0.879588244952609;0.120411755047391
"DSNY_001-M-7-0-20140909";0.879649527636991;0.120350472363009
"DSNY_001-M-7-5-20140813";0.878140464053169;0.121859535946831
"DSNY_001-M-9-11-20140701";0.879558445278471;0.120441554721528
"DSNY_001-M-9-17-20140813";0.881266658585409;0.118733341414591
"DSNY_002-M-10-34-20140910";0.883671597590249;0.116328402409751
"DSNY_002-M-11-0-20140813";0.883332646163096;0.116667353836904
"DSNY_002-M-27-36-20140813";0.884352507999804;0.115647492000196
"DSNY_002-M-30-5-20140813";0.884253078108156;0.115746921891844
"DSNY_002-M-9-4-20140910";0.883512358830564;0.116487641169436
"DSNY_003-M-1-7-20140813";0.882158241639285;0.117841758360715
"DSNY_003-M-3-26-20140813";0.883416844525752;0.116583155474248
"DSNY_004-M-21-38-20140813";0.888844052290469;0.111155947709531
"DSNY_004-M-33-4-20140814";0.887789230013347;0.112210769986653
"DSNY_005-M-24-40-20140818";0.880650340000104;0.119349659999896
"DSNY_005-M-33-2-20140814";0.877432383824892;0.122567616175109
"DSNY_009-M-17-34-20140701";0.884364470797712;0.115635529202288
"DSNY_009-M-2-0-20140813";0.884386960310559;0.115613039689441
"DSNY_009-M-29-2-20140701";0.884377228055234;0.115622771944766
"DSNY_009-M-33-11-20140910";0.884243801729296;0.115756198270704
"DSNY_009-M-8-11-20140813";0.884384837481718;0.115615162518282
"DSNY_016-M-0-30-20140910";0.877510011564902;0.122489988435098
"DSNY_016-M-12-7-20140701";0.877475653599487;0.122524346400513
"DSNY_016-M-16-7-20140910";0.877332743628862;0.122667256371138
"DSNY_016-M-3-37-20140813";0.877639564210792;0.122360435789208
"DSNY_016-M-35-24-20140701";0.877238468654753;0.122761531345247
"DSNY_016-M-36-16-20140813";0.877103979334776;0.122896020665224
"DSNY_016-M-5-26-20140701";0.877637188872529;0.122362811127471
"DSNY_016-M-6-12-20140813";0.875393995489907;0.124606004510093
"DSNY_043-M-18-37-20140814";0.874100591689375;0.125899408310625
"DSNY_043-M-2-27-20140814";0.866178673087393;0.133821326912606
"DSNY_043-M-33-17-20140814";0.878012016106953;0.121987983893047
"HARV_001-M-14-7-20140812";0.853369334783404;0.146630665216596
"HARV_001-M-15-1-20140812";0.853179033200668;0.146820966799332
"HARV_001-M-30-37-20140715";0.853325205021027;0.146674794978973
"HARV_001-M-39-16-20140812";0.853161836708512;0.146838163291488
"HARV_001-M-7-0-20140715";0.852978031605716;0.147021968394284
"HARV_001-O-14-7-20140812";0.853200960787474;0.146799039212526
"HARV_001-O-15-1-20140812";0.853579801574459;0.146420198425541
"HARV_002-M-24-40-20140716";0.855999172720923;0.144000827279077
"HARV_002-O-24-40-20140716";0.85590068603783;0.14409931396217
"HARV_002-O-33-2-20140716";0.856053443380918;0.143946556619082
"HARV_002-O-4-9-20140716";0.855982393643978;0.144017606356022
"HARV_004-M-10-34-20140715";0.861714295180482;0.138285704819518
"HARV_004-M-19-1-20140812";0.861552262505128;0.138447737494872
"HARV_004-M-25-6-20140715";0.861467866819671;0.138532133180329
"HARV_004-M-3-28-20140812";0.861621121108568;0.138378878891431
"HARV_004-M-9-34-20140812";0.861670433939573;0.138329566060427
"HARV_004-M-9-4-20140715";0.86166669014671;0.13833330985329
"HARV_004-O-10-34-20140715";0.8614598368069;0.1385401631931
"HARV_004-O-19-1-20140812";0.86176308064081;0.13823691935919
"HARV_004-O-25-6-20140715";0.861772779678171;0.138227220321829
"HARV_004-O-3-28-20140812";0.861450197403246;0.138549802596754
"HARV_004-O-9-34-20140812";0.861550855588732;0.138449144411268
"HARV_010-M-2-0-20140715";0.851899336631563;0.148100663368437
"HARV_010-M-39-30-20140715";0.851930325139136;0.148069674860864
"HARV_010-M-8-11-20140715";0.852152446251477;0.147847553748523
"HARV_010-O-2-0-20140715";0.852020355144374;0.147979644855626
"HARV_010-O-39-30-20140715";0.852238505425841;0.147761494574159
"HARV_010-O-8-11-20140715";0.852226782187318;0.147773217812682
"HARV_013-M-0-13-20140812";0.853008240023299;0.146991759976701
"HARV_013-M-14-6-20140812";0.853003443816287;0.146996556183713
"HARV_013-M-15-7-20140717";0.852988408809604;0.147011591190396
"HARV_013-M-28-3-20140812";0.852988602528423;0.147011397471577
"HARV_013-M-4-7-20140717";0.852855014769104;0.147144985230896
"HARV_013-O-0-13-20140812";0.852971797022073;0.147028202977927
"HARV_013-O-14-6-20140812";0.85283114136472;0.14716885863528
"HARV_013-O-15-7-20140717";0.852805328812685;0.147194671187315
"HARV_013-O-28-3-20140812";0.853042864574318;0.146957135425682
"HARV_013-O-33-11-20140716";0.852737038722;0.147262961278
"HARV_016-M-0-30-20140715";0.854373777354237;0.145626222645763
"HARV_016-M-16-7-20140715";0.85445434438569;0.14554565561431
"HARV_016-O-0-30-20140715";0.85425413023387;0.14574586976613
"HARV_016-O-16-7-20140715";0.854401175951024;0.145598824048976
"HARV_020-M-12-33-20140812";0.870474182157896;0.129525817842105
"HARV_020-M-30-27-20140812";0.870502330917308;0.129497669082692
"HARV_020-M-37-22-20140812";0.870351462545562;0.129648537454438
"HARV_020-O-12-33-20140812";0.87024645157615;0.12975354842385
"HARV_020-O-30-27-20140812";0.870375413997861;0.129624586002139
"HARV_020-O-37-22-20140812";0.870135546281646;0.129864453718354
"HARV_021-M-3-37-20140717";0.851862100201312;0.148137899798688
"HARV_021-M-36-16-20140717";0.8521411035442;0.1478588964558
"HARV_021-M-6-12-20140717";0.851854888445724;0.148145111554276
"HARV_021-O-3-37-20140717";0.852011793057987;0.147988206942013
"HARV_021-O-36-16-20140717";0.85197941899202;0.14802058100798
"HARV_033-M-23-30-20140717";0.856330752081717;0.143669247918282
"HARV_033-M-30-38-20140717";0.856236540162764;0.143763459837236
"HARV_033-M-33-4-20140717";0.856207502094149;0.143792497905851
"HARV_033-O-23-30-20140717";0.856195423667686;0.143804576332314
"HARV_033-O-30-38-20140717";0.856315857060569;0.143684142939431
"HARV_034-M-23-8-20140717";0.852958963824076;0.147041036175924
"HARV_034-M-31-3-20140717";0.853383446495915;0.146616553504085
"HARV_034-O-19-30-20140717";0.853049619398676;0.146950380601324
"HARV_035-M-33-17-20140716";0.854865033668138;0.145134966331862
"HARV_035-O-18-37-20140717";0.854653385344431;0.145346614655569
"JERC_001-M-1-6-20140805";0.85684608351541;0.14315391648459
"JERC_001-M-17-34-20140710";0.859348017217029;0.140651982782971
"JERC_001-M-29-2-20140710";0.859133870692805;0.140866129307195
"JERC_001-M-7-5-20140805";0.85985991884991;0.14014008115009
"JERC_001-M-9-17-20140805";0.859399699105045;0.140600300894955
"JERC_002-M-11-0-20140805";0.860982480472175;0.139017519527825
