"";"other";"acetobacteraceae";"bradyrhizobiaceae";"caulobacteraceae";"comamonadaceae";"hyphomicrobiaceae";"mycobacteriaceae";"oxalobacteraceae";"rhodospirillaceae";"sphingomonadaceae";"xanthomonadaceae"
"BART_001-M-1-6-20140619";0.857920722577307;0.0142591344452582;0.0232497933830878;0.00849502970621478;0.00857642664217054;0.0436618264432625;0.00536416986947225;0.00601273226141987;0.0182724225827513;0.00553339036911645;0.00865435171993871
"BART_001-M-7-5-20140619";0.85797128826433;0.0141608676303042;0.023259451188931;0.00847658458232757;0.00859160153359026;0.0437550149168999;0.00534077344340395;0.00598782311200706;0.0182542613936714;0.00555021245070078;0.00865212148383408
"BART_001-O-1-6-20140619";0.857907228696985;0.0142737080193016;0.0232658967302674;0.00849939116644079;0.00855039000761156;0.0436287145996976;0.00535609714456297;0.00600586537912707;0.0183423405486308;0.00553478611344545;0.00863558159393009
"BART_006-M-3-26-20140619";0.858781131032934;0.0146389132121441;0.0234691427283121;0.00867825160488487;0.00810323145009445;0.04315409910824;0.00485987778590543;0.00558339905560106;0.0184204377801131;0.00578344872950422;0.00852806751226675
"BART_006-M-33-3-20140619";0.858741472682582;0.0144865163003143;0.023474542698663;0.00866170376919844;0.00814825326179853;0.0433426047623161;0.00486874849586334;0.00559273653468433;0.0183370028352988;0.00577115823769934;0.00857526042158128
"BART_006-O-33-3-20140619";0.858876411763111;0.0145831815304074;0.0234714462876028;0.00866932125340687;0.008126895372013;0.0431113546682046;0.00486761973267675;0.00558670513759283;0.0183837002662401;0.00579369990470059;0.00852966408404408
"BART_028-M-33-4-20140619";0.853706161950865;0.0175331276559406;0.023659954031329;0.00923185295090648;0.00799005265925283;0.042841541539342;0.00602869583269862;0.00651342167396325;0.0191272379780649;0.00454301724959295;0.0088249364780449
"CPER_001-M-22-32-20140812";0.858691161143271;0.00276654280636802;0.0178132097217795;0.00446293698295987;0.0168542605210686;0.0299122936911399;0.00292356141324165;0.00422553635232602;0.0104167112074109;0.0445688508078512;0.00736493535258373
"CPER_001-M-30-37-20140812";0.86935221283707;0.00511683140603892;0.0195531409719031;0.00598479889185668;0.0122372152597307;0.0279813927442053;0.00287314417100688;0.00411161087240903;0.0120745202240623;0.033222571402974;0.00749256121874331
"CPER_001-M-7-0-20140812";0.864881967194665;0.00379138671141849;0.0186918517473917;0.00518508187997139;0.0143319617155515;0.0288273902925244;0.0029017083109904;0.00417164075702398;0.011238899572594;0.0385711074400595;0.00740700437780926
"CPER_002-M-10-34-20140812";0.870348774363349;0.00557029093062818;0.0198042442035542;0.00624358323979576;0.0117003120531415;0.0277589521794886;0.0028659406788586;0.00409106850383055;0.0123080549853893;0.0317971750567369;0.00751160380522767
"CPER_002-M-25-6-20140812";0.87031490850136;0.00555528777141907;0.0198098496841753;0.00622904415740972;0.0117112745138923;0.0277046161133554;0.00286432921011995;0.00409190327422324;0.0123106274949657;0.0319168603483649;0.00749129893071428
"CPER_002-M-9-4-20140812";0.871369105690449;0.00616026482723588;0.020115041687075;0.0065309919387868;0.0110948031887755;0.027445773474767;0.00285742036061594;0.00406891089814543;0.012623518156029;0.0302252646026702;0.0075089051754499
"CPER_003-M-15-7-20140812";0.86723906409095;0.0043859321659688;0.0191163427613919;0.00556419087868219;0.0132814261088292;0.0284842051466799;0.00288482471066758;0.00414132459633997;0.0116440671885451;0.0358028550987742;0.00745576725317105
"CPER_003-M-33-11-20140812";0.869868152148439;0.00532646453353564;0.0196806300509869;0.006106884149746;0.0119610743395571;0.0278258050992976;0.00286914177340071;0.00410034869713871;0.0121941903791504;0.0325819759945211;0.00748533283422691
"CPER_004-M-0-30-20140812";0.862797800035244;0.00337714439036485;0.0183639964951849;0.00491126734949025;0.0152336957631915;0.029261258388236;0.00291084672804561;0.00419553867700701;0.010940470692835;0.0406132893543029;0.00739469212609809
"CPER_004-M-16-7-20140812";0.865521840775228;0.00393329957958475;0.0187976246217347;0.00527213781901815;0.0140600851083272;0.0287658928643918;0.00290149177901587;0.00416420989733376;0.0113603766639442;0.0378033270176174;0.00741971387380394
"CPER_004-M-23-38-20140812";0.867170180665436;0.00435574837880487;0.0191028292984128;0.00554905333700835;0.0133158906527715;0.0284867375516824;0.00289286238310717;0.00414704716063651;0.011616005277862;0.0359084151675462;0.00745523012673215
"DSNY_001-M-1-6-20140813";0.851623957391305;0.0241760175594546;0.0200240998656882;0.00966816482096716;0.00675085521981025;0.0302834945583239;0.00720304960397776;0.00657256559493205;0.0318887381037296;0.00593163466343085;0.00587742261838113
"DSNY_001-M-29-37-20140701";0.849907443232874;0.0258594999817328;0.0201857119488248;0.00994935451236921;0.00650045495347943;0.0299136053637527;0.00717494285823008;0.00653417000097739;0.0324016211060854;0.00572234503087676;0.00585085101079692
"DSNY_001-M-30-37-20140909";0.849999495982614;0.0257842398767628;0.0201707509544826;0.00994079251742782;0.00652631215432734;0.0299547707527497;0.00717434869205016;0.00652965259751785;0.0323111964432806;0.00575207557101023;0.00585636445777644
"DSNY_001-M-7-0-20140909";0.849924713674165;0.0258273333116315;0.0201691476259318;0.0099469112526642;0.00650946160653008;0.0299197642515455;0.00718316332810176;0.00653182672914053;0.0323932406993056;0.00574198354863699;0.00585245397234737
"DSNY_001-M-7-5-20140813";0.851403759616435;0.0243868496493005;0.0200779910624731;0.00969596586897376;0.00671151710899351;0.030237827763832;0.0072066313235188;0.00655952959451198;0.0319586265350733;0.00588670326519264;0.00587459821169506
"DSNY_001-M-9-11-20140701";0.849934279653505;0.0259033825985788;0.0201645622853654;0.00996470713512556;0.00650823777414131;0.0299489033834306;0.00716211205469987;0.00652893014614586;0.0322991287285402;0.00571988165814669;0.00586587458232099
"DSNY_001-M-9-17-20140813";0.84856097066449;0.0273275954238214;0.0202961115423268;0.0102121640127467;0.00626901345200429;0.0296597086369582;0.00713851662875874;0.00648770643319075;0.0326483930497709;0.00553789845461843;0.005861921701314
"DSNY_002-M-10-34-20140910";0.845595339762968;0.0301970740689402;0.0205054995427319;0.010664256073087;0.00592700278755938;0.0292174716753971;0.00707355390352521;0.00642678558993035;0.0332878740022213;0.00525439277165471;0.00585074982198481
"DSNY_002-M-11-0-20140813";0.845672069810706;0.0300921990954955;0.0205020718238885;0.010657089347897;0.00594665402797436;0.0291979502086863;0.00709338925767892;0.0064253556832666;0.0333047889359131;0.00526740165507149;0.00584103015342224
"DSNY_002-M-27-36-20140813";0.844766541052489;0.0309594335547173;0.0205815448808167;0.0108043413050308;0.00580691293325535;0.0290015574346918;0.0070672728328129;0.00640329224878684;0.033614289748161;0.00516774324131487;0.00582707076792362
"DSNY_002-M-30-5-20140813";0.845046960043982;0.0307034119411529;0.020568151844642;0.0107586623266763;0.00583942377260833;0.0291107357314806;0.00705692064806119;0.00641092921264958;0.033495659632045;0.00516972025988174;0.00583942458682076
"DSNY_002-M-9-4-20140910";0.845639564793539;0.0301555299940074;0.0204949004265452;0.0106811104585148;0.00593948781995644;0.0291847045286362;0.00707523598497301;0.00642824395805971;0.0332957105014889;0.0052579308639446;0.00584758067033492
