"";"other";"bacillus";"bradyrhizobium";"chthoniobacter";"devosia";"mycobacterium";"opitutus";"phenylobacterium";"pseudomonas";"rhodoplanes";"sphingomonas"
"BART_001-M-1-6-20140619";0.94323582539964;0.00340432362918404;0.00425709756332104;0.00200553663851675;0.00187258567934251;0.00524762457410485;0.00346197531647425;0.00318540987552932;0.00237610148984472;0.0288795992089106;0.00207392062513234
"BART_001-M-7-5-20140619";0.943234471532829;0.00340134847288421;0.00424818594076217;0.00200361251229362;0.00187239863088736;0.0052462990315865;0.00347119997550752;0.00319513610717323;0.00236860864512834;0.02888765197191;0.00207108717903829
"BART_001-O-1-6-20140619";0.943105274519206;0.00338946124102062;0.00428179418439835;0.00199809664734943;0.00186560886046006;0.00526276687479525;0.00347130178516734;0.00320135071376746;0.00237304560065417;0.0289968988916277;0.00205440068155368
"BART_006-M-3-26-20140619";0.945417654704872;0.00338045148279147;0.00389975713560361;0.00203564785339241;0.00182761501397941;0.00482962474569938;0.00326779398204841;0.00304147770778169;0.00207514320871854;0.0280791029174095;0.0021457312477033
"BART_006-M-33-3-20140619";0.945488392151369;0.00337694715127721;0.00388169388431694;0.00203363591373495;0.00182549544536405;0.00481856231089188;0.0032684709422035;0.00304320275061476;0.00205906923042989;0.0280601432907032;0.00214438692909461
"BART_006-O-33-3-20140619";0.945486464416152;0.00337963132639827;0.00388547727682706;0.00203217365741246;0.00183060849451544;0.00482135069917373;0.00326401728203302;0.00303904923791138;0.00206684113302196;0.0280463070492464;0.00214807942730778
"BART_028-M-33-4-20140619";0.939527733436116;0.00316336988794738;0.0048653032535287;0.00186927552648758;0.00181636470587197;0.00586123609203599;0.0039822866827415;0.00366016095559379;0.00257276471234508;0.0309152097281906;0.00176629501914103
"CPER_001-M-22-32-20140812";0.954094979987321;0.00596485180926047;0.001001594111631;0.00355511338513559;0.00383757553790767;0.00283030112616314;0.00146635738920932;0.0012589700150769;0.0014988418898452;0.0108884726385647;0.0136029421098847
"CPER_001-M-30-37-20140812";0.958354663162362;0.00492092064799276;0.000977400120984694;0.00319864096981672;0.0033124828071108;0.00272804475204117;0.00166667600819688;0.00147214139169493;0.00111697598925394;0.0114106513034871;0.0108414028470586
"CPER_001-M-7-0-20140812";0.956374547058598;0.00541259824224733;0.00099292907243565;0.00337187805497161;0.00356385242605132;0.00277851753287538;0.00156249620745301;0.0013628531194076;0.00129586594522228;0.0111711940666664;0.0121132682740716
"CPER_002-M-10-34-20140812";0.958899160774383;0.00478191073238036;0.000968722208767018;0.00314707486931284;0.00324329646642511;0.00271258068826744;0.00169550745736733;0.00150533679596671;0.00107115165914575;0.0114863928711497;0.0104888654768351
"CPER_002-M-25-6-20140812";0.958838253270931;0.00479612281179918;0.000977947920708674;0.00315443984624964;0.00324712268634912;0.00271328081329269;0.00169329600322653;0.0015039127735954;0.00107572806010213;0.0115083552809872;0.010491540532758
"CPER_002-M-9-4-20140812";0.959426762180528;0.00464372960370272;0.000971162999072683;0.00309727678835259;0.00316565005524362;0.00269637014187161;0.00173046718592826;0.00154474202933356;0.00102441165641487;0.011603680991837;0.0100957463677153
"CPER_003-M-15-7-20140812";0.957375905904023;0.00516960875012158;0.000984589701267248;0.00328628898885557;0.00343934515834117;0.00275120476492188;0.00161264536253863;0.00141473852027003;0.0012039979674411;0.0112707969281811;0.0114908779540387
"CPER_003-M-33-11-20140812";0.958614447660783;0.00485185933214318;0.000974440135466577;0.00317342530190259;0.00327828946953176;0.00272010557854359;0.00167857711762621;0.00148780315662642;0.00109529495348349;0.0114614026263642;0.0106643546675287
"CPER_004-M-0-30-20140812";0.955590645382406;0.00561622179813563;0.000992492141546938;0.00343278738109899;0.00366124775860571;0.00279662813148483;0.00152775449370778;0.00132449422133315;0.00136681100292573;0.0110606359740423;0.0126302817147128
"CPER_004-M-16-7-20140812";0.956649313314343;0.00535828958096204;0.000989087760418694;0.00335021812182514;0.0035314022289416;0.00277270676660432;0.00157393242579931;0.0013754175890498;0.00127176685072873;0.0111985717453077;0.0119292936160198
"CPER_004-M-23-38-20140812";0.957351836783596;0.00516982660759537;0.000980758464075078;0.00328443143468591;0.00344549691112534;0.00275396112680018;0.00161110257311406;0.00141471306126809;0.00120464124419526;0.0112742556843623;0.0115089761091823
"DSNY_001-M-1-6-20140813";0.952654716673906;0.00358004982457287;0.00164217892713349;0.00153616241099598;0.00218931901396994;0.00522166452312823;0.00434589372603082;0.00329431349832067;0.00222235651978249;0.0209938655184819;0.00231947936367771
"DSNY_001-M-29-37-20140701";0.952738197391282;0.00351099370661173;0.00163455524421047;0.00152083345316107;0.00215912986557967;0.00520446900807777;0.00440140479105256;0.0033450948156102;0.00216048492048113;0.0210466977309213;0.00227813907301234
"DSNY_001-M-30-37-20140909";0.952819164024049;0.00350743644498112;0.00162924825630694;0.00151861247872464;0.0021603282716743;0.00520056214786197;0.00440724168534656;0.00334793487852797;0.00214815473889746;0.0209802235686536;0.0022810935049763
"DSNY_001-M-7-0-20140909";0.952717160205408;0.00351076189686825;0.00164026755728721;0.00152020142480531;0.00215781054653002;0.00521049413951212;0.0044015065147442;0.00334809877253906;0.0021579189466577;0.0210645222177698;0.00227125777787836
