"";"other";"lignolytic"
"BART_001-M-1-6-20140619";0.983163519541992;0.0168364804580078
"BART_001-M-7-5-20140619";0.983325851969838;0.0166741480301616
"BART_001-O-1-6-20140619";0.983244422933902;0.0167555770660984
"BART_006-M-3-26-20140619";0.983212455421876;0.0167875445781243
"BART_006-M-33-3-20140619";0.983194711625232;0.0168052883747683
"BART_006-O-33-3-20140619";0.98319325855738;0.0168067414426204
"BART_028-M-33-4-20140619";0.984934392845827;0.015065607154173
"CPER_001-M-22-32-20140812";0.942063362494661;0.0579366375053387
"CPER_001-M-30-37-20140812";0.95482014418678;0.0451798558132201
"CPER_001-M-7-0-20140812";0.948754083055821;0.0512459169441793
"CPER_002-M-10-34-20140812";0.956389006916059;0.0436109930839413
"CPER_002-M-25-6-20140812";0.956327094736767;0.0436729052632332
"CPER_002-M-9-4-20140812";0.958138334081867;0.0418616659181327
"CPER_003-M-15-7-20140812";0.951896456369942;0.048103543630058
"CPER_003-M-33-11-20140812";0.955604927347722;0.0443950726522783
"CPER_004-M-0-30-20140812";0.946342278758514;0.0536577212414858
"CPER_004-M-16-7-20140812";0.949553873003768;0.0504461269962319
"CPER_004-M-23-38-20140812";0.951824361474869;0.0481756385251314
"DSNY_001-M-1-6-20140813";0.98181000759694;0.0181899924030595
"DSNY_001-M-29-37-20140701";0.982310958929121;0.017689041070879
"DSNY_001-M-30-37-20140909";0.982266967397206;0.0177330326027938
"DSNY_001-M-7-0-20140909";0.982214372204316;0.017785627795684
"DSNY_001-M-7-5-20140813";0.98189232868383;0.0181076713161696
"DSNY_001-M-9-11-20140701";0.982247928348973;0.0177520716510273
"DSNY_001-M-9-17-20140813";0.982774666466525;0.0172253335334751
"DSNY_002-M-10-34-20140910";0.983461933973521;0.0165380660264788
"DSNY_002-M-11-0-20140813";0.983477367292489;0.0165226327075111
"DSNY_002-M-27-36-20140813";0.983692531941185;0.0163074680588153
"DSNY_002-M-30-5-20140813";0.983643123286712;0.0163568767132883
"DSNY_002-M-9-4-20140910";0.98349722648036;0.0165027735196399
"DSNY_003-M-1-7-20140813";0.982710009077755;0.0172899909222446
"DSNY_003-M-3-26-20140813";0.983093881296491;0.0169061187035087
"DSNY_004-M-21-38-20140813";0.985020609828731;0.0149793901712687
"DSNY_004-M-33-4-20140814";0.984680317994618;0.015319682005382
"DSNY_005-M-24-40-20140818";0.982578892232375;0.0174211077676253
"DSNY_005-M-33-2-20140814";0.98163115046498;0.0183688495350197
"DSNY_009-M-17-34-20140701";0.983698581332359;0.0163014186676406
"DSNY_009-M-2-0-20140813";0.983757603108071;0.0162423968919293
"DSNY_009-M-29-2-20140701";0.983703399331966;0.0162966006680335
"DSNY_009-M-33-11-20140910";0.983709447258973;0.0162905527410273
"DSNY_009-M-8-11-20140813";0.983688575249464;0.0163114247505356
"DSNY_016-M-0-30-20140910";0.981577399107184;0.018422600892816
"DSNY_016-M-12-7-20140701";0.981603625711032;0.0183963742889684
"DSNY_016-M-16-7-20140910";0.981588217841968;0.0184117821580323
"DSNY_016-M-3-37-20140813";0.981654931127279;0.0183450688727215
"DSNY_016-M-35-24-20140701";0.981569578887081;0.0184304211129192
"DSNY_016-M-36-16-20140813";0.981497233636782;0.0185027663632178
"DSNY_016-M-5-26-20140701";0.981667038159273;0.0183329618407266
"DSNY_016-M-6-12-20140813";0.980920225400966;0.0190797745990342
"DSNY_043-M-18-37-20140814";0.980538362950833;0.0194616370491675
"DSNY_043-M-2-27-20140814";0.977871759009356;0.0221282409906442
"DSNY_043-M-33-17-20140814";0.981805602215365;0.0181943977846353
"HARV_001-M-14-7-20140812";0.983503405837491;0.016496594162509
"HARV_001-M-15-1-20140812";0.983505172739997;0.0164948272600031
"HARV_001-M-30-37-20140715";0.983516623418868;0.0164833765811321
"HARV_001-M-39-16-20140812";0.983478601828523;0.0165213981714773
