"";"other";"methanotroph"
"BART_001-M-1-6-20140619";0.990932938214809;0.00906706178519114
"BART_001-M-7-5-20140619";0.99092350803068;0.00907649196931985
"BART_001-O-1-6-20140619";0.990935462566662;0.00906453743333811
"BART_006-M-3-26-20140619";0.990786518281723;0.00921348171827669
"BART_006-M-33-3-20140619";0.990787704463574;0.00921229553642596
"BART_006-O-33-3-20140619";0.990817052520674;0.00918294747932563
"BART_028-M-33-4-20140619";0.990019343334833;0.00998065666516733
"CPER_001-M-22-32-20140812";0.996109449016258;0.00389055098374206
"CPER_001-M-30-37-20140812";0.994696574046591;0.0053034259534092
"CPER_001-M-7-0-20140812";0.995456427144398;0.00454357285560192
"CPER_002-M-10-34-20140812";0.994466938706963;0.00553306129303683
"CPER_002-M-25-6-20140812";0.994474094224432;0.0055259057755679
"CPER_002-M-9-4-20140812";0.994177237734689;0.0058227622653113
"CPER_003-M-15-7-20140812";0.995102200245239;0.00489779975476147
"CPER_003-M-33-11-20140812";0.994584846455792;0.0054151535442084
"CPER_004-M-0-30-20140812";0.995703789174932;0.0042962108250679
"CPER_004-M-16-7-20140812";0.995368633541461;0.00463136645853948
"CPER_004-M-23-38-20140812";0.995110875725645;0.00488912427435469
"DSNY_001-M-1-6-20140813";0.991646541068909;0.00835345893109121
"DSNY_001-M-29-37-20140701";0.991343290298925;0.00865670970107516
"DSNY_001-M-30-37-20140909";0.991364321532619;0.00863567846738148
"DSNY_001-M-7-0-20140909";0.991360610025233;0.00863938997476649
"DSNY_001-M-7-5-20140813";0.991607426075739;0.00839257392426129
"DSNY_001-M-9-11-20140701";0.991346651398214;0.00865334860178647
"DSNY_001-M-9-17-20140813";0.991080869441724;0.00891913055827643
"DSNY_002-M-10-34-20140910";0.990635487927906;0.00936451207209377
"DSNY_002-M-11-0-20140813";0.990614081733284;0.00938591826671579
"DSNY_002-M-27-36-20140813";0.990491577401942;0.0095084225980579
"DSNY_002-M-30-5-20140813";0.990505293396014;0.00949470660398609
"DSNY_002-M-9-4-20140910";0.990611750314912;0.00938824968508823
"DSNY_003-M-1-7-20140813";0.991028719374091;0.00897128062590871
"DSNY_003-M-3-26-20140813";0.990800059660537;0.0091999403394634
"DSNY_004-M-21-38-20140813";0.989473113238874;0.0105268867611262
"DSNY_004-M-33-4-20140814";0.989737100573968;0.0102628994260321
"DSNY_005-M-24-40-20140818";0.991208269953934;0.00879173004606617
"DSNY_005-M-33-2-20140814";0.991758423363931;0.00824157663606879
"DSNY_009-M-17-34-20140701";0.990481317251611;0.00951868274838872
"DSNY_009-M-2-0-20140813";0.990451340493679;0.00954865950632072
"DSNY_009-M-29-2-20140701";0.990472752067907;0.0095272479320931
"DSNY_009-M-33-11-20140910";0.990474156677541;0.0095258433224586
"DSNY_009-M-8-11-20140813";0.990489737761939;0.00951026223806117
"DSNY_016-M-0-30-20140910";0.991740625142587;0.00825937485741316
"DSNY_016-M-12-7-20140701";0.991748542109397;0.00825145789060297
"DSNY_016-M-16-7-20140910";0.991748835537352;0.00825116446264813
"DSNY_016-M-3-37-20140813";0.991740126628215;0.00825987337178544
"DSNY_016-M-35-24-20140701";0.991730148126542;0.00826985187345825
"DSNY_016-M-36-16-20140813";0.991809269857604;0.00819073014239578
"DSNY_016-M-5-26-20140701";0.99171043888686;0.00828956111314014
"DSNY_016-M-6-12-20140813";0.992110217651285;0.00788978234871542
"DSNY_043-M-18-37-20140814";0.99229186283793;0.00770813716206986
"DSNY_043-M-2-27-20140814";0.993392880582836;0.00660711941716415
"DSNY_043-M-33-17-20140814";0.991634793647194;0.00836520635280605
"HARV_001-M-14-7-20140812";0.990173881040029;0.00982611895997113
"HARV_001-M-15-1-20140812";0.990158550569465;0.00984144943053461
"HARV_001-M-30-37-20140715";0.990169167212688;0.00983083278731237
"HARV_001-M-39-16-20140812";0.990169475285877;0.00983052471412333
"HARV_001-M-7-0-20140715";0.990146982279296;0.00985301772070406
"HARV_001-O-14-7-20140812";0.990165256145622;0.00983474385437799
"HARV_001-O-15-1-20140812";0.990151446166107;0.00984855383389338
"HARV_002-M-24-40-20140716";0.990205913577767;0.00979408642223333
"HARV_002-O-24-40-20140716";0.990238361655847;0.00976163834415322
"HARV_002-O-33-2-20140716";0.990193185155027;0.00980681484497319
"HARV_002-O-4-9-20140716";0.9902255795708;0.00977442042920016
"HARV_004-M-10-34-20140715";0.990334286382427;0.00966571361757276
"HARV_004-M-19-1-20140812";0.990338714127197;0.00966128587280271
