"";"other";"n_fixation"
"BART_001-M-1-6-20140619";0.83854421680135;0.16145578319865
"BART_001-M-7-5-20140619";0.838583645039246;0.161416354960754
"BART_001-O-1-6-20140619";0.838483781683147;0.161516218316853
"BART_006-M-3-26-20140619";0.837880018750706;0.162119981249294
"BART_006-M-33-3-20140619";0.837847762484628;0.162152237515372
"BART_006-O-33-3-20140619";0.837872063774998;0.162127936225002
"BART_028-M-33-4-20140619";0.840172831868218;0.159827168131782
"CPER_001-M-22-32-20140812";0.8396749779842;0.1603250220158
"CPER_001-M-30-37-20140812";0.841435034192912;0.158564965807088
"CPER_001-M-7-0-20140812";0.840598640338936;0.159401359661064
"CPER_002-M-10-34-20140812";0.841674836285206;0.158325163714794
"CPER_002-M-25-6-20140812";0.841702088729166;0.158297911270834
"CPER_002-M-9-4-20140812";0.841981549097735;0.158018450902265
"CPER_003-M-15-7-20140812";0.840962473153187;0.159037526846813
"CPER_003-M-33-11-20140812";0.841583162704606;0.158416837295394
"CPER_004-M-0-30-20140812";0.840248937811328;0.159751062188672
"CPER_004-M-16-7-20140812";0.840694908413112;0.159305091586888
"CPER_004-M-23-38-20140812";0.841011575898385;0.158988424101615
"DSNY_001-M-1-6-20140813";0.837928901904221;0.162071098095779
"DSNY_001-M-29-37-20140701";0.83806060231795;0.16193939768205
"DSNY_001-M-30-37-20140909";0.838150754672891;0.161849245327109
"DSNY_001-M-7-0-20140909";0.838102093292147;0.161897906707853
"DSNY_001-M-7-5-20140813";0.837933571838468;0.162066428161532
"DSNY_001-M-9-11-20140701";0.838003454831592;0.161996545168408
"DSNY_001-M-9-17-20140813";0.83826535406639;0.16173464593361
"DSNY_002-M-10-34-20140910";0.838504813679198;0.161495186320802
"DSNY_002-M-11-0-20140813";0.83855675866799;0.16144324133201
"DSNY_002-M-27-36-20140813";0.83861976860372;0.16138023139628
"DSNY_002-M-30-5-20140813";0.838563085674246;0.161436914325754
"DSNY_002-M-9-4-20140910";0.838551685755448;0.161448314244552
"DSNY_003-M-1-7-20140813";0.838092783083818;0.161907216916182
"DSNY_003-M-3-26-20140813";0.837959212067122;0.162040787932878
"DSNY_004-M-21-38-20140813";0.839153008119136;0.160846991880864
"DSNY_004-M-33-4-20140814";0.839057750788359;0.160942249211641
"DSNY_005-M-24-40-20140818";0.838149768294091;0.161850231705909
"DSNY_005-M-33-2-20140814";0.837791235547147;0.162208764452853
"DSNY_009-M-17-34-20140701";0.838594487581242;0.161405512418758
"DSNY_009-M-2-0-20140813";0.838544781567964;0.161455218432036
"DSNY_009-M-29-2-20140701";0.83861526847901;0.16138473152099
"DSNY_009-M-33-11-20140910";0.838565158437524;0.161434841562476
"DSNY_009-M-8-11-20140813";0.83858662728809;0.16141337271191
"DSNY_016-M-0-30-20140910";0.837785211956134;0.162214788043866
"DSNY_016-M-12-7-20140701";0.83784028416678;0.16215971583322
"DSNY_016-M-16-7-20140910";0.837816945868602;0.162183054131398
"DSNY_016-M-3-37-20140813";0.837827929205017;0.162172070794983
"DSNY_016-M-35-24-20140701";0.837805020163207;0.162194979836793
"DSNY_016-M-36-16-20140813";0.837808384199574;0.162191615800426
"DSNY_016-M-5-26-20140701";0.837833297492247;0.162166702507753
"DSNY_016-M-6-12-20140813";0.837609995070157;0.162390004929843
"DSNY_043-M-18-37-20140814";0.837434375236789;0.162565624763211
"DSNY_043-M-2-27-20140814";0.836630539660704;0.163369460339296
"DSNY_043-M-33-17-20140814";0.837868699831305;0.162131300168695
"HARV_001-M-14-7-20140812";0.839223657088807;0.160776342911193
"HARV_001-M-15-1-20140812";0.839196207552767;0.160803792447233
"HARV_001-M-30-37-20140715";0.839141648015685;0.160858351984315
"HARV_001-M-39-16-20140812";0.839239506143414;0.160760493856586
"HARV_001-M-7-0-20140715";0.83921940657645;0.16078059342355
"HARV_001-O-14-7-20140812";0.839197745300019;0.160802254699981
"HARV_001-O-15-1-20140812";0.839222848111589;0.160777151888411
"HARV_002-M-24-40-20140716";0.838277145716858;0.161722854283142
