"";"other";"nitrification"
"BART_001-M-1-6-20140619";0.985577708641175;0.0144222913588255
"BART_001-M-7-5-20140619";0.985502077131488;0.0144979228685124
"BART_001-O-1-6-20140619";0.985526699374005;0.0144733006259955
"BART_006-M-3-26-20140619";0.986997602424838;0.0130023975751622
"BART_006-M-33-3-20140619";0.986957493606134;0.0130425063938655
"BART_006-O-33-3-20140619";0.986979509666223;0.0130204903337768
"BART_028-M-33-4-20140619";0.984650267274981;0.0153497327250189
"CPER_001-M-22-32-20140812";0.992122839466541;0.00787716053345913
"CPER_001-M-30-37-20140812";0.993738101486134;0.0062618985138662
"CPER_001-M-7-0-20140812";0.993003841767579;0.00699615823242071
"CPER_002-M-10-34-20140812";0.99394629420721;0.00605370579279001
"CPER_002-M-25-6-20140812";0.993929180494519;0.00607081950548117
"CPER_002-M-9-4-20140812";0.994141750374756;0.0058582496252435
"CPER_003-M-15-7-20140812";0.993347964965552;0.00665203503444757
"CPER_003-M-33-11-20140812";0.993819033415133;0.00618096658486673
"CPER_004-M-0-30-20140812";0.992658277690701;0.0073417223092993
"CPER_004-M-16-7-20140812";0.993073049883895;0.00692695011610504
"CPER_004-M-23-38-20140812";0.993351555985425;0.00664844401457473
"DSNY_001-M-1-6-20140813";0.990997313976503;0.00900268602349651
"DSNY_001-M-29-37-20140701";0.991226645737845;0.00877335426215471
"DSNY_001-M-30-37-20140909";0.991178168070284;0.00882183192971586
"DSNY_001-M-7-0-20140909";0.991206175872916;0.00879382412708356
"DSNY_001-M-7-5-20140813";0.991007322385075;0.0089926776149249
"DSNY_001-M-9-11-20140701";0.991152026452432;0.00884797354756794
"DSNY_001-M-9-17-20140813";0.991393987307265;0.00860601269273535
"DSNY_002-M-10-34-20140910";0.991710480998717;0.00828951900128321
"DSNY_002-M-11-0-20140813";0.991681007352088;0.00831899264791163
"DSNY_002-M-27-36-20140813";0.991798045238758;0.00820195476124161
"DSNY_002-M-30-5-20140813";0.991790255635435;0.00820974436456527
"DSNY_002-M-9-4-20140910";0.991642141881913;0.00835785811808729
"DSNY_003-M-1-7-20140813";0.991619763597856;0.00838023640214404
"DSNY_003-M-3-26-20140813";0.991850119360566;0.008149880639434
"DSNY_004-M-21-38-20140813";0.992390620247185;0.00760937975281458
"DSNY_004-M-33-4-20140814";0.992230972430982;0.00776902756901821
"DSNY_005-M-24-40-20140818";0.991321703519864;0.00867829648013589
"DSNY_005-M-33-2-20140814";0.99087432398822;0.00912567601178007
"DSNY_009-M-17-34-20140701";0.991782973787109;0.0082170262128913
"DSNY_009-M-2-0-20140813";0.991807903382223;0.00819209661777699
"DSNY_009-M-29-2-20140701";0.991806213433839;0.00819378656616107
"DSNY_009-M-33-11-20140910";0.991790610187827;0.00820938981217257
"DSNY_009-M-8-11-20140813";0.991808007337292;0.00819199266270817
"DSNY_016-M-0-30-20140910";0.99087859773799;0.00912140226201021
"DSNY_016-M-12-7-20140701";0.990859768126337;0.00914023187366321
"DSNY_016-M-16-7-20140910";0.990902989860036;0.00909701013996375
"DSNY_016-M-3-37-20140813";0.990916899677148;0.00908310032285175
"DSNY_016-M-35-24-20140701";0.990916251083433;0.00908374891656723
"DSNY_016-M-36-16-20140813";0.990810702029054;0.009189297970946
"DSNY_016-M-5-26-20140701";0.990882689767509;0.00911731023249114
"DSNY_016-M-6-12-20140813";0.990589694051078;0.00941030594892154
"DSNY_043-M-18-37-20140814";0.990399755539982;0.00960024446001827
"DSNY_043-M-2-27-20140814";0.989263535219297;0.0107364647807029
"DSNY_043-M-33-17-20140814";0.990965066864285;0.00903493313571499
"HARV_001-M-14-7-20140812";0.987067947350945;0.0129320526490548
"HARV_001-M-15-1-20140812";0.987137289335648;0.0128627106643522
"HARV_001-M-30-37-20140715";0.987082470859393;0.0129175291406068
"HARV_001-M-39-16-20140812";0.987059053919117;0.0129409460808828
"HARV_001-M-7-0-20140715";0.987073360108488;0.0129266398915121
"HARV_001-O-14-7-20140812";0.987036146654702;0.0129638533452979
"HARV_001-O-15-1-20140812";0.987081303938663;0.0129186960613373
"HARV_002-M-24-40-20140716";0.9883078625648;0.0116921374351999
"HARV_002-O-24-40-20140716";0.988375168824404;0.0116248311755963
"HARV_002-O-33-2-20140716";0.988384312000439;0.0116156879995611
"HARV_002-O-4-9-20140716";0.988359390011774;0.0116406099882262
"HARV_004-M-10-34-20140715";0.990879936415703;0.0091200635842973
"HARV_004-M-19-1-20140812";0.990878055053285;0.00912194494671498
"HARV_004-M-25-6-20140715";0.990862753401474;0.00913724659852629
"HARV_004-M-3-28-20140812";0.990826980142421;0.00917301985757943
"HARV_004-M-9-34-20140812";0.990871731679487;0.00912826832051345
"HARV_004-M-9-4-20140715";0.990864131863584;0.00913586813641587
"HARV_004-O-10-34-20140715";0.990840352520877;0.00915964747912276
"HARV_004-O-19-1-20140812";0.990856773970393;0.00914322602960704
"HARV_004-O-25-6-20140715";0.990847366657895;0.00915263334210503
"HARV_004-O-3-28-20140812";0.990832134750427;0.00916786524957318
"HARV_004-O-9-34-20140812";0.990868481092214;0.00913151890778628
"HARV_010-M-2-0-20140715";0.986497791396744;0.0135022086032561
