"";"other";"oligotroph"
"BART_001-M-1-6-20140619";0.485497985722314;0.514502014277686
"BART_001-M-7-5-20140619";0.484702158882624;0.515297841117376
"BART_001-O-1-6-20140619";0.485378364118731;0.514621635881269
"BART_006-M-3-26-20140619";0.487712719745433;0.512287280254567
"BART_006-M-33-3-20140619";0.487717115612679;0.512282884387321
"BART_006-O-33-3-20140619";0.488106503691334;0.511893496308666
"BART_028-M-33-4-20140619";0.466311961569317;0.533688038430683
"CPER_001-M-22-32-20140812";0.644167487444859;0.355832512555141
"CPER_001-M-30-37-20140812";0.607640316196382;0.392359683803618
"CPER_001-M-7-0-20140812";0.625895313326799;0.374104686673201
"CPER_002-M-10-34-20140812";0.602503226646463;0.397496773353537
"CPER_002-M-25-6-20140812";0.602608368773592;0.397391631226408
"CPER_002-M-9-4-20140812";0.596461532952682;0.403538467047318
"CPER_003-M-15-7-20140812";0.617271562727626;0.382728437272374
"CPER_003-M-33-11-20140812";0.60504530499862;0.39495469500138
"CPER_004-M-0-30-20140812";0.632795604370399;0.367204395629601
"CPER_004-M-16-7-20140812";0.623877971783412;0.376122028216588
"CPER_004-M-23-38-20140812";0.617331607988012;0.382668392011988
"DSNY_001-M-1-6-20140813";0.410954789515427;0.589045210484573
"DSNY_001-M-29-37-20140701";0.40675153273302;0.59324846726698
"DSNY_001-M-30-37-20140909";0.406689298164021;0.593310701835979
"DSNY_001-M-7-0-20140909";0.407007584485585;0.592992415514415
"DSNY_001-M-7-5-20140813";0.410053076453654;0.589946923546346
"DSNY_001-M-9-11-20140701";0.407147694836041;0.592852305163959
"DSNY_001-M-9-17-20140813";0.402992513315268;0.597007486684732
"DSNY_002-M-10-34-20140910";0.396949683064883;0.603050316935117
"DSNY_002-M-11-0-20140813";0.397074282397678;0.602925717602322
"DSNY_002-M-27-36-20140813";0.395179174729443;0.604820825270557
"DSNY_002-M-30-5-20140813";0.395622460806946;0.604377539193054
"DSNY_002-M-9-4-20140910";0.39715787733445;0.60284212266555
"DSNY_003-M-1-7-20140813";0.404098459093029;0.595901540906971
"DSNY_003-M-3-26-20140813";0.401370640679185;0.598629359320815
"DSNY_004-M-21-38-20140813";0.383023586491356;0.616976413508644
"DSNY_004-M-33-4-20140814";0.386059700052698;0.613940299947302
"DSNY_005-M-24-40-20140818";0.404678070645846;0.595321929354154
"DSNY_005-M-33-2-20140814";0.412764995734082;0.587235004265918
"DSNY_009-M-17-34-20140701";0.3949188444841;0.6050811555159
"DSNY_009-M-2-0-20140813";0.394573910446715;0.605426089553285
"DSNY_009-M-29-2-20140701";0.394910653067482;0.605089346932518
"DSNY_009-M-33-11-20140910";0.394828052447842;0.605171947552158
"DSNY_009-M-8-11-20140813";0.395068014236271;0.604931985763729
"DSNY_016-M-0-30-20140910";0.412373693961388;0.587626306038612
"DSNY_016-M-12-7-20140701";0.412251804424036;0.587748195575964
"DSNY_016-M-16-7-20140910";0.412290424847158;0.587709575152842
"DSNY_016-M-3-37-20140813";0.412312954566994;0.587687045433006
"DSNY_016-M-35-24-20140701";0.412759591771283;0.587240408228717
"DSNY_016-M-36-16-20140813";0.413268910133559;0.586731089866441
"DSNY_016-M-5-26-20140701";0.412784708965303;0.587215291034697
"DSNY_016-M-6-12-20140813";0.417853462930305;0.582146537069695
"DSNY_043-M-18-37-20140814";0.420926593803855;0.579073406196145
"DSNY_043-M-2-27-20140814";0.439797556093742;0.560202443906258
"DSNY_043-M-33-17-20140814";0.4109718033703;0.5890281966297
"HARV_001-M-14-7-20140812";0.470230872270339;0.529769127729661
"HARV_001-M-15-1-20140812";0.471253579120523;0.528746420879477
"HARV_001-M-30-37-20140715";0.470197863672045;0.529802136327955
"HARV_001-M-39-16-20140812";0.47019838028061;0.52980161971939
"HARV_001-M-7-0-20140715";0.470349171812534;0.529650828187466
"HARV_001-O-14-7-20140812";0.470036300908868;0.529963699091132
"HARV_001-O-15-1-20140812";0.470063329052467;0.529936670947533
"HARV_002-M-24-40-20140716";0.476256466504526;0.523743533495474
"HARV_002-O-24-40-20140716";0.476365057333473;0.523634942666527
"HARV_002-O-33-2-20140716";0.477177996855758;0.522822003144242
"HARV_002-O-4-9-20140716";0.476224295267302;0.523775704732698
"HARV_004-M-10-34-20140715";0.490419110728191;0.509580889271809
"HARV_004-M-19-1-20140812";0.490208354818672;0.509791645181328
"HARV_004-M-25-6-20140715";0.490785090161942;0.509214909838058
"HARV_004-M-3-28-20140812";0.490292695447556;0.509707304552444
"HARV_004-M-9-34-20140812";0.490642771726116;0.509357228273884
"HARV_004-M-9-4-20140715";0.490116593238551;0.509883406761449
"HARV_004-O-10-34-20140715";0.490533644756499;0.509466355243501
"HARV_004-O-19-1-20140812";0.490315937712103;0.509684062287898
"HARV_004-O-25-6-20140715";0.490540544299457;0.509459455700543
"HARV_004-O-3-28-20140812";0.490412333502777;0.509587666497223
"HARV_004-O-9-34-20140812";0.490550836890958;0.509449163109042
"HARV_010-M-2-0-20140715";0.468263566564441;0.531736433435559
"HARV_010-M-39-30-20140715";0.468604058355596;0.531395941644404
"HARV_010-M-8-11-20140715";0.468109794758251;0.531890205241749
"HARV_010-O-2-0-20140715";0.468670773789464;0.531329226210536
"HARV_010-O-39-30-20140715";0.468544779443737;0.531455220556263
"HARV_010-O-8-11-20140715";0.468482946692223;0.531517053307777
"HARV_013-M-0-13-20140812";0.470025633014878;0.529974366985122
"HARV_013-M-14-6-20140812";0.470270355346231;0.529729644653769
"HARV_013-M-15-7-20140717";0.470125589237659;0.529874410762341
"HARV_013-M-28-3-20140812";0.47027743894107;0.52972256105893
"HARV_013-M-4-7-20140717";0.470760886731929;0.529239113268071
"HARV_013-O-0-13-20140812";0.470100948767031;0.529899051232969
"HARV_013-O-14-6-20140812";0.469819127478826;0.530180872521174
"HARV_013-O-15-7-20140717";0.470841802220884;0.529158197779116
"HARV_013-O-28-3-20140812";0.470159633664301;0.529840366335699
"HARV_013-O-33-11-20140716";0.470232924111693;0.529767075888308
"HARV_016-M-0-30-20140715";0.467685826932956;0.532314173067044
"HARV_016-M-16-7-20140715";0.468441230901927;0.531558769098073
"HARV_016-O-0-30-20140715";0.468314975039583;0.531685024960417
"HARV_016-O-16-7-20140715";0.468427920405404;0.531572079594596
"HARV_020-M-12-33-20140812";0.507716126287334;0.492283873712666
"HARV_020-M-30-27-20140812";0.507650178502543;0.492349821497457
"HARV_020-M-37-22-20140812";0.507473896540699;0.492526103459301
"HARV_020-O-12-33-20140812";0.507861659275201;0.492138340724799
"HARV_020-O-30-27-20140812";0.507652931963681;0.492347068036319
"HARV_020-O-37-22-20140812";0.507041445857481;0.492958554142519
"HARV_021-M-3-37-20140717";0.468979445667273;0.531020554332727
"HARV_021-M-36-16-20140717";0.468632846980211;0.531367153019789
"HARV_021-M-6-12-20140717";0.46888939512043;0.531110604879571
"HARV_021-O-3-37-20140717";0.468641641264335;0.531358358735665
"HARV_021-O-36-16-20140717";0.4688613639079;0.5311386360921
"HARV_033-M-23-30-20140717";0.477046461683814;0.522953538316186
"HARV_033-M-30-38-20140717";0.476537409148077;0.523462590851923
"HARV_033-M-33-4-20140717";0.476886914066939;0.523113085933061
"HARV_033-O-23-30-20140717";0.47712564167898;0.52287435832102
"HARV_033-O-30-38-20140717";0.476675956056088;0.523324043943912
"HARV_034-M-23-8-20140717";0.470936540683109;0.529063459316891
"HARV_034-M-31-3-20140717";0.470819916693347;0.529180083306653
"HARV_034-O-19-30-20140717";0.470827778525122;0.529172221474878
"HARV_035-M-33-17-20140716";0.473199275199469;0.526800724800531
"HARV_035-O-18-37-20140717";0.473290241755412;0.526709758244588
"JERC_001-M-1-6-20140805";0.454864563372308;0.545135436627692
"JERC_001-M-17-34-20140710";0.449712228670604;0.550287771329396
"JERC_001-M-29-2-20140710";0.449883535453408;0.550116464546592
"JERC_001-M-7-5-20140805";0.448489711935104;0.551510288064896
"JERC_001-M-9-17-20140805";0.448940502600858;0.551059497399142
"JERC_002-M-11-0-20140805";0.445681927516202;0.554318072483798
"JERC_002-M-12-7-20140710";0.448163737288576;0.551836262711424
"JERC_002-M-27-36-20140805";0.452046692809857;0.547953307190143
"JERC_002-M-35-24-20140710";0.44813494725024;0.55186505274976
"JERC_003-M-1-7-20140805";0.447426825641875;0.552573174358125
"JERC_003-M-3-26-20140805";0.437875256002884;0.562124743997116
"JERC_003-M-33-0-20140805";0.454450389540018;0.545549610459982
"JERC_005-M-24-40-20140805";0.445242814321412;0.554757185678588
"JERC_005-M-33-2-20140805";0.453151634425838;0.546848365574162
"JERC_005-M-4-9-20140805";0.447315406723479;0.552684593276521
"JERC_006-M-15-33-20140710";0.448135644772729;0.551864355227271
"JERC_006-M-2-0-20140805";0.442097723426798;0.557902276573202
"JERC_006-M-21-39-20140710";0.448151171717531;0.551848828282469
"JERC_006-M-2-33-20140710";0.448041254862338;0.551958745137662
"JERC_006-M-39-30-20140805";0.449398843970174;0.550601156029826
"JERC_006-M-8-11-20140805";0.448641566110757;0.551358433889243
"JERC_008-M-23-30-20140805";0.467171770511967;0.532828229488033
"JERC_008-M-33-4-20140805";0.450674607341524;0.549325392658476
"JERC_047-M-3-32-20140805";0.452075001217645;0.547924998782355
"JERC_047-M-36-16-20140805";0.454019873896423;0.545980126103577
"JERC_047-M-6-12-20140805";0.454090738502842;0.545909261497158
"JERC_048-M-19-30-20140805";0.453296289709384;0.546703710290616
"JERC_048-M-27-8-20140805";0.451616860069174;0.548383139930826
"JERC_048-M-31-3-20140805";0.452903371973816;0.547096628026184
"JERC_049-M-18-17-20140805";0.450125840848051;0.549874159151949
"JERC_049-M-2-27-20140805";0.434477062399717;0.565522937600283
"ORNL_001-O-17-34-20140715";0.466105037709784;0.533894962290216
"ORNL_002-O-5-26-20140714";0.478994688339621;0.521005311660379
"ORNL_003-O-9-11-20140714";0.445891215708753;0.554108784291247
"ORNL_021-O-15-33-20140714";0.515131120840591;0.484868879159409
"ORNL_027-O-2-33-20140715";0.499169536309029;0.500830463690971
"ORNL_029-O-9-2-20140714";0.525219131659336;0.474780868340664
"ORNL_031-O-11-3-20140714";0.54279743479271;0.45720256520729
"ORNL_037-O-4-23-20140715";0.451924876606737;0.548075123393263
"ORNL_043-O-2-27-20140715";0.4377745192979;0.5622254807021
"OSBS_001-M-17-34-20140701";0.39642840400839;0.60357159599161
"OSBS_001-M-17-34-20140818";0.40128340261943;0.59871659738057
"OSBS_001-M-26-3-20140701";0.405102549763319;0.594897450236681
"OSBS_001-M-26-3-20140818";0.401291941771061;0.598708058228939
"OSBS_001-M-29-2-20140701";0.401386626613103;0.598613373386897
"OSBS_001-M-29-2-20140818";0.406094814885498;0.593905185114502
"OSBS_002-M-12-7-20140701";0.44705396059076;0.55294603940924
"OSBS_002-M-12-7-20140818";0.438806570183463;0.561193429816537
"OSBS_002-M-35-24-20140701";0.439191616998325;0.560808383001675
"OSBS_002-M-35-24-20140818";0.43456298498749;0.56543701501251
"OSBS_002-M-5-26-20140701";0.43916443123465;0.56083556876535
"OSBS_003-M-17-9-20140701";0.426296018081014;0.573703981918986
