"";"other";"acidimicrobiales";"bacillales";"burkholderiales";"caulobacterales";"myxococcales";"rhizobiales";"rhodospirillales";"solirubrobacterales";"sphingomonadales";"xanthomonadales"
"BART_001-M-1-6-20140619";0.719431363614111;0.0170668390334941;0.0097819380553716;0.024228274456303;0.0102834971957724;0.0202792017008516;0.0998883721332037;0.0356475166915131;0.0173801697962502;0.00719087783680262;0.0388219494863271
"BART_001-M-7-5-20140619";0.719380861211675;0.0170493320371038;0.00978325033067741;0.0242757623341832;0.0102509427985923;0.0203316263677877;0.0999701578370415;0.0355807998234181;0.0173324807876927;0.00719013286011879;0.0388546536117093
"BART_001-O-1-6-20140619";0.719478395179665;0.0171041557702762;0.00982644219790167;0.0242162039297815;0.0102609845543401;0.0202940125080622;0.0999262456752215;0.035579567958388;0.0173939324322693;0.0072241287467633;0.0386959310473308
"BART_006-M-3-26-20140619";0.718936529489625;0.0189206316457969;0.00971049866382841;0.0231262632110281;0.0104027614284076;0.0192258863324347;0.101493360324883;0.0365930419518641;0.0178566570147657;0.00745759612080001;0.0362767738165665
"BART_006-M-33-3-20140619";0.718957189890447;0.0189383861744438;0.0097149053777099;0.0231108762163586;0.0104026514082656;0.0192015334847974;0.101509761706228;0.0366081385993952;0.0178826888909092;0.00747985176175136;0.0361940164896947
"BART_006-O-33-3-20140619";0.718930608284404;0.0189444872835181;0.00971180786456918;0.0231200571188921;0.010407445216186;0.0191970180632137;0.101495280586181;0.0366378092179766;0.0178688720792213;0.00745981812899724;0.0362267961568411
"BART_028-M-33-4-20140619";0.719447343852806;0.013885212478441;0.00904974550371665;0.0249386917727717;0.0110586911968851;0.0203281473534877;0.0964077400397583;0.0378712744663672;0.0167092729296849;0.00596940517035155;0.0443344752357304
"CPER_001-M-22-32-20140812";0.674722248325795;0.0503362756790891;0.0209136491690088;0.0181341590535457;0.00584683418187772;0.0216798684364112;0.0951308600757429;0.0161869743110905;0.0297574620242825;0.0550674768828406;0.0122241918603162
"CPER_001-M-30-37-20140812";0.693494323381112;0.0449086416816323;0.0172172146778645;0.0170271540357801;0.00760824667087738;0.0184449548699551;0.0946351149124073;0.0214303941325421;0.0308597150430255;0.0404610689789425;0.0139131716158613
"CPER_001-M-7-0-20140812";0.68478056292837;0.0476325755486701;0.0189854244307654;0.0175733682214655;0.00668479576512198;0.0199973068342589;0.0949723366433807;0.0186314125337554;0.0303468562151202;0.0473143764702206;0.0130809844088717
"CPER_002-M-10-34-20140812";0.69563705938523;0.0441959442931363;0.0167705112396731;0.0168524984892395;0.00789489377416882;0.0179905331398054;0.0944498422078729;0.0223023305293565;0.0310675612936503;0.0386997485640431;0.0141390770838243
"CPER_002-M-25-6-20140812";0.69555306697682;0.0441798804409432;0.0167979122349855;0.0168826486937014;0.00787755972860263;0.0180240378882587;0.0944894152592828;0.0222338055500744;0.0310133936759621;0.0388024323884732;0.0141458471628964
"CPER_002-M-9-4-20140812";0.69803334626202;0.0432954906808122;0.0162349560351253;0.0166599848215681;0.00822216337666833;0.0175206507020296;0.0941539696222109;0.0233159190336005;0.0312523211262456;0.0368881935744838;0.0144230047652364
"CPER_003-M-15-7-20140812";0.68920078372507;0.0462467319197437;0.0181347268984367;0.0173046611004617;0.00713329746184614;0.0192229146268345;0.0948292067443725;0.0200184518013126;0.0306677761809836;0.0437711515020542;0.0134702980388846
"CPER_003-M-33-11-20140812";0.694490851786017;0.0445521872754222;0.0169927531268589;0.0169567728828934;0.00773092702370998;0.0182489225396363;0.0946361833417219;0.0218306346482581;0.0309423317212625;0.0395806633354705;0.0140377723187492
"CPER_004-M-0-30-20140812";0.681241629098536;0.0486416220662124;0.0196844635823884;0.0177868328133316;0.00636398123371012;0.0205912166670935;0.0951244950223488;0.0176940417493962;0.0301158098817401;0.0499945354849427;0.0127613724003
"CPER_004-M-16-7-20140812";0.685931456450536;0.0471741357758612;0.0187992927207113;0.0175107569505272;0.00679084827654902;0.0197999101515561;0.0949014214205877;0.0190069332167214;0.0304855436003673;0.0464507509313798;0.0131489505052025
"CPER_004-M-23-38-20140812";0.689072232359901;0.0463157505525615;0.0181339461375183;0.0173167210399148;0.00710783173192815;0.0192317898406296;0.0947962872203617;0.019905879799586;0.0306575931000943;0.0440034512491143;0.0134585169683902
"DSNY_001-M-1-6-20140813";0.718815973656513;0.0102554681314583;0.0114960178035753;0.0255650388337886;0.0119507954219554;0.0218989616387423;0.0837563029386983;0.0540112381340928;0.0232936025114732;0.00765492305961661;0.031301677870086
"DSNY_001-M-29-37-20140701";0.718260829941544;0.0100764827412827;0.0112051461451768;0.0252900460266327;0.0122760383886884;0.0214593339571847;0.0834046514592452;0.0557208363007084;0.0233082059338092;0.00737900579167112;0.0316194233140569
"DSNY_001-M-30-37-20140909";0.718305610761652;0.0100943806324468;0.0112028424235587;0.0252965195894491;0.0122558225813473;0.0214554981725351;0.0833748109223113;0.055626250239982;0.0233348219751888;0.00739159106604033;0.0316618516354884
