"";"study_id";"siteID";"plotID";"sampleID";"pH";"pC";"cn";"deprecatedVialID";"relEM";"map";"mat";"ndep.glob";"NPP";"forest"
"BART_001-M-1-6-20140619";200;"BART";"BART_001";"BART_001-M-1-6-20140619";0.264272788036419;13.4103560002816;1.91510297377197;"BART.001.M.1.1.20140619";0.440121985519277;0.0461689913075001;1.25234206804438;0.01;0.01;0.01
"BART_001-M-7-5-20140619";200;"BART";"BART_001";"BART_001-M-7-5-20140619";0.264272788036419;13.4103560002816;1.91510297377197;"BART.001.M.7.1.20140619";0.440121985519277;0.0461689913075001;1.25234206804438;0.01;0.01;0.01
"BART_001-O-1-6-20140619";200;"BART";"BART_001";"BART_001-O-1-6-20140619";0.264272788036419;13.4103560002816;1.91510297377197;"BART.001.21.1.6.O.20140619";0.440121985519277;0.0461689913075001;1.25234206804438;0.01;0.01;0.01
"BART_006-M-3-26-20140619";200;"BART";"BART_006";"BART_006-M-3-26-20140619";0.160518576622368;15.2094041258158;1.82364895115992;"BART.006.39.3.26.M.20140619";0.0892102732306016;0.0461689913075001;1.25234206804438;0.01;0.01;0.01
"BART_006-M-33-3-20140619";200;"BART";"BART_006";"BART_006-M-33-3-20140619";0.160518576622368;15.2094041258158;1.82364895115992;"BART.006.M.33.3.20140619";0.0892102732306016;0.0461689913075001;1.25234206804438;0.01;0.01;0.01
"BART_006-O-33-3-20140619";200;"BART";"BART_006";"BART_006-O-33-3-20140619";0.160518576622368;15.2094041258158;1.82364895115992;"BART.006.23.33.0.O.20140619";0.0892102732306016;0.0461689913075001;1.25234206804438;0.01;0.01;0.01
"BART_028-M-33-4-20140619";200;"BART";"BART_028";"BART_028-M-33-4-20140619";0.256453248331884;11.8255769912658;1.4876526907387;"BART.028.M.33.3.20140619";2.59437451308785;0.0461689913075001;1.25234206804438;0.01;0.01;0.01
"CPER_001-M-22-32-20140812";200;"CPER";"CPER_001";"CPER_001-M-22-32-20140812";0.01;0.107214306157169;1.22643802900518;"CPER.001.M.22.32.20140812";0.01;0.0535885920981413;1.27461481912298;0.01;0.01;0.01
"CPER_001-M-30-37-20140812";200;"CPER";"CPER_001";"CPER_001-M-30-37-20140812";0.01;0.107214306157169;1.22643802900518;"CPER.001.M.30.37.20140812";0.01;0.0535885920981413;1.27461481912298;0.01;0.01;0.01
"CPER_001-M-7-0-20140812";200;"CPER";"CPER_001";"CPER_001-M-7-0-20140812";0.01;0.107214306157169;1.22643802900518;"CPER.001.M.7.0.20140812";0.01;0.0535885920981413;1.27461481912298;0.01;0.01;0.01
"CPER_002-M-10-34-20140812";200;"CPER";"CPER_002";"CPER_002-M-10-34-20140812";0.01;0.0833254019840965;0.928645437280058;"CPER.002.M.10.34.20140812";0.01;0.0535885920981413;1.27461481912298;0.01;0.01;0.01
"CPER_002-M-25-6-20140812";200;"CPER";"CPER_002";"CPER_002-M-25-6-20140812";0.01;0.0833254019840965;0.928645437280058;"CPER.002.M.25.6.20140812";0.01;0.0535885920981413;1.27461481912298;0.01;0.01;0.01
"CPER_002-M-9-4-20140812";200;"CPER";"CPER_002";"CPER_002-M-9-4-20140812";0.01;0.0833254019840965;0.928645437280058;"CPER.002.M.9.4.20140812";0.01;0.0535885920981413;1.27461481912298;0.01;0.01;0.01
"CPER_003-M-15-7-20140812";200;"CPER";"CPER_003";"CPER_003-M-15-7-20140812";0.01;0.0702109262057546;0.880589288060878;"CPER.003.M.15.7.20140812";0.01;0.0535885920981413;1.27461481912298;0.01;0.01;0.01
"CPER_003-M-33-11-20140812";200;"CPER";"CPER_003";"CPER_003-M-33-11-20140812";0.01;0.0702109262057546;0.880589288060878;"CPER.003.M.33.11.20140812";0.01;0.0535885920981413;1.27461481912298;0.01;0.01;0.01
"CPER_004-M-0-30-20140812";200;"CPER";"CPER_004";"CPER_004-M-0-30-20140812";0.01;0.0698021888864528;0.822015928965119;"CPER.004.M.0.30.20140812";0.01;0.0535885920981413;1.27461481912298;0.01;0.01;0.01
"CPER_004-M-16-7-20140812";200;"CPER";"CPER_004";"CPER_004-M-16-7-20140812";0.01;0.0698021888864528;0.822015928965119;"CPER.004.M.16.7.20140812";0.01;0.0535885920981413;1.27461481912298;0.01;0.01;0.01
"CPER_004-M-23-38-20140812";200;"CPER";"CPER_004";"CPER_004-M-23-38-20140812";0.01;0.0698021888864528;0.822015928965119;"CPER.004.M.23.38.20140812";0.01;0.0535885920981413;1.27461481912298;0.01;0.01;0.01
"DSNY_001-M-1-6-20140813";200;"DSNY";"DSNY_001";"DSNY_001-M-1-6-20140813";0.01;0.0165254369930946;0.333650245984321;"DSNY.001.21.M.1.6.20140813";0.0547715306003152;0.0473568841069721;1.23249142837406;0.01;0.01;0.01
"DSNY_001-M-29-37-20140701";200;"DSNY";"DSNY_001";"DSNY_001-M-29-37-20140701";0.206365339517115;0.39565125791973;2.25662557351101;"DSNY.001.M.29.37.20140701";0.0547715306003152;0.0473568841069721;1.23249142837406;0.01;0.01;0.01
"DSNY_001-M-30-37-20140909";200;"DSNY";"DSNY_001";"DSNY_001-M-30-37-20140909";0.206365339517115;0.39565125791973;2.25662557351101;"DSNY.001.41.M.30.37.20140910";0.0547715306003152;0.0473568841069721;1.23249142837406;0.01;0.01;0.01
"DSNY_001-M-7-0-20140909";200;"DSNY";"DSNY_001";"DSNY_001-M-7-0-20140909";0.206365339517115;0.39565125791973;2.25662557351101;"DSNY.001.21.M.7.0.20140909";0.0547715306003152;0.0473568841069721;1.23249142837406;0.01;0.01;0.01
"DSNY_001-M-7-5-20140813";200;"DSNY";"DSNY_001";"DSNY_001-M-7-5-20140813";0.01;0.0262549952871577;0.35868665610622;"DSNY.001.21.M.7.5.20140813";0.0547715306003152;0.0473568841069721;1.23249142837406;0.01;0.01;0.01
"DSNY_001-M-9-11-20140701";200;"DSNY";"DSNY_001";"DSNY_001-M-9-11-20140701";0.206365339517115;0.39565125791973;2.25662557351101;"DSNY.001.M.9.11.20140701";0.0547715306003152;0.0473568841069721;1.23249142837406;0.01;0.01;0.01
"DSNY_001-M-9-17-20140813";200;"DSNY";"DSNY_001";"DSNY_001-M-9-17-20140813";0.01;0.03256606012655;0.38372306622812;"DSNY.001.21.M.9.17.20140813";0.0547715306003152;0.0473568841069721;1.23249142837406;0.01;0.01;0.01
"DSNY_002-M-10-34-20140910";200;"DSNY";"DSNY_002";"DSNY_002-M-10-34-20140910";0.213880763688125;0.781203861772863;4.3998850713263;"DSNY.002.39.M.10.34.20140910";0.0547715306003152;0.0473568841069721;1.23249142837406;0.01;0.01;0.01
