"";"siteID";"study_id";"plotID";"sampleID";"pH";"pC";"cn";"deprecatedVialID";"relEM";"map";"mat";"ndep.glob";"NPP";"forest"
"BART_001-M-1-6-20140619";"BART";200;"BART_001";"BART_001-M-1-6-20140619";4.71753563653546;19.7102960378518;26.3209388217033;"BART.001.M.1.1.20140619";1.52472550527631;1.237;5.83749991531173;6.957076;0.568000018596649;1
"BART_001-M-7-5-20140619";"BART";200;"BART_001";"BART_001-M-7-5-20140619";4.71753563653546;19.7102960378518;26.3209388217033;"BART.001.M.7.1.20140619";1.52472550527631;1.237;5.83749991531173;6.957076;0.568000018596649;1
"BART_001-O-1-6-20140619";"BART";200;"BART_001";"BART_001-O-1-6-20140619";4.71753563653546;19.7102960378518;26.3209388217033;"BART.001.21.1.6.O.20140619";1.52472550527631;1.237;5.83749991531173;6.957076;0.568000018596649;1
"BART_006-M-3-26-20140619";"BART";200;"BART_006";"BART_006-M-3-26-20140619";4.64935111214818;17.5934602946879;26.6049729332762;"BART.006.39.3.26.M.20140619";0.832726497381862;1.237;5.83749991531173;6.957076;0.568000018596649;1
"BART_006-M-33-3-20140619";"BART";200;"BART_006";"BART_006-M-33-3-20140619";4.64935111214818;17.5934602946879;26.6049729332762;"BART.006.M.33.3.20140619";0.832726497381862;1.237;5.83749991531173;6.957076;0.568000018596649;1
"BART_006-O-33-3-20140619";"BART";200;"BART_006";"BART_006-O-33-3-20140619";4.64935111214818;17.5934602946879;26.6049729332762;"BART.006.23.33.0.O.20140619";0.832726497381862;1.237;5.83749991531173;6.957076;0.568000018596649;1
"BART_028-M-33-4-20140619";"BART";200;"BART_028";"BART_028-M-33-4-20140619";4.34503810474487;22.0175556912072;26.2136980727685;"BART.028.M.33.3.20140619";6.57658445447866;1.237;5.83749991531173;6.957076;0.568000018596649;1
"CPER_001-M-22-32-20140812";"CPER";200;"CPER_001";"CPER_001-M-22-32-20140812";8.53;0.737998270670911;9.62487554260946;"CPER.001.M.22.32.20140812";-10;0.366;9.03750000397364;5.23178;0.425000011920929;0
"CPER_001-M-30-37-20140812";"CPER";200;"CPER_001";"CPER_001-M-30-37-20140812";7.34;0.737998270670911;9.62487554260946;"CPER.001.M.30.37.20140812";-10;0.366;9.03750000397364;5.23178;0.425000011920929;0
"CPER_001-M-7-0-20140812";"CPER";200;"CPER_001";"CPER_001-M-7-0-20140812";7.93;0.737998270670911;9.62487554260946;"CPER.001.M.7.0.20140812";-10;0.366;9.03750000397364;5.23178;0.425000011920929;0
"CPER_002-M-10-34-20140812";"CPER";200;"CPER_002";"CPER_002-M-10-34-20140812";7.17;0.757089628104593;9.78997813098579;"CPER.002.M.10.34.20140812";-10;0.366;9.03750000397364;5.23178;0.425000011920929;0
"CPER_002-M-25-6-20140812";"CPER";200;"CPER_002";"CPER_002-M-25-6-20140812";7.18;0.757089628104593;9.78997813098579;"CPER.002.M.25.6.20140812";-10;0.366;9.03750000397364;5.23178;0.425000011920929;0
"CPER_002-M-9-4-20140812";"CPER";200;"CPER_002";"CPER_002-M-9-4-20140812";6.98;0.757089628104593;9.78997813098579;"CPER.002.M.9.4.20140812";-10;0.366;9.03750000397364;5.23178;0.425000011920929;0
"CPER_003-M-15-7-20140812";"CPER";200;"CPER_003";"CPER_003-M-15-7-20140812";7.64;0.701217999799444;9.47576835640925;"CPER.003.M.15.7.20140812";-10;0.366;9.03750000397364;5.23178;0.425000011920929;0
"CPER_003-M-33-11-20140812";"CPER";200;"CPER_003";"CPER_003-M-33-11-20140812";7.26;0.701217999799444;9.47576835640925;"CPER.003.M.33.11.20140812";-10;0.366;9.03750000397364;5.23178;0.425000011920929;0
"CPER_004-M-0-30-20140812";"CPER";200;"CPER_004";"CPER_004-M-0-30-20140812";8.15;0.745309749010403;9.49499039192179;"CPER.004.M.0.30.20140812";-10;0.366;9.03750000397364;5.23178;0.425000011920929;0
"CPER_004-M-16-7-20140812";"CPER";200;"CPER_004";"CPER_004-M-16-7-20140812";7.86;0.745309749010403;9.49499039192179;"CPER.004.M.16.7.20140812";-10;0.366;9.03750000397364;5.23178;0.425000011920929;0
"CPER_004-M-23-38-20140812";"CPER";200;"CPER_004";"CPER_004-M-23-38-20140812";7.65;0.745309749010403;9.49499039192179;"CPER.004.M.23.38.20140812";-10;0.366;9.03750000397364;5.23178;0.425000011920929;0
"DSNY_001-M-1-6-20140813";"DSNY";200;"DSNY_001";"DSNY_001-M-1-6-20140813";4.93;0.49;22.5;"DSNY.001.21.M.1.6.20140813";6.42895043835384;1.219;22.0791664123535;6.244941;0.856000006198883;0
"DSNY_001-M-29-37-20140701";"DSNY";200;"DSNY_001";"DSNY_001-M-29-37-20140701";4.80802714940015;1.00920220505199;24.1198364054214;"DSNY.001.M.29.37.20140701";6.42895043835384;1.219;22.0791664123535;6.244941;0.856000006198883;0
"DSNY_001-M-30-37-20140909";"DSNY";200;"DSNY_001";"DSNY_001-M-30-37-20140909";4.80802714940015;1.00920220505199;24.1198364054214;"DSNY.001.41.M.30.37.20140910";6.42895043835384;1.219;22.0791664123535;6.244941;0.856000006198883;0
"DSNY_001-M-7-0-20140909";"DSNY";200;"DSNY_001";"DSNY_001-M-7-0-20140909";4.80802714940015;1.00920220505199;24.1198364054214;"DSNY.001.21.M.7.0.20140909";6.42895043835384;1.219;22.0791664123535;6.244941;0.856000006198883;0
"DSNY_001-M-7-5-20140813";"DSNY";200;"DSNY_001";"DSNY_001-M-7-5-20140813";4.91;0.86;24.4;"DSNY.001.21.M.7.5.20140813";6.42895043835384;1.219;22.0791664123535;6.244941;0.856000006198883;0
"DSNY_001-M-9-11-20140701";"DSNY";200;"DSNY_001";"DSNY_001-M-9-11-20140701";4.80802714940015;1.00920220505199;24.1198364054214;"DSNY.001.M.9.11.20140701";6.42895043835384;1.219;22.0791664123535;6.244941;0.856000006198883;0
"DSNY_001-M-9-17-20140813";"DSNY";200;"DSNY_001";"DSNY_001-M-9-17-20140813";4.68;1.1;26.3;"DSNY.001.21.M.9.17.20140813";6.42895043835384;1.219;22.0791664123535;6.244941;0.856000006198883;0
"DSNY_002-M-10-34-20140910";"DSNY";200;"DSNY_002";"DSNY_002-M-10-34-20140910";4.48716406576898;1.63932676060666;25.0056641546339;"DSNY.002.39.M.10.34.20140910";6.42895043835384;1.219;22.0791664123535;6.244941;0.856000006198883;0
"DSNY_002-M-11-0-20140813";"DSNY";200;"DSNY_002";"DSNY_002-M-11-0-20140813";4.48716406576898;1.63932676060666;25.0056641546339;"DSNY.002.21.M.11.0.20140813";6.42895043835384;1.219;22.0791664123535;6.244941;0.856000006198883;0
"DSNY_002-M-27-36-20140813";"DSNY";200;"DSNY_002";"DSNY_002-M-27-36-20140813";4.43;1.41;31.4;"DSNY.002.41.M.27.36.20140813";6.42895043835384;1.219;22.0791664123535;6.244941;0.856000006198883;0
"DSNY_002-M-30-5-20140813";"DSNY";200;"DSNY_002";"DSNY_002-M-30-5-20140813";4.44;2.87;26.6;"DSNY.002.23.M.30.5.20140813";6.42895043835384;1.219;22.0791664123535;6.244941;0.856000006198883;0
"DSNY_002-M-9-4-20140910";"DSNY";200;"DSNY_002";"DSNY_002-M-9-4-20140910";4.48716406576898;1.63932676060666;25.0056641546339;"DSNY.002.21.M.9.4.20140910";6.42895043835384;1.219;22.0791664123535;6.244941;0.856000006198883;0
"DSNY_003-M-1-7-20140813";"DSNY";200;"DSNY_003";"DSNY_003-M-1-7-20140813";4.66;1.57801922141522;24.021841457962;"DSNY.003.21.M.1.7.20140813";6.14662099244358;1.219;22.0791664123535;6.244941;0.856000006198883;0
"DSNY_003-M-3-26-20140813";"DSNY";200;"DSNY_003";"DSNY_003-M-3-26-20140813";4.56;1.57801922141522;24.021841457962;"DSNY.003.39.M.3.26.20140813";6.14662099244358;1.219;22.0791664123535;6.244941;0.856000006198883;0
"DSNY_004-M-21-38-20140813";"DSNY";200;"DSNY_004";"DSNY_004-M-21-38-20140813";4.04;2.91;30.1;"DSNY.004.41.M.21.38.20140813";6.42895043835384;1.219;22.0791664123535;6.244941;0.856000006198883;0
"DSNY_004-M-33-4-20140814";"DSNY";200;"DSNY_004";"DSNY_004-M-33-4-20140814";4.14;3.07;35.8;"DSNY.004.23.M.33.4.20140813";6.42895043835384;1.219;22.0791664123535;6.244941;0.856000006198883;0
"DSNY_005-M-24-40-20140818";"DSNY";200;"DSNY_005";"DSNY_005-M-24-40-20140818";4.73;1.02;28.9;"DSNY.005.41.M.24.40.20140813";6.42895043835384;1.219;22.0791664123535;6.244941;0.856000006198883;0
"DSNY_005-M-33-2-20140814";"DSNY";200;"DSNY_005";"DSNY_005-M-33-2-20140814";4.98;0.71;26.3;"DSNY.005.23.M.33.2.20140813";6.42895043835384;1.219;22.0791664123535;6.244941;0.856000006198883;0
"DSNY_009-M-17-34-20140701";"DSNY";200;"DSNY_009";"DSNY_009-M-17-34-20140701";4.42632398698585;1.92963079003921;23.3079191187259;"DSNY.009.M.17.3.20140701";6.42895043835384;1.219;22.0791664123535;6.244941;0.856000006198883;0
"DSNY_009-M-2-0-20140813";"DSNY";200;"DSNY_009";"DSNY_009-M-2-0-20140813";4.41;2.5;22.6;"DSNY.009.21.M.2.0.20140813";6.42895043835384;1.219;22.0791664123535;6.244941;0.856000006198883;0
