"","other","Mortierellomycetes","Tremellomycetes","Umbelopsidomycetes","Agaricomycetes","Sordariomycetes","Eurotiomycetes","Leotiomycetes","Pezizomycetes","Dothideomycetes"
"BART_001-M-22-32-20140722",0.272277227722772,0.0544554455445545,0.00693069306930693,0.0792079207920792,0.543564356435644,0.00198019801980198,0.00099009900990099,0.0306930693069307,0.00792079207920792,0.00198019801980198
"BART_001-M-7-0-20140722",0.0722772277227723,0.0346534653465347,0.00198019801980198,0.0257425742574257,0.679207920792079,0.0158415841584158,0.0475247524752475,0.107920792079208,0.00396039603960396,0.0108910891089109
"BART_001-O-30-37-20140722",0.00099009900990099,0.00396039603960396,0.00099009900990099,0.00099009900990099,0.983168316831683,0.00099009900990099,0.00099009900990099,0.00594059405940594,0.00099009900990099,0.00099009900990099
"BART_001-O-7-0-20140722",0.767326732673267,0.0514851485148515,0.00099009900990099,0.00099009900990099,0.0326732673267327,0.00891089108910891,0.0178217821782178,0.00297029702970297,0.00099009900990099,0.115841584158416
"BART_004-M-25-6-20140722",0.395049504950495,0.0940594059405941,0.00099009900990099,0.00693069306930693,0.427722772277228,0.0099009900990099,0.00099009900990099,0.0514851485148515,0.00495049504950495,0.00792079207920792
"BART_004-O-25-6-20140722",0.0277227722772277,0.0386138613861386,0.00495049504950495,0.00099009900990099,0.747524752475248,0.1,0.00396039603960396,0.0257425742574257,0.00198019801980198,0.0485148514851485
"BART_006-M-15-7-20140722",0.372277227722772,0.0465346534653465,0.00396039603960396,0.00099009900990099,0.504950495049505,0.0099009900990099,0.00297029702970297,0.0564356435643564,0.00099009900990099,0.00099009900990099
"BART_006-M-33-11-20140722",0.0782178217821782,0.0435643564356436,0.00099009900990099,0.0752475247524752,0.638613861386139,0.0108910891089109,0.00396039603960396,0.144554455445545,0.00198019801980198,0.00198019801980198
"BART_006-M-33-3-20140619",0.0722772277227723,0.0128712871287129,0.00099009900990099,0.0920792079207921,0.79009900990099,0.00396039603960396,0.00099009900990099,0.0247524752475248,0.00099009900990099,0.00099009900990099
"BART_006-O-4-7-20140722",0.0099009900990099,0.00396039603960396,0.00099009900990099,0.00099009900990099,0.975247524752475,0.00297029702970297,0.00099009900990099,0.00297029702970297,0.00099009900990099,0.00099009900990099
"CPER_001-M-22-32-20140812",0.110891089108911,0.111881188118812,0.0108910891089109,0.00099009900990099,0.11980198019802,0.2,0.0227722772277228,0.102970297029703,0.0435643564356436,0.276237623762376
"CPER_001-M-30-37-20140812",0.0851485148514852,0.108910891089109,0.0099009900990099,0.00099009900990099,0.186138613861386,0.40990099009901,0.0326732673267327,0.0514851485148515,0.00099009900990099,0.113861386138614
"CPER_001-M-7-0-20140812",0.0564356435643564,0.0574257425742574,0.00297029702970297,0.00099009900990099,0.0237623762376238,0.203960396039604,0.185148514851485,0.0267326732673267,0.0217821782178218,0.420792079207921
"CPER_002-M-10-34-20140812",0.0475247524752475,0.0564356435643564,0.0198019801980198,0.00099009900990099,0.0237623762376238,0.799009900990099,0.00099009900990099,0.00693069306930693,0.00792079207920792,0.0366336633663366
"CPER_002-M-25-6-20140812",0.222772277227723,0.141584158415842,0.00495049504950495,0.00099009900990099,0.0742574257425743,0.362376237623762,0.0128712871287129,0.12970297029703,0.00198019801980198,0.0485148514851485
"CPER_002-M-9-4-20140812",0.154455445544554,0.096039603960396,0.0099009900990099,0.00099009900990099,0.2,0.193069306930693,0.0237623762376238,0.141584158415842,0.00099009900990099,0.179207920792079
"CPER_003-M-15-7-20140812",0.0910891089108911,0.215841584158416,0.00099009900990099,0.00099009900990099,0.334653465346535,0.226732673267327,0.00099009900990099,0.0821782178217822,0.00099009900990099,0.0455445544554455
"CPER_003-M-33-11-20140812",0.0574257425742574,0.0841584158415842,0.0128712871287129,0.00099009900990099,0.334653465346535,0.204950495049505,0.0188118811881188,0.0217821782178218,0.0386138613861386,0.225742574257426
"CPER_003-M-4-7-20140812",0.0485148514851485,0.0861386138613861,0.00594059405940594,0.00099009900990099,0.117821782178218,0.437623762376238,0.124752475247525,0.0891089108910891,0.00198019801980198,0.0871287128712871
"CPER_004-M-0-30-20140812",0.2,0.132673267326733,0.0138613861386139,0.00099009900990099,0.0584158415841584,0.371287128712871,0.0118811881188119,0.0475247524752475,0.00891089108910891,0.154455445544554
"CPER_004-M-16-7-20140812",0.261386138613861,0.0297029702970297,0.00693069306930693,0.00099009900990099,0.0158415841584158,0.112871287128713,0.0534653465346535,0.0326732673267327,0.00693069306930693,0.479207920792079
"CPER_004-M-23-38-20140812",0.0405940594059406,0.0326732673267327,0.00594059405940594,0.00099009900990099,0.147524752475248,0.561386138613861,0.0198019801980198,0.0801980198019802,0.0099009900990099,0.100990099009901
"CPER_007-M-3-37-20140717",0.114851485148515,0.284158415841584,0.0495049504950495,0.00099009900990099,0.0871287128712871,0.221782178217822,0.0108910891089109,0.0405940594059406,0.00594059405940594,0.184158415841584
"CPER_047-M-33-17-20140717",0.0910891089108911,0.330693069306931,0.0435643564356436,0.00099009900990099,0.146534653465347,0.175247524752475,0.00396039603960396,0.101980198019802,0.00297029702970297,0.102970297029703
"DSNY_001-M-1-6-20140813",0.0772277227722772,0.00792079207920792,0.00099009900990099,0.00099009900990099,0.886138613861386,0.0138613861386139,0.00099009900990099,0.00297029702970297,0.00297029702970297,0.00594059405940594
"DSNY_001-M-17-9-20140701",0.311881188118812,0.0168316831683168,0.00099009900990099,0.00099009900990099,0.568316831683168,0.0673267326732673,0.00594059405940594,0.0257425742574257,0.00099009900990099,0.00099009900990099
"DSNY_001-M-22-32-20140909",0.112871287128713,0.00099009900990099,0.00099009900990099,0.00198019801980198,0.0504950495049505,0.417821782178218,0.0376237623762376,0.0138613861386139,0.00099009900990099,0.362376237623762
"DSNY_001-M-29-37-20140701",0.599009900990099,0.00099009900990099,0.00099009900990099,0.00792079207920792,0.322772277227723,0.0128712871287129,0.00594059405940594,0.0435643564356436,0.00099009900990099,0.00495049504950495
"DSNY_001-M-7-0-20140909",0.0237623762376238,0.00099009900990099,0.00099009900990099,0.00099009900990099,0.959405940594059,0.00495049504950495,0.00099009900990099,0.00297029702970297,0.00099009900990099,0.00396039603960396
"DSNY_001-M-7-5-20140813",0.46039603960396,0.00099009900990099,0.00099009900990099,0.0099009900990099,0.328712871287129,0.099009900990099,0.0435643564356436,0.0445544554455446,0.00099009900990099,0.0108910891089109
"DSNY_001-M-9-11-20140701",0.365346534653465,0.00594059405940594,0.00099009900990099,0.00198019801980198,0.275247524752475,0.193069306930693,0.00495049504950495,0.00198019801980198,0.00099009900990099,0.149504950495049
"DSNY_002-M-10-34-20140910",0.511881188118812,0.0168316831683168,0.00099009900990099,0.00099009900990099,0.381188118811881,0.0108910891089109,0.00495049504950495,0.0693069306930693,0.00099009900990099,0.00198019801980198
"DSNY_002-M-11-0-20140813",0.952475247524752,0.00693069306930693,0.00099009900990099,0.00099009900990099,0.0217821782178218,0.00594059405940594,0.00099009900990099,0.00396039603960396,0.00495049504950495,0.00099009900990099
"DSNY_002-M-25-6-20140910",0.607920792079208,0.00099009900990099,0.00099009900990099,0.00099009900990099,0.271287128712871,0.0673267326732673,0.00792079207920792,0.0277227722772277,0.00099009900990099,0.0138613861386139
"DSNY_002-M-30-5-20140813",0.00495049504950495,0.0227722772277228,0.00099009900990099,0.00099009900990099,0.940594059405941,0.00594059405940594,0.00099009900990099,0.0207920792079208,0.00099009900990099,0.00099009900990099
"DSNY_002-M-9-4-20140910",0.940594059405941,0.00099009900990099,0.00099009900990099,0.00099009900990099,0.0346534653465347,0.0158415841584158,0.00099009900990099,0.00297029702970297,0.00099009900990099,0.00099009900990099
"DSNY_003-M-1-7-20140813",0.197029702970297,0.00198019801980198,0.00099009900990099,0.00099009900990099,0.725742574257426,0.0554455445544554,0.00198019801980198,0.0138613861386139,0.00099009900990099,0.00099009900990099
"DSNY_003-M-3-26-20140813",0.0633663366336634,0.00297029702970297,0.00099009900990099,0.00099009900990099,0.891089108910891,0.0366336633663366,0.00099009900990099,0.00099009900990099,0.00099009900990099,0.00099009900990099
"DSNY_003-M-33-0-20140813",0.422772277227723,0.0118811881188119,0.00099009900990099,0.00099009900990099,0.454455445544554,0.0495049504950495,0.0207920792079208,0.0356435643564356,0.00099009900990099,0.00198019801980198
"DSNY_004-M-21-38-20140813",0.91980198019802,0.00396039603960396,0.00099009900990099,0.00099009900990099,0.00297029702970297,0.00693069306930693,0.00099009900990099,0.0603960396039604,0.00099009900990099,0.00198019801980198
"DSNY_009-M-2-0-20140813",0.82970297029703,0.00099009900990099,0.00099009900990099,0.00099009900990099,0.00693069306930693,0.0900990099009901,0.0396039603960396,0.0287128712871287,0.00099009900990099,0.00099009900990099
"DSNY_009-M-26-3-20140701",0.444554455445545,0.00099009900990099,0.00099009900990099,0.00099009900990099,0.303960396039604,0.0663366336633663,0.00099009900990099,0.0415841584158416,0.00099009900990099,0.138613861386139
"DSNY_009-M-29-2-20140701",0.881188118811881,0.00099009900990099,0.00099009900990099,0.00099009900990099,0.0366336633663366,0.0287128712871287,0.0188118811881188,0.0247524752475248,0.00099009900990099,0.00594059405940594
"DSNY_009-M-33-11-20140910",0.946534653465346,0.00099009900990099,0.00099009900990099,0.00396039603960396,0.0128712871287129,0.0178217821782178,0.00099009900990099,0.0099009900990099,0.00198019801980198,0.00396039603960396
"DSNY_009-M-39-30-20140813",0.848514851485148,0.00297029702970297,0.00099009900990099,0.00297029702970297,0.00891089108910891,0.0495049504950495,0.00792079207920792,0.00594059405940594,0.0415841584158416,0.0306930693069307
"DSNY_009-M-8-11-20140813",0.917821782178218,0.00099009900990099,0.00099009900990099,0.00099009900990099,0.00099009900990099,0.00099009900990099,0.0287128712871287,0.0178217821782178,0.0198019801980198,0.0108910891089109
"DSNY_016-M-0-30-20140910",0.487128712871287,0.00099009900990099,0.00099009900990099,0.00099009900990099,0.0910891089108911,0.347524752475248,0.00099009900990099,0.00297029702970297,0.00099009900990099,0.0663366336633663
"DSNY_016-M-16-7-20140910",0.551485148514852,0.00099009900990099,0.00099009900990099,0.00099009900990099,0.0831683168316832,0.26039603960396,0.00495049504950495,0.00594059405940594,0.00198019801980198,0.0891089108910891
"DSNY_016-M-23-38-20140910",0.427722772277228,0.00297029702970297,0.00099009900990099,0.00099009900990099,0.0534653465346535,0.322772277227723,0.00396039603960396,0.00495049504950495,0.0297029702970297,0.152475247524752
"DSNY_016-M-35-24-20140701",0.622772277227723,0.00099009900990099,0.00099009900990099,0.00099009900990099,0.116831683168317,0.200990099009901,0.00396039603960396,0.0257425742574257,0.00099009900990099,0.0257425742574257
"DSNY_016-M-5-26-20140701",0.688118811881188,0.00198019801980198,0.00099009900990099,0.00099009900990099,0.126732673267327,0.155445544554455,0.00099009900990099,0.00099009900990099,0.00099009900990099,0.0227722772277228
"DSNY_016-M-6-12-20140813",0.300990099009901,0.00099009900990099,0.00099009900990099,0.00099009900990099,0.430693069306931,0.118811881188119,0.00099009900990099,0.135643564356436,0.00792079207920792,0.00198019801980198
"DSNY_043-M-18-37-20140814",0.875247524752475,0.00099009900990099,0.00099009900990099,0.00099009900990099,0.00198019801980198,0.0792079207920792,0.00099009900990099,0.0168316831683168,0.00099009900990099,0.0217821782178218
"DSNY_043-M-2-27-20140814",0.914851485148515,0.00099009900990099,0.00099009900990099,0.00099009900990099,0.00099009900990099,0.0653465346534653,0.00594059405940594,0.00099009900990099,0.00099009900990099,0.00792079207920792
"HARV_001-M-14-7-20140812",0.0564356435643564,0.0455445544554455,0.00099009900990099,0.0495049504950495,0.817821782178218,0.0108910891089109,0.00099009900990099,0.00594059405940594,0.0108910891089109,0.00099009900990099
"HARV_001-M-15-1-20140812",0.0118811881188119,0.0108910891089109,0.00099009900990099,0.0306930693069307,0.873267326732673,0.0316831683168317,0.00099009900990099,0.00693069306930693,0.0316831683168317,0.00099009900990099
"HARV_001-M-39-16-20140812",0.0445544554455446,0.00891089108910891,0.00099009900990099,0.0128712871287129,0.899009900990099,0.00297029702970297,0.00099009900990099,0.00297029702970297,0.0257425742574257,0.00099009900990099
"HARV_001-M-7-0-20140715",0.0514851485148515,0.00099009900990099,0.00099009900990099,0.0217821782178218,0.857425742574257,0.0178217821782178,0.00099009900990099,0.0465346534653465,0.00099009900990099,0.00099009900990099
"HARV_001-O-14-7-20140812",0.0267326732673267,0.0930693069306931,0.00099009900990099,0.0158415841584158,0.736633663366337,0.0158415841584158,0.0118811881188119,0.0782178217821782,0.0198019801980198,0.00099009900990099
"HARV_001-O-15-1-20140812",0.00297029702970297,0.00099009900990099,0.00099009900990099,0.00099009900990099,0.959405940594059,0.0306930693069307,0.00099009900990099,0.00099009900990099,0.00099009900990099,0.00099009900990099
"HARV_002-M-24-40-20140716",0.0495049504950495,0.0455445544554455,0.00198019801980198,0.0722772277227723,0.797029702970297,0.0108910891089109,0.00099009900990099,0.00297029702970297,0.0158415841584158,0.00297029702970297
"HARV_002-O-33-2-20140716",0.00891089108910891,0.00693069306930693,0.00099009900990099,0.0158415841584158,0.96039603960396,0.00198019801980198,0.00099009900990099,0.00198019801980198,0.00099009900990099,0.00099009900990099
"HARV_004-M-19-1-20140812",0.0108910891089109,0.0465346534653465,0.00693069306930693,0.0118811881188119,0.900990099009901,0.0099009900990099,0.00099009900990099,0.0099009900990099,0.00099009900990099,0.00099009900990099
"HARV_004-M-25-6-20140715",0.1,0.0613861386138614,0.00099009900990099,0.0108910891089109,0.769306930693069,0.0148514851485149,0.00198019801980198,0.0376237623762376,0.00099009900990099,0.00198019801980198
"HARV_004-M-3-28-20140812",0.0198019801980198,0.0306930693069307,0.00495049504950495,0.00792079207920792,0.889108910891089,0.0257425742574257,0.00099009900990099,0.0108910891089109,0.00891089108910891,0.00099009900990099
"HARV_004-M-9-34-20140812",0.18019801980198,0.0554455445544554,0.00297029702970297,0.00693069306930693,0.372277227722772,0.0237623762376238,0.00396039603960396,0.0831683168316832,0.256435643564356,0.0148514851485149
"HARV_004-M-9-4-20140715",0.162376237623762,0.0227722772277228,0.00099009900990099,0.00099009900990099,0.746534653465347,0.0128712871287129,0.00099009900990099,0.0504950495049505,0.00099009900990099,0.00099009900990099
"HARV_004-O-10-34-20140715",0.0257425742574257,0.00594059405940594,0.00198019801980198,0.00495049504950495,0.901980198019802,0.0108910891089109,0.00198019801980198,0.0396039603960396,0.00099009900990099,0.00594059405940594
"HARV_004-O-19-1-20140812",0.0227722772277228,0.187128712871287,0.00198019801980198,0.00099009900990099,0.715841584158416,0.0336633663366337,0.00891089108910891,0.0267326732673267,0.00099009900990099,0.00099009900990099
"HARV_004-O-25-6-20140715",0.00099009900990099,0.00396039603960396,0.00099009900990099,0.00099009900990099,0.964356435643564,0.00099009900990099,0.00099009900990099,0.0247524752475248,0.00099009900990099,0.00099009900990099
"HARV_004-O-3-28-20140812",0.0138613861386139,0.0188118811881188,0.00099009900990099,0.00099009900990099,0.800990099009901,0.159405940594059,0.00099009900990099,0.00198019801980198,0.00099009900990099,0.00099009900990099
"HARV_010-M-2-0-20140715",0.143564356435644,0.0237623762376238,0.00099009900990099,0.114851485148515,0.604950495049505,0.0188118811881188,0.00198019801980198,0.0841584158415842,0.00594059405940594,0.00099009900990099
"HARV_010-M-8-11-20140715",0.0623762376237624,0.0752475247524752,0.00099009900990099,0.126732673267327,0.667326732673267,0.0277227722772277,0.00099009900990099,0.0287128712871287,0.00594059405940594,0.00396039603960396
