"","other","Mortierellomycetes","Tremellomycetes","Umbelopsidomycetes","Agaricomycetes","Sordariomycetes","Eurotiomycetes","Leotiomycetes","Pezizomycetes","Dothideomycetes"
"BART_001",0.319236586333333,0.06482314775,0.0286008497244444,0.0397252863933333,0.352366884188889,0.0344592039933333,0.0373308893266667,0.0533696936144444,0.0297902536688889,0.0402972022933333
"BART_004",0.152692257644444,0.0765684434733333,0.0169139396731111,0.0178517180415556,0.558619599333333,0.049775777954,0.0164537380726667,0.0538055629701111,0.0186893796567889,0.0386295858391111
"BART_006",0.1209030409,0.0343696404844444,0.0130194350796667,0.0246646145622222,0.703375541777778,0.0206088409633333,0.0138781721178889,0.0446019009777778,0.0122371198147778,0.0123416991778889
"CPER_001",0.111946005844444,0.100455543315556,0.0207617521177778,0.0110922971414444,0.0928690163677778,0.263767254822222,0.0654317440922222,0.0659292748555556,0.0238228473541111,0.243924260744444
"CPER_002",0.165135478955556,0.110286696066667,0.0295268552022222,0.0147895097134444,0.09069252453,0.386535813888889,0.0259779011713333,0.0707663968988889,0.0188170885371111,0.0874717273433333
"CPER_003",0.106195763133333,0.126596847233333,0.0166582700375556,0.0106012367615556,0.2436724093,0.278769617444444,0.0271019065283333,0.0666734946711111,0.0165583468161111,0.107172105244444
"CPER_004",0.165848745722222,0.0717700837011111,0.0280370334622222,0.0148343556176667,0.0719097516455556,0.296093152722222,0.0443476241788889,0.0700029534666667,0.0281616889122222,0.208994606222222
"CPER_007",0.0944237959888889,0.275498925886778,0.0533575391855889,0.00909900868285222,0.0874254963025444,0.216121943067778,0.0216977304141222,0.0468082123663261,0.0161004755698667,0.179466866031111
"CPER_047",0.0805934767444444,0.320782250322222,0.0474332149146889,0.00834588535941333,0.144980222871111,0.171839150839,0.0130203833736444,0.0991149798546667,0.0113831085770444,0.102507328101433
"DSNY_001",0.298363707111111,0.0293127526,0.0235681195866667,0.0285122163966667,0.379259990333333,0.0865017066444444,0.0370702658177778,0.04435453254,0.0244230378622222,0.0486336644255556
"DSNY_002",0.452106001,0.04603115511,0.0328028774711111,0.0328602937611111,0.200546814233333,0.0624979216411111,0.0380841422277778,0.0631786509511111,0.0346161926466667,0.03727594406
"DSNY_003",0.151759524422222,0.0206666804491111,0.0138521401003333,0.0138140461464444,0.659994534777778,0.0660463999733333,0.0193402586093333,0.0261466603611111,0.0138041331412222,0.0145756287931111
"DSNY_004",0.553244411444444,0.0475165127934556,0.0366805662048433,0.0371964817179622,0.0448007420206278,0.05430901870646,0.0361268847129678,0.112252735166233,0.0363485918073878,0.0415240568381278
"DSNY_009",0.500747692444444,0.0365283438555556,0.0358544717844444,0.0383928922677778,0.0689413761555556,0.0812161983,0.0559179684,0.0749084506555556,0.0456168480277778,0.0618757587133333
"DSNY_016",0.329757297333333,0.0271983747155556,0.0257968617044444,0.0254206185511111,0.1592533526,0.252244194511111,0.0299657159066667,0.04369490855,0.0319999767488889,0.0746687002444444
"DSNY_043",0.528285772111111,0.0359720600097778,0.0362176840477778,0.0360280292328889,0.0386660089695556,0.130188694691111,0.0437361591994444,0.0484260488082222,0.0362180388532222,0.0662614974582222
"HARV_001",0.0437221718,0.0149773673011111,0.00567214205466667,0.0201706893955556,0.853465520555556,0.02084079703,0.00664047495388889,0.0150529471011111,0.0136706833588889,0.00578720482455556
"HARV_002",0.0324783194333333,0.0214171732192222,0.00519677635748889,0.0370163191633333,0.870744984888889,0.00872576995666667,0.0044921705256,0.00633236877777778,0.00805576061022222,0.00554035331446
"HARV_004",0.0811181259,0.0397283576777778,0.0108223806522222,0.0128757554011111,0.761682957444444,0.0278968025111111,0.010467924,0.0332794509133333,0.01156537443,0.0105628742266667
"HARV_010",0.0651187653222222,0.03155163259,0.00757741458133333,0.0267880891022222,0.778125777777778,0.0300333638055556,0.00863924391077778,0.0299341493044444,0.0118860306633333,0.0103455338091111
"HARV_013",0.112350508833333,0.0400902634811111,0.0110814101733333,0.0152838454833333,0.725853170888889,0.0241414119844444,0.0139807467311111,0.0281968684733333,0.0171408351255556,0.0118809385933333
"HARV_016",0.361933028,0.0502182161891111,0.0285596900617778,0.0331046154906667,0.347278474311111,0.0317422400628889,0.0337502968155556,0.0515394166277778,0.0271426146558889,0.0347314060755556
"HARV_020",0.280315595666667,0.0482702429233333,0.0248486795122222,0.02302374479,0.441966006777778,0.0498196359144444,0.0259325318755556,0.0506750925655556,0.0233359515477778,0.0318125192977778
"HARV_021",0.153203649211111,0.04057374732,0.0141247863664444,0.0422757616188889,0.540576283444444,0.0333381724666667,0.0208839580054444,0.123226160866667,0.0146776176122222,0.017119862894
