"","other","Mortierellomycetes","Tremellomycetes","Umbelopsidomycetes","Agaricomycetes","Sordariomycetes","Eurotiomycetes","Leotiomycetes","Pezizomycetes","Dothideomycetes"
"BART",0.141036161477778,0.06579027658,0.0303608705311111,0.0373250044066667,0.517731697555556,0.0448578754211111,0.03215131669,0.0616379112411111,0.0307872758333333,0.0383216084033333
"CPER",0.106115255011111,0.151978353933333,0.0394460490733333,0.0207821664277778,0.119297119266667,0.26674096,0.0387020683422222,0.0773025935,0.0280638012877778,0.151571639933333
"DSNY",0.291109599888889,0.0590042046111111,0.0531129814111111,0.0545780652888889,0.161014202844444,0.115238166588889,0.0609511061633333,0.0792766485111111,0.0557348315444444,0.0699801924888889
"HARV",0.146006087111111,0.0497829156111111,0.0271006417244444,0.0397211675555556,0.556222030555556,0.0406377184888889,0.0284089790322222,0.0522701770666667,0.03116341217,0.0286868665044444
"JERC",0.127893985122222,0.0459366507222222,0.0254624032822222,0.0624916343444444,0.515532717,0.0614030200222222,0.0383214284333333,0.0453613632555556,0.0338751754333333,0.0437216213
"ORNL",0.237368062333333,0.0579575735222222,0.0293054407544444,0.04131234503,0.425208812222222,0.0606922431444444,0.0328850130666667,0.0488296440111111,0.0320021493744444,0.0344387160733333
"OSBS",0.264058882888889,0.0513592729111111,0.0324458937788889,0.0518285634144444,0.364942651,0.0649589976633333,0.0480066559233333,0.0511155207388889,0.0354435692655556,0.0358399932655556
"SCBI",0.1555816907,0.129173421711111,0.0370857613133333,0.0311376533577778,0.329335036666667,0.121590331533333,0.0489844004388889,0.0626600407333333,0.0366443731011111,0.0478072845855556
"STER",0.0816385463888889,0.1152787599,0.0510884170222222,0.01324465473,0.0631089405,0.432629906,0.01657959492,0.0422156100555556,0.0181239079833333,0.166091661333333
"TALL",0.105393603566667,0.0441551046888889,0.0213798873077778,0.0623267985888889,0.636135013777778,0.0245878239722222,0.0214988245944444,0.0388970380333333,0.0224751520666667,0.0231507501455556
"UNDE",0.135157026211111,0.0688804790777778,0.0390800115111111,0.0275110282222222,0.542393548777778,0.0482373240555556,0.0261269365777778,0.0539904061666667,0.0277753059888889,0.0308479365111111
"WOOD",0.151333999833333,0.204528037,0.0517763610777778,0.033683575,0.153820684222222,0.120702837055556,0.0416725104222222,0.104697377155556,0.0412414700666667,0.0965431536777778
